name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-01,avg,otsu,3,33.47596,22.50664,-32.76775,0.97234,0.90346,-7.08394,0.99732,0.94343,-5.40348,6.47817,9.16731,41.5108,0.992820024490356,0.960259974002838,-3.27955007553101
Case_1-01,avg,otsu,5,33.47596,31.94138,-4.58413,0.97234,0.97236,0.00206,0.99732,0.99317,-0.41612,6.47817,12.63729,95.075,0.992820024490356,0.985090017318726,-0.778590023517609
Case_1-01,avg,otsu,7,33.47596,31.44326,-6.07212,0.97234,0.97001,-0.23963,0.99732,0.9912,-0.61364,6.47817,20.73019,220.00071,0.992820024490356,0.97027999162674,-2.27029991149902
Case_1-01,avg,otsu,9,33.47596,29.48719,-11.91533,0.97234,0.96062,-1.20534,0.99732,0.98505,-1.2303,6.47817,32.0889,395.33896,0.992820024490356,0.945620000362396,-4.75413990020752
Case_1-01,avg,otsu,11,33.47596,27.67261,-17.33587,0.97234,0.94914,-2.386,0.99732,0.97658,-2.07957,6.47817,43.42563,570.33792,0.992820024490356,0.913259983062744,-8.01354026794434
Case_1-01,avg,otsu,13,33.47596,26.14334,-21.90414,0.97234,0.93722,-3.61191,0.99732,0.96617,-3.12337,6.47817,53.34011,723.38237,0.992820024490356,0.875469982624054,-11.8198699951172
Case_1-02,avg,otsu,3,33.48185,22.04332,-34.16338,0.97174,0.89732,-7.65843,0.99767,0.94168,-5.61208,6.01552,9.25859,53.91172,0.994080007076263,0.961430013179779,-3.28444004058838
Case_1-02,avg,otsu,5,33.48185,31.70081,-5.31942,0.97174,0.97203,0.02984,0.99767,0.99327,-0.44103,6.01552,12.43656,106.74123,0.994080007076263,0.987909972667694,-0.620679974555969
Case_1-02,avg,otsu,7,33.48185,31.56185,-5.73445,0.97174,0.97178,0.00412,0.99767,0.99222,-0.54627,6.01552,20.15338,235.02307,0.994080007076263,0.976140022277832,-1.80467998981476
Case_1-02,avg,otsu,9,33.48185,29.48321,-11.94271,0.97174,0.96298,-0.90148,0.99767,0.98638,-1.13164,6.01552,32.50949,440.42693,0.994080007076263,0.953949987888336,-4.03690004348755
Case_1-02,avg,otsu,11,33.48185,27.42846,-18.07962,0.97174,0.95036,-2.20018,0.99767,0.97734,-2.03775,6.01552,45.69622,659.63873,0.994080007076263,0.921710014343262,-7.28009986877441
Case_1-02,avg,otsu,13,33.48185,25.68488,-23.28715,0.97174,0.93597,-3.68103,0.99767,0.9654,-3.23454,6.01552,57.0471,848.33198,0.994080007076263,0.881370007991791,-11.3381204605103
Case_1-03,avg,otsu,3,33.98032,22.83361,-32.80343,0.97747,0.91265,-6.63141,0.99748,0.94389,-5.37254,5.70679,7.35798,28.93378,0.991699993610382,0.957710027694702,-3.42743992805481
Case_1-03,avg,otsu,5,33.98032,32.48134,-4.41132,0.97747,0.97756,0.00921,0.99748,0.99383,-0.36592,5.70679,9.44338,65.47621,0.991699993610382,0.985589981079102,-0.616119980812073
Case_1-03,avg,otsu,7,33.98032,32.58737,-4.09928,0.97747,0.97777,0.03069,0.99748,0.99311,-0.4381,5.70679,14.82014,159.6931,0.991699993610382,0.973020017147064,-1.88363003730774
