name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-01,gauss,otsu,0.4,2,33.47596,22.45327,-32.92718,0.97234,0.89911,-7.53132,0.99732,0.94386,-5.36037,6.47817,9.82349,51.63989,0.992820024490356,0.960590004920959,-3.24630999565125
Case_1-01,gauss,otsu,0.7,4,33.47596,31.9431,-4.57899,0.97234,0.97038,-0.20158,0.99732,0.99436,-0.2968,6.47817,9.04075,39.55716,0.992820024490356,0.991850018501282,-0.0976999998092651
Case_1-01,gauss,otsu,1.1,6,33.47596,33.29148,-0.55108,0.97234,0.9759,0.36613,0.99732,0.9959,-0.14238,6.47817,9.03159,39.41576,0.992820024490356,0.990779995918274,-0.205479994416237
Case_1-01,gauss,otsu,1.4,8,33.47596,33.34427,-0.39339,0.97234,0.97687,0.46589,0.99732,0.99557,-0.17547,6.47817,10.52196,62.4218,0.992820024490356,0.987680017948151,-0.517719984054565
Case_1-01,gauss,otsu,1.7,10,33.47596,32.90865,-1.69468,0.97234,0.97615,0.39184,0.99732,0.99456,-0.27674,6.47817,13.44391,107.52635,0.992820024490356,0.982599973678589,-1.02939999103546
Case_1-01,gauss,otsu,2,12,33.47596,32.13264,-4.01279,0.97234,0.97403,0.17381,0.99732,0.99291,-0.44219,6.47817,17.65015,172.4558,0.992820024490356,0.975530028343201,-1.74150002002716
Case_1-02,gauss,otsu,0.4,2,33.48185,21.99712,-34.30136,0.97174,0.89285,-8.11843,0.99767,0.9422,-5.55995,6.01552,9.79411,62.81402,0.994080007076263,0.961669981479645,-3.26029992103577
Case_1-02,gauss,otsu,0.7,4,33.48185,31.59354,-5.6398,0.97174,0.96892,-0.2902,0.99767,0.99417,-0.35082,6.01552,9.27912,54.253,0.994080007076263,0.992890000343323,-0.119709998369217
Case_1-02,gauss,otsu,1.1,6,33.48185,33.07827,-1.20537,0.97174,0.9751,0.34577,0.99767,0.99597,-0.1704,6.01552,9.14707,52.05784,0.994080007076263,0.992290019989014,-0.180059999227524
Case_1-02,gauss,otsu,1.4,8,33.48185,33.2673,-0.64079,0.97174,0.97675,0.51557,0.99767,0.99589,-0.17842,6.01552,10.36021,72.22468,0.994080007076263,0.990019977092743,-0.408419996500015
Case_1-02,gauss,otsu,1.7,10,33.48185,32.94542,-1.60215,0.97174,0.97674,0.51454,0.99767,0.99514,-0.25359,6.01552,13.0696,117.26468,0.994080007076263,0.986000001430511,-0.812810003757477
Case_1-02,gauss,otsu,2,12,33.48185,32.19686,-3.83787,0.97174,0.97519,0.35503,0.99767,0.99371,-0.39692,6.01552,17.33443,188.16179,0.994080007076263,0.980009973049164,-1.41538000106812
