name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-01,avg,fixed_multilevel_tresholding,3,33.47596,22.42593,-33.00885,0.97234,0.90314,-7.11685,0.99732,0.94211,-5.53584,6.47817,6.61972,2.18503,0.992820024490356,0.959680020809174,-3.33797001838684
Case_1-01,avg,fixed_multilevel_tresholding,5,33.47596,32.11179,-4.07507,0.97234,0.97367,0.13678,0.99732,0.99352,-0.38102,6.47817,11.99238,85.11987,0.992820024490356,0.98513001203537,-0.77455997467041
Case_1-01,avg,fixed_multilevel_tresholding,7,33.47596,31.23528,-6.6934,0.97234,0.96936,-0.30648,0.99732,0.99084,-0.64974,6.47817,22.31588,244.47815,0.992820024490356,0.968190014362335,-2.48080992698669
Case_1-01,avg,fixed_multilevel_tresholding,9,33.47596,29.13043,-12.98105,0.97234,0.9588,-1.39252,0.99732,0.98397,-1.33859,6.47817,34.91585,438.97706,0.992820024490356,0.941259980201721,-5.19329023361206
Case_1-01,avg,fixed_multilevel_tresholding,11,33.47596,27.3198,-18.38979,0.97234,0.94677,-2.62974,0.99732,0.97496,-2.24201,6.47817,46.46247,617.21597,0.992820024490356,0.907159984111786,-8.62794971466064
Case_1-01,avg,fixed_multilevel_tresholding,13,33.47596,25.83689,-22.81957,0.97234,0.93462,-3.8793,0.99732,0.96421,-3.3199,6.47817,55.97982,764.13015,0.992820024490356,0.868139982223511,-12.5581703186035
Case_1-02,avg,fixed_multilevel_tresholding,3,33.48185,21.98354,-34.34192,0.97174,0.89752,-7.63785,0.99767,0.94061,-5.71933,6.01552,6.44077,7.06921,0.994080007076263,0.961130023002625,-3.31462001800537
Case_1-02,avg,fixed_multilevel_tresholding,5,33.48185,31.95284,-4.56668,0.97174,0.97384,0.21611,0.99767,0.99385,-0.38289,6.01552,11.33336,88.402,0.994080007076263,0.988300025463104,-0.581439971923828
Case_1-02,avg,fixed_multilevel_tresholding,7,33.48185,31.36158,-6.3326,0.97174,0.97147,-0.02779,0.99767,0.99202,-0.56632,6.01552,21.65908,260.05333,0.994080007076263,0.974389970302582,-1.9807300567627
Case_1-02,avg,fixed_multilevel_tresholding,9,33.48185,29.06736,-13.18473,0.97174,0.96117,-1.08774,0.99767,0.98531,-1.23889,6.01552,35.80382,495.19077,0.994080007076263,0.949570000171661,-4.47750997543335
Case_1-02,avg,fixed_multilevel_tresholding,11,33.48185,27.01178,-19.32411,0.97174,0.94766,-2.47803,0.99767,0.97553,-2.21917,6.01552,49.2258,718.3133,0.994080007076263,0.915080010890961,-7.94705009460449
Case_1-02,avg,fixed_multilevel_tresholding,13,33.48185,25.32798,-24.3531,0.97174,0.93278,-4.0093,0.99767,0.96306,-3.46908,6.01552,59.91124,895.94449,0.994080007076263,0.873009979724884,-12.1791000366211
Case_1-03,avg,fixed_multilevel_tresholding,3,33.98032,22.73596,-33.0908,0.97747,0.91211,-6.68665,0.99748,0.94238,-5.52392,5.70679,5.44781,-4.5381,0.991699993610382,0.95728999376297,-3.46979999542236
Case_1-03,avg,fixed_multilevel_tresholding,5,33.98032,32.25317,-5.08279,0.97747,0.97776,0.02967,0.99748,0.99338,-0.41104,5.70679,8.88871,55.75674,0.991699993610382,0.985639989376068,-0.611069977283478
