name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,2,33.47596,22.3943,-33.10334,0.97234,0.89902,-7.54057,0.99732,0.9431,-5.43657,6.47817,7.24313,11.80827,0.992820024490356,0.960039973258972,-3.3017098903656
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,4,33.47596,32.16902,-3.90412,0.97234,0.97268,0.03497,0.99732,0.99474,-0.25869,6.47817,6.71985,3.73068,0.992820024490356,0.992879986763,0.00603999989107251
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,6,33.47596,33.33012,-0.43566,0.97234,0.97698,0.4772,0.99732,0.99593,-0.13937,6.47817,7.8141,20.62203,0.992820024490356,0.991270005702972,-0.156120002269745
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,8,33.47596,33.31081,-0.49334,0.97234,0.97728,0.50805,0.99732,0.99553,-0.17948,6.47817,10.27117,58.55049,0.992820024490356,0.987550020217896,-0.530809998512268
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,10,33.47596,32.7797,-2.07988,0.97234,0.97592,0.36818,0.99732,0.99439,-0.29379,6.47817,14.19694,119.15047,0.992820024490356,0.981649994850159,-1.12507998943329
Case_1-01,gauss,fixed_multilevel_tresholding,2,12,33.47596,31.86989,-4.79768,0.97234,0.97315,0.0833,0.99732,0.99248,-0.4853,6.47817,19.29974,197.91963,0.992820024490356,0.97367000579834,-1.92885005474091
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,2,33.48185,21.95335,-34.43209,0.97174,0.89316,-8.08653,0.99767,0.94161,-5.61909,6.01552,7.06374,17.42526,0.994080007076263,0.961279988288879,-3.2995400428772
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,4,33.48185,31.72618,-5.24365,0.97174,0.97108,-0.06792,0.99767,0.99443,-0.32476,6.01552,6.69591,11.31058,0.994080007076263,0.993879973888397,-0.0201200004667044
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,6,33.48185,33.12478,-1.06646,0.97174,0.97635,0.47441,0.99767,0.99603,-0.16438,6.01552,7.57302,25.89136,0.994080007076263,0.992929995059967,-0.115690000355244
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,8,33.48185,33.30168,-0.53811,0.97174,0.97748,0.59069,0.99767,0.99599,-0.16839,6.01552,9.79276,62.79158,0.994080007076263,0.990130007266998,-0.397350013256073
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,10,33.48185,32.82643,-1.95754,0.97174,0.97675,0.51557,0.99767,0.99507,-0.26061,6.01552,13.63153,126.60601,0.994080007076263,0.985310018062592,-0.882219970226288
Case_1-02,gauss,fixed_multilevel_tresholding,2,12,33.48185,31.91371,-4.68355,0.97174,0.97448,0.28197,0.99767,0.99337,-0.431,6.01552,19.00382,215.91317,0.994080007076263,0.978380024433136,-1.57934999465942
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,2,33.98032,22.72375,-33.12673,0.97747,0.90876,-7.02937,0.99748,0.94335,-5.42668,5.70679,6.3036,10.45789,0.991699993610382,0.957210004329681,-3.47785997390747
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,4,33.98032,32.24546,-5.10548,0.97747,0.97612,-0.13811,0.99748,0.99432,-0.3168,5.70679,5.72727,0.35887,0.991699993610382,0.991999983787537,0.0302499998360872
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,6,33.98032,33.38938,-1.73907,0.97747,0.98024,0.28338,0.99748,0.99559,-0.18948,5.70679,6.22766,9.1272,0.991699993610382,0.990840017795563,-0.0867199972271919
Case_1-03,gauss,fixed_multilevel_tresholding,1.4,8,33.98032,33.56817,-1.21291,0.97747,0.9811,0.37137,0.99748,0.99549,-0.1995,5.70679,7.70534,35.02056,0.991699993610382,0.987810015678406,-0.392250001430511
Case_1-03,gauss,fixed_multilevel_tresholding,1.7,10,33.98032,33.47358,-1.49127,0.97747,0.98098,0.35909,0.99748,0.99507,-0.24161,5.70679,10.15879,78.01233,0.991699993610382,0.982879996299744,-0.889379978179932
Case_1-03,gauss,fixed_multilevel_tresholding,2,12,33.98032,32.93117,-3.08752,0.97747,0.97974,0.23223,0.99748,0.99396,-0.35289,5.70679,13.4834,136.26943,0.991699993610382,0.976220011711121,-1.56095004081726
Case_1-04,gauss,fixed_multilevel_tresholding,0.4,2,33.94747,22.79137,-32.86283,0.97893,0.91414,-6.61845,0.99728,0.93785,-5.95921,5.43004,5.87173,8.13419,0.992190003395081,0.958720028400421,-3.37333989143372
