name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,11,28.506,26.666,-6.45478,0.929,0.93,0.10764,44.206,49.58,12.15672
Case_1-02,avg,fixed_multilevel_tresholding,11,28.44,26.362,-7.30661,0.927,0.93,0.32362,45.46,48.512,6.71359
Case_1-03,avg,fixed_multilevel_tresholding,11,28.9,28.019,-3.04844,0.94,0.949,0.95745,44.406,57.273,28.97581
Case_1-04,avg,fixed_multilevel_tresholding,11,28.842,27.883,-3.32501,0.944,0.953,0.95339,44.233,56.297,27.27375
Case_1-05,avg,fixed_multilevel_tresholding,11,28.935,27.882,-3.63919,0.941,0.948,0.74389,45.133,56.266,24.6671
Case_1-06,avg,fixed_multilevel_tresholding,11,28.466,26.549,-6.73435,0.939,0.938,-0.1065,45.905,49.018,6.7814
Case_1-07,avg,fixed_multilevel_tresholding,11,28.853,27.268,-5.49336,0.95,0.947,-0.31579,45.998,52.464,14.05713
Case_1-08,avg,fixed_multilevel_tresholding,11,29.023,28.099,-3.18368,0.935,0.945,1.06952,46.057,55.168,19.78201
Case_10-01,avg,fixed_multilevel_tresholding,11,28.265,24.505,-13.30267,0.909,0.834,-8.25083,52.368,54.497,4.06546
Case_10-02,avg,fixed_multilevel_tresholding,11,28.705,24.74,-13.81292,0.916,0.849,-7.31441,51.719,54.928,6.20468
Case_10-03,avg,fixed_multilevel_tresholding,11,28.034,24.292,-13.34808,0.902,0.826,-8.42572,51.503,53.868,4.59197
Case_10-04,avg,fixed_multilevel_tresholding,11,28.155,24.074,-14.49476,0.913,0.836,-8.43373,51.346,52.023,1.31851
Case_10-05,avg,fixed_multilevel_tresholding,11,29.55,27.263,-7.73942,0.922,0.901,-2.27766,53.272,55.74,4.63283
Case_10-06,avg,fixed_multilevel_tresholding,11,28.622,24.874,-13.09482,0.918,0.859,-6.42702,52.41,53.428,1.94238
Case_10-07,avg,fixed_multilevel_tresholding,11,28.615,24.726,-13.59077,0.922,0.859,-6.83297,52.779,53.196,0.79009
Case_10-08,avg,fixed_multilevel_tresholding,11,28.629,24.789,-13.41297,0.921,0.86,-6.62324,52.79,53.388,1.13279
Case_10-09,avg,fixed_multilevel_tresholding,11,28.283,24.82,-12.2441,0.918,0.858,-6.53595,51.182,54.507,6.49642
Case_10-10,avg,fixed_multilevel_tresholding,11,28.849,25.989,-9.91369,0.901,0.849,-5.77137,52.489,56.804,8.22077
Case_11-07,avg,fixed_multilevel_tresholding,11,29.139,25.893,-11.13971,0.902,0.849,-5.87583,61.466,57.341,-6.71103
Case_11-09,avg,fixed_multilevel_tresholding,11,31.972,30.76,-3.79082,0.863,0.868,0.57937,52.452,48.214,-8.07977
Case_11-10,avg,fixed_multilevel_tresholding,11,30.632,28.597,-6.64338,0.871,0.857,-1.60735,44.608,54.977,23.24471
Case_11-11,avg,fixed_multilevel_tresholding,11,30.611,28.513,-6.85375,0.868,0.853,-1.72811,43.352,54.304,25.26296
Case_11-12,avg,fixed_multilevel_tresholding,11,30.484,28.33,-7.066,0.869,0.851,-2.07135,41.542,53.193,28.04631
Case_11-13,avg,fixed_multilevel_tresholding,11,32.161,30.143,-6.27468,0.875,0.865,-1.14286,50.534,48.439,-4.14572
Case_11-15,avg,fixed_multilevel_tresholding,11,29.593,27.534,-6.95773,0.909,0.889,-2.20022,58.655,55.236,-5.829
Case_12-01,avg,fixed_multilevel_tresholding,11,29.991,29.114,-2.92421,0.949,0.95,0.10537,51.284,58.115,13.31994
Case_12-02,avg,fixed_multilevel_tresholding,11,29.884,29.018,-2.89787,0.951,0.952,0.10515,50.238,59.59,18.61539
Case_12-03,avg,fixed_multilevel_tresholding,11,29.796,28.939,-2.87622,0.949,0.951,0.21075,51.081,56.544,10.69478
Case_12-04,avg,fixed_multilevel_tresholding,11,29.475,27.783,-5.74046,0.943,0.931,-1.27253,48.971,55.902,14.15327
Case_12-05,avg,fixed_multilevel_tresholding,11,29.323,27.299,-6.90243,0.936,0.919,-1.81624,49.715,56.204,13.0524
Case_12-06,avg,fixed_multilevel_tresholding,11,29.17,27.514,-5.67707,0.939,0.928,-1.17146,50.272,56.957,13.29766
Case_12-07,avg,fixed_multilevel_tresholding,11,29.274,27.479,-6.13172,0.934,0.919,-1.606,49.713,56.214,13.07706
Case_12-08,avg,fixed_multilevel_tresholding,11,29.306,27.714,-5.43233,0.941,0.931,-1.0627,49.925,56.367,12.90336
Case_12-09,avg,fixed_multilevel_tresholding,11,29.417,27.739,-5.70418,0.947,0.937,-1.05597,50.363,56.463,12.11207
Case_12-10,avg,fixed_multilevel_tresholding,11,29.454,28.656,-2.70931,0.948,0.951,0.31646,48.496,55.275,13.97847
Case_12-11,avg,fixed_multilevel_tresholding,11,29.266,27.348,-6.55368,0.946,0.935,-1.16279,49.17,58.193,18.35062
Case_12-12,avg,fixed_multilevel_tresholding,11,29.517,28.03,-5.03777,0.937,0.931,-0.64034,52.013,57.023,9.63221
Case_13-01,avg,fixed_multilevel_tresholding,11,28.726,25.745,-10.37736,0.908,0.858,-5.50661,52.872,55.867,5.66462
Case_13-02,avg,fixed_multilevel_tresholding,11,28.691,25.283,-11.87829,0.902,0.833,-7.64967,52.279,57.046,9.11838
Case_13-03,avg,fixed_multilevel_tresholding,11,28.794,25.372,-11.88442,0.909,0.848,-6.71067,53.546,56.057,4.68943
Case_13-04,avg,fixed_multilevel_tresholding,11,29.457,27.36,-7.11885,0.904,0.878,-2.87611,52.394,59.643,13.83555
Case_13-05,avg,fixed_multilevel_tresholding,11,29.365,27.388,-6.7325,0.914,0.893,-2.29759,54.25,58.565,7.95392
Case_13-06,avg,fixed_multilevel_tresholding,11,28.797,25.625,-11.01504,0.914,0.862,-5.68928,52.829,56.576,7.0927
Case_13-07,avg,fixed_multilevel_tresholding,11,28.785,26.351,-8.45579,0.909,0.874,-3.85039,51.808,56.592,9.2341
Case_13-10,avg,fixed_multilevel_tresholding,11,28.906,26.182,-9.42365,0.898,0.855,-4.78842,52.083,55.552,6.66052
Case_13-11,avg,fixed_multilevel_tresholding,11,28.661,25.254,-11.88723,0.897,0.837,-6.68896,53.121,53.704,1.09749
Case_13-12,avg,fixed_multilevel_tresholding,11,29.065,25.598,-11.92844,0.905,0.847,-6.40884,51.186,57.42,12.17911
Case_14-01,avg,fixed_multilevel_tresholding,11,29.383,27.649,-5.90137,0.864,0.839,-2.89352,49.834,56.39,13.15568
Case_14-02,avg,fixed_multilevel_tresholding,11,29.007,26.962,-7.05002,0.844,0.799,-5.33175,50.732,56.709,11.78152
