name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,15,28.506,24.352,-14.57237,0.929,0.911,-1.93757,44.206,60.292,36.38873
Case_1-02,avg,fixed_multilevel_tresholding,15,28.44,23.72,-16.59634,0.927,0.904,-2.48112,45.46,58.606,28.91773
Case_1-03,avg,fixed_multilevel_tresholding,15,28.9,25.928,-10.28374,0.94,0.937,-0.31915,44.406,63.614,43.25542
Case_1-04,avg,fixed_multilevel_tresholding,15,28.842,25.628,-11.14347,0.944,0.94,-0.42373,44.233,64.168,45.06816
Case_1-05,avg,fixed_multilevel_tresholding,15,28.935,25.806,-10.81389,0.941,0.936,-0.53135,45.133,64.08,41.98037
Case_1-06,avg,fixed_multilevel_tresholding,15,28.466,24.016,-15.63268,0.939,0.916,-2.44941,45.905,59.45,29.50659
Case_1-07,avg,fixed_multilevel_tresholding,15,28.853,25.008,-13.32617,0.95,0.932,-1.89474,45.998,63.977,39.08648
Case_1-08,avg,fixed_multilevel_tresholding,15,29.023,25.953,-10.57782,0.935,0.932,-0.32086,46.057,63.766,38.45018
Case_10-01,avg,fixed_multilevel_tresholding,15,28.265,22.817,-19.27472,0.909,0.799,-12.10121,52.368,63.23,20.74167
Case_10-02,avg,fixed_multilevel_tresholding,15,28.705,22.745,-20.76293,0.916,0.807,-11.89956,51.719,61.17,18.27375
Case_10-03,avg,fixed_multilevel_tresholding,15,28.034,22.659,-19.17315,0.902,0.791,-12.30599,51.503,63.791,23.8588
Case_10-04,avg,fixed_multilevel_tresholding,15,28.155,22.232,-21.03712,0.913,0.797,-12.70537,51.346,62.059,20.86433
Case_10-05,avg,fixed_multilevel_tresholding,15,29.55,25.386,-14.09137,0.922,0.878,-4.77223,53.272,65.282,22.54468
Case_10-06,avg,fixed_multilevel_tresholding,15,28.622,22.811,-20.30256,0.918,0.82,-10.67538,52.41,61.107,16.59416
Case_10-07,avg,fixed_multilevel_tresholding,15,28.615,22.841,-20.17823,0.922,0.823,-10.73753,52.779,63.533,20.37553
Case_10-08,avg,fixed_multilevel_tresholding,15,28.629,22.896,-20.02515,0.921,0.823,-10.64061,52.79,63.773,20.80508
Case_10-09,avg,fixed_multilevel_tresholding,15,28.283,23.094,-18.34671,0.918,0.826,-10.02179,51.182,64.622,26.25923
Case_10-10,avg,fixed_multilevel_tresholding,15,28.849,24.46,-15.2137,0.901,0.823,-8.65705,52.489,66.894,27.44385
Case_11-07,avg,fixed_multilevel_tresholding,15,29.139,24.203,-16.9395,0.902,0.816,-9.53437,61.466,55.878,-9.0912
Case_11-09,avg,fixed_multilevel_tresholding,15,31.972,29.436,-7.93194,0.863,0.86,-0.34762,52.452,48.131,-8.23801
Case_11-10,avg,fixed_multilevel_tresholding,15,30.632,27.215,-11.155,0.871,0.843,-3.2147,44.608,57.305,28.4635
Case_11-11,avg,fixed_multilevel_tresholding,15,30.611,27.029,-11.70168,0.868,0.837,-3.57143,43.352,56.782,30.97896
Case_11-12,avg,fixed_multilevel_tresholding,15,30.484,26.801,-12.08175,0.869,0.835,-3.91254,41.542,55.757,34.21838
Case_11-13,avg,fixed_multilevel_tresholding,15,32.161,28.703,-10.75215,0.875,0.853,-2.51429,50.534,48.794,-3.44323
Case_11-15,avg,fixed_multilevel_tresholding,15,29.593,26.027,-12.05015,0.909,0.872,-4.07041,58.655,55.189,-5.90913
Case_12-01,avg,fixed_multilevel_tresholding,15,29.991,27.333,-8.86266,0.949,0.94,-0.94837,51.284,68.867,34.28555
Case_12-02,avg,fixed_multilevel_tresholding,15,29.884,27.295,-8.6635,0.951,0.943,-0.84122,50.238,69.06,37.46566
Case_12-03,avg,fixed_multilevel_tresholding,15,29.796,27.142,-8.90724,0.949,0.941,-0.84299,51.081,68.473,34.04788
Case_12-04,avg,fixed_multilevel_tresholding,15,29.475,25.903,-12.11874,0.943,0.916,-2.8632,48.971,66.96,36.73399
Case_12-05,avg,fixed_multilevel_tresholding,15,29.323,25.511,-13.00003,0.936,0.903,-3.52564,49.715,67.172,35.11415
Case_12-06,avg,fixed_multilevel_tresholding,15,29.17,25.801,-11.54954,0.939,0.914,-2.66241,50.272,68.068,35.39943
Case_12-07,avg,fixed_multilevel_tresholding,15,29.274,25.753,-12.02774,0.934,0.903,-3.31906,49.713,68.043,36.87164
Case_12-08,avg,fixed_multilevel_tresholding,15,29.306,26.008,-11.25367,0.941,0.918,-2.44421,49.925,68.069,36.34251
Case_12-09,avg,fixed_multilevel_tresholding,15,29.417,26.009,-11.58514,0.947,0.924,-2.42872,50.363,68.251,35.51814
Case_12-10,avg,fixed_multilevel_tresholding,15,29.454,26.701,-9.34678,0.948,0.94,-0.84388,48.496,67.282,38.73722
Case_12-11,avg,fixed_multilevel_tresholding,15,29.266,25.447,-13.04927,0.946,0.92,-2.74841,49.17,66.091,34.41326
Case_12-12,avg,fixed_multilevel_tresholding,15,29.517,26.262,-11.02754,0.937,0.918,-2.02775,52.013,68.383,31.4729
Case_13-01,avg,fixed_multilevel_tresholding,15,28.726,24.164,-15.88108,0.908,0.831,-8.48018,52.872,65.24,23.39234
Case_13-02,avg,fixed_multilevel_tresholding,15,28.691,23.725,-17.30856,0.902,0.801,-11.19734,52.279,63.269,21.02183
Case_13-03,avg,fixed_multilevel_tresholding,15,28.794,23.676,-17.77454,0.909,0.816,-10.23102,53.546,64.811,21.03799
Case_13-04,avg,fixed_multilevel_tresholding,15,29.457,25.884,-12.12954,0.904,0.858,-5.0885,52.394,66.912,27.70928
Case_13-05,avg,fixed_multilevel_tresholding,15,29.365,25.802,-12.13349,0.914,0.875,-4.26696,54.25,66.337,22.28018
Case_13-06,avg,fixed_multilevel_tresholding,15,28.797,23.986,-16.7066,0.914,0.834,-8.75274,52.829,64.323,21.75699
Case_13-07,avg,fixed_multilevel_tresholding,15,28.785,24.859,-13.63905,0.909,0.853,-6.16062,51.808,65.857,27.11743
Case_13-10,avg,fixed_multilevel_tresholding,15,28.906,24.515,-15.19062,0.898,0.827,-7.90646,52.083,67.039,28.7157
Case_13-11,avg,fixed_multilevel_tresholding,15,28.661,23.475,-18.09427,0.897,0.802,-10.59086,53.121,65.243,22.8196
Case_13-12,avg,fixed_multilevel_tresholding,15,29.065,23.635,-18.68226,0.905,0.807,-10.82873,51.186,59.983,17.18634
Case_14-01,avg,fixed_multilevel_tresholding,15,29.383,25.669,-12.63996,0.864,0.801,-7.29167,49.834,67.115,34.67713
Case_14-02,avg,fixed_multilevel_tresholding,15,29.007,25.131,-13.36229,0.844,0.759,-10.07109,50.732,66.734,31.54222
Case_14-03,avg,fixed_multilevel_tresholding,15,29.364,25.114,-14.4735,0.877,0.803,-8.43786,48.867,66.55,36.18597
Case_14-04,avg,fixed_multilevel_tresholding,15,29.512,25.141,-14.81092,0.926,0.878,-5.18359,49.07,66.776,36.08315
Case_14-05,avg,fixed_multilevel_tresholding,15,29.249,24.766,-15.32702,0.881,0.808,-8.28604,48.184,65.787,36.53287
Case_14-06,avg,fixed_multilevel_tresholding,15,29.267,25.049,-14.41214,0.906,0.848,-6.40177,48.649,66.076,35.82191
Case_14-07,avg,fixed_multilevel_tresholding,15,29.392,24.975,-15.0279,0.89,0.806,-9.4382,49.401,66.022,33.64507
Case_14-08,avg,fixed_multilevel_tresholding,15,29.538,25.329,-14.24944,0.903,0.842,-6.75526,49.287,67.119,36.17993
Case_14-09,avg,fixed_multilevel_tresholding,15,29.314,25.228,-13.93873,0.881,0.805,-8.62656,48.843,66.757,36.6767
Case_14-11,avg,fixed_multilevel_tresholding,15,29.225,25.009,-14.42601,0.862,0.772,-10.44084,50.943,65.972,29.5016
Case_14-12,avg,fixed_multilevel_tresholding,15,29.202,25.282,-13.42374,0.849,0.768,-9.54064,49.63,67.049,35.09772
Case_15-02,avg,fixed_multilevel_tresholding,15,30.401,27.134,-10.74636,0.905,0.885,-2.20994,53.742,68.642,27.72506
Case_15-03,avg,fixed_multilevel_tresholding,15,29.559,25.37,-14.17166,0.89,0.846,-4.94382,49.612,67.817,36.69475
Case_15-04,avg,fixed_multilevel_tresholding,15,30.192,27.838,-7.79677,0.904,0.893,-1.21681,57.317,67.772,18.24066
Case_15-05,avg,fixed_multilevel_tresholding,15,30.304,28.215,-6.89348,0.916,0.909,-0.76419,54.932,67.381,22.66256
Case_15-06,avg,fixed_multilevel_tresholding,15,30.312,28.358,-6.44629,0.92,0.914,-0.65217,52.247,66.53,27.33745
Case_15-07,avg,fixed_multilevel_tresholding,15,30.416,28.568,-6.07575,0.934,0.931,-0.3212,51.534,65.737,27.56045
Case_15-08,avg,fixed_multilevel_tresholding,15,30.289,28.063,-7.3492,0.926,0.917,-0.97192,56.897,65.964,15.93581
Case_15-09,avg,fixed_multilevel_tresholding,15,29.75,26.754,-10.07059,0.908,0.889,-2.09251,49.715,68.736,38.26008
