name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,17,28.506,23.646,-17.04904,0.929,0.904,-2.69107,44.206,59.845,35.37755
Case_1-02,avg,otsu,17,28.44,22.93,-19.37412,0.927,0.895,-3.452,45.46,57.114,25.63572
Case_1-03,avg,otsu,17,28.9,25.288,-12.49827,0.94,0.934,-0.6383,44.406,63.557,43.12705
Case_1-04,avg,otsu,17,28.842,24.968,-13.4318,0.944,0.936,-0.84746,44.233,63.638,43.86996
Case_1-05,avg,otsu,17,28.935,25.148,-13.08796,0.941,0.932,-0.95643,45.133,64.487,42.88215
Case_1-06,avg,otsu,17,28.466,23.251,-18.3201,0.939,0.909,-3.19489,45.905,59.237,29.04259
Case_1-07,avg,otsu,17,28.853,24.316,-15.72453,0.95,0.927,-2.42105,45.998,64.871,41.03004
Case_1-08,avg,otsu,17,29.023,25.298,-12.83465,0.935,0.928,-0.74866,46.057,63.68,38.26346
Case_10-01,avg,otsu,17,28.265,22.299,-21.10738,0.909,0.79,-13.09131,52.368,66.515,27.01459
Case_10-02,avg,otsu,17,28.705,22.151,-22.83226,0.916,0.795,-13.20961,51.719,65.408,26.46803
Case_10-03,avg,otsu,17,28.034,22.159,-20.9567,0.902,0.783,-13.1929,51.503,66.384,28.89346
Case_10-04,avg,otsu,17,28.155,21.668,-23.04031,0.913,0.787,-13.80066,51.346,64.792,26.18704
Case_10-05,avg,otsu,17,29.55,24.823,-15.99662,0.922,0.872,-5.42299,53.272,65.953,23.80425
Case_10-06,avg,otsu,17,28.622,22.202,-22.4303,0.918,0.809,-11.87364,52.41,64.386,22.8506
Case_10-07,avg,otsu,17,28.615,22.276,-22.15272,0.922,0.813,-11.82213,52.779,66.155,25.34341
Case_10-08,avg,otsu,17,28.629,22.337,-21.97771,0.921,0.814,-11.61781,52.79,66.202,25.40633
Case_10-09,avg,otsu,17,28.283,22.589,-20.13223,0.918,0.819,-10.78431,51.182,66.584,30.09261
Case_10-10,avg,otsu,17,28.849,24.005,-16.79088,0.901,0.817,-9.32297,52.489,67.754,29.08228
Case_11-07,avg,otsu,17,29.139,23.706,-18.64511,0.902,0.809,-10.31042,61.466,56.043,-8.82276
Case_11-09,avg,otsu,17,31.972,28.985,-9.34255,0.863,0.859,-0.4635,52.452,48.15,-8.20178
Case_11-10,avg,otsu,17,30.632,26.765,-12.62405,0.871,0.841,-3.44432,44.608,56.601,26.88531
Case_11-11,avg,otsu,17,30.611,26.547,-13.27627,0.868,0.834,-3.91705,43.352,55.99,29.15206
Case_11-12,avg,otsu,17,30.484,26.315,-13.67603,0.869,0.832,-4.25777,41.542,55.573,33.77546
Case_11-13,avg,otsu,17,32.161,28.235,-12.20733,0.875,0.851,-2.74286,50.534,48.916,-3.2018
Case_11-15,avg,otsu,17,29.593,25.568,-13.60119,0.909,0.869,-4.40044,58.655,54.854,-6.48027
Case_12-01,avg,otsu,17,29.991,26.869,-10.40979,0.949,0.939,-1.05374,51.284,68.416,33.40613
Case_12-02,avg,otsu,17,29.884,26.822,-10.24629,0.951,0.941,-1.05152,50.238,67.758,34.874
Case_12-03,avg,otsu,17,29.796,26.646,-10.57189,0.949,0.939,-1.05374,51.081,68.012,33.1454
