name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,multilevel_tresholding,13,33.476,25.837,-22.81933,0.972,0.935,-3.80658,52.435,55.162,5.20072
Case_1-02,avg,multilevel_tresholding,13,33.482,25.327,-24.35637,0.972,0.933,-4.01235,52.75,55.835,5.84834
Case_1-03,avg,multilevel_tresholding,13,33.98,27.592,-18.79929,0.977,0.957,-2.04708,49.548,61.429,23.97877
Case_1-04,avg,multilevel_tresholding,13,33.947,27.371,-19.37137,0.979,0.959,-2.0429,52.916,61.591,16.39391
Case_1-05,avg,multilevel_tresholding,13,33.969,27.362,-19.45009,0.978,0.954,-2.45399,49.426,62.265,25.97621
Case_1-06,avg,multilevel_tresholding,13,33.434,25.614,-23.38936,0.977,0.94,-3.7871,53.791,53.565,-0.42014
Case_1-07,avg,multilevel_tresholding,13,33.741,26.58,-21.22344,0.981,0.95,-3.16004,52.955,57.77,9.09263
Case_1-08,avg,multilevel_tresholding,13,34.152,27.65,-19.03842,0.975,0.953,-2.25641,49.907,60.608,21.44188
Case_10-01,avg,multilevel_tresholding,13,32.913,23.747,-27.84918,0.964,0.829,-14.00415,41.999,57.355,36.56278
Case_10-02,avg,multilevel_tresholding,13,33.662,23.853,-29.13968,0.969,0.841,-13.20949,44.972,54.313,20.7707
Case_10-03,avg,multilevel_tresholding,13,32.564,23.56,-27.65017,0.961,0.82,-14.67222,41.347,57.839,39.88681
Case_10-04,avg,multilevel_tresholding,13,32.984,23.219,-29.60526,0.967,0.829,-14.27094,42.219,55.373,31.15659
Case_10-05,avg,multilevel_tresholding,13,34.767,26.67,-23.28933,0.972,0.904,-6.99588,50.273,61.939,23.2053
Case_10-06,avg,multilevel_tresholding,13,33.637,23.969,-28.74216,0.97,0.853,-12.06186,45.244,53.055,17.26417
Case_10-07,avg,multilevel_tresholding,13,33.555,23.884,-28.82134,0.971,0.853,-12.15242,43.705,56.84,30.05377
Case_10-08,avg,multilevel_tresholding,13,33.535,23.955,-28.56717,0.971,0.854,-12.04943,43.72,56.837,30.00229
Case_10-09,avg,multilevel_tresholding,13,33.125,24.097,-27.25434,0.969,0.853,-11.9711,44.105,58.434,32.48838
Case_10-10,avg,multilevel_tresholding,13,33.951,25.497,-24.90059,0.965,0.855,-11.39896,42.055,61.777,46.89573
Case_11-07,avg,multilevel_tresholding,13,34.089,25.247,-25.93799,0.963,0.852,-11.52648,54.242,57.304,5.64507
Case_11-09,avg,multilevel_tresholding,13,38.547,31.678,-17.8198,0.965,0.941,-2.48705,48.089,50.437,4.88261
Case_11-10,avg,multilevel_tresholding,13,36.241,28.657,-20.92657,0.964,0.909,-5.70539,39.272,55.904,42.35078
Case_11-11,avg,multilevel_tresholding,13,36.246,28.503,-21.36236,0.965,0.907,-6.01036,39.729,55.744,40.3106
Case_11-12,avg,multilevel_tresholding,13,35.801,28.099,-21.51337,0.962,0.9,-6.44491,45.986,54.541,18.60349
Case_11-13,avg,multilevel_tresholding,13,37.679,30.139,-20.01115,0.966,0.924,-4.34783,45.616,54.463,19.39451
Case_11-15,avg,multilevel_tresholding,13,34.824,27.196,-21.90443,0.971,0.91,-6.28218,54.989,56.05,1.92948
Case_12-01,avg,multilevel_tresholding,13,34.878,28.816,-17.38058,0.98,0.956,-2.44898,51.159,65.367,27.77224
Case_12-02,avg,multilevel_tresholding,13,34.763,28.745,-17.31151,0.981,0.957,-2.44648,53.067,66.744,25.77308
Case_12-03,avg,multilevel_tresholding,13,34.647,28.604,-17.44163,0.98,0.956,-2.44898,52.704,63.369,20.23566
Case_12-04,avg,multilevel_tresholding,13,34.72,27.283,-21.41993,0.98,0.935,-4.59184,52.736,60.447,14.62189
Case_12-05,avg,multilevel_tresholding,13,34.393,26.785,-22.12078,0.977,0.922,-5.62948,50.315,59.949,19.14737
Case_12-06,avg,multilevel_tresholding,13,34.131,27.041,-20.7729,0.977,0.931,-4.70829,49.589,62.316,25.66497
Case_12-07,avg,multilevel_tresholding,13,34.275,26.931,-21.4267,0.976,0.921,-5.63525,49.935,62.652,25.46711
Case_12-08,avg,multilevel_tresholding,13,34.359,27.299,-20.54775,0.979,0.935,-4.49438,51.181,62.756,22.61581
Case_12-09,avg,multilevel_tresholding,13,34.458,27.28,-20.83116,0.98,0.94,-4.08163,51.664,63.165,22.26115
Case_12-10,avg,multilevel_tresholding,13,34.418,28.213,-18.02836,0.98,0.956,-2.44898,52.146,61.941,18.7838
Case_12-11,avg,multilevel_tresholding,13,34.365,26.765,-22.11552,0.98,0.937,-4.38776,51.479,64.02,24.36139
Case_12-12,avg,multilevel_tresholding,13,34.446,27.544,-20.03716,0.976,0.936,-4.09836,52.459,64.424,22.80829
Case_13-01,avg,multilevel_tresholding,13,33.573,25.146,-25.10053,0.964,0.859,-10.89212,42.426,60.063,41.57121
Case_13-02,avg,multilevel_tresholding,13,33.589,24.663,-26.57418,0.962,0.83,-13.72141,43.447,58.916,35.6043
Case_13-03,avg,multilevel_tresholding,13,33.767,24.689,-26.88424,0.965,0.845,-12.43523,43.664,59.267,35.73424
Case_13-04,avg,multilevel_tresholding,13,34.317,26.958,-21.44418,0.962,0.884,-8.10811,48.349,65.943,36.38958
Case_13-05,avg,multilevel_tresholding,13,34.043,26.954,-20.82366,0.964,0.898,-6.84647,45.51,64.426,41.56449
Case_13-06,avg,multilevel_tresholding,13,33.804,24.978,-26.10934,0.968,0.86,-11.15702,42.93,59.481,38.55346
Case_13-07,avg,multilevel_tresholding,13,33.52,25.855,-22.86695,0.964,0.877,-9.0249,42.153,61.601,46.13669
Case_13-10,avg,multilevel_tresholding,13,33.765,25.561,-24.29735,0.959,0.856,-10.74035,44.046,62.376,41.61558
Case_13-11,avg,multilevel_tresholding,13,33.582,24.492,-27.06807,0.96,0.835,-13.02083,43.169,60.4,39.91522
Case_13-12,avg,multilevel_tresholding,13,34.233,24.762,-27.66629,0.965,0.842,-12.74611,52.101,61.141,17.35091
Case_14-01,avg,multilevel_tresholding,13,34.442,27.053,-21.45346,0.947,0.841,-11.19324,51.727,62.139,20.12875
Case_14-02,avg,multilevel_tresholding,13,34.248,26.437,-22.80717,0.941,0.8,-14.98406,47.501,61.521,29.51517
Case_14-03,avg,multilevel_tresholding,13,34.341,26.39,-23.15308,0.951,0.835,-12.19769,51.001,60.532,18.68787
Case_14-04,avg,multilevel_tresholding,13,34.808,26.52,-23.81062,0.975,0.907,-6.97436,52.195,61.31,17.46336
Case_14-05,avg,multilevel_tresholding,13,34.22,26.095,-23.74342,0.952,0.84,-11.76471,52.51,59.498,13.30794
Case_14-06,avg,multilevel_tresholding,13,34.321,26.314,-23.32974,0.966,0.881,-8.79917,51.939,60.126,15.76272
Case_14-07,avg,multilevel_tresholding,13,34.169,26.122,-23.55059,0.955,0.834,-12.67016,50.214,60.828,21.13753
Case_14-08,avg,multilevel_tresholding,13,34.392,26.601,-22.65352,0.961,0.869,-9.57336,49.731,61.303,23.26919
Case_14-09,avg,multilevel_tresholding,13,34.312,26.507,-22.74714,0.954,0.837,-12.26415,48.358,61.428,27.02759
Case_14-11,avg,multilevel_tresholding,13,34.348,26.238,-23.61127,0.947,0.807,-14.78353,46.723,61.279,31.15382
Case_14-12,avg,multilevel_tresholding,13,34.551,26.614,-22.97184,0.945,0.81,-14.28571,50.616,62.017,22.5245
Case_15-02,avg,multilevel_tresholding,13,35.337,28.74,-18.66882,0.961,0.916,-4.68262,48.991,64.592,31.84462
