name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,19,33.476,22.941,-31.47031,0.972,0.904,-6.99588,52.435,60.235,14.87556
Case_1-02,avg,otsu,19,33.482,22.12,-33.93465,0.972,0.893,-8.12757,52.75,59.123,12.08152
Case_1-03,avg,otsu,19,33.98,24.65,-27.45733,0.977,0.937,-4.09417,49.548,64.513,30.20304
Case_1-04,avg,otsu,19,33.947,24.291,-28.44434,0.979,0.936,-4.39224,52.916,64.551,21.98768
Case_1-05,avg,otsu,19,33.969,24.518,-27.82243,0.978,0.934,-4.49898,49.426,65.708,32.94218
Case_1-06,avg,otsu,19,33.434,22.447,-32.86176,0.977,0.907,-7.16479,53.791,59.574,10.75087
Case_1-07,avg,otsu,19,33.741,23.608,-30.03171,0.981,0.928,-5.40265,52.955,66.716,25.98621
Case_1-08,avg,otsu,19,34.152,24.667,-27.7729,0.975,0.931,-4.51282,49.907,64.53,29.3005
Case_10-01,avg,otsu,19,32.913,21.898,-33.46702,0.964,0.794,-17.63485,41.999,67.371,60.41096
Case_10-02,avg,otsu,19,33.662,21.655,-35.6693,0.969,0.796,-17.85346,44.972,67.563,50.23348
Case_10-03,avg,otsu,19,32.564,21.767,-33.15625,0.961,0.786,-18.2102,41.347,66.398,60.58723
Case_10-04,avg,otsu,19,32.984,21.207,-35.70519,0.967,0.789,-18.40745,42.219,66.277,56.98382
Case_10-05,avg,otsu,19,34.767,24.387,-29.8559,0.972,0.877,-9.77366,50.273,66.834,32.94214
Case_10-06,avg,otsu,19,33.637,21.641,-35.66311,0.97,0.809,-16.59794,45.244,65.738,45.29661
Case_10-07,avg,otsu,19,33.555,21.826,-34.95455,0.971,0.815,-16.06591,43.705,67.038,53.38748
Case_10-08,avg,otsu,19,33.535,21.885,-34.73982,0.971,0.816,-15.96292,43.72,67.076,53.42177
Case_10-09,avg,otsu,19,33.125,22.178,-33.04755,0.969,0.821,-15.27348,44.105,67.353,52.71058
Case_10-10,avg,otsu,19,33.951,23.703,-30.18468,0.965,0.829,-14.09326,42.055,65.303,55.27999
Case_11-07,avg,otsu,19,34.089,23.383,-31.40603,0.963,0.819,-14.95327,54.242,57.829,6.61296
Case_11-09,avg,otsu,19,38.547,29.458,-23.57901,0.965,0.929,-3.73057,48.089,51.03,6.11574
Case_11-10,avg,otsu,19,36.241,26.784,-26.09475,0.964,0.892,-7.46888,39.272,56.754,44.51518
Case_11-11,avg,otsu,19,36.246,26.512,-26.85538,0.965,0.888,-7.97927,39.729,57.333,44.3102
Case_11-12,avg,otsu,19,35.801,26.131,-27.01042,0.962,0.88,-8.52391,45.986,56.432,22.71561
Case_11-13,avg,otsu,19,37.679,28.241,-25.04844,0.966,0.91,-5.7971,45.616,54.754,20.03244
Case_11-15,avg,otsu,19,34.824,25.351,-27.2025,0.971,0.892,-8.13594,54.989,56.889,3.45524
Case_12-01,avg,otsu,19,34.878,26.398,-24.31332,0.98,0.943,-3.77551,51.159,68.324,33.55226
Case_12-02,avg,otsu,19,34.763,26.37,-24.14349,0.981,0.945,-3.66972,53.067,67.617,27.41817
Case_12-03,avg,otsu,19,34.647,26.118,-24.61685,0.98,0.942,-3.87755,52.704,68.476,29.92562
Case_12-04,avg,otsu,19,34.72,24.864,-28.3871,0.98,0.916,-6.53061,52.736,68.889,30.62993
Case_12-05,avg,otsu,19,34.393,24.528,-28.68316,0.977,0.903,-7.57421,50.315,69.197,37.52758
Case_12-06,avg,otsu,19,34.131,24.834,-27.23917,0.977,0.915,-6.34596,49.589,68.55,38.2363
Case_12-07,avg,otsu,19,34.275,24.766,-27.74325,0.976,0.903,-7.47951,49.935,69.231,38.64223
Case_12-08,avg,otsu,19,34.359,25.085,-26.99147,0.979,0.919,-6.1287,51.181,69.1,35.01104
Case_12-09,avg,otsu,19,34.458,25.079,-27.21864,0.98,0.924,-5.71429,51.664,68.901,33.36366
Case_12-10,avg,otsu,19,34.418,25.607,-25.59998,0.98,0.941,-3.97959,52.146,69.518,33.31416
Case_12-11,avg,otsu,19,34.365,24.393,-29.0179,0.98,0.919,-6.22449,51.479,68.825,33.69529
Case_12-12,avg,otsu,19,34.446,25.251,-26.69396,0.976,0.92,-5.7377,52.459,69.126,31.77148
Case_13-01,avg,otsu,19,33.573,23.323,-30.53049,0.964,0.832,-13.69295,42.426,66.093,55.78419
Case_13-02,avg,otsu,19,33.589,22.942,-31.69788,0.962,0.799,-16.94387,43.447,65.931,51.75041
Case_13-03,avg,otsu,19,33.767,22.791,-32.50511,0.965,0.813,-15.7513,43.664,65.329,49.61753
Case_13-04,avg,otsu,19,34.317,25.149,-26.71562,0.962,0.863,-10.29106,48.349,61.757,27.7317
Case_13-05,avg,otsu,19,34.043,24.932,-26.76321,0.964,0.877,-9.0249,45.51,61.006,34.04966
Case_13-06,avg,otsu,19,33.804,23.123,-31.59685,0.968,0.832,-14.04959,42.93,66.033,53.81551
Case_13-07,avg,otsu,19,33.52,24.057,-28.23091,0.964,0.856,-11.20332,42.153,64.112,52.09356
Case_13-10,avg,otsu,19,33.765,23.614,-30.06368,0.959,0.827,-13.76434,44.046,66.459,50.88544
Case_13-11,avg,otsu,19,33.582,22.516,-32.95218,0.96,0.799,-16.77083,43.169,67.124,55.49121
Case_13-12,avg,otsu,19,34.233,22.568,-34.07531,0.965,0.799,-17.20207,52.101,64.135,23.09745
Case_14-01,avg,otsu,19,34.442,24.569,-28.66558,0.947,0.792,-16.36748,51.727,66.351,28.2715
Case_14-02,avg,otsu,19,34.248,24.142,-29.50829,0.941,0.749,-20.40383,47.501,66.285,39.54443
Case_14-03,avg,otsu,19,34.341,23.975,-30.18549,0.951,0.79,-16.92955,51.001,68.615,34.53658
Case_14-04,avg,otsu,19,34.808,24.143,-30.63951,0.975,0.882,-9.53846,52.195,67.857,30.00671
Case_14-05,avg,otsu,19,34.22,23.513,-31.28872,0.952,0.791,-16.91176,52.51,68.293,30.05713
Case_14-06,avg,otsu,19,34.321,23.915,-30.31963,0.966,0.847,-12.31884,51.939,68.489,31.8643
Case_14-07,avg,otsu,19,34.169,23.904,-30.04185,0.955,0.793,-16.96335,50.214,66.392,32.21811
Case_14-08,avg,otsu,19,34.392,24.18,-29.69295,0.961,0.833,-13.31946,49.731,67.811,36.35559
Case_14-09,avg,otsu,19,34.312,24.179,-29.53194,0.954,0.795,-16.66667,48.358,66.997,38.54378
Case_14-11,avg,otsu,19,34.348,23.964,-30.23175,0.947,0.758,-19.95776,46.723,66.278,41.85305
Case_14-12,avg,otsu,19,34.551,24.278,-29.73286,0.945,0.761,-19.4709,50.616,66.955,32.28031
Case_15-02,avg,otsu,19,35.337,25.89,-26.73402,0.961,0.884,-8.01249,48.991,68.436,39.69096
Case_15-03,avg,otsu,19,34.431,24.101,-30.00203,0.956,0.842,-11.92469,53.402,69.25,29.67679
Case_15-04,avg,otsu,19,35.197,26.972,-23.36847,0.962,0.901,-6.34096,46.055,63.246,37.32711
Case_15-05,avg,otsu,19,35.459,27.314,-22.97019,0.969,0.917,-5.36636,46.783,62.202,32.95855
Case_15-06,avg,otsu,19,35.426,27.504,-22.36211,0.97,0.921,-5.05155,48.331,62.321,28.94622
Case_15-07,avg,otsu,19,35.542,27.629,-22.2638,0.975,0.936,-4,50.427,61.984,22.91828
