name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,otsu,0.4,13,33.476,31.786,-5.04839,0.972,0.966,-0.61728,52.435,48.97,-6.60818
Case_1-01,gauss,otsu,0.7,13,33.476,32.618,-2.56303,0.972,0.972,0,52.435,53.009,1.09469
Case_1-01,gauss,otsu,1.1,13,33.476,33.316,-0.47795,0.972,0.976,0.41152,52.435,57.259,9.19996
Case_1-01,gauss,otsu,1.4,13,33.476,33.348,-0.38236,0.972,0.977,0.5144,52.435,59.108,12.72623
Case_1-01,gauss,otsu,1.7,13,33.476,32.9,-1.72064,0.972,0.976,0.41152,52.435,59.248,12.99323
Case_1-01,gauss,otsu,2,13,33.476,32.133,-4.01183,0.972,0.974,0.20576,52.435,57.594,9.83885
Case_1-01,gauss,otsu,2.3,13,33.476,31.264,-6.60772,0.972,0.971,-0.10288,52.435,55.06,5.0062
Case_1-01,gauss,otsu,2.6,13,33.476,30.449,-9.0423,0.972,0.968,-0.41152,52.435,52.904,0.89444
Case_1-01,gauss,otsu,2.9,13,33.476,29.752,-11.12439,0.972,0.964,-0.82305,52.435,51.606,-1.58101
Case_1-02,gauss,otsu,0.4,13,33.482,31.543,-5.79117,0.972,0.965,-0.72016,52.75,54.375,3.08057
Case_1-02,gauss,otsu,0.7,13,33.482,32.343,-3.40183,0.972,0.971,-0.10288,52.75,55.577,5.35924
Case_1-02,gauss,otsu,1.1,13,33.482,33.108,-1.11702,0.972,0.975,0.30864,52.75,58.097,10.13649
Case_1-02,gauss,otsu,1.4,13,33.482,33.273,-0.62422,0.972,0.977,0.5144,52.75,58.798,11.4654
Case_1-02,gauss,otsu,1.7,13,33.482,32.937,-1.62774,0.972,0.977,0.5144,52.75,58.722,11.32133
Case_1-02,gauss,otsu,2,13,33.482,32.197,-3.83788,0.972,0.975,0.30864,52.75,57.935,9.82938
Case_1-02,gauss,otsu,2.3,13,33.482,31.29,-6.5468,0.972,0.973,0.10288,52.75,55.915,6
Case_1-02,gauss,otsu,2.6,13,33.482,30.411,-9.17209,0.972,0.969,-0.30864,52.75,53.735,1.8673
Case_1-02,gauss,otsu,2.9,13,33.482,29.648,-11.45093,0.972,0.966,-0.61728,52.75,52.326,-0.80379
Case_1-03,gauss,otsu,0.4,13,33.98,32.543,-4.22896,0.977,0.973,-0.40942,49.548,49.576,0.05651
Case_1-03,gauss,otsu,0.7,13,33.98,33.351,-1.85109,0.977,0.977,0,49.548,52.021,4.99112
Case_1-03,gauss,otsu,1.1,13,33.98,34.005,0.07357,0.977,0.981,0.40942,49.548,52.936,6.83781
Case_1-03,gauss,otsu,1.4,13,33.98,34.105,0.36786,0.977,0.982,0.51177,49.548,54.038,9.06192
Case_1-03,gauss,otsu,1.7,13,33.98,33.809,-0.50324,0.977,0.982,0.51177,49.548,54.016,9.01752
Case_1-03,gauss,otsu,2,13,33.98,33.22,-2.23661,0.977,0.98,0.30706,49.548,53.409,7.79244
Case_1-03,gauss,otsu,2.3,13,33.98,32.511,-4.32313,0.977,0.979,0.20471,49.548,53.302,7.57649
Case_1-03,gauss,otsu,2.6,13,33.98,31.817,-6.36551,0.977,0.977,0,49.548,54.006,8.99734
Case_1-03,gauss,otsu,2.9,13,33.98,31.206,-8.16363,0.977,0.975,-0.20471,49.548,55.107,11.21942
Case_1-04,gauss,otsu,0.4,13,33.947,32.558,-4.09167,0.979,0.974,-0.51073,52.916,53.398,0.91088
Case_1-04,gauss,otsu,0.7,13,33.947,33.337,-1.79692,0.979,0.979,0,52.916,55.205,4.32572
Case_1-04,gauss,otsu,1.1,13,33.947,34.027,0.23566,0.979,0.982,0.30644,52.916,55.765,5.384
Case_1-04,gauss,otsu,1.4,13,33.947,34.209,0.77179,0.979,0.983,0.40858,52.916,56.076,5.97173
Case_1-04,gauss,otsu,1.7,13,33.947,33.988,0.12078,0.979,0.983,0.40858,52.916,55.339,4.57896
Case_1-04,gauss,otsu,2,13,33.947,33.429,-1.52591,0.979,0.983,0.40858,52.916,54.326,2.6646
Case_1-04,gauss,otsu,2.3,13,33.947,32.701,-3.67043,0.979,0.981,0.20429,52.916,54.041,2.12601
Case_1-04,gauss,otsu,2.6,13,33.947,31.966,-5.83557,0.979,0.98,0.10215,52.916,54.852,3.65863
Case_1-04,gauss,otsu,2.9,13,33.947,31.31,-7.76799,0.979,0.978,-0.10215,52.916,56.065,5.95094
Case_1-05,gauss,otsu,0.4,13,33.969,32.54,-4.20678,0.978,0.973,-0.51125,49.426,48.754,-1.35961
Case_1-05,gauss,otsu,0.7,13,33.969,33.358,-1.7987,0.978,0.978,0,49.426,50.85,2.88107
Case_1-05,gauss,otsu,1.1,13,33.969,34.009,0.11775,0.978,0.981,0.30675,49.426,52.493,6.20524
Case_1-05,gauss,otsu,1.4,13,33.969,34.073,0.30616,0.978,0.982,0.409,49.426,53.97,9.19354
Case_1-05,gauss,otsu,1.7,13,33.969,33.726,-0.71536,0.978,0.981,0.30675,49.426,54.186,9.63056
Case_1-05,gauss,otsu,2,13,33.969,33.093,-2.57882,0.978,0.98,0.2045,49.426,53.793,8.83543
Case_1-05,gauss,otsu,2.3,13,33.969,32.352,-4.76022,0.978,0.978,0,49.426,53.862,8.97503
Case_1-05,gauss,otsu,2.6,13,33.969,31.637,-6.86508,0.978,0.976,-0.2045,49.426,54.653,10.57541
Case_1-05,gauss,otsu,2.9,13,33.969,31.015,-8.69616,0.978,0.974,-0.409,49.426,55.647,12.58649
Case_1-06,gauss,otsu,0.4,13,33.434,31.679,-5.24915,0.977,0.97,-0.71648,53.791,51.77,-3.75713
Case_1-06,gauss,otsu,0.7,13,33.434,32.508,-2.76964,0.977,0.976,-0.10235,53.791,56.245,4.5621
Case_1-06,gauss,otsu,1.1,13,33.434,33.237,-0.58922,0.977,0.979,0.20471,53.791,56.624,5.26668
Case_1-06,gauss,otsu,1.4,13,33.434,33.351,-0.24825,0.977,0.98,0.30706,53.791,56.402,4.85397
Case_1-06,gauss,otsu,1.7,13,33.434,32.984,-1.34594,0.977,0.98,0.30706,53.791,57.609,7.09784
Case_1-06,gauss,otsu,2,13,33.434,32.251,-3.53831,0.977,0.978,0.10235,53.791,58.297,8.37687
Case_1-06,gauss,otsu,2.3,13,33.434,31.372,-6.16737,0.977,0.975,-0.20471,53.791,56.192,4.46357
Case_1-06,gauss,otsu,2.6,13,33.434,30.523,-8.70671,0.977,0.972,-0.51177,53.791,53.496,-0.54842
Case_1-06,gauss,otsu,2.9,13,33.434,29.787,-10.90806,0.977,0.969,-0.81883,53.791,52.181,-2.99307
Case_1-07,gauss,otsu,0.4,13,33.741,32.287,-4.3093,0.981,0.976,-0.50968,52.955,48.463,-8.48267
Case_1-07,gauss,otsu,0.7,13,33.741,33.133,-1.80196,0.981,0.98,-0.10194,52.955,54.501,2.91946
Case_1-07,gauss,otsu,1.1,13,33.741,33.819,0.23117,0.981,0.983,0.20387,52.955,56.724,7.11736
Case_1-07,gauss,otsu,1.4,13,33.741,33.864,0.36454,0.981,0.983,0.20387,52.955,58.614,10.68643
Case_1-07,gauss,otsu,1.7,13,33.741,33.449,-0.86542,0.981,0.983,0.20387,52.955,58.764,10.96969
Case_1-07,gauss,otsu,2,13,33.741,32.72,-3.02599,0.981,0.981,0,52.955,56.729,7.12681
Case_1-07,gauss,otsu,2.3,13,33.741,31.884,-5.50369,0.981,0.978,-0.30581,52.955,54.884,3.64272
Case_1-07,gauss,otsu,2.6,13,33.741,31.091,-7.85395,0.981,0.975,-0.61162,52.955,54.319,2.57577
Case_1-07,gauss,otsu,2.9,13,33.741,30.408,-9.87819,0.981,0.973,-0.81549,52.955,55.291,4.41129
Case_1-08,gauss,otsu,0.4,13,34.152,32.656,-4.38042,0.975,0.97,-0.51282,49.907,50.501,1.19021
Case_1-08,gauss,otsu,0.7,13,34.152,33.449,-2.05844,0.975,0.975,0,49.907,53.502,7.2034
Case_1-08,gauss,otsu,1.1,13,34.152,34.12,-0.0937,0.975,0.979,0.41026,49.907,54.03,8.26137
Case_1-08,gauss,otsu,1.4,13,34.152,34.249,0.28402,0.975,0.98,0.51282,49.907,54.804,9.81225
Case_1-08,gauss,otsu,1.7,13,34.152,33.979,-0.50656,0.975,0.98,0.51282,49.907,54.571,9.34538
Case_1-08,gauss,otsu,2,13,34.152,33.403,-2.19314,0.975,0.979,0.41026,49.907,53.763,7.72637
Case_1-08,gauss,otsu,2.3,13,34.152,32.692,-4.27501,0.975,0.977,0.20513,49.907,53.249,6.69646
Case_1-08,gauss,otsu,2.6,13,34.152,31.989,-6.33345,0.975,0.975,0,49.907,53.455,7.10922
