name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,multilevel_tresholding,0.4,9,37.295,36.357,-2.51508,0.988,0.987,-0.10121,51.378,49.581,-3.49761
Case_1-01,gauss,multilevel_tresholding,0.7,9,37.295,34.637,-7.12696,0.988,0.986,-0.20243,51.378,53.725,4.5681
Case_1-01,gauss,multilevel_tresholding,1.1,9,37.295,34.837,-6.5907,0.988,0.986,-0.20243,51.378,55.26,7.55576
Case_1-01,gauss,multilevel_tresholding,1.4,9,37.295,34.631,-7.14305,0.988,0.986,-0.20243,51.378,56.537,10.04126
Case_1-01,gauss,multilevel_tresholding,1.7,9,37.295,33.906,-9.08701,0.988,0.983,-0.50607,51.378,56.421,9.81549
Case_1-01,gauss,multilevel_tresholding,2,9,37.295,33.002,-11.51093,0.988,0.981,-0.7085,51.378,55.406,7.83993
Case_1-01,gauss,multilevel_tresholding,2.3,9,37.295,32.245,-13.54069,0.988,0.978,-1.01215,51.378,54.368,5.81961
Case_1-01,gauss,multilevel_tresholding,2.6,9,37.295,31.667,-15.09049,0.988,0.976,-1.21457,51.378,53.629,4.38125
Case_1-01,gauss,multilevel_tresholding,2.9,9,37.295,31.234,-16.25151,0.988,0.974,-1.417,51.378,53.281,3.70392
Case_1-02,gauss,multilevel_tresholding,0.4,9,37.441,36.56,-2.35304,0.988,0.987,-0.10121,54.693,54.916,0.40773
Case_1-02,gauss,multilevel_tresholding,0.7,9,37.441,35.314,-5.68094,0.988,0.987,-0.10121,54.693,54.637,-0.10239
Case_1-02,gauss,multilevel_tresholding,1.1,9,37.441,35.558,-5.02925,0.988,0.988,0,54.693,57.334,4.82877
Case_1-02,gauss,multilevel_tresholding,1.4,9,37.441,35.266,-5.80914,0.988,0.987,-0.10121,54.693,58.129,6.28234
Case_1-02,gauss,multilevel_tresholding,1.7,9,37.441,34.259,-8.4987,0.988,0.985,-0.30364,54.693,56.906,4.04622
Case_1-02,gauss,multilevel_tresholding,2,9,37.441,33.213,-11.29243,0.988,0.983,-0.50607,54.693,55.369,1.23599
Case_1-02,gauss,multilevel_tresholding,2.3,9,37.441,32.362,-13.56534,0.988,0.98,-0.80972,54.693,54.209,-0.88494
Case_1-02,gauss,multilevel_tresholding,2.6,9,37.441,31.725,-15.26669,0.988,0.978,-1.01215,54.693,53.299,-2.54877
Case_1-02,gauss,multilevel_tresholding,2.9,9,37.441,31.253,-16.52734,0.988,0.976,-1.21457,54.693,52.714,-3.61838
Case_1-03,gauss,multilevel_tresholding,0.4,9,37.908,37.316,-1.56168,0.99,0.989,-0.10101,51.283,49.598,-3.28569
Case_1-03,gauss,multilevel_tresholding,0.7,9,37.908,35.983,-5.07808,0.99,0.989,-0.10101,51.283,54.962,7.17392
Case_1-03,gauss,multilevel_tresholding,1.1,9,37.908,35.803,-5.55292,0.99,0.989,-0.10101,51.283,56.015,9.22723
Case_1-03,gauss,multilevel_tresholding,1.4,9,37.908,35.587,-6.12272,0.99,0.989,-0.10101,51.283,56.502,10.17686
Case_1-03,gauss,multilevel_tresholding,1.7,9,37.908,35.028,-7.59734,0.99,0.988,-0.20202,51.283,56.918,10.98805
Case_1-03,gauss,multilevel_tresholding,2,9,37.908,34.267,-9.60483,0.99,0.986,-0.40404,51.283,57.437,12.00008
Case_1-03,gauss,multilevel_tresholding,2.3,9,37.908,33.599,-11.36699,0.99,0.984,-0.60606,51.283,57.888,12.87951
Case_1-03,gauss,multilevel_tresholding,2.6,9,37.908,33.076,-12.74665,0.99,0.983,-0.70707,51.283,57.946,12.99261
Case_1-03,gauss,multilevel_tresholding,2.9,9,37.908,32.678,-13.79656,0.99,0.982,-0.80808,51.283,57.629,12.37447
Case_1-04,gauss,multilevel_tresholding,0.4,9,37.908,37.374,-1.40867,0.991,0.99,-0.10091,54.941,54.518,-0.76992
Case_1-04,gauss,multilevel_tresholding,0.7,9,37.908,36.365,-4.07038,0.991,0.991,0,54.941,56.259,2.39894
Case_1-04,gauss,multilevel_tresholding,1.1,9,37.908,36.271,-4.31835,0.991,0.991,0,54.941,56.386,2.63009
Case_1-04,gauss,multilevel_tresholding,1.4,9,37.908,36.093,-4.78791,0.991,0.991,0,54.941,56.67,3.14701
Case_1-04,gauss,multilevel_tresholding,1.7,9,37.908,35.446,-6.49467,0.991,0.99,-0.10091,54.941,56.939,3.63663
Case_1-04,gauss,multilevel_tresholding,2,9,37.908,34.624,-8.66308,0.991,0.988,-0.30272,54.941,57.463,4.59038
Case_1-04,gauss,multilevel_tresholding,2.3,9,37.908,33.905,-10.55978,0.991,0.987,-0.40363,54.941,57.98,5.53139
Case_1-04,gauss,multilevel_tresholding,2.6,9,37.908,33.356,-12.00802,0.991,0.985,-0.60545,54.941,58.104,5.75708
Case_1-04,gauss,multilevel_tresholding,2.9,9,37.908,32.939,-13.10805,0.991,0.984,-0.70636,54.941,57.969,5.51137
Case_1-05,gauss,multilevel_tresholding,0.4,9,37.837,37.35,-1.2871,0.99,0.99,0,50.689,48.02,-5.26544
Case_1-05,gauss,multilevel_tresholding,0.7,9,37.837,36.578,-3.32743,0.99,0.99,0,50.689,53.438,5.42327
Case_1-05,gauss,multilevel_tresholding,1.1,9,37.837,36.266,-4.15202,0.99,0.99,0,50.689,55.614,9.71611
Case_1-05,gauss,multilevel_tresholding,1.4,9,37.837,35.851,-5.24883,0.99,0.989,-0.10101,50.689,56.398,11.2628
Case_1-05,gauss,multilevel_tresholding,1.7,9,37.837,34.982,-7.54552,0.99,0.987,-0.30303,50.689,57.187,12.81935
Case_1-05,gauss,multilevel_tresholding,2,9,37.837,34.1,-9.87658,0.99,0.985,-0.50505,50.689,57.941,14.30685
Case_1-05,gauss,multilevel_tresholding,2.3,9,37.837,33.374,-11.79533,0.99,0.983,-0.70707,50.689,58.481,15.37217
Case_1-05,gauss,multilevel_tresholding,2.6,9,37.837,32.828,-13.23836,0.99,0.982,-0.80808,50.689,58.552,15.51224
Case_1-05,gauss,multilevel_tresholding,2.9,9,37.837,32.421,-14.31403,0.99,0.98,-1.0101,50.689,58.252,14.9204
Case_1-06,gauss,multilevel_tresholding,0.4,9,37.314,36.388,-2.48164,0.99,0.989,-0.10101,53.472,53.281,-0.3572
Case_1-06,gauss,multilevel_tresholding,0.7,9,37.314,34.935,-6.37562,0.99,0.988,-0.20202,53.472,55.012,2.88001
Case_1-06,gauss,multilevel_tresholding,1.1,9,37.314,35.355,-5.25004,0.99,0.989,-0.10101,53.472,57.813,8.11827
Case_1-06,gauss,multilevel_tresholding,1.4,9,37.314,35.036,-6.10495,0.99,0.988,-0.20202,53.472,58.346,9.11505
Case_1-06,gauss,multilevel_tresholding,1.7,9,37.314,34.182,-8.39363,0.99,0.986,-0.40404,53.472,57.282,7.12522
Case_1-06,gauss,multilevel_tresholding,2,9,37.314,33.204,-11.01463,0.99,0.984,-0.60606,53.472,55.741,4.24334
Case_1-06,gauss,multilevel_tresholding,2.3,9,37.314,32.397,-13.17736,0.99,0.981,-0.90909,53.472,54.626,2.15814
Case_1-06,gauss,multilevel_tresholding,2.6,9,37.314,31.788,-14.80945,0.99,0.979,-1.11111,53.472,53.843,0.69382
Case_1-06,gauss,multilevel_tresholding,2.9,9,37.314,31.335,-16.02348,0.99,0.977,-1.31313,53.472,53.566,0.17579
Case_1-07,gauss,multilevel_tresholding,0.4,9,37.618,36.799,-2.17715,0.991,0.991,0,49.355,49.189,-0.33634
Case_1-07,gauss,multilevel_tresholding,0.7,9,37.618,35.368,-5.98118,0.991,0.99,-0.10091,49.355,54.396,10.21376
Case_1-07,gauss,multilevel_tresholding,1.1,9,37.618,35.676,-5.16242,0.991,0.99,-0.10091,49.355,56.916,15.31962
Case_1-07,gauss,multilevel_tresholding,1.4,9,37.618,35.503,-5.62231,0.991,0.99,-0.10091,49.355,57.368,16.23544
Case_1-07,gauss,multilevel_tresholding,1.7,9,37.618,34.687,-7.79148,0.991,0.988,-0.30272,49.355,56.967,15.42296
Case_1-07,gauss,multilevel_tresholding,2,9,37.618,33.737,-10.31687,0.991,0.985,-0.60545,49.355,56.444,14.36329
Case_1-07,gauss,multilevel_tresholding,2.3,9,37.618,32.949,-12.41161,0.991,0.983,-0.80727,49.355,56.25,13.97022
Case_1-07,gauss,multilevel_tresholding,2.6,9,37.618,32.361,-13.97469,0.991,0.981,-1.00908,49.355,56.443,14.36126
Case_1-07,gauss,multilevel_tresholding,2.9,9,37.618,31.926,-15.13105,0.991,0.98,-1.10999,49.355,56.658,14.79688
Case_1-08,gauss,multilevel_tresholding,0.4,9,38.068,37.163,-2.37732,0.989,0.988,-0.10111,51.963,51.295,-1.28553
Case_1-08,gauss,multilevel_tresholding,0.7,9,38.068,35.481,-6.79573,0.989,0.987,-0.20222,51.963,55.66,7.11468
Case_1-08,gauss,multilevel_tresholding,1.1,9,38.068,35.521,-6.69066,0.989,0.988,-0.10111,51.963,55.7,7.19166
Case_1-08,gauss,multilevel_tresholding,1.4,9,38.068,35.496,-6.75633,0.989,0.988,-0.10111,51.963,56.215,8.18275
Case_1-08,gauss,multilevel_tresholding,1.7,9,38.068,35.07,-7.87538,0.989,0.987,-0.20222,51.963,56.606,8.9352
