name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,multilevel_tresholding,0.4,13,37.295,36.357,-2.51508,0.988,0.987,-0.10121,51.378,49.581,-3.49761
Case_1-01,gauss,multilevel_tresholding,0.7,13,37.295,34.637,-7.12696,0.988,0.986,-0.20243,51.378,53.725,4.5681
Case_1-01,gauss,multilevel_tresholding,1.1,13,37.295,34.837,-6.5907,0.988,0.986,-0.20243,51.378,55.26,7.55576
Case_1-01,gauss,multilevel_tresholding,1.4,13,37.295,34.62,-7.17254,0.988,0.986,-0.20243,51.378,56.531,10.02958
Case_1-01,gauss,multilevel_tresholding,1.7,13,37.295,33.784,-9.41413,0.988,0.983,-0.50607,51.378,56.33,9.63837
Case_1-01,gauss,multilevel_tresholding,2,13,37.295,32.59,-12.61563,0.988,0.98,-0.80972,51.378,55.054,7.15481
Case_1-01,gauss,multilevel_tresholding,2.3,13,37.295,31.425,-15.73938,0.988,0.975,-1.31579,51.378,53.987,5.07805
Case_1-01,gauss,multilevel_tresholding,2.6,13,37.295,30.435,-18.39389,0.988,0.971,-1.72065,51.378,53.955,5.01577
Case_1-01,gauss,multilevel_tresholding,2.9,13,37.295,29.642,-20.52018,0.988,0.967,-2.12551,51.378,54.614,6.29842
Case_1-02,gauss,multilevel_tresholding,0.4,13,37.441,36.56,-2.35304,0.988,0.987,-0.10121,54.693,54.916,0.40773
Case_1-02,gauss,multilevel_tresholding,0.7,13,37.441,35.314,-5.68094,0.988,0.987,-0.10121,54.693,54.637,-0.10239
Case_1-02,gauss,multilevel_tresholding,1.1,13,37.441,35.56,-5.0239,0.988,0.988,0,54.693,57.334,4.82877
Case_1-02,gauss,multilevel_tresholding,1.4,13,37.441,35.247,-5.85989,0.988,0.987,-0.10121,54.693,58.11,6.2476
Case_1-02,gauss,multilevel_tresholding,1.7,13,37.441,34.097,-8.93139,0.988,0.985,-0.30364,54.693,56.806,3.86338
Case_1-02,gauss,multilevel_tresholding,2,13,37.441,32.694,-12.67861,0.988,0.981,-0.7085,54.693,55.135,0.80815
Case_1-02,gauss,multilevel_tresholding,2.3,13,37.441,31.373,-16.20683,0.988,0.977,-1.11336,54.693,53.771,-1.68577
Case_1-02,gauss,multilevel_tresholding,2.6,13,37.441,30.274,-19.14212,0.988,0.973,-1.51822,54.693,53.157,-2.8084
