sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.4,3,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,3,1.66943800887649,0.237092608680348,6.30756572542353,-4.25852474582139,70
1.1,3,1.16769506130042,0.211002583229167,8.79123006974334,3.33704393388858,70
1.4,3,0.969785883777799,0.196465678314945,9.58999537049474,4.95517257778823,70
1.7,3,0.85175543257104,0.187087013823151,9.90837544775626,5.77282624838058,70
2.3,3,0.748002941006119,0.178579336048145,10.1823162540287,6.50111413982627,70
2.6,3,0.712719386256175,0.175675570308697,10.2993678620543,6.84202813450991,70
2.9,3,0.685325883797906,0.173281748941438,10.321229141166,7.14023100314108,70
2,3,0.793203522948626,0.182311936570635,10.0145111085756,6.1266146308673,70
0.4,5,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,5,1.51205305315989,0.229607578540415,7.08427344617031,-2.28580352291851,70
1.1,5,-1.29077431074867,0.00616050030153039,13.5143375800469,19.6319995411202,70
1.4,5,-3.24096788774611,-0.209354032870532,15.8275384785651,30.4132793239136,70
1.7,5,-4.48923959903251,-0.371480932790885,16.9897053192368,37.5459287512234,70
2.3,5,-5.7911549153718,-0.562717670049819,17.7846435976008,44.8380876247349,70
2.6,5,-6.14355220130801,-0.618548350998334,17.9429406897945,46.7964457630022,70
2.9,5,-6.39404926464952,-0.659346371446931,18.0404148448754,48.120555299774,70
2,5,-5.2759176625047,-0.484257968194659,17.5029548491816,41.9603594052161,70
0.4,7,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,7,1.51000211356775,0.229501595880965,7.09000854127873,-2.28821727206383,70
1.1,7,-1.91182284594205,-0.0501687495989927,14.1919506613247,22.5470729772496,70
1.4,7,-5.3060601988388,-0.453716573545855,17.3913128102699,40.6976004511576,70
1.7,7,-7.96579139350793,-0.863258156562745,18.7003690631742,56.3639425198966,70
2.3,7,-11.0430232342318,-1.46270540055486,18.8857394506017,76.1325026594008,70
2.6,7,-11.9067155449155,-1.65906543388708,18.8153776670094,81.3761366977528,70
2.9,7,-12.5241826175985,-1.80777870085066,18.753952480946,85.0650577352181,70
2,7,-9.79839795219545,-1.20227239441287,18.9352883805484,68.0816859317614,70
0.4,9,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,9,1.50999986266441,0.229501507805554,7.09011832911473,-2.28845912699801,70
1.1,9,-1.95834304870493,-0.0539276191783832,14.2292114915076,22.6947997990374,70
1.4,9,-5.76741761395704,-0.506199891761214,17.6206863463234,42.4803019154412,70
1.7,9,-9.25734882604361,-1.05424793011698,18.9845666526405,62.7141407681303,70
2.3,9,-13.9417073984349,-2.04815173718287,18.8649483089891,93.9226405240784,70
2.6,9,-15.3615556210735,-2.42110847798944,18.7631025123912,103.426642409624,70
2.9,9,-16.3957066029809,-2.71693929522221,18.7571855077886,109.919621656532,70
2,9,-11.9687178278065,-1.5884167894525,19.0476797509928,80.2458863868723,70
0.4,11,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,11,1.509999824842,0.229501506075938,7.09011832911473,-2.28845912699801,70
1.1,11,-1.95965736959113,-0.0540179602002624,14.2305716684833,22.6898882738784,70
1.4,11,-5.82309673010707,-0.511728824581235,17.6420042712649,42.6402192301509,70
1.7,11,-9.58206533448644,-1.09796937436895,19.0347774946481,63.9016104416731,70
2.3,11,-15.3033403464456,-2.32271444812327,18.9410404642021,101.132102084818,70
2.6,11,-17.2211232219969,-2.84520127832063,18.9230353460665,114.38726552383,70
2.9,11,-18.6665804972551,-3.28310027513542,19.0156757089561,123.907000632156,70
2,11,-12.7812494615765,-1.72647392080464,19.0993613218481,84.0961421765296,70
0.4,13,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,13,1.509999824842,0.229501506075938,7.09011832911473,-2.28845912699801,70
1.1,13,-1.95967160727601,-0.0540186056022103,14.2307330202417,22.6915789528546,70
1.4,13,-5.82687491352498,-0.512057313697082,17.6438523709495,42.6595639273311,70
1.7,13,-9.63709413300829,-1.10448203463511,19.0473741285172,64.0583955523728,70
2.3,13,-15.8395864637872,-2.42269995771346,19.0131664300127,103.352745883758,70
2.6,13,-18.1131017151405,-3.03877001430215,19.0681383952892,118.770267838471,70
2.9,13,-19.9030469839025,-3.58355355842822,19.224373832152,130.431872330685,70
2,13,-13.0144675418291,-1.76209727672805,19.1233143596263,84.9958397663072,70
0.4,15,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
