sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.4,3,-0.146490006486089,0.0216060473282935,-1.66283806432015,-19.5363371246788,70
0.7,3,1.12429674635053,0.2132279309503,5.16252418134994,-4.82516258202174,70
1.1,3,0.749578912752301,0.191774241682074,7.33728493998432,1.82377223887002,70
1.4,3,0.588818958122044,0.178663213031265,8.12474609321229,3.35271960116951,70
1.7,3,0.491829868163013,0.170115107728341,8.42963915210525,4.11682137008317,70
2.3,3,0.404987452525331,0.162270723545924,8.72007778016965,4.78450694252044,70
2.6,3,0.375406856908329,0.159585712458308,8.84461776154006,5.0232576171696,70
2.9,3,0.352059855570409,0.157339736495708,8.84389348469145,5.34710049186147,70
2,3,0.442825242610675,0.16570575885349,8.53980580054015,4.52613105561699,70
0.4,5,-0.302700328658489,0.0163879410858397,-1.72062236603318,-19.2640334860554,70
0.7,5,1.04585903145985,0.211510480385343,5.93433260085952,-1.89481610223997,70
1.1,5,-1.12514483051107,0.0196040619735374,12.2953814776648,19.8302246134676,70
1.4,5,-2.88773636484148,-0.180899909395219,14.7688878925089,30.2321252360745,70
1.7,5,-4.05496631266411,-0.333919528217898,16.1074166560369,36.8629948442798,70
2.3,5,-5.29412365499599,-0.515779878978141,17.1080013517369,43.5767598916066,70
2.6,5,-5.63285462334012,-0.569094501696753,17.3365179231386,45.3406403961641,70
2.9,5,-5.87433830312667,-0.608104147306157,17.476325905373,46.5163788600262,70
2,5,-4.80143330349078,-0.441017997451706,16.7430579278954,40.9439242844664,70
0.4,7,-0.3024857528566,0.0163978901073066,-1.72076490624802,-19.2620466396309,70
0.7,7,1.05415583628291,0.211730171715313,5.93629074962956,-1.82969367755279,70
1.1,7,-1.62550034733591,-0.0300013794081281,13.0518301634288,23.2101140261651,70
1.4,7,-4.79694620848379,-0.410145753793715,16.606048983083,40.5725930713689,70
1.7,7,-7.39470512397454,-0.803810290293125,18.2763250972366,55.2508141473849,70
2.3,7,-10.4609006689767,-1.38640404807667,18.7074352257982,73.8744671181179,70
2.6,7,-11.3288987796597,-1.5783028980399,18.6438554983062,78.8238165433342,70
2.9,7,-11.9507648422084,-1.72387929499175,18.577233527079,82.4337149879177,70
2,7,-9.21507371172397,-1.13260898142306,18.7068463597276,66.2421106142719,70
0.4,9,-0.3024857528566,0.0163978901073066,-1.72076490624802,-19.2620466396309,70
0.7,9,1.0541658292648,0.211730434191087,5.93629449157898,-1.82948431351688,70
1.1,9,-1.66495514838104,-0.0333730428454098,13.089282720053,23.3844382730226,70
1.4,9,-5.24409027502294,-0.460538485656713,16.8703878643538,42.282977960979,70
1.7,9,-8.68847774959321,-0.990497011708691,18.6415478473359,61.302972622008,70
2.3,9,-13.4114569899473,-1.96514518992336,18.6048040783654,91.1939626544624,70
2.6,9,-14.8531920080923,-2.33333330991256,18.4865325291058,100.603188954793,70
2.9,9,-15.9049117750556,-2.62602735352097,18.5119803323239,107.122559478001,70
2,9,-11.4139778373858,-1.51285423753905,18.8209702289673,78.0189418709962,70
0.4,11,-0.3024857528566,0.0163978901073066,-1.72076490624802,-19.2620466396309,70
0.7,11,1.05416581736284,0.211730433710737,5.93629449157898,-1.82948431351688,70
1.1,11,-1.66608887584571,-0.033454741197009,13.0904616154162,23.3776942601682,70
1.4,11,-5.29866888462652,-0.465892383619801,16.8960286371591,42.4341514341559,70
1.7,11,-9.0173156703355,-1.03363551306306,18.6960877294407,62.4671164116661,70
2.3,11,-14.8081049589127,-2.23917029335506,18.6324561599012,98.3030599033041,70
2.6,11,-16.7622765589962,-2.7575396730456,18.6430376801005,111.42280529406,70
2.9,11,-18.2364528769061,-3.19310218238818,18.8441553309624,121.094414373652,70
2,11,-12.2449515378615,-1.65014925201165,18.8418095730068,81.6721324764922,70
0.4,13,-0.3024857528566,0.0163978901073066,-1.72076490624802,-19.2620466396309,70
0.7,13,1.05416581736284,0.211730433710737,5.93629449157898,-1.82948431351688,70
1.1,13,-1.66610265940774,-0.0334555003741056,13.0909020574888,23.3779788772511,70
1.4,13,-5.30238233003714,-0.466210242131475,16.8981176010206,42.4399171145354,70
1.7,13,-9.07332727601976,-1.040115862399,18.7029835601225,62.6431503018575,70
2.3,13,-15.3599021219846,-2.33959186359981,18.6962228889033,100.588501249084,70
2.6,13,-17.6801003479955,-2.95225928817699,18.811520465645,115.902616883196,70
2.9,13,-19.507973565495,-3.49572362683527,19.0969032221924,127.72968220182,70
2,13,-12.4843695778192,-1.68578370729663,18.8634508843441,82.5780324674139,70
0.4,15,-0.3024857528566,0.0163978901073066,-1.72076490624802,-19.2620466396309,70
0.7,15,1.05416581736284,0.211730433710737,5.93629449157898,-1.82948431351688,70
1.1,15,-1.66610277934844,-0.0334555121019049,13.0909021000789,23.3780087533837,70
1.4,15,-5.30252885695046,-0.466221753255397,16.8988841026421,42.4429031610835,70
1.7,15,-9.07977830192693,-1.04078266275036,18.7060724563876,62.6398149162672,70
2.3,15,-15.5377189731537,-2.36890870065486,18.7330377521411,100.990881633904,70
2.6,15,-18.0620929901808,-3.02684489711502,18.8973162906601,117.039292818092,70
2.9,15,-20.1352216690926,-3.63565478851061,19.2353860280366,130.363431382676,70
2,15,-12.5363288669975,-1.69273758432159,18.8643191441794,82.7329005113167,70
0.4,17,-0.3024857528566,0.0163978901073066,-1.72076490624802,-19.2620466396309,70
0.7,17,1.05416581736284,0.211730433710737,5.93629449157898,-1.82948431351688,70
1.1,17,-1.66610277934844,-0.0334555121019049,13.0909021000789,23.3780087533837,70
1.4,17,-5.30253208295031,-0.466222059916122,16.898600926049,42.4436479019398,70
1.7,17,-9.08029249191742,-1.04083160454382,18.7051835483138,62.6481115042278,70
2.3,17,-15.5840849590222,-2.37586421676404,18.7444939778662,101.076916066736,70
2.6,17,-18.1976286118712,-3.05102475374425,18.9373820689048,117.480124301824,70
2.9,17,-20.4100520812595,-3.69212063570623,19.29218618291,131.184500200729,70
2,17,-12.5448318970761,-1.69377423344485,18.8673560291149,82.7433555368663,70
0.4,19,-0.3024857528566,0.0163978901073066,-1.72076490624802,-19.2620466396309,70
0.7,19,1.05416581736284,0.211730433710737,5.93629449157898,-1.82948431351688,70
1.1,19,-1.66610277934844,-0.0334555121019049,13.0909021000789,23.3780087533837,70
1.4,19,-5.30253207086398,-0.466222058009804,16.8986009326267,42.4436451242581,70
1.7,19,-9.08032039617509,-1.04083412933906,18.7050095366796,62.6467468192068,70
2.3,19,-15.5939043521122,-2.37722183152573,18.7429525666302,101.100522925747,70
2.6,19,-18.2384447099543,-3.05773912851707,18.9473054206679,117.554688714858,70
2.9,19,-20.5160282775993,-3.71223229406682,19.310215857571,131.584758433934,70
2,19,-12.5458993755081,-1.69389326244702,18.8686228769664,82.7457411242464,70
