name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_2,2.3,7,35.5130502237525,32.7540390550412,-7.76900646756026,0.98181957988096,0.978165215849909,-0.372203213903525,52.7348393680042,55.8041089422933,5.82019327464062,8.60511097448948,12.6793635237084,47.3468914148506
Case_1-02,gauss,method_2,2.3,7,35.6116160118492,32.9397582331053,-7.50277038215536,0.981926766770441,0.980205137380793,-0.175331750585697,54.4745024880271,54.7002293668153,0.414371620627164,8.49319436868192,13.116823632681,54.4392258470905
Case_1-03,gauss,method_2,2.3,7,36.0592825627233,34.0842011975368,-5.47731741958799,0.985150654727046,0.984106524050798,-0.105986903752948,51.4484489206713,59.4572540750579,15.5666600692578,8.8447111658808,13.9292165181522,57.4863922282202
Case_1-04,gauss,method_2,2.3,7,36.0602043459923,34.3567002758261,-4.72405550956201,0.986437036136986,0.986411977409769,-0.00254032708617311,54.5998144998589,58.9847038349991,8.03096013293518,9.02125748580774,14.9099789056044,65.2760596741725
Case_1-05,gauss,method_2,2.3,7,36.0078604552352,33.8529763431245,-5.98448251261603,0.985267075146047,0.983425440515276,-0.18691730163601,51.4093719252562,59.7438100808065,16.2119042568108,8.86405948984659,13.4879750911784,52.1647627323391
Case_1-06,gauss,method_2,2.3,7,35.4819239427035,32.8988819493723,-7.27988143343718,0.984863286016204,0.981599460772484,-0.331398813425427,54.1284290213036,55.4857175823802,2.50753362995707,9.34899274226238,13.7349758994229,46.9139647240669
Case_1-07,gauss,method_2,2.3,7,35.7853659516184,33.418794609692,-6.61323778308138,0.987447389226619,0.983658598555551,-0.383695446704756,51.3868356229413,57.1734553361261,11.260899105843,9.3600145270923,13.6071637103503,45.3754550376473
Case_1-08,gauss,method_2,2.3,7,36.2151303572237,34.2843692590529,-5.33136586594035,0.983378652810484,0.982954757498166,-0.0431060112100904,51.9194553499007,58.9222553251198,13.4878147854694,8.58518541900276,13.9089416162456,62.0109635076606
Case_10-01,gauss,method_2,2.3,7,34.9461058702126,29.9049696066696,-14.4254592550752,0.976235142880686,0.94098099405575,-3.61123537520964,42.9597175956439,56.7809603815878,32.1725643451282,8.84068724611204,11.0564646221197,25.0634064334996
Case_10-02,gauss,method_2,2.3,7,35.8131320470778,30.6668307029821,-14.369872306423,0.979984558102356,0.95147166457856,-2.90952477649319,45.9661932139736,56.2941811341765,22.4686605482553,8.78524520367117,11.7476068034773,33.7197372540974
Case_10-03,gauss,method_2,2.3,7,34.4632770575901,29.5641621920106,-14.2154643546894,0.973257257461445,0.935815764064739,-3.84702945800422,42.3220717029045,57.0650372221236,34.8351697495172,8.11387314857736,10.6592756814695,31.3709924506081
Case_10-04,gauss,method_2,2.3,7,35.0629264052645,29.6610616261839,-15.406200602439,0.978376093338417,0.943482033130627,-3.56652829575232,43.4141632512589,56.705359295032,30.614884748211,8.01802346116705,10.7135764441305,33.6186716840948
Case_10-05,gauss,method_2,2.3,7,36.9088783861441,33.2242643156238,-9.98300200827428,0.981579494689493,0.96790740190568,-1.39286658470165,53.3613130501927,58.6486461516835,9.90855134414972,9.24329036803276,12.1707536601262,31.6712250241308
Case_10-06,gauss,method_2,2.3,7,35.7906949354973,30.874999685973,-13.7345621770783,0.980384464713486,0.954982873193244,-2.59098266389453,46.2388943127014,56.9149130713018,23.0888279602911,8.20020424579789,11.7897432459758,43.7737755375705
Case_10-07,gauss,method_2,2.3,7,35.6838108875404,30.4650449604515,-14.6250240579296,0.98123281173479,0.953006017189036,-2.87666639437477,44.5315489092155,57.0727657829665,28.1625435920008,8.70193788647782,11.1098992542153,27.6715531546062
Case_10-08,gauss,method_2,2.3,7,35.6543760482177,30.6004973546335,-14.1746378810544,0.980898376947195,0.954043772880073,-2.73775598963677,44.5817682945645,57.0358091386901,27.9352778513365,8.31188769653866,11.1817585546846,34.5273055041525
Case_10-09,gauss,method_2,2.3,7,35.1981175213702,30.4130162961202,-13.5947646130357,0.979606925096846,0.951195237543511,-2.90031509837749,44.9564796058407,57.0272961815235,26.8500040072411,8.33430535406783,11.4383757928334,37.2445009739238
Case_10-10,gauss,method_2,2.3,7,35.9954442096215,31.3460023577835,-12.9167508664754,0.97696070908593,0.945980341863964,-3.17109653784877,42.752436453607,58.0765176657603,35.8437611591616,9.26942544724691,11.5064878491994,24.1337763023588
Case_11-07,gauss,method_2,2.3,7,36.1568510336976,31.6693031838793,-12.4113348411785,0.974547788205935,0.951438324373305,-2.37130124477253,45.6835115067127,50.8034218503972,11.2073485045739,8.21343404725121,10.610508211923,29.18479835452
Case_11-09,gauss,method_2,2.3,7,40.6442662809458,37.8639943627676,-6.84050217307432,0.974474762935465,0.971895868150018,-0.264644594558661,47.1466960724383,50.1547392277064,6.3801780524481,9.41468452376395,12.4249008731278,31.9736295121268
Case_11-10,gauss,method_2,2.3,7,38.2563424752293,34.5419524827885,-9.70921356333486,0.973494250402761,0.961774462472301,-1.20388876725383,38.6387625277935,47.4442560060457,22.7892740403328,9.02095162165154,10.8956173323217,20.7812411516619
Case_11-11,gauss,method_2,2.3,7,38.3221311625614,34.6334824976338,-9.62537456301802,0.974167300110205,0.963163826934199,-1.12952602440686,41.7931304834132,48.228334247633,15.3977548218691,8.57983483007674,11.4579433674723,33.5450343088929
