name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,blurr,19,37.2952453771482,22.5683661917331,-39.4872832622215,0.987633574542662,0.900070027743311,-8.86599535054271,51.3781679947428,61.7187238168848,20.1263614989155,6.74017183358787,23.0571991705114,242.086221832089
Case_1-02,avg,blurr,19,37.4410039067037,21.7139541775959,-42.0048825835352,0.987759080047129,0.88745978472364,-10.1542266074338,54.693254168189,59.6779926178588,9.11399134222486,7.14737117146963,20.4233741114291,185.746655958679
Case_1-03,avg,blurr,19,37.9084872566381,24.1521209895663,-36.2883545680471,0.989965298369266,0.933403996232214,-5.71346311130537,51.2830832109972,65.922525711126,28.5463384482888,7.16992479890151,23.8729099314323,232.959000282538
Case_1-04,avg,blurr,19,37.9083260790503,23.8657560868635,-37.0434979452899,0.990933219012008,0.932838726696847,-5.86260417963219,54.9405060818229,66.3805217774008,20.8225524507188,7.50042155588556,23.7845384771807,217.109355787036
Case_1-05,avg,blurr,19,37.8368974391421,24.1019912766557,-36.3002970435881,0.990029668044883,0.931597809326962,-5.90203108087786,50.6890384255133,67.0156733903623,32.2093996492766,7.13028183617835,24.0952307015569,237.928166868525
Case_1-06,avg,blurr,19,37.313821888529,22.0907617186945,-40.797375876724,0.989858277688834,0.903388203862431,-8.73560142652923,53.4723749207389,62.7088067424562,17.2732777165934,7.16884020856128,23.7941223450173,231.910346064089
Case_1-07,avg,blurr,19,37.6177136883956,23.3292764537615,-37.983268608485,0.991486991469116,0.925662691644056,-6.63894739834422,49.3545851173106,68.105174704697,37.9915858735681,7.28961275608837,23.290544266149,219.503175894995
Case_1-08,avg,blurr,19,38.0676599934277,24.1816504979379,-36.4771816756984,0.988872308662103,0.927157346409437,-6.2409435183965,51.9630453806607,65.989852784457,26.9938132013654,7.45068683740843,23.3441532428114,213.315453356662
Case_10-01,avg,blurr,19,36.7345461707111,21.8275239370112,-40.5803903617719,0.983735162649988,0.793898420958071,-19.2975456097894,43.7050636688008,66.8083506885585,52.8618084047092,6.23973360486822,20.6578935976992,231.070121031802
Case_10-02,avg,blurr,19,37.7420148157016,21.5459137480123,-42.9126562182137,0.986669760401793,0.794321849419625,-19.4946595813213,46.2178581436987,67.3595420956297,45.74353897188,6.4198582315031,20.9874360118403,226.914322014966
Case_10-03,avg,blurr,19,36.1418271620352,21.7075397818563,-39.9379016325475,0.981194919120078,0.785756811626035,-19.9183774483167,43.095603454508,66.4374411435833,54.1629210824603,6.00307319481979,19.4686078392591,224.310685667785
Case_10-04,avg,blurr,19,36.917508515903,21.1226958497386,-42.7840699470834,0.985365043501796,0.788291232781547,-20.0000813931745,44.1586840112477,66.6776340104839,50.9955187828975,5.497331629691,19.6378466987167,257.225068843456
Case_10-05,avg,blurr,19,38.8553545846416,24.2081130579525,-37.6968417436055,0.987588463803616,0.875064926558273,-11.393767887078,52.9924714390313,65.7337914574389,24.0436418087554,7.29913569502933,20.1838619349996,176.523999255757
Case_10-06,avg,blurr,19,37.735829568319,21.4955414279612,-43.0367857978462,0.986958026100496,0.806673417380139,-18.2666946265859,46.753997352551,66.6588272277682,42.5735359591262,5.8904545988079,22.3938436166997,280.171737869462
Case_10-07,avg,blurr,19,37.6013813154718,21.7304523130533,-42.2083669460516,0.987504888000497,0.813845134856603,-17.5857107396725,45.283205653068,66.5060311707154,46.8668796998245,6.12090731602331,20.2763631319797,231.264011773227
Case_10-08,avg,blurr,19,37.5541094732151,21.7904729421099,-41.9757963967921,0.987232282900242,0.814961740014276,-17.4498490243733,45.3278878963341,66.6317814852064,46.9995284968821,6.04018304420361,20.1097540558346,232.932858303569
Case_10-09,avg,blurr,19,37.0646506691931,22.0809855624673,-40.4257556356243,0.986291748051161,0.820064383866549,-16.8537721737068,45.0810920373566,66.9579755987108,48.5278474248713,5.78833161246209,21.7840382338224,276.343991538461
Case_10-10,avg,blurr,19,37.8428596126966,23.6052601357511,-37.6229482197183,0.984410712681202,0.827959742361361,-15.8928553198818,43.6281950760981,63.7279911448404,46.0706569081837,6.59152501303639,23.0980791000236,250.420867012434
Case_11-07,avg,blurr,19,38.0236814816582,23.3052294625986,-38.7086453639674,0.982257808230956,0.818838659665706,-16.6370933573506,44.1484897637694,55.5567574324197,25.8406747992828,5.94838759772054,17.4535620779102,193.416691350082
Case_11-09,avg,blurr,19,42.3502011261004,29.3825690021271,-30.6200012731021,0.980851855950328,0.93249111487261,-4.93048372028231,48.7248015179059,49.8237259209723,2.25536968613939,7.53303051899667,20.6366652105946,173.949045587343
Case_11-10,avg,blurr,19,39.9881480385273,26.7260116225992,-33.1651678471091,0.980580752752393,0.892688484900475,-8.96328707301389,41.3925242444669,56.0684372542052,35.4554675696063,6.39879716931355,18.6951320065241,192.166348015836
Case_11-11,avg,blurr,19,40.1428253801153,26.4483678401786,-34.1143340317054,0.981530997257329,0.888721759289335,-9.45555853328409,49.6174677418612,54.9734607071717,10.7945713658252,6.28614139338494,19.1015332083171,203.867380845396
Case_11-12,avg,blurr,19,39.7240539912487,26.0434346716883,-34.4391318231878,0.981570330553016,0.88193294867162,-10.1508143410632,53.3697956152807,55.1888177455671,3.40833632453631,6.49377019236258,18.0601743210883,178.115390383373
Case_11-13,avg,blurr,19,41.4523309147715,28.1981020234085,-31.9746286852107,0.981139970165589,0.912911286053461,-6.95402146348324,42.8193726062555,53.8473550847733,25.754656846389,7.48544398468604,19.1316497151549,155.584702180593
Case_11-15,avg,blurr,19,38.9953531489575,25.2794867408617,-35.1730790992016,0.987531170993285,0.892804640864595,-9.59225722803374,44.1923914771538,56.4427012959393,27.7204048238,6.85165529894421,17.5476803869169,156.108628080296
Case_12-01,avg,blurr,19,38.4019077276911,26.036632615109,-32.1996375811968,0.990191104149053,0.941441251291632,-4.92327719903274,50.0967807921994,67.9328564663166,35.6032371582935,8.22020689610022,24.6846384026925,200.292178952372
