name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,blurr,1.7,9,37.2952453771482,33.4934217054978,-10.1938561690757,0.987633574542662,0.982297429022495,-0.540296083255181,51.3781679947428,56.4020316231062,9.778207017575,6.74017183358787,11.9333821144361,77.0486333147959
Case_1-02,gauss,blurr,1.7,9,37.4410039067037,33.6354767108521,-10.1640629223892,0.987759080047129,0.983879804114665,-0.392735031327587,54.693254168189,55.3455333201637,1.19261353506025,7.14737117146963,12.4250687993369,73.8411018716139
Case_1-03,gauss,blurr,1.7,9,37.9084872566381,34.8893480604522,-7.96428297374804,0.989965298369266,0.987250305673803,-0.274251299508738,51.2830832109972,59.6760306299502,16.3659181418977,7.16992479890151,13.0302128255636,81.7343025349433
Case_1-04,gauss,blurr,1.7,9,37.9083260790503,35.1832961618868,-7.1884733487862,0.990933219012008,0.989123480853464,-0.18262967915725,54.9405060818229,59.4113588061345,8.13762566666784,7.50042155588556,13.9696556502252,86.2516066082072
Case_1-05,gauss,blurr,1.7,9,37.8368974391421,34.6695348016285,-8.37109502069516,0.990029668044883,0.986717688780454,-0.334533334841281,50.6890384255133,60.0193003083648,18.4068630470514,7.13028183617835,12.412173121643,74.0768935480896
Case_1-06,gauss,blurr,1.7,9,37.313821888529,33.6110110981493,-9.92342945046324,0.989858277688834,0.984970196535466,-0.493816262746359,53.4723749207389,56.1188628134725,4.94926192572592,7.16884020856128,13.0168539125992,81.5754506154844
Case_1-07,gauss,blurr,1.7,9,37.6177136883956,34.1653618306098,-9.17746327271028,0.991486991469116,0.986671714844109,-0.485662108170743,49.3545851173106,57.5428447545251,16.5906766671259,7.28961275608837,12.8621605553536,76.4450456522667
Case_1-08,gauss,blurr,1.7,9,38.0676599934277,35.0676827612337,-7.88064523196825,0.988872308662103,0.986382997845615,-0.25173228076891,51.9630453806607,59.3636761537765,14.2421036313436,7.45068683740843,13.1886354078545,77.0123439041483
Case_10-01,gauss,blurr,1.7,9,36.7345461707111,30.7046557712434,-16.4147676452729,0.983735162649988,0.952074323424463,-3.21843118225407,43.7050636688008,56.3813242606685,29.004100504072,6.23973360486822,9.91698976018898,58.9329030401519
Case_10-02,gauss,blurr,1.7,9,37.7420148157016,31.4070685329319,-16.7848651263158,0.986669760401793,0.960456874076327,-2.65670312170013,46.2178581436987,55.9905938485311,21.1449342253105,6.4198582315031,10.6770997711223,66.3136378733153
Case_10-03,gauss,blurr,1.7,9,36.1418271620352,30.3544954258004,-16.0128366235842,0.981194919120078,0.947717028390547,-3.41195108914276,43.095603454508,56.5131711581233,31.1344235329689,6.00307319481979,9.54369781943311,58.9802008022927
Case_10-04,gauss,blurr,1.7,9,36.917508515903,30.4138715766299,-17.6166734991652,0.985365043501796,0.953909402369201,-3.19228303663049,44.1586840112477,56.4061096467403,27.7350331191325,5.497331629691,9.69194711488058,76.3027550045286
Case_10-05,gauss,blurr,1.7,9,38.8553545846416,34.0065682279759,-12.4790686084287,0.987588463803616,0.973922695595268,-1.38375130018387,52.9924714390313,58.4858640202379,10.366364187273,7.29913569502933,11.377929778216,55.8805076875653
Case_10-06,gauss,blurr,1.7,9,37.735829568319,31.5832199250209,-16.3044239749892,0.986958026100496,0.963207221008727,-2.40646557033529,46.753997352551,56.7865420985834,21.4581539849555,5.8904545988079,10.687278061169,81.433841512535
Case_10-07,gauss,blurr,1.7,9,37.6013813154718,31.2278634983552,-16.950222556037,0.987504888000497,0.961663085712042,-2.61687841776462,45.283205653068,56.861905686546,25.5695237704391,6.12090731602331,10.2209565933206,66.9843385238681
Case_10-08,gauss,blurr,1.7,9,37.5541094732151,31.3698346373331,-16.4676380897617,0.987232282900242,0.962622064353959,-2.49284985636655,45.3278878963341,56.8437542291641,25.4056980531875,6.04018304420361,10.1721388677743,68.4077915078394
Case_10-09,gauss,blurr,1.7,9,37.0646506691931,31.2227096615602,-15.761489457362,0.986291748051161,0.960511977002277,-2.61380784132315,45.0810920373566,56.883780633978,26.1810175025064,5.78833161246209,10.443391315265,80.4214411762569
Case_10-10,gauss,blurr,1.7,9,37.8428596126966,32.1552403854394,-15.0295704010406,0.984410712681202,0.956125099133483,-2.87335491003334,43.6281950760981,57.6502100819196,32.1398008360505,6.59152501303639,10.3446553269559,56.9387252039065
Case_11-07,gauss,blurr,1.7,9,38.0236814816582,32.4434375342867,-14.6757066384099,0.982257808230956,0.960613709046073,-2.20350492543947,44.1484897637694,50.8060113351611,15.0798398926326,5.94838759772054,9.84875445129982,65.5701530793645
Case_11-09,gauss,blurr,1.7,9,42.3502011261004,38.6090414397647,-8.8338652163566,0.980851855950328,0.977300893802383,-0.362028386488999,48.7248015179059,52.5106909107152,7.76994318061632,7.53303051899667,11.5709214283846,53.6024764429832
Case_11-10,gauss,blurr,1.7,9,39.9881480385273,35.3141637222496,-11.6884240594848,0.980580752752393,0.968892510978007,-1.19197136406952,41.3925242444669,49.4271046474084,19.4107041056226,6.39879716931355,10.1321218680787,58.3441637542277
Case_11-11,gauss,blurr,1.7,9,40.1428253801153,35.4002586415879,-11.8142325399863,0.981530997257329,0.970370766855733,-1.13702271581648,49.6174677418612,53.8615692735007,8.55364395805088,6.28614139338494,10.5555674017141,67.9180715346624
Case_11-12,gauss,blurr,1.7,9,39.7240539912487,34.9445707693925,-12.0317106177259,0.981570330553016,0.968619999805513,-1.31934822644923,53.3697956152807,57.7198789312642,8.15083375499752,6.49377019236258,10.2727699655136,58.1942332606039
Case_11-13,gauss,blurr,1.7,9,41.4523309147715,36.8590074827189,-11.0809774280167,0.981139970165589,0.972702964210427,-0.85991868761993,42.8193726062555,51.5919567126965,20.4874185969726,7.48544398468604,10.2295289215958,36.6589469178273
Case_11-15,gauss,blurr,1.7,9,38.9953531489575,34.1367164344651,-12.4595274106969,0.987531170993285,0.973985984622618,-1.37162114660567,44.1923914771538,51.752892680297,17.1081513139016,6.85165529894421,10.6892278131351,56.009421763851
Case_12-01,gauss,blurr,1.7,9,38.4019077276911,35.7405407136762,-6.93029896557939,0.990191104149053,0.986079924679398,-0.415190507410974,50.0967807921994,56.8206429194508,13.4217449123964,8.22020689610022,12.360590816382,50.3683663028734
Case_12-02,gauss,blurr,1.7,9,38.2416503400839,35.6588547804395,-6.75388100847013,0.990721588685515,0.986565547700022,-0.419496358306546,49.8194309857072,56.2570527387223,12.9219094350193,8.23873046064216,12.6774800016223,53.8766204597279
Case_12-03,gauss,blurr,1.7,9,38.1265307705239,35.4698465490078,-6.96807227887081,0.9901883077786,0.985904335860448,-0.432642143367922,49.2230498684388,54.9470061017224,11.6286094595568,8.1215105150933,12.6183585929986,55.3696023608939
Case_12-04,gauss,blurr,1.7,9,38.7931495186273,34.4974569630284,-11.0733276594008,0.991544578009957,0.98156696512879,-1.00626972326273,48.5358773171281,56.8927762056769,17.2179825532888,7.36495183786661,12.3815443884162,68.114397228736
Case_12-05,gauss,blurr,1.7,9,38.3537356296628,33.7442004399053,-12.0184777677627,0.989930560004518,0.976767813904323,-1.32966357762864,46.4338924725328,56.7461448897561,22.2084599591201,7.08006307209815,11.5392569286096,62.9824029970113
Case_12-06,gauss,blurr,1.7,9,37.8861930189892,33.8813235766995,-10.570788783878,0.989501692927858,0.978650587771607,-1.09662320275008,45.5057004815527,56.2913760917648,23.7018120720601,7.34981827293697,11.5233909556275,56.7847057941311
Case_12-07,gauss,blurr,1.7,9,38.1453342061419,33.779485049655,-11.4453031998443,0.989124242252003,0.975799730090691,-1.34710197082777,45.9096150048902,56.658598836833,23.4133608630736,7.18539825684253,11.8758047325681,65.2769172712029
Case_12-08,gauss,blurr,1.7,9,38.153607409055,34.1874361021616,-10.3952721019823,0.990407182515744,0.980098837982079,-1.04081883851856,46.1149376794921,56.0795520896304,21.6082139791542,7.58834903943763,12.0249975169059,58.466584159617
Case_12-09,gauss,blurr,1.7,9,38.2954139398382,34.1694171809276,-10.7741275897748,0.991254266546354,0.981911586161951,-0.942510988321324,46.5021538124071,56.3101819961255,21.0915567981747,7.69801155873922,11.85240296957,53.9670716149355
Case_12-10,gauss,blurr,1.7,9,37.9516654924144,35.5099454456604,-6.43376256370639,0.990108920624967,0.986908733837033,-0.323215630247427,51.4442332385303,55.9860339978834,8.82859063773832,7.60179505937867,13.3968114148415,76.2322097635772
Case_12-11,gauss,blurr,1.7,9,38.3749908818493,33.9640289911038,-11.4943659643495,0.991246325795263,0.982029090672411,-0.929863232073737,50.6270499521459,59.8510453070506,18.2194999780226,6.74742290070948,11.5296784613589,70.8752901814792
Case_12-12,gauss,blurr,1.7,9,38.2007053433375,34.3975404643863,-9.95574517477985,0.988654208970386,0.979848848957971,-0.890641028230183,46.2655397228786,56.6621591137553,22.4716267294199,7.77304864666438,11.9633723376136,53.9083682789937
Case_13-01,gauss,blurr,1.7,9,37.4323187480929,31.9018960312366,-14.7744593490833,0.983645231309771,0.958659847564421,-2.54008080861441,44.0581327401871,58.8017156051297,33.4639303755476,6.23818428885968,10.3801342263048,66.39672291891
Case_13-02,gauss,blurr,1.7,9,37.4844255757368,31.4901967425231,-15.9912516762526,0.982829055794158,0.951889138633046,-3.14804664948689,44.5681031164073,56.8409752804338,27.5373446609809,6.18698883699808,10.1943687348488,64.7710866049523
Case_13-03,gauss,blurr,1.7,9,37.6854508122835,31.7525479459361,-15.743218505996,0.984410468259006,0.957844616817126,-2.69865592641074,45.2723222852261,58.1466409557516,28.4375044633548,6.48420841190182,10.1765037428003,56.9428848727507
Case_13-04,gauss,blurr,1.7,9,38.0962022682081,33.5764562288745,-11.8640330800254,0.982195427518007,0.964502443354743,-1.80137105789365,45.3872324494358,56.8742514473379,25.3089214256439,6.8087536761701,10.6665977910304,56.6600628887825
Case_13-05,gauss,blurr,1.7,9,37.6915166656877,33.5437339696759,-11.0045523845626,0.983014235690222,0.967701663357966,-1.55771623403842,43.7187694700443,58.4932752959285,33.7944228645494,7.2935102799683,11.3369858737963,55.4393623730604
Case_13-06,gauss,blurr,1.7,9,37.8052004540902,31.887052657308,-15.6543219601998,0.985895503785784,0.960450755597448,-2.58087678568662,44.6016410470508,57.9247772986387,29.8714036946154,6.04308767596275,10.5637682611862,74.8074631318879
Case_13-07,gauss,blurr,1.7,9,37.2284212051852,32.3826017598483,-13.0164516475974,0.983026274096396,0.962005286814565,-2.13839526325521,43.3477674673744,58.5388170164928,35.0445949968518,6.27555343074178,10.4657151913706,66.76959740479
Case_13-10,gauss,blurr,1.7,9,37.5057856498653,32.4889295655896,-13.3762191548538,0.980793321894555,0.958727677291785,-2.2497751677333,44.7379243054645,58.3541675016773,30.435572073579,6.55843094806251,10.5781607526978,61.2910288523014
Case_13-11,gauss,blurr,1.7,9,37.46276083238,31.6273375711218,-15.5765969501491,0.981713447773498,0.954726900964114,-2.74892300503662,44.9219474481202,58.2614742196655,29.6948986616195,6.12855773821154,10.2359296250599,67.0202038113938
Case_13-12,gauss,blurr,1.7,9,38.2687557719243,32.2680553003499,-15.6804169629595,0.983914981563838,0.959372851276537,-2.49433444425187,52.2585167196485,56.0503878986382,7.25598699888838,6.29657447050716,10.6934450216445,69.8295648170615
Case_14-01,gauss,blurr,1.7,9,38.0099661901328,34.3888191585535,-9.5268357079447,0.973725385138417,0.953684500189569,-2.05816601422987,49.1243153868638,58.1558734561172,18.3851072490843,8.44052909434451,12.4703121475146,47.7432517337121
Case_14-02,gauss,blurr,1.7,9,37.8954826251932,33.4567156966052,-11.7131822082589,0.971713110638202,0.938831935833958,-3.38383566551328,45.7741188414281,58.2399918868992,27.2334527916435,7.89627781207135,11.9702312439009,51.5933396568391
Case_14-03,gauss,blurr,1.7,9,38.124277652166,33.3833951892311,-12.4353371523238,0.976847071978786,0.94924250288341,-2.82588440782833,46.0577453535691,57.9923656798366,25.9122982131444,7.38018815067666,11.8151742170233,60.093130090999
Case_14-04,gauss,blurr,1.7,9,38.6229848998283,33.455316754985,-13.3797741377215,0.988482491774901,0.9709809190056,-1.77054959647039,45.9337563580575,57.9742780812635,26.2127957255424,7.70447668496264,11.452952279653,48.653214851133
Case_14-05,gauss,blurr,1.7,9,38.0602664657436,33.3151094568525,-12.4674823629044,0.977624415112731,0.952311711907749,-2.58920530355853,46.9422168513153,57.9510588517838,23.4519005255715,6.8761905513619,11.6746137610673,69.7831622591522
Case_14-06,gauss,blurr,1.7,9,38.0210951983787,33.4387279924995,-12.0521704647651,0.983668088055081,0.96411768046483,-1.98750044122163,46.8510657674134,57.9396869649442,23.6678099332445,7.65742886916646,11.8869775579711,55.2345801844198
Case_14-07,gauss,blurr,1.7,9,37.8827449807959,32.9494511498461,-13.0225352820938,0.978588342094507,0.94775237384484,-3.15106638034003,45.8155776784113,57.9956233991778,26.5849441128097,7.50216023883771,11.2162823087617,49.5073679004682
Case_14-08,gauss,blurr,1.7,9,38.1997178591508,33.7296722090913,-11.701776611391,0.982094611931125,0.96093977621762,-2.15405272124517,46.7372152935874,57.7816086377864,23.6308331055283,7.20009875287685,12.1188014835596,68.3143787259502
