name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,blurr,2,19,40.1243415195432,31.9929067389494,-20.2655905932644,0.993165191062803,0.978710184365088,-1.45544838137614,48.5780172238037,55.9168912241483,15.1073971721277,5.05276719129287,13.5405109812533,167.982087213256
Case_1-02,gauss,blurr,2,19,40.2936625114587,31.9891210212244,-20.6100437950326,0.993246756269472,0.980530372463073,-1.28028445359951,53.8161610245821,54.1841338435067,0.683758952550536,5.9108498153191,13.7134799654125,132.005217420198
Case_1-03,gauss,blurr,2,19,40.7579823144546,33.5629537905261,-17.6530537464238,0.99442544809773,0.98528967610556,-0.918698531865365,47.5404266849396,59.3262692586326,24.7912006591785,5.40913135397936,14.8164524740659,173.915560641097
Case_1-04,gauss,blurr,2,19,40.7566554300348,33.8063720258401,-17.0531250193626,0.995071328187904,0.987459845517362,-0.764918298309625,53.7920847374751,59.4085975174267,10.4411509748362,6.0792129057849,15.5393922500844,155.615200370714
Case_1-05,gauss,blurr,2,19,40.6563617536659,33.3256024643706,-18.0310263218136,0.994472962102587,0.984472775700758,-1.00557649960493,46.3343127857079,59.8950599326171,29.2671809111024,5.28565236009879,14.327466444638,171.063351664886
Case_1-06,gauss,blurr,2,19,40.1417386244417,32.0505874397267,-20.156454259279,0.994496388276641,0.981613475647622,-1.29542075576004,52.8066694589346,55.7082527422498,5.49472881559343,5.52714078445491,14.6987276992196,165.937277019608
Case_1-07,gauss,blurr,2,19,40.4615973408956,32.7207884728282,-19.1312488304645,0.995364202567059,0.983627265232283,-1.17916008075292,49.1584440070043,58.3659854223716,18.7303353500271,5.23736482224744,14.5782715579076,178.351271157999
Case_1-08,gauss,blurr,2,19,40.8944470608014,33.7199151653305,-17.5440247053686,0.99383241866745,0.984467617562664,-0.942291771619097,49.0591481238253,58.7560468426202,19.765729919158,5.68987558094885,14.9261862323952,162.328868532238
Case_10-01,gauss,blurr,2,19,39.5930836838117,29.192201217339,-26.2694427883758,0.991118220598189,0.93735405495043,-5.42459663543565,44.3411033183141,57.6527043628627,30.020906221002,4.23115178571016,11.6825019465815,176.106898032747
Case_10-02,gauss,blurr,2,19,40.733794669932,29.7509592255563,-26.9624657691977,0.992912062382252,0.947265025241394,-4.59728901181231,45.8059811647051,56.987848351682,24.4113692200372,5.43571905065486,12.3850722027741,127.846069441025
Case_10-03,gauss,blurr,2,19,38.8352646797474,28.8798097312327,-25.6350897325194,0.989286174641934,0.932047669812645,-5.78583895099987,43.9798875119894,57.9118202396011,31.677963532339,4.56483489340935,11.1193887411415,143.587971981101
Case_10-04,gauss,blurr,2,19,39.8312760942389,28.8287598599855,-27.6228062797234,0.992085959710756,0.938938601657176,-5.35713236674322,44.5691755878955,57.4035752625014,28.796583076335,4.36448421475901,11.3619125927098,160.326582332185
Case_10-05,gauss,blurr,2,19,41.7899652277262,32.5080888499173,-22.2107779397021,0.992970263291856,0.967157649069476,-2.59953547217082,49.5070847701359,59.4147127934138,20.0125458190067,5.19510269667655,12.6612358477871,143.71483273828
Case_10-06,gauss,blurr,2,19,40.7310213493126,29.9275763186693,-26.5238746114221,0.993084464121922,0.951137747826344,-4.22388203733173,46.6571605832253,56.9542395971144,22.0696649456874,5.06929549086995,12.6066844979959,148.687110875685
Case_10-07,gauss,blurr,2,19,40.5605642863538,29.6209457531115,-26.9710708559418,0.993285302752977,0.94920666590392,-4.43766123659429,45.585122532247,57.5837244605825,26.3213111248032,4.82977595381036,11.830537850002,144.950034186751
Case_10-08,gauss,blurr,2,19,40.5229346931248,29.7470626609868,-26.5920326692584,0.993147472315679,0.950387826353738,-4.30546793440851,45.6239641853153,57.5627903235179,26.1678842498418,4.72161208708533,11.9385371545485,152.848750264833
Case_10-09,gauss,blurr,2,19,40.0078780489051,29.6820526453253,-25.8094803002489,0.992651311183458,0.947979087456292,-4.50029363018786,44.3244257077193,57.4965087336931,29.7174364149289,4.5605729705345,12.3146707354016,170.024639775872
Case_10-10,gauss,blurr,2,19,40.7102571824844,30.744637460462,-24.4793828674462,0.99149195570297,0.944034557454257,-4.78646326636762,44.1680823941782,57.8628999769589,31.0061402724285,4.87562609319863,12.1673629574309,149.554882282791
Case_11-07,gauss,blurr,2,19,40.9368636724512,30.9026185816118,-24.5115140503351,0.9893390384666,0.948992007627233,-4.0781804083969,48.0217404176075,52.9859071349919,10.3373319546833,4.67944116028176,11.29783396015,141.435538415226
Case_11-09,gauss,blurr,2,19,44.5031593587925,37.3244801860012,-16.1307180798459,0.984656638030746,0.975606927345878,-0.919072734122462,37.6591836860141,53.0982198445495,40.9967361142485,6.02593098433085,13.0101354117226,115.902496154581
Case_11-10,gauss,blurr,2,19,42.5756634263367,33.9765189080029,-20.1973236029823,0.986162652770785,0.963284935346218,-2.31987262550333,36.0037481822009,59.0681650041338,64.0611547031515,4.43299754088983,11.3538492876722,156.121262936526
Case_11-11,gauss,blurr,2,19,42.8280863348487,34.0021479066182,-20.6078281416205,0.987084766978264,0.964704949208638,-2.26726402010399,36.2271863033264,58.9409039292967,62.6979899454259,4.56762776806261,12.0114439795319,162.968976226945
Case_11-12,gauss,blurr,2,19,42.452985164693,33.5393408043213,-20.9965078446,0.987623947923083,0.962152918834933,-2.57902100710638,35.1433886250954,55.2546171399742,57.2262075505082,4.65717232688841,11.3274248896433,143.225375712295
Case_11-13,gauss,blurr,2,19,43.8380530697313,35.5132025254835,-18.9900097319692,0.985485177877938,0.968738369911036,-1.69934650899195,33.1575177633229,51.2749282788996,54.6404307008082,5.03567359698509,11.5564873148895,129.49238254458
Case_11-15,gauss,blurr,2,19,42.003660040386,32.6985821408418,-22.1530168813802,0.99248820071776,0.967104024144761,-2.55763006095606,45.8712119351911,55.0021357273065,19.9055647472666,4.95221971016896,11.8714083047207,139.718934124505
Case_12-01,gauss,blurr,2,19,41.0111927282213,34.5787652678027,-15.6845656819735,0.994263011660051,0.983901742969578,-1.04210541566606,44.7633284912045,57.2839072330938,27.9706160464574,6.11088114570221,14.1104472016568,130.906916125847
Case_12-02,gauss,blurr,2,19,40.7871974743764,34.5340208017427,-15.3312241581738,0.994541972462326,0.984508057763286,-1.00889806331621,47.1136523380002,56.8132947317807,20.5877530449005,6.272331413327,14.7382011111555,134.971657904441
Case_12-03,gauss,blurr,2,19,40.6606092823555,34.3157340801883,-15.6044764555964,0.994187045093173,0.983726955479061,-1.05212491610496,46.4684751723321,55.1307291632448,18.6411410290266,6.1421161429178,14.4379267963014,135.064372935199
Case_12-04,gauss,blurr,2,19,41.7569511599559,33.0986493757761,-20.7349951173708,0.995485618639682,0.976972979065809,-1.85965916807226,48.8370112617688,56.8468576990516,16.4011806421766,6.10707009558806,14.4178423850173,136.084442447013
Case_12-05,gauss,blurr,2,19,41.2799432304647,32.365183399543,-21.595862623044,0.994572917810022,0.970987628909604,-2.37139866550474,47.7722825254363,56.0937384859273,17.4190043275832,5.1615130082406,13.658198683863,164.616182542929
Case_12-06,gauss,blurr,2,19,40.6838040318007,32.5686240849622,-19.9469546665184,0.994196235123879,0.973748317377332,-2.05672854353535,46.88827963153,56.3038761981112,20.0809171088667,5.11247720891657,13.5077628371848,164.211697875664
Case_12-07,gauss,blurr,2,19,41.0057019212603,32.4366286171605,-20.8972725806625,0.994053340034389,0.96992723472381,-2.42704333247798,47.2506723667254,56.5141085252601,19.6048769140017,5.13713571237346,13.8083130803146,168.79400999774
Case_12-08,gauss,blurr,2,19,40.9910848479172,32.8795251974054,-19.7885947166484,0.994751006778037,0.975518915734767,-1.93335728360433,47.245330104084,56.2814000044787,19.125847740904,5.56401364312637,13.6685361877583,145.659645436779
Case_12-09,gauss,blurr,2,19,41.1973509689648,32.8573645037209,-20.2439872202625,0.995264592245089,0.977791114978818,-1.75566149970777,47.8383897564182,56.449679930402,18.0007943783863,5.44530600574033,13.8050723929398,153.52243525684
Case_12-10,gauss,blurr,2,19,40.5052619220948,34.2805491392568,-15.3676645637057,0.994174284836685,0.984807922559066,-0.942124778369001,47.2340035266977,56.0952323602383,18.7602747426059,6.2405336716369,15.0061551364936,140.4626899891
Case_12-11,gauss,blurr,2,19,41.3201892911475,32.5304556415442,-21.2722492331041,0.995114189323561,0.977621609882868,-1.75784644901743,45.9959369333285,60.3068357573288,31.1133977871655,5.30574421386866,13.2938543959776,150.555885472746
Case_12-12,gauss,blurr,2,19,40.9411338466521,33.1080224499384,-19.1326195948876,0.993506600367723,0.97584730180811,-1.7774716899794,45.6064423190951,56.6943004688544,24.3120436191464,5.43919702605624,13.8398775901091,154.447072312508
Case_13-01,gauss,blurr,2,19,40.3110678055739,30.4683363223073,-24.4169455662635,0.991095880771698,0.947016663819455,-4.44752297001998,44.0103834196838,58.446132607402,32.8007803296295,4.55755444896653,12.203879620538,167.772546816316
Case_13-02,gauss,blurr,2,19,40.3473125222445,30.0076730114848,-25.6265879048555,0.990621962501725,0.937296404886924,-5.38303809458577,43.5223920060981,58.4017351235799,34.1877880135747,4.29119870285684,11.955954780365,178.615734396204
Case_13-03,gauss,blurr,2,19,40.574787971072,30.2218650734072,-25.5156549555994,0.991547113887202,0.944874007787402,-4.707099183298,44.1905143454065,58.5958713618525,32.5983013093021,4.69171143368485,12.0030527568065,155.835273044049
Case_13-04,gauss,blurr,2,19,40.9274511082999,32.2287611146227,-21.2539255636987,0.990075412746099,0.955913711933202,-3.45041401625607,45.103572833803,57.7786450334073,28.1021466887097,4.75192283895638,12.4231775060783,161.434748145166
Case_13-05,gauss,blurr,2,19,40.4511249031522,32.2539531158094,-20.2643852475511,0.990458891042677,0.960419217894557,-3.03290458794272,43.1904393786219,57.3297477537298,32.7371255734584,5.2369952116765,12.9921963576074,148.084938642675
Case_13-06,gauss,blurr,2,19,40.7162079835956,30.3952311244531,-25.3485709261059,0.99237457406576,0.948565473453175,-4.41457306116773,44.6459252034246,58.254520283096,30.4811581743804,4.4699219884167,12.3504013922989,176.300155222028
Case_13-07,gauss,blurr,2,19,40.0456286163906,31.0396019482917,-22.4894126506801,0.990591320773768,0.952244391043608,-3.87111505279561,43.378201219694,57.94449230682,33.5797489927103,4.44957031801162,12.1733247672528,173.584276620504
Case_13-10,gauss,blurr,2,19,40.3431125602203,31.0295136891982,-23.085970020582,0.989334416310908,0.947506802374755,-4.2278539234612,44.5918374255833,57.8225385943831,29.6706795069385,4.46965124100897,12.3871227096868,177.138462080334
Case_13-11,gauss,blurr,2,19,40.36770984048,30.0665601739305,-25.5182909985636,0.989987365021685,0.94096423258037,-4.95189475880238,44.5246149431246,58.141364922269,30.5825215929175,4.56948909262332,12.0139154383925,162.915945193675
Case_13-12,gauss,blurr,2,19,41.1853045841604,30.6459764671822,-25.5900210606469,0.990842485550154,0.946874863199359,-4.43739776927133,48.5053586498478,57.7723279800983,19.1050423874757,4.97381610219577,11.848510107865,138.217695717264
Case_14-01,gauss,blurr,2,19,40.6081473960589,33.0070922420483,-18.7180544827029,0.984486889133617,0.943568564885478,-4.15630971826842,48.95627213398,57.5579770216999,17.5701794944259,5.82654222035173,14.2987881110538,145.407783386673
Case_14-02,gauss,blurr,2,19,40.5989297588905,32.0646101049451,-21.0210458862566,0.983731517220021,0.923860458045123,-6.08611782044875,45.7733688080795,57.6376680796567,25.9196549883019,5.27625539011326,13.6184660403131,158.10854542469
Case_14-03,gauss,blurr,2,19,40.8617779076234,31.9649810214039,-21.7729069604669,0.986721523440019,0.93654331168498,-5.08534683424172,46.6293763323414,57.417356570743,23.1355876636919,4.99148733343509,13.6244526667678,172.953766215241
Case_14-04,gauss,blurr,2,19,41.400273694879,32.0551151841518,-22.5726974164501,0.993510888694905,0.963583290737775,-3.01230699106315,46.6974385167673,57.6665571917432,23.4897652277809,4.91833564795031,13.4002751425199,172.455482945828
Case_14-05,gauss,blurr,2,19,40.827052767097,31.8377720391726,-22.0179516243921,0.987177607416376,0.940118459218788,-4.76703967391952,47.3051304161173,57.574692373165,21.7091927803856,4.91851259401036,13.3052057717566,170.512792586104
Case_14-06,gauss,blurr,2,19,40.7593627272814,32.0187649796242,-21.4443925586866,0.990703865210651,0.955085755966318,-3.59523269213857,47.1359625162991,57.6094328229423,22.2197017893113,5.26551915596681,13.4272237262875,155.002846415855
Case_14-07,gauss,blurr,2,19,40.5759111172299,31.5536652284044,-22.2354733150882,0.98758833122317,0.934273916261075,-5.39844521006675,45.8251062387315,57.8946180234556,26.3382079723865,5.21411837780664,12.7882016494066,145.261053217324
Case_14-08,gauss,blurr,2,19,40.9825206017093,32.3095243678833,-21.1626715645799,0.989910632527766,0.950887614089712,-3.94207488593271,47.4413024189344,57.6332585070891,21.4832973980219,4.93773846673607,14.0226084092371,183.988479821335
Case_14-09,gauss,blurr,2,19,40.8791733220383,32.0189833121973,-21.6740929177852,0.987979838025813,0.937186760690959,-5.14110464403295,46.3229744537868,57.7951169202585,24.7655566201101,4.99955059971271,13.3685916971638,167.395867499211
