name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,multi,3,40.1243415195432,39.4147450629822,-1.76849371151776,0.993165191062803,0.993443779202712,0.0280505340315473,48.5780172238037,54.0145877938592,11.1914213069024,5.05276719129287,7.30356529694085,44.5458502328514
Case_1-02,avg,multi,3,40.2936625114587,39.7117303953833,-1.44422740402382,0.993246756269472,0.993719476661392,0.0475934493554998,53.8161610245821,59.1445288762144,9.90105527816903,5.9108498153191,8.92453469224013,50.9856445533513
Case_1-03,avg,multi,3,40.7579823144546,40.447421426816,-0.761963350498106,0.99442544809773,0.994965014703118,0.0542591308801085,47.5404266849396,52.8392654680129,11.1459638723688,5.40913135397936,8.13507643144829,50.3952464652855
Case_1-04,avg,multi,3,40.7566554300348,40.5464031691054,-0.515872214515432,0.995071328187904,0.995537391342949,0.0468371604972284,53.7920847374751,55.9498797243659,4.01136151800327,6.0792129057849,9.1345124418972,50.258143339657
Case_1-05,avg,multi,3,40.6563617536659,40.224021239385,-1.06340187767022,0.994472962102587,0.99486062538075,0.0389817816005569,46.3343127857079,52.4134851101711,13.1202384560635,5.28565236009879,7.73107030829635,46.2652059121014
Case_1-06,avg,multi,3,40.1417386244417,39.4858574454049,-1.63391323224203,0.994496388276641,0.994535406584277,0.00392342376457944,52.8066694589346,57.5535552478918,8.98917852156654,5.52714078445491,8.59837311052993,55.5663849691121
Case_1-07,avg,multi,3,40.4615973408956,39.9970738902915,-1.14806008939872,0.995364202567059,0.995487988277092,0.0124362228130609,49.1584440070043,55.3181451961351,12.5303013827148,5.23736482224744,8.24108192681285,57.3516874708848
Case_1-08,avg,multi,3,40.8944470608014,40.5355237394593,-0.877682294636387,0.99383241866745,0.994389315199716,0.0560352552206842,49.0591481238253,53.7144588740196,9.48917975184631,5.68987558094885,8.30856853056873,46.023729559007
Case_10-01,avg,multi,3,39.5930836838117,37.5669704938373,-5.1173412158418,0.991118220598189,0.987816496198934,-0.333131238094118,44.3411033183141,47.0540002543345,6.11824409633024,4.23115178571016,6.67426372717882,57.7410611862182
Case_10-02,avg,multi,3,40.733794669932,38.6779618339623,-5.04699562765576,0.992912062382252,0.990387369676607,-0.254271531316388,45.8059811647051,46.8606168657789,2.3023973600338,5.43571905065486,7.32941006101103,34.8379118329898
Case_10-03,avg,multi,3,38.8352646797474,37.0158185489142,-4.6850359997211,0.989286174641934,0.986052549813841,-0.326864451457978,43.9798875119894,46.4470141937846,5.60967028649792,4.56483489340935,6.64461304249848,45.5608624989238
Case_10-04,avg,multi,3,39.8312760942389,37.5785282149558,-5.65572610315873,0.992085959710756,0.988856175424262,-0.325554883110643,44.5691755878955,47.0120703196673,5.48113062346007,4.36448421475901,6.65516382168158,52.4845432863835
