name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_3,2,17,40.1243415195432,32.2696285688021,-19.575929855236,0.993165191062803,0.979615407001407,-1.36430315755395,48.5780172238037,55.3277750530288,13.8946754416269,5.05276719129287,13.1772976492003,160.793682952737
Case_1-02,gauss,method_3,2,17,40.2936625114587,32.2972184008713,-19.8454139241212,0.993246756269472,0.981460563797132,-1.18663286821174,53.8161610245821,54.488116508304,1.24861281616685,5.9108498153191,13.4717125954958,127.91498712387
Case_1-03,gauss,method_3,2,17,40.7579823144546,33.8345968054331,-16.9865756739539,0.99442544809773,0.985961193079818,-0.851170395337634,47.5404266849396,58.9068809426462,23.9090286947454,5.40913135397936,14.5845495803193,169.628312309145
Case_1-04,gauss,method_3,2,17,40.7566554300348,34.0645639264588,-16.4196287280344,0.995071328187904,0.988018278783404,-0.708798375021419,53.7920847374751,59.3477911782521,10.3281114087525,6.0792129057849,15.2341660288498,150.594382281844
Case_1-05,gauss,method_3,2,17,40.6563617536659,33.5568807252719,-17.4621651376707,0.994472962102587,0.985062519800619,-0.946274324248311,46.3343127857079,59.6915237279725,28.8279034244893,5.28565236009879,14.0776691965405,166.337402414362
Case_1-06,gauss,method_3,2,17,40.1417386244417,32.3389129682339,-19.4381855983107,0.994496388276641,0.982449897225838,-1.21131571645809,52.8066694589346,55.4078164605987,4.92579257187751,5.52714078445491,14.2119373053536,157.130003732214
Case_1-07,gauss,method_3,2,17,40.4615973408956,32.9919850288886,-18.4609921577596,0.995364202567059,0.984324783571619,-1.10908338545515,49.1584440070043,57.7549898218287,17.4874245686042,5.23736482224744,14.1883118578232,170.905547720367
Case_1-08,gauss,method_3,2,17,40.8944470608014,34.0051096315577,-16.8466330379787,0.99383241866745,0.985151683029321,-0.873460703744038,49.0591481238253,58.4407601383423,19.1230634311828,5.68987558094885,14.4877117905774,154.622646566929
Case_10-01,gauss,method_3,2,17,39.5930836838117,29.3466896019456,-25.8792524565486,0.991118220598189,0.938671865473217,-5.29163464408093,44.3411033183141,57.8496589819695,30.4650869119804,4.23115178571016,11.5557291888348,173.110721951925
Case_10-02,gauss,method_3,2,17,40.733794669932,29.9930100418338,-26.3682397260834,0.992912062382252,0.948949875304271,-4.42760126939178,45.8059811647051,57.7344246720289,26.0412356727663,5.43571905065486,12.0845041733884,122.316570462422
Case_10-03,gauss,method_3,2,17,38.8352646797474,29.0210553073145,-25.2713853075682,0.989286174641934,0.933377002491474,-5.65146603516385,43.9798875119894,58.0496444374897,31.9913435923746,4.56483489340935,11.0380119239784,141.805282813512
Case_10-04,gauss,method_3,2,17,39.8312760942389,29.0158032304439,-27.1532170804825,0.992085959710756,0.940503028431488,-5.19944171917386,44.5691755878955,57.7331999777772,29.5361630908355,4.36448421475901,11.2072220414582,156.78227918799
Case_10-05,gauss,method_3,2,17,41.7899652277262,32.7357886463028,-21.6659107804578,0.992970263291856,0.968149575671945,-2.49964057711325,49.5070847701359,59.0566194880034,19.2892285259907,5.19510269667655,12.5346507056694,141.278208295827
Case_10-06,gauss,method_3,2,17,40.7310213493126,30.1922260948206,-25.8741246975135,0.993084464121922,0.95284336326612,-4.05213275503038,46.6571605832253,57.7864523633656,23.8533413542993,5.06929549086995,12.3417960961731,143.461761469642
Case_10-07,gauss,method_3,2,17,40.5605642863538,29.8148813583175,-26.4929325247371,0.993285302752977,0.950576677226033,-4.29973396450888,45.585122532247,57.9095224508516,27.0360135807168,4.82977595381036,11.692972706391,142.101762446476
Case_10-08,gauss,method_3,2,17,40.5229346931248,29.9416241857842,-26.1119057330659,0.993147472315679,0.951728989247599,-4.17042626826667,45.6239641853153,57.8836556205911,26.8711666208561,4.72161208708533,11.7283966030452,148.398140015039
Case_10-09,gauss,method_3,2,17,40.0078780489051,29.8525831878847,-25.3832378928138,0.992651311183458,0.949189710812828,-4.37833505894574,44.3244257077193,57.8192471535491,30.4455641113465,4.5605729705345,12.1502409308447,166.41917604096
Case_10-10,gauss,method_3,2,17,40.7102571824844,30.8889264975295,-24.1249536718243,0.99149195570297,0.945054360637456,-4.68360784960576,44.1680823941782,57.7436060588055,30.7360494926459,4.87562609319863,12.0290464049276,146.717984008409
Case_11-07,gauss,method_3,2,17,40.9368636724512,31.0924645612397,-24.0477609373783,0.9893390384666,0.950335405282099,-3.94239301877274,48.0217404176075,53.7633063900054,11.9561805183818,4.67944116028176,11.1939235288594,139.214964895197
Case_11-09,gauss,method_3,2,17,44.5031593587925,37.6072032689985,-15.4954304124737,0.984656638030746,0.976197813207266,-0.859063403096204,37.6591836860141,52.8485190611208,40.3336819559041,6.02593098433085,12.8893793657483,113.898556078129
Case_11-10,gauss,method_3,2,17,42.5756634263367,34.1520280980335,-19.7850947005853,0.986162652770785,0.964048897954081,-2.24240441012155,36.0037481822009,58.9998540799094,63.8714218901159,4.43299754088983,11.2020573925125,152.697126248887
Case_11-11,gauss,method_3,2,17,42.8280863348487,34.2414925416798,-20.0489784344673,0.987084766978264,0.965729123601226,-2.16350652866551,36.2271863033264,58.4732455268871,61.4070853786346,4.56762776806261,11.8429778981243,159.280714180165
Case_11-12,gauss,method_3,2,17,42.452985164693,33.7757324897879,-20.439676129352,0.987623947923083,0.963226755913917,-2.47029165913517,35.1433886250954,54.8012225441213,55.9360798377551,4.65717232688841,11.2456245695357,141.468938235516
Case_11-13,gauss,method_3,2,17,43.8380530697313,35.7540365334733,-18.4406376884462,0.985485177877938,0.969537934189025,-1.61821243453428,33.1575177633229,51.192012169977,54.3903634023016,5.03567359698509,11.424656355151,126.874441623679
Case_11-15,gauss,method_3,2,17,42.003660040386,32.8732096034561,-21.73727343796,0.99248820071776,0.967910412591347,-2.47638088882454,45.8712119351911,55.6948825108477,21.4157641824154,4.95221971016896,11.7648326008013,137.56685464991
Case_12-01,gauss,method_3,2,17,41.0111927282213,34.7792879555635,-15.1956194348121,0.994263011660051,0.984363798170044,-0.995633285550791,44.7633284912045,56.4036071589372,26.0040507712019,6.11088114570221,14.0377137516853,129.716687609904
Case_12-02,gauss,method_3,2,17,40.7871974743764,34.7119127556638,-14.8950776099026,0.994541972462326,0.984892015578943,-0.970291566427411,47.1136523380002,56.1687663088315,19.2197240533775,6.272331413327,14.5377627993317,131.776062859863
Case_12-03,gauss,method_3,2,17,40.6606092823555,34.539412883014,-15.0543646722917,0.994187045093173,0.984239257564408,-1.00059516746499,46.4684751723321,54.1457102868612,16.5213837683664,6.1421161429178,14.3119133453794,133.012743692283
Case_12-04,gauss,method_3,2,17,41.7569511599559,33.319691811959,-20.2056402913057,0.995485618639682,0.97764794579786,-1.79185640734793,48.8370112617688,55.8737786961676,14.4086774612012,6.10707009558806,14.0767504471537,130.499244757698
Case_12-05,gauss,method_3,2,17,41.2799432304647,32.5856366732927,-21.061818105301,0.994572917810022,0.971784063007608,-2.29132066581842,47.7722825254363,55.5685368420593,16.3196186250299,5.1615130082406,13.4481506981967,160.546678400811
Case_12-06,gauss,method_3,2,17,40.6838040318007,32.7509431513476,-19.498817943013,0.994196235123879,0.974348184216357,-1.9963916786557,46.88827963153,55.7304362554785,18.8579250367774,5.11247720891657,13.3455090874463,161.038016251116
Case_12-07,gauss,method_3,2,17,41.0057019212603,32.6322756994326,-20.4201509290255,0.994053340034389,0.970649695194998,-2.35436509257959,47.2506723667254,55.8860435900731,18.2756578706991,5.13713571237346,13.6466338572839,165.646745995327
Case_12-08,gauss,method_3,2,17,40.9910848479172,33.0585338941275,-19.3518931817017,0.994751006778037,0.976100779274688,-1.87486389822885,47.245330104084,55.564864422237,17.6092204241659,5.56401364312637,13.4974911370032,142.585514751166
Case_12-09,gauss,method_3,2,17,41.1973509689648,33.0530988500788,-19.7688733069788,0.995264592245089,0.978431390412605,-1.69132931721321,47.8383897564182,55.6655719501065,16.3617175108578,5.44530600574033,13.703408151125,151.655428302452
Case_12-10,gauss,method_3,2,17,40.5052619220948,34.4857735576263,-14.8610034322108,0.994174284836685,0.985233984496508,-0.899268918592655,47.2340035266977,55.1638929752858,16.7885185597405,6.2405336716369,14.7517019167819,136.385262751295
Case_12-11,gauss,method_3,2,17,41.3201892911475,32.7528120053393,-20.7341191625268,0.995114189323561,0.978294605510694,-1.69021645890711,45.9959369333285,59.4775326255339,29.3104056381047,5.30574421386866,13.1991996807983,148.771880979429
Case_12-12,gauss,method_3,2,17,40.9411338466521,33.3149588961029,-18.6271708524577,0.993506600367723,0.976486864163979,-1.71309744670489,45.6064423190951,55.7632011337158,22.2704475467673,5.43919702605624,13.7791937231496,153.331395372165
Case_13-01,gauss,method_3,2,17,40.3110678055739,30.6237513721784,-24.0314061639816,0.991095880771698,0.948152738783357,-4.33289481083348,44.0103834196838,58.7587129568118,33.5110226068416,4.55755444896653,12.1075984939359,165.659985624119
Case_13-02,gauss,method_3,2,17,40.3473125222445,30.1511794127926,-25.270910184738,0.990621962501725,0.938522866812985,-5.25923083283646,43.5223920060981,58.8235169282,35.1569024973581,4.29119870285684,11.7880500732685,174.702965057775
Case_13-03,gauss,method_3,2,17,40.574787971072,30.4017596688937,-25.0722894952185,0.991547113887202,0.946168622900338,-4.57653401954492,44.1905143454065,59.1387213415181,33.8267323147041,4.69171143368485,11.8500510906216,152.574167403868
Case_13-04,gauss,method_3,2,17,40.9274511082999,32.3857664968995,-20.8703067992139,0.990075412746099,0.956799141857102,-3.36098346253248,45.103572833803,57.2675256359952,26.9689340288269,4.75192283895638,12.2504264584657,157.799355621611
Case_13-05,gauss,method_3,2,17,40.4511249031522,32.4232518586356,-19.8458585854828,0.990458891042677,0.961184236585593,-2.95566577490823,43.1904393786219,57.308046031389,32.6868789849702,5.2369952116765,12.9602095798154,147.474153707818
Case_13-06,gauss,method_3,2,17,40.7162079835956,30.5614050285416,-24.940443764177,0.99237457406576,0.949767991095697,-4.29339727997098,44.6459252034246,58.4895694381761,31.0076321000727,4.4699219884167,12.2400778233249,173.832023356195
Case_13-07,gauss,method_3,2,17,40.0456286163906,31.1809099016871,-22.1365452884295,0.990591320773768,0.95315127900994,-3.77956489004797,43.378201219694,58.0880090739652,33.9105989659914,4.44957031801162,11.9810251587473,169.262519804413
Case_13-10,gauss,method_3,2,17,40.3431125602203,31.209367650103,-22.6401592006152,0.989334416310908,0.948650006397394,-4.11230108270368,44.5918374255833,57.9167118953421,29.8818690573044,4.46965124100897,12.2195263044053,173.388809227246
Case_13-11,gauss,method_3,2,17,40.36770984048,30.2803297806795,-24.9887350549797,0.989987365021685,0.942499409767041,-4.7968243770064,44.5246149431246,58.3762329270887,31.1100230774775,4.56948909262332,11.8762709897091,159.903694898437
Case_13-12,gauss,method_3,2,17,41.1853045841604,30.876353098258,-25.0306549629527,0.990842485550154,0.948397267453388,-4.28375031508648,48.5053586498478,57.8765607038561,19.3199314773807,4.97381610219577,11.7129242610249,135.4917033594
Case_14-01,gauss,method_3,2,17,40.6081473960589,33.157917109062,-18.3466391961528,0.984486889133617,0.944421961027196,-4.069625360037,48.95627213398,57.5213907626182,17.4954469678528,5.82654222035173,14.0833771950237,141.710720739847
Case_14-02,gauss,method_3,2,17,40.5989297588905,32.192717825894,-20.7055013098114,0.983731517220021,0.924734573942063,-5.99726065956298,45.7733688080795,57.628824221701,25.9003340202674,5.27625539011326,13.4597380512944,155.100199973554
Case_14-03,gauss,method_3,2,17,40.8617779076234,32.1402781963148,-21.3439065990356,0.986721523440019,0.937683841936722,-4.96975897843355,46.6293763323414,57.2829184529999,22.8472755988147,4.99148733343509,13.3878421010953,168.213484414112
Case_14-04,gauss,method_3,2,17,41.400273694879,32.235728438158,-22.1364364020006,0.993510888694905,0.964386443782391,-2.93146710759987,46.6974385167673,57.4227625055983,22.9676922963986,4.91833564795031,13.2087975630783,168.562345243416
Case_14-05,gauss,method_3,2,17,40.827052767097,32.044560314838,-21.5114534530813,0.987177607416376,0.94127454992597,-4.64992896369917,47.3051304161173,57.3424032234877,21.2181484737025,4.91851259401036,13.186997477243,168.109458402156
Case_14-06,gauss,method_3,2,17,40.7593627272814,32.1824585414237,-21.042782840461,0.990703865210651,0.955899189023517,-3.51312611258801,47.1359625162991,57.4395780333165,21.8593510495399,5.26551915596681,13.1870471682154,150.441538196134
Case_14-07,gauss,method_3,2,17,40.5759111172299,31.7130447088222,-21.8426799654642,0.98758833122317,0.935440383862015,-5.28033247381205,45.8251062387315,57.8226718262778,26.181206269427,5.21411837780664,12.5831113273807,141.327687935498
Case_14-08,gauss,method_3,2,17,40.9825206017093,32.4571936826869,-20.8023488888744,0.989910632527766,0.951705921763069,-3.85941008302346,47.4413024189344,57.3635966998015,20.9148859220757,4.93773846673607,13.8343654329358,180.176147970036
Case_14-09,gauss,method_3,2,17,40.8791733220383,32.1657239500205,-21.3151310653348,0.987979838025813,0.938196121987422,-5.03894048464277,46.3229744537868,57.4615445639001,24.0454552874739,4.99955059971271,13.2006265672921,164.036262940326
Case_14-11,gauss,method_3,2,17,40.6347454610854,31.9872187133489,-21.2811145969106,0.985057610735567,0.927357463698166,-5.85754035180891,45.0873694750729,57.9170684228192,28.4551950959112,5.26449287021899,13.377500564808,154.108057406325
Case_14-12,gauss,method_3,2,17,40.9922175378572,32.2911885747924,-21.2260509083932,0.984914970693616,0.926653704914381,-5.91535995622095,46.2856580544213,57.5996338779476,24.4438046235048,4.81726589656943,13.083302724926,171.591874018064
Case_15-02,gauss,method_3,2,17,42.0597099960202,34.9578210620421,-16.8852541652096,0.98982619518326,0.971003552442755,-1.90161089210418,42.9364934399521,58.166088026959,35.4700474278503,6.05522835369932,14.2330487677285,135.053873055556
