sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.4,3,0.551382416652996,0.302362348630305,-1.45351600498386,-17.8929418924823,10
0.7,3,2.60092069744569,1.40725492419338,1.68370250886623,-53.1323932361234,10
1.1,3,3.10748661906226,1.65527534452714,0.225328277944639,-36.2925689590191,10
1.4,3,3.20063979269346,1.70127318582682,-0.693929686602539,-34.475516452214,10
1.7,3,3.2404390204436,1.71866470929334,-0.991501929742335,-33.5660062348891,10
2.3,3,3.26900211020481,1.73093514413761,-1.60464787996292,-32.9050546133305,10
2.6,3,3.27783206582862,1.73463066513586,-1.72570822499069,-32.7370323909819,10
2.9,3,3.28393132921436,1.73721202545429,-1.77046930001903,-32.6357921249301,10
2,3,3.25847094052934,1.72654921783401,-1.42600870583217,-33.3642103297131,10
0.4,5,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
0.7,5,2.74923444286279,1.47317160050069,2.13800054907067,-54.1145054204544,10
1.1,5,3.7367657759649,1.94548407088754,4.92572077351222,-39.6687961475157,10
1.4,5,3.86364133689715,2.01986731947554,6.36627356601211,-37.2587013850578,10
1.7,5,3.84728890374082,2.02391753758279,5.4592822544902,-33.5386352485963,10
2.3,5,3.75843153298648,1.99638409901667,4.47637215286118,-31.381326226793,10
2.6,5,3.72109741889375,1.98368132982535,4.16741382632862,-30.9734944800584,10
2.9,5,3.69094046246254,1.97329043821118,3.91216390434829,-30.2147897673352,10
2,5,3.80627372055369,2.01393162012834,4.97172605712967,-32.8009152334856,10
0.4,7,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
0.7,7,2.75052800777181,1.47367056404746,2.14170549175679,-54.1253022075544,10
1.1,7,3.78761127456475,1.96986644780385,5.89842025225428,-39.6715234202128,10
1.4,7,3.79189271076819,2.01202919898905,7.04005264734986,-35.3631342579914,10
1.7,7,3.46875869150335,1.91931441210399,8.40007502666028,-29.1256720480343,10
2.3,7,2.72224134772783,1.65703212649003,9.43610551092686,-22.0848994391188,10
2.6,7,2.43890818053907,1.55081369234551,9.34090411278414,-19.449115256016,10
2.9,7,2.21893640359474,1.47157965821299,9.27522462876395,-18.3979053359861,10
2,7,3.07118957826855,1.78292198044066,9.41475676773265,-24.3403223038453,10
0.4,9,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
0.7,9,2.75052972142677,1.47367113632847,2.14170633247249,-54.1254638829465,10
1.1,9,3.7899924441538,1.97092969531331,5.87415542303833,-39.5684421029161,10
1.4,9,3.7467191314859,2.00156204060439,6.99453081707299,-34.4247834309081,10
1.7,9,3.18910353700729,1.8404030425682,8.59810879630797,-25.9908459133678,10
2.3,9,1.63394355516158,1.31899936118579,9.04184915522265,-13.6015195764815,10
2.6,9,0.976620905393282,1.08248796821808,9.30260844076693,-9.69337869536496,10
2.9,9,0.438645683434723,0.880987982443128,9.05598659705277,-7.24919613694383,10
2,9,2.40489961680247,1.58530267563867,9.1785563551116,-18.9356329075263,10
0.4,11,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
