name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_3,0.7,5,28.5061691933389,29.358740123908,2.99082954565627,0.928623333145771,0.941132820927811,1.34710030811556,44.2061081586773,53.1295480956766,20.1859885628673,16.4503502679371,6.3693432312353,-61.2814126903449
Case_1-02,gauss,method_3,0.7,5,28.4395095627934,29.2831084015486,2.96629179519634,0.926715418031763,0.939496417436368,1.37917198267302,45.4603600241503,53.5110799476472,17.7093184462686,15.1602972188651,6.59104503296142,-56.5243020119705
Case_1-03,gauss,method_3,0.7,5,28.900180197066,29.7089508389174,2.79849688249887,0.939910081665517,0.950271386275481,1.10237189834199,44.4064573165978,53.2492429382222,19.9132877423195,16.9479249777619,7.10565377790728,-58.073606136262
Case_1-04,gauss,method_3,0.7,5,28.8417398928405,29.6442128774711,2.78233209096283,0.944153443314339,0.953918460975905,1.03426172204454,44.2332299380954,55.4690790847782,25.4013762106169,16.3795894080999,7.48750893072508,-54.2875664085792
Case_1-05,gauss,method_3,0.7,5,28.9353898291958,29.7393343220467,2.77841251697859,0.941151099995989,0.951259363561503,1.07403195571433,45.1333769874063,53.3425640648651,18.1887277784454,16.6812077305742,6.85675196844859,-58.8953505094168
Case_1-06,gauss,method_3,0.7,5,28.4661801433913,29.2976975638872,2.92107130745099,0.938977588994493,0.949903257074397,1.16357069731604,45.9051643203462,55.5582117519134,21.0282384879488,15.7072170384035,6.58296843438652,-58.0895303204162
Case_1-07,gauss,method_3,0.7,5,28.853169587149,29.6985414344689,2.92990981377788,0.94956318877436,0.959019899501144,0.995901151032419,45.9983568286415,54.7876276212962,19.1077929705131,16.6435801837467,7.01349148568962,-57.8606801646039
Case_1-08,gauss,method_3,0.7,5,29.0228823949082,29.8225156975528,2.75518224469968,0.934538454514018,0.945786136631187,1.20355476683065,46.0569872629726,52.8769441237846,14.8076486676646,15.7894521804839,7.08132261086584,-55.1515623853087
Case_10-01,gauss,method_3,0.7,5,28.2646651665988,29.2046489769013,3.32564990514499,0.908569602656189,0.92550373860439,1.86382373994177,52.3684812156507,48.27218887818,-7.82205678374064,17.3116213271664,6.37420104041582,-63.1796414677055
Case_10-02,gauss,method_3,0.7,5,28.705282256066,29.6573577370111,3.31672572473621,0.916370245972796,0.93275800360588,1.78833366808927,51.7189457522933,49.2736659927111,-4.72801547675368,16.6723879771566,6.21807227797262,-62.7043691252135
Case_10-03,gauss,method_3,0.7,5,28.0339153781104,28.9904556841492,3.41208244776871,0.902172771467147,0.920291721374148,2.00836807317244,51.5030612821376,47.6315405531959,-7.51706914610993,16.4920820446062,5.89317195298763,-64.2666587696549
Case_10-04,gauss,method_3,0.7,5,28.1551026344296,29.1038264230824,3.36963356508124,0.913337276002993,0.929861463970267,1.80920985066861,51.3456146020129,48.1354022853975,-6.25216455484708,16.5725381513509,5.62041911967709,-66.0859485231057
Case_10-05,gauss,method_3,0.7,5,29.5497248562858,30.4038415869504,2.89043886133829,0.922303784930168,0.936225122032603,1.50940908298341,53.272159948356,49.2411478024027,-7.56682693148001,17.7804761161663,7.03579303182677,-60.4296702413401
Case_10-06,gauss,method_3,0.7,5,28.6219940820744,29.5603813908912,3.27855322073641,0.917722304519519,0.933790576894489,1.75088611182682,52.4100677107202,50.2814208115513,-4.06152289464319,16.8727999912464,6.18167752111027,-63.3630605215654
Case_10-07,gauss,method_3,0.7,5,28.6148864960412,29.5471162652492,3.25784891488914,0.921541762230193,0.936673187229554,1.64196845108157,52.7785593687096,49.7435227910575,-5.75051046097991,16.7044916258569,6.19108035104214,-62.9376308497833
Case_10-08,gauss,method_3,0.7,5,28.6289419961233,29.5790082508328,3.31855174682369,0.921163548506973,0.936554202161436,1.67078405125872,52.790326705836,49.8699214807147,-5.5320840149269,16.7685116311086,6.21003186114241,-62.9661117351543
Case_10-09,gauss,method_3,0.7,5,28.2832668204159,29.2091150562895,3.27348407718338,0.918389205453267,0.933756659451963,1.67330516380707,51.1816990426275,48.7869765830595,-4.67886471993332,18.7834968241301,6.53893097215051,-65.1878932161858
Case_10-10,gauss,method_3,0.7,5,28.8493978437126,29.719827823824,3.01715129316354,0.901126003136375,0.918152770372409,1.88949904639001,52.4888367674548,50.7963127804073,-3.22454085722255,19.4288803794361,6.92516991875514,-64.3563098670118
Case_11-07,gauss,method_3,0.7,5,29.1386205681216,30.0123393320683,2.99849048071464,0.902084435733824,0.918323294391962,1.80014841348278,61.4658470065823,52.5144294180237,-14.563238000446,16.0395593927619,6.47366296481905,-59.6393965301792
Case_11-09,gauss,method_3,0.7,5,31.9715711552861,32.4415527325983,1.46999837771326,0.862665997734373,0.872019456343852,1.08425029316608,52.4517434609508,47.970829212277,-8.54292718031338,19.0179435350321,8.90143688837064,-53.1945350874889
Case_11-10,gauss,method_3,0.7,5,30.632152219859,31.2955522212346,2.16569830488593,0.870949269508202,0.883849604491965,1.48118098670053,44.6079390183721,41.9744432441282,-5.90364816711059,18.6860179062494,8.05068169564366,-56.9160120897071
Case_11-11,gauss,method_3,0.7,5,30.6108356911544,31.2846379442307,2.20118868976509,0.867544379336337,0.880604094973575,1.50536571365117,43.3522646415795,41.1312215515623,-5.12324582897809,17.4156365958146,7.48849996055722,-57.0012849122215
Case_11-12,gauss,method_3,0.7,5,30.4835977566109,31.2345796464357,2.46356055417368,0.86871210562901,0.882387128211066,1.57417198326639,41.5422954828143,43.4615410161157,4.61997949558508,17.2341408285665,7.31876026945496,-57.533361585837
Case_11-13,gauss,method_3,0.7,5,32.1613946131463,32.8151579141736,2.0327579350681,0.874795275696001,0.884654122045743,1.1269889794385,50.5343084098511,46.2799823999246,-8.4186884985591,19.0634068954114,8.25911025574753,-56.6755811221996
Case_11-15,gauss,method_3,0.7,5,29.5927770071069,30.4084721024994,2.7563992902616,0.908998845712998,0.921526254462296,1.37815452773998,58.6551822465722,58.2963081034125,-0.611837060962548,16.9300585186167,7.14531611089554,-57.7950891130212
Case_12-01,gauss,method_3,0.7,5,29.9910835653672,30.7787041375212,2.62618244665064,0.948983742252775,0.958197313766883,0.970888235897022,51.2836895239237,54.640721905593,6.54600402746612,18.5332135404971,7.97139762763164,-56.9885837110048
Case_12-02,gauss,method_3,0.7,5,29.8841179563551,30.6553884321563,2.58087080544796,0.95078188216078,0.959581276233741,0.925490297833974,50.238488513257,55.4801743512878,10.433605773485,19.1387841190642,8.01911389830426,-58.100191483343
Case_12-03,gauss,method_3,0.7,5,29.7957776666667,30.563704271412,2.57730009042301,0.949150928018733,0.958149658188573,0.948082112570175,51.0805962810447,55.170824974316,8.00740200988838,18.5046686852634,7.73085234530335,-58.2221520590639
Case_12-04,gauss,method_3,0.7,5,29.4745131842049,30.3016173756788,2.80616743796487,0.94251861803899,0.953332512309018,1.14734012284318,48.9709495882353,55.0057433077711,12.3232115576245,19.3437925342177,7.40042988594211,-61.7426113682137
Case_12-05,gauss,method_3,0.7,5,29.323412509936,30.1753905462347,2.90545323130432,0.936240330239236,0.94819933422507,1.27734339138949,49.7154157961759,54.6796337027972,9.98526880872066,18.9481735853036,7.19634996692983,-62.0208779778575
Case_12-06,gauss,method_3,0.7,5,29.1704537343105,29.9877084759845,2.80165248411162,0.939230647730674,0.950185255585908,1.16633841556408,50.2724450876066,54.3815904643649,8.17375277768488,18.0291157906918,7.3408406718799,-59.2834126914316
Case_12-07,gauss,method_3,0.7,5,29.2740779790616,30.1124323013832,2.86381119474112,0.934275489022505,0.946338814363381,1.29119574286357,49.7128092177933,54.6294004578013,9.88998875213087,18.6476028269954,7.45975373700664,-59.9961785639952
Case_12-08,gauss,method_3,0.7,5,29.3055828338618,30.1286360930114,2.80852035537285,0.941452214164832,0.952245323102552,1.14643194580979,49.9247619961381,54.7255296189314,9.61600502605213,19.5794220706421,7.49045950328548,-61.7432042873377
Case_12-09,gauss,method_3,0.7,5,29.4171115068599,30.2230471736765,2.73968321678576,0.946703900281896,0.956394698785784,1.02363563739441,50.3626310218899,54.8939682696074,8.99741962596831,18.7839729253224,7.20601185267836,-61.6374454896916
Case_12-10,gauss,method_3,0.7,5,29.4537033120781,30.2497140947079,2.70258301374046,0.948359153095436,0.957692677839057,0.984176165027393,48.4963549186277,55.2866751192578,14.0017125246292,17.0740811523167,7.63015526497094,-55.3114735902748
Case_12-11,gauss,method_3,0.7,5,29.266127739457,30.1011002973945,2.85303394207408,0.945827289027614,0.955827387540743,1.0572858944903,49.1697073109488,51.3663492990047,4.46747013189317,17.2437577602437,6.77476986851269,-60.7117545797805
Case_12-12,gauss,method_3,0.7,5,29.5168445999294,30.3238582781682,2.73407841921106,0.93668170600089,0.947681933949896,1.17438270423478,52.0134644162856,53.2781714349544,2.43149929131197,18.2403397925324,7.56440851996427,-58.5292346195154
Case_13-01,gauss,method_3,0.7,5,28.7256427886071,29.6112041351048,3.08282517127501,0.908170910423039,0.924599060260016,1.80892711365575,52.8720118495084,50.4037454458712,-4.66837995622852,16.6942406594767,6.54674977630726,-60.7843812135839
Case_13-02,gauss,method_3,0.7,5,28.6906420304723,29.6050350896388,3.18707771751965,0.901862016834829,0.919664125882565,1.97392824128619,52.2792259579301,48.0782546050464,-8.03564183651905,18.1505540837039,6.4878981956111,-64.255095653327
Case_13-03,gauss,method_3,0.7,5,28.7941353239558,29.7064852055477,3.16852675493579,0.908717957943047,0.925575576885993,1.85509913120948,53.5461172911822,49.6341833121848,-7.30572855119337,17.339089450684,6.73832714369474,-61.1379411654807
Case_13-04,gauss,method_3,0.7,5,29.457021437181,30.3197519411663,2.92877711965912,0.904113567918625,0.920933417819653,1.8603691502772,52.3939625498649,54.6968866868123,4.39539982255706,17.6807386343856,7.05907906594429,-60.0747502018057
