name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_3,2,19,28.5061691933389,29.272684621691,2.68894576171693,0.928623333145771,0.947930772227088,2.07914645176007,44.2061081586773,57.7532362867851,30.6453761536316,16.4503502679371,13.7025796763593,-16.7034169292637
Case_1-02,gauss,method_3,2,19,28.4395095627934,29.2148204004051,2.72617513287242,0.926715418031763,0.948180199439818,2.31622146242516,45.4603600241503,55.6303936574273,22.3712122558518,15.1602972188651,13.9316693086098,-8.10424685293416
Case_1-03,gauss,method_3,2,19,28.900180197066,30.0117568617429,3.84626205475992,0.939910081665517,0.957991806301814,1.92377175104415,44.4064573165978,58.3164397099371,31.3242335324513,16.9479249777619,15.0864634829284,-10.9834183079994
Case_1-04,gauss,method_3,2,19,28.8417398928405,30.0061383968718,4.03719924095253,0.944153443314339,0.962079391350816,1.8986265594234,44.2332299380954,58.7062491264936,32.7197882873424,16.3795894080999,15.751495490895,-3.83461332000381
Case_1-05,gauss,method_3,2,19,28.9353898291958,29.9546680678188,3.52260067909837,0.941151099995989,0.958189497673913,1.81037855430404,45.1333769874063,59.1520149683858,31.0604676997495,16.6812077305742,14.3585620710508,-13.9237260097558
Case_1-06,gauss,method_3,2,19,28.4661801433913,29.2337533622281,2.69643912520187,0.938977588994493,0.955104486962635,1.71749551396772,45.9051643203462,56.5408987833711,23.1689279855401,15.7072170384035,14.7005241964306,-6.409110153069
Case_1-07,gauss,method_3,2,19,28.853169587149,29.7262250235097,3.02585625375992,0.94956318877436,0.962183199959928,1.32903332129553,45.9983568286415,58.3961753540006,26.9527421849978,16.6435801837467,14.5489378120435,-12.5852872313415
Case_1-08,gauss,method_3,2,19,29.0228823949082,30.126262963166,3.80176080805578,0.934538454514018,0.954925218770711,2.18147944134572,46.0569872629726,57.92548514394,25.7691581370739,15.7894521804839,14.609082102077,-7.47568734440228
Case_10-01,gauss,method_3,2,19,28.2646651665988,27.7102136533383,-1.96164189454382,0.908569602656189,0.903134002131134,-0.598259121718821,52.3684812156507,57.7135000985823,10.2065569954589,17.3116213271664,11.8565034666529,-31.5113053677589
Case_10-02,gauss,method_3,2,19,28.705282256066,28.1779328391145,-1.83711629186318,0.916370245972796,0.914997788371035,-0.149771078643388,51.7189457522933,56.837093229279,9.89607851153604,16.6723879771566,12.3017185801418,-26.215017326871
Case_10-03,gauss,method_3,2,19,28.0339153781104,27.4706065054174,-2.00938350956426,0.902172771467147,0.897326027338068,-0.537230149519768,51.5030612821376,57.8996801713265,12.4198809351308,16.4920820446062,11.3391804415336,-31.2447002697147
Case_10-04,gauss,method_3,2,19,28.1551026344296,27.4450835736689,-2.52181307942531,0.913337276002993,0.907017134893565,-0.691983265709572,51.3456146020129,57.4073225801416,11.8056975753701,16.5725381513509,11.4045822708824,-31.1838526680188
Case_10-05,gauss,method_3,2,19,29.5497248562858,29.8995531747755,1.18386320072712,0.922303784930168,0.933736489056326,1.23958117845344,53.272159948356,58.2112049382047,9.27134359604874,17.7804761161663,13.2375973314503,-25.549815173878
Case_10-06,gauss,method_3,2,19,28.6219940820744,28.2326146907457,-1.36042020766303,0.917722304519519,0.919013753668515,0.140723304057825,52.4100677107202,57.018205619529,8.79246700127071,16.8727999912464,12.6513637636722,-25.0191801583868
Case_10-07,gauss,method_3,2,19,28.6148864960412,28.0507310008611,-1.97154545854339,0.921541762230193,0.919218465694186,-0.252109739485305,52.7785593687096,57.5483984572084,9.03745601538081,16.7044916258569,11.9123913496011,-28.6874954568395
Case_10-08,gauss,method_3,2,19,28.6289419961233,28.1306756378086,-1.74042882332921,0.921163548506973,0.919926624977365,-0.134278384290445,52.790326705836,57.5202071380506,8.95974836179923,16.7685116311086,11.8252152094962,-29.479637372477
Case_10-09,gauss,method_3,2,19,28.2832668204159,27.9513731766014,-1.17346290271853,0.918389205453267,0.917061676463331,-0.14454971618275,51.1816990426275,57.44000584915,12.2276261311885,18.7834968241301,12.4527126189329,-33.7039703760823
Case_10-10,gauss,method_3,2,19,28.8493978437126,28.7068009837721,-0.494280195077275,0.901126003136375,0.903036882954431,0.212054675084924,52.4888367674548,58.1228015171608,10.7336437548932,19.4288803794361,12.3848994929093,-36.2552074487129
Case_11-07,gauss,method_3,2,19,29.1386205681216,28.9039678044516,-0.805298120140683,0.902084435733824,0.905780469381127,0.409721474054281,61.4658470065823,50.7919406365406,-17.3655890057102,16.0395593927619,11.5559950640809,-27.9531639173599
Case_11-09,gauss,method_3,2,19,31.9715711552861,32.2960504059613,1.01489929631287,0.862665997734373,0.877770473137704,1.75090654355219,52.4517434609508,47.6167755351419,-9.21793558570345,19.0179435350321,13.5940765723701,-28.5197342849974
Case_11-10,gauss,method_3,2,19,30.632152219859,30.764881640207,0.433300994965455,0.870949269508202,0.88323179011673,1.41024523913585,44.6079390183721,48.826555952133,9.45709895277493,18.6860179062494,12.0102965542403,-35.7257570098786
