name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,multi,9,33.4759556501799,28.7285925733827,-14.1814116567922,0.972335269019959,0.956506013637358,-1.62796268807108,52.4354281098805,53.1104274341421,1.28729629678442,10.9190875605897,17.3176524640704,58.599813106867
Case_1-02,avg,multi,9,33.4818513379292,28.5642028874322,-14.687504585286,0.971744175413089,0.958538127196656,-1.35900461773482,52.7504057077562,50.7697083320501,-3.75484766255518,10.1451097173562,16.7082928912189,64.6930723936335
Case_1-03,avg,multi,9,33.9803227533216,30.2838130710934,-10.8783830838299,0.977470683940988,0.969712841886269,-0.793664933606096,49.5483662885279,54.2542863899085,9.49762919321569,11.5281573163195,18.223791328646,58.0806960610085
Case_1-04,avg,multi,9,33.9474690974221,30.3707841859026,-10.5359398111688,0.978930092078279,0.973245499315358,-0.580694454989391,52.91561020132,53.7161973995495,1.51295089517742,11.2660662381426,19.1653275279228,70.1155232252795
Case_1-05,avg,multi,9,33.9685684905812,30.0643853289404,-11.4935169043799,0.977688234308167,0.968374411514236,-0.952637299611284,49.4256758378466,54.3612181371048,9.98578616395738,10.5888160888899,17.7659796136087,67.7806042192883
Case_1-06,avg,multi,9,33.4344180768726,28.7444258952782,-14.02743774637,0.976855423113748,0.962361289726681,-1.48375420191326,53.7911905989864,52.966740643567,-1.53268582873662,10.6327561201067,17.509431212836,64.6744363836712
Case_1-07,avg,multi,9,33.7408043426096,29.4606319124589,-12.6854487127491,0.980742489719215,0.966835552499492,-1.41800088866387,52.9550586254756,53.9064402582006,1.79658309785578,11.3283166213266,17.4133518488011,53.7152644199478
Case_1-08,avg,multi,9,34.1521869592729,30.4284270478195,-10.9034303305205,0.974817433975707,0.967773109571001,-0.722630121209038,49.9069179039433,53.581675344939,7.36322256579456,10.5160333523625,18.2802281143936,73.8319716367849
Case_10-01,avg,multi,9,32.9134891256976,26.077575490402,-20.7693374870986,0.964037670496018,0.877612659199907,-8.96489981056892,41.9987206203358,57.9120603971236,37.890058415452,11.743832514298,14.5749385981255,24.1071735345401
Case_10-02,avg,multi,9,33.6615593813144,26.4927920648762,-21.296598993621,0.96895347004584,0.892787119260774,-7.8606819769645,44.9721033212372,55.7033947220302,23.862106969156,11.4334337002638,15.6275276306519,36.6827152746891
Case_10-03,avg,multi,9,32.5637287238298,25.8163408293226,-20.7205629052226,0.960657616043432,0.869307610853737,-9.50911164020434,41.3466755236393,57.3249003474117,38.6445212859668,10.8886442830027,14.5641421682181,33.7553306884391
Case_10-04,avg,multi,9,32.9835399093948,25.6778746572401,-22.1494274787462,0.966807333362887,0.879695270096933,-9.01028160005243,42.2190618011956,56.4756822979134,33.7682077442896,10.901110122425,14.3258205615484,31.4161622134099
Case_10-05,avg,multi,9,34.7667913512929,29.2476861652018,-15.8746463840295,0.971829967287729,0.933765414459888,-3.91679142536379,50.2725434332673,55.8828273831694,11.1597376356126,11.3217583121142,16.0912536519433,42.1268075889396
Case_10-06,avg,multi,9,33.6367400883358,26.6534594323076,-20.7608723012065,0.969510048523226,0.900528072748078,-7.11513778327752,45.243912845644,55.3368611476996,22.3078590405945,10.9084889990185,15.9750157765414,46.4457247743365
Case_10-07,avg,multi,9,33.5554762992269,26.416154826904,-21.2761738461373,0.970942748565248,0.898435705208583,-7.46769502772514,43.7050082817061,57.394631342367,31.3227787818337,11.3978916382202,14.4032355477134,26.3675423919241
Case_10-08,avg,multi,9,33.5352097892162,26.5113540772224,-20.9447197621305,0.970545026459748,0.899813947415496,-7.28776894589391,43.7199797089985,57.4758346095935,31.4635436524773,11.1659592242579,14.4758942451301,29.6430871221648
Case_10-09,avg,multi,9,33.124556430387,26.5017492089937,-19.9936480215562,0.968859697950638,0.89651385907236,-7.46711201129599,44.1049857852973,58.1761916083052,31.9038892598365,11.5005443734777,16.1694760199293,40.5974838653637
Case_10-10,avg,multi,9,33.950519206451,27.6990177722387,-18.4135665089457,0.965173898889129,0.893201482936797,-7.45693766016346,42.054893004641,60.4868430582158,43.8283127995136,12.1862015136373,15.9760014898641,31.0991080525443
Case_11-07,avg,multi,9,34.0888845657212,27.6845217510913,-18.7872466236983,0.962896920467017,0.897229453667405,-6.81978157825684,54.2421494575954,56.2092203052914,3.62646183340092,10.7000670144643,14.0397535682811,31.2118283867032
Case_11-09,avg,multi,9,38.5469187624526,34.0687420825317,-11.6174698878473,0.964819332295967,0.953275688783799,-1.19645648939247,48.089169485998,49.61138720527,3.16540654692578,12.5553033334052,15.6257857316875,24.4556608211354
Case_11-10,avg,multi,9,36.2409882887911,30.8644144414356,-14.835615973029,0.963741701537482,0.930967387875122,-3.40073627716579,39.2724574976077,51.6667523690359,31.5597639189838,11.8210092341126,13.9188123091275,17.7463957050398
Case_11-11,avg,multi,9,36.2455875744065,30.823886470095,-14.9582375873521,0.964504620050172,0.931730406461378,-3.39803593549288,39.7291166388253,50.8183681909435,27.9121523212556,11.1187686248859,15.0252987525368,35.1345572468095
Case_11-12,avg,multi,9,35.8008583100385,30.4120724706955,-15.052113535032,0.961755602673155,0.925520373950277,-3.76761295927616,45.9857892892155,51.5063979784826,12.0050319339887,11.2336497952569,14.5530449474213,29.5486793042632
Case_11-13,avg,multi,9,37.67920220668,32.3942796318414,-14.0260999844145,0.965668688882702,0.94165096767697,-2.48715956955398,45.6155334791428,52.9906069484949,16.1678991932086,13.2931069921707,14.2930713545294,7.52242769841273
Case_11-15,avg,multi,9,34.8242691307297,29.5195894191452,-15.2327093834213,0.971268321482045,0.934712071894764,-3.76376422238298,54.9889490119794,56.6258548519099,2.97679055399652,10.829916724276,14.6631256471517,35.3946297138484
Case_12-01,avg,multi,9,34.8784269138272,31.3315095631269,-10.1693730610715,0.979944503216563,0.968121893668553,-1.20645705029248,51.1587863088937,57.8822419633433,13.142328306723,13.0586897551047,17.4259627460874,33.4434240561962
Case_12-02,avg,multi,9,34.7628560637644,31.264815044966,-10.0625823504897,0.981206446380382,0.969461624470005,-1.19697765477424,53.0669183336821,58.3760854579896,10.0046644708549,12.6557426540854,18.920470388661,49.5010676639614
Case_12-03,avg,multi,9,34.647159194861,31.0949841333485,-10.2524280317891,0.980102653637559,0.968119634149133,-1.22262902196548,52.7042195132601,57.8595783145321,9.7816813319375,12.3089530457372,17.5522759913947,42.5976354461218
Case_12-04,avg,multi,9,34.7195664173582,29.8169135999509,-14.1207201681993,0.980225183592422,0.95402330615518,-2.67304675250376,52.736404903357,58.942533789406,11.7682062275996,11.7560102439383,17.9366700676588,52.5744678294021
Case_12-05,avg,multi,9,34.3927263043223,29.1860918194689,-15.1387663739792,0.977005037063213,0.943472771383387,-3.43214870013572,50.3153470465787,59.0674028926574,17.394406199716,12.1314182511026,17.4482490542504,43.8269515822244
Case_12-06,avg,multi,9,34.1307093635477,29.4011373518577,-13.857233265539,0.977211408780756,0.949310794295051,-2.85512574198408,49.5890540085921,59.2756599863126,19.5337583492561,12.0670737480406,17.319277930939,43.5250856385227
Case_12-07,avg,multi,9,34.275308998348,29.2857496491725,-14.5572993941963,0.975802595233421,0.942063007614259,-3.4576242965506,49.9354738369439,59.2723448944802,18.6978721540207,12.3065986416947,17.7006135791018,43.8302661397616
