name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,blurr,2,3,35.5130502237525,36.3160706771098,2.26119820262653,0.98181957988096,0.985827078708427,0.408170595655962,52.7348393680042,55.1115926785971,4.50698881247561,8.60511097448948,7.31225973503485,-15.0242250598207
Case_1-02,gauss,blurr,2,3,35.6116160118492,36.4395056772351,2.32477421162363,0.981926766770441,0.986046125984247,0.419517967450311,54.4745024880271,57.0794178528931,4.78189840364038,8.49319436868192,8.67473451203506,2.13747779071867
Case_1-03,gauss,blurr,2,3,36.0592825627233,36.9834595084262,2.56293769598811,0.985150654727046,0.988577331468302,0.347832762919466,51.4484489206713,56.5343134624586,9.88536029459173,8.8447111658808,8.20536343801922,-7.2285879761446
Case_1-04,gauss,blurr,2,3,36.0602043459923,36.9734336732207,2.53251290110888,0.986437036136986,0.989555487205068,0.316132804613087,54.5998144998589,57.707337719755,5.69145380503827,9.02125748580774,9.25340077439629,2.57329190474563
Case_1-05,gauss,blurr,2,3,36.0078604552352,36.9020716160786,2.48337765570666,0.985267075146047,0.988571353217743,0.335368770057281,51.4093719252562,55.7521401008536,8.4474250763291,8.86405948984659,7.76656509126714,-12.3813970318744
Case_1-06,gauss,blurr,2,3,35.4819239427035,36.2851279759755,2.26369921363067,0.984863286016204,0.988136424523222,0.332344453640608,54.1284290213036,56.9089305547263,5.13685984185579,9.34899274226238,8.4361585915727,-9.76398394837971
Case_1-07,gauss,blurr,2,3,35.7853659516184,36.6912333135264,2.53139052184819,0.987447389226619,0.990287164293462,0.287587480388961,51.3868356229413,54.7543461643261,6.55325532417375,9.3600145270923,8.06061649202751,-13.8824360934881
Case_1-08,gauss,blurr,2,3,36.2151303572237,37.1102611662889,2.47170395421922,0.983378652810484,0.987153288987189,0.383843615673006,51.9194553499007,57.1871485290018,10.145894527592,8.58518541900276,8.22689037973289,-4.17341061122353
Case_10-01,gauss,blurr,2,3,34.9461058702126,35.203869548378,0.737603437483968,0.976235142880686,0.978702296772565,0.252721274159343,42.9597175956439,47.9479956400442,11.6115242920176,8.84068724611204,6.56603602238216,-25.7293484138377
Case_10-02,gauss,blurr,2,3,35.8131320470778,36.074391849875,0.729508389419131,0.979984558102356,0.982267270102957,0.23293346632132,45.9661932139736,49.1983777861633,7.03165597626014,8.78524520367117,7.34241433004239,-16.4233420943773
Case_10-03,gauss,blurr,2,3,34.4632770575901,34.740467470548,0.804306602923015,0.973257257461445,0.976198510939025,0.302207197021318,42.3220717029045,47.4443181800034,12.1030145051889,8.11387314857736,6.46034020166925,-20.3790830424559
Case_10-04,gauss,blurr,2,3,35.0629264052645,35.2186437028021,0.444108103635531,0.978376093338417,0.98047165478809,0.214187720237715,43.4141632512589,48.3788772262325,11.4357011702388,8.01802346116705,6.42974146589207,-19.8088968305887
Case_10-05,gauss,blurr,2,3,36.9088783861441,37.4681305294437,1.51522389125109,0.981579494689493,0.984344152015828,0.281653940540951,53.3613130501927,55.2155764207731,3.47492080795731,9.24329036803276,7.47422976509464,-19.1388621638057
Case_10-06,gauss,blurr,2,3,35.7906949354973,36.1126998709445,0.899688972308283,0.980384464713486,0.98293234255662,0.259885579059876,46.2388943127014,50.2722287157137,8.72281758239269,8.20020424579789,6.91201706098455,-15.7092085294516
Case_10-07,gauss,blurr,2,3,35.6838108875404,35.8681055578284,0.516465774546469,0.98123281173479,0.98301613223118,0.181742851957585,44.5315489092155,49.55974354974,11.2913086647294,8.70193788647782,6.78734180081957,-22.0019507221879
Case_10-08,gauss,blurr,2,3,35.6543760482177,35.9697891231965,0.884640568529883,0.980898376947195,0.983157538462225,0.230315552367594,44.5817682945645,49.5709211414319,11.1910160536985,8.31188769653866,6.72808053199778,-19.0547228543575
Case_10-09,gauss,blurr,2,3,35.1981175213702,35.5356850381835,0.959049916826986,0.979606925096846,0.981923388003935,0.23646861284279,44.9564796058407,48.2853441783413,7.40463800032087,8.33430535406783,6.75579322853648,-18.9399363050804
Case_10-10,gauss,blurr,2,3,35.9954442096215,36.2605384527157,0.736466097071891,0.97696070908593,0.979131868144361,0.222236067248005,42.752436453607,49.0915526497775,14.8274969148236,9.26942544724691,6.97878419888026,-24.711793210948
Case_11-07,gauss,blurr,2,3,36.1568510336976,36.5424921371316,1.06657823457729,0.974547788205935,0.978213663482631,0.37616167427195,45.6835115067127,47.1009448327475,3.10272411048454,8.21343404725121,6.90700725471473,-15.9059753206845
Case_11-09,gauss,blurr,2,3,40.6442662809458,41.1357993303809,1.20935397391001,0.974474762935465,0.977527531750233,0.313273255591748,47.1466960724383,47.9665614905031,1.73896685529182,9.41468452376395,7.86053480235984,-16.5077195893418
Case_11-10,gauss,blurr,2,3,38.2563424752293,38.6687316226544,1.07796281804041,0.973494250402761,0.976900759102914,0.349925918796472,38.6387625277935,41.8989625888599,8.43764097962854,9.02095162165154,6.57334851259689,-27.132426951277
Case_11-11,gauss,blurr,2,3,38.3221311625614,38.7774812555047,1.18821704098804,0.974167300110205,0.977653959133409,0.357911728592113,41.7931304834132,44.587271601209,6.685646864632,8.57983483007674,6.99611397655099,-18.4586403455459
Case_11-12,gauss,blurr,2,3,37.8401728508366,38.2930486268804,1.19681212300221,0.972506718252837,0.976104990737662,0.369999756021174,52.505691631411,53.9274526171707,2.70782260281511,8.79629401785007,6.79735759963735,-22.7247567459243
Case_11-13,gauss,blurr,2,3,39.6411835287861,40.002681512862,0.911925305694724,0.973850230810274,0.976686258395904,0.291218043175929,44.5450042570052,47.4284353809892,6.47307407885263,10.3667275328215,6.99398546285475,-32.5342984011927
Case_11-15,gauss,blurr,2,3,37.0024679541896,37.5417131791269,1.45732232132428,0.980571137981358,0.983217585860788,0.269888412673216,51.0135095687472,49.8485024319764,-2.28372277582808,8.75062143311724,7.22304493518042,-17.4567773227581
Case_12-01,gauss,blurr,2,3,36.7672978538662,37.5690447258311,2.18059775605893,0.986238295717609,0.988791660042964,0.25889932853367,52.9537082977573,53.6362254634783,1.28889399375619,10.5607567846272,8.65625190863287,-18.0337916574939
Case_12-02,gauss,blurr,2,3,36.6149745746678,37.3914130678978,2.12054904379801,0.987016881807519,0.98929825409188,0.231138121992774,52.7700551537969,53.631689726744,1.63280968806252,10.1772101585775,8.51030382582601,-16.3788141030633
Case_12-03,gauss,blurr,2,3,36.5289818801222,37.2983575757661,2.10620623966138,0.986319094185384,0.9887483642959,0.246296571245232,52.0713947690289,52.8350768799656,1.46660582902393,9.76327073542631,8.33460594345316,-14.6330551583415
Case_12-04,gauss,blurr,2,3,36.8858644062168,37.5078076222942,1.68612888999446,0.987348941603385,0.989187280297725,0.186189361924538,50.2434989484261,53.5110161356204,6.50336313270772,9.57754297701346,7.88824610831098,-17.6381027238078
Case_12-05,gauss,blurr,2,3,36.4775290833531,37.0078336564737,1.45378425141906,0.984993818804254,0.986979630272013,0.201606490299574,46.9630475792765,53.0309638724071,12.9206186691519,9.50793494410234,7.33547243963411,-22.8489416181353
Case_12-06,gauss,blurr,2,3,36.1033052480962,36.7698268021213,1.84615106413348,0.984681583399787,0.987053210324712,0.240852166315178,46.1107143550331,52.5084934660459,13.8748210703322,9.67881200798479,7.43072934545868,-23.2268449957649
Case_12-07,gauss,blurr,2,3,36.3202061262505,36.9163509357055,1.64135855226916,0.984004195550264,0.986239876837601,0.227202414120488,46.2238693574983,52.7184147205735,14.0501984220446,10.209880422144,7.37902514137788,-27.7266252269352
Case_12-08,gauss,blurr,2,3,36.3730610536849,37.0274619275537,1.79913610488541,0.986027983615332,0.988092661653672,0.209393452584394,47.3159529595007,52.5039268551241,10.9645343084687,10.1282042460566,7.67885219034486,-24.1834780994409
Case_12-09,gauss,blurr,2,3,36.466175284762,37.0693782214252,1.65414368782246,0.987129818507805,0.988972473600055,0.186667959745729,47.5073421975312,52.7011646350223,10.9326731348087,9.64208060346582,7.78535292292266,-19.2565044506656
Case_12-10,gauss,blurr,2,3,36.2970863775748,37.1825441371263,2.43947337904929,0.986100544865486,0.988904522172552,0.284350041348853,53.4542533032207,53.9617963891957,0.949490554279963,9.437476353466,8.84524163243526,-6.27535051585313
Case_12-11,gauss,blurr,2,3,36.4681700565026,37.1055997485264,1.74790698583491,0.986965846150631,0.989000738320912,0.206176553952457,52.9389811895609,55.1649492970155,4.2047807823955,8.76649012193851,7.30522957045253,-16.6687069871796
Case_12-12,gauss,blurr,2,3,36.4363560997044,37.1104786219207,1.85013704545987,0.983716898042925,0.98638767865007,0.271498905066971,50.7550691880407,51.8856147558372,2.22745350539862,9.65668621453192,7.82054416417527,-19.0142043509037
Case_13-01,gauss,blurr,2,3,35.5952961426545,35.9061352842465,0.87325904059425,0.976037960968705,0.979154683687295,0.319323924194188,43.4829433745207,48.9284944719954,12.5234187818701,8.91501694174954,6.76843153379587,-24.0783099121336
Case_13-02,gauss,blurr,2,3,35.6305426209041,35.8222175210808,0.537951111820274,0.974685288965951,0.977447216483888,0.283366082283481,44.5673967303119,47.3410990820635,6.22361312359344,8.64994134234082,6.79161442228551,-21.4836938946503
Case_13-03,gauss,blurr,2,3,35.8302530086695,36.1006687827319,0.754713548902511,0.977099298583854,0.979871686338566,0.28373654128404,45.0311779870674,48.7702398665614,8.30327352432993,8.8186879938837,7.10333975177224,-19.4512862151508
Case_13-04,gauss,blurr,2,3,36.3104772778784,36.9172796007155,1.67114939909321,0.974358055444032,0.978794174818111,0.455286365139912,44.7775304687379,52.6332985557222,17.5439958495901,9.15741161178807,6.96074489994056,-23.987856011843
Case_13-05,gauss,blurr,2,3,35.9738659092177,36.5522151656655,1.60769281207435,0.975813024082246,0.979859592890834,0.41468690299497,43.4136004248899,50.8965736358162,17.2364722982897,9.93777534530561,7.48940453136059,-24.6370110902294
Case_13-06,gauss,blurr,2,3,35.9139129521967,36.1470583329326,0.649178442477587,0.978977768467751,0.98134882338509,0.242197013426507,44.0943356369268,49.1129685377574,11.3815818479592,8.92755402699458,6.60080185251286,-26.0625941601275
Case_13-07,gauss,blurr,2,3,35.4766584036866,35.9248983124115,1.26347837957122,0.975470237403778,0.979118412972665,0.373991479083708,42.5816593349837,49.673419016377,16.6544934888598,9.19075822409248,6.49265925712968,-29.3566526414551
Case_13-10,gauss,blurr,2,3,35.719079260662,36.2516266529398,1.49093258645194,0.972273848802486,0.976924085482232,0.478284660795199,44.1580864171066,50.9044974964399,15.2778610368403,8.90387533428276,6.993044407573,-21.4606657772088
