name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,blurr,1.7,7,37.2952453771482,34.0455284183363,-8.71348861215174,0.987633574542662,0.983592688875169,-0.409148268310376,51.3781679947428,56.5633700784153,10.0922284426394,6.74017183358787,11.4350515677526,69.6551935184949
Case_1-02,gauss,blurr,1.7,7,37.4410039067037,34.2553447579073,-8.50847684729418,0.987759080047129,0.985120964150466,-0.267080905653373,54.693254168189,55.7161158472522,1.87017886322458,7.14737117146963,12.0080397308504,68.0063822455904
Case_1-03,gauss,blurr,1.7,7,37.9084872566381,35.4011585814308,-6.61416177921536,0.989965298369266,0.988100226701821,-0.188397681263949,51.2830832109972,59.5300398281721,16.0812418068624,7.16992479890151,12.411324538258,73.1025761966079
Case_1-04,gauss,blurr,1.7,7,37.9083260790503,35.7183755596904,-5.7769644452071,0.990933219012008,0.989865647218503,-0.107733979749927,54.9405060818229,59.1487187800805,7.65958124228098,7.50042155588556,13.6602235300633,82.1260768915608
Case_1-05,gauss,blurr,1.7,7,37.8368974391421,35.1758375783603,-7.03297585395818,0.990029668044883,0.987614800185536,-0.243918736709699,50.6890384255133,59.7384151948667,17.8527292101848,7.13028183617835,11.9470995446372,67.5543803054003
Case_1-06,gauss,blurr,1.7,7,37.313821888529,34.1931150111621,-8.3634072293363,0.989858277688834,0.986154342036186,-0.374188480930505,53.4723749207389,56.4186011882921,5.50981001296513,7.16884020856128,12.548272907773,75.0390933918076
Case_1-07,gauss,blurr,1.7,7,37.6177136883956,34.7066997938631,-7.73841259637882,0.991486991469116,0.987735725420517,-0.37834748018642,49.3545851173106,57.471116787433,16.4453447452354,7.28961275608837,12.2129440921255,67.5389969367731
Case_1-08,gauss,blurr,1.7,7,38.0676599934277,35.580239232287,-6.53420977693444,0.988872308662103,0.987244139675949,-0.164649062562585,51.9630453806607,59.2518706880958,14.0269402111443,7.45068683740843,12.5539297894261,68.4935907706563
Case_10-01,gauss,blurr,1.7,7,36.7345461707111,31.2654093197324,-14.8882657364619,0.983735162649988,0.956601036589381,-2.75827550857425,43.7050636688008,55.5849745839966,27.1820011640351,6.23973360486822,9.54055476997865,52.9000334651329
Case_10-02,gauss,blurr,1.7,7,37.7420148157016,32.0448044975541,-15.0951409085276,0.986669760401793,0.964638456356481,-2.23289543568662,46.2178581436987,55.0376918605468,19.0831727628438,6.4198582315031,10.2550679463921,59.7397882724122
Case_10-03,gauss,blurr,1.7,7,36.1418271620352,30.8960559508521,-14.5144051175516,0.981194919120078,0.952482303773502,-2.92629066733494,43.095603454508,55.7165507973876,29.2859278701186,6.00307319481979,9.19441168362597,53.1617454133339
Case_10-04,gauss,blurr,1.7,7,36.917508515903,31.0074712073401,-16.0087653423769,0.985365043501796,0.958478844218559,-2.7285521706441,44.1586840112477,55.6685713141718,26.0648331367674,5.497331629691,9.32534868766201,69.6340936991314
Case_10-05,gauss,blurr,1.7,7,38.8553545846416,34.5934669868335,-10.9685978763211,0.987588463803616,0.976299754429616,-1.1430580436838,52.9924714390313,58.1499732555942,9.73251799078045,7.29913569502933,10.7935588196871,47.8744781664688
Case_10-06,gauss,blurr,1.7,7,37.735829568319,32.21873925332,-14.6202968852469,0.986958026100496,0.967046386640357,-2.0174758129088,46.753997352551,56.167569493933,20.1342616127527,5.8904545988079,10.1597645233917,72.478445474273
Case_10-07,gauss,blurr,1.7,7,37.6013813154718,31.8423151378108,-15.3161026967148,0.987504888000497,0.965594593283959,-2.2187530393801,45.283205653068,56.2675929562888,24.2570885713712,6.12090731602331,9.71743174851578,58.7580279655191
Case_10-08,gauss,blurr,1.7,7,37.5541094732151,31.9903329777067,-14.8153599527547,0.987232282900242,0.966485991727024,-2.10145996363395,45.3278878963341,56.2878789691255,24.1793553184237,6.04018304420361,9.79999086758421,62.2465874935472
Case_10-09,gauss,blurr,1.7,7,37.0646506691931,31.7994551684579,-14.2054367319627,0.986291748051161,0.964393416185431,-2.22026919610753,45.0810920373566,56.0726358803593,24.3817160282951,5.78833161246209,10.00196545375,72.7953082752907
Case_10-10,gauss,blurr,1.7,7,37.8428596126966,32.6854226587191,-13.6285603328114,0.984410712681202,0.960026330513334,-2.47705371891507,43.6281950760981,57.3943596344823,31.5533671158586,6.59152501303639,9.92573742905742,50.5833234255622
Case_11-07,gauss,blurr,1.7,7,38.0236814816582,33.0288636197856,-13.136071172598,0.982257808230956,0.964305637202735,-1.82764350436193,44.1484897637694,50.5299541461344,14.4545474069692,5.94838759772054,9.37720925769157,57.6428755463915
Case_11-09,gauss,blurr,1.7,7,42.3502011261004,39.1236519828383,-7.61873393152208,0.980851855950328,0.978274439664091,-0.262773248641077,48.7248015179059,52.3222353847708,7.38316782171584,7.53303051899667,11.1948134206052,48.6096915759777
