name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,blurr,19,40.1243415195432,22.5720318481454,-43.7447918312845,0.993165191062803,0.900246495174035,-9.35581479545553,48.5780172238037,61.7443386711384,27.1034558423332,5.05276719129287,22.9588180210711,354.381077771298
Case_1-02,avg,blurr,19,40.2936625114587,21.7186637252064,-46.0990578381153,0.993246756269472,0.887645000787385,-10.6319758726135,53.8161610245821,59.7085723211008,10.9491483307909,5.9108498153191,20.5003447437563,246.825674552341
Case_1-03,avg,blurr,19,40.7579823144546,24.157973875488,-40.7282389763429,0.99442544809773,0.93358477771541,-6.11817311179068,47.5404266849396,66.0371904596769,38.9074416544875,5.40913135397936,24.0314370533384,344.275346274576
Case_1-04,avg,blurr,19,40.7566554300348,23.8710081144099,-41.4304047706066,0.995071328187904,0.932970372472115,-6.24085469620351,53.7920847374751,66.5734520276544,23.7606840347553,6.0792129057849,23.7516929693102,290.703423903914
Case_1-05,avg,blurr,19,40.6563617536659,24.1076723131125,-40.7038129501621,0.994472962102587,0.931735199406812,-6.30864438618121,46.3343127857079,67.192092491445,45.0158391302845,5.28565236009879,24.0182504637895,354.404656747812
Case_1-06,avg,blurr,19,40.1417386244417,22.0942902287141,-44.9593092231903,0.994496388276641,0.903511690408543,-9.14882134723135,52.8066694589346,62.8005981674309,18.925504696463,5.52714078445491,23.4598853791255,324.448847858309
Case_1-07,avg,blurr,19,40.4615973408956,23.3323277484658,-42.3346351062536,0.995364202567059,0.925802903769177,-6.98852727659704,49.1584440070043,68.1382104323597,38.6093718154525,5.23736482224744,22.9946788367799,339.050545784063
Case_1-08,avg,blurr,19,40.8944470608014,24.185736550347,-40.8581401910438,0.99383241866745,0.927257175420457,-6.69883996501727,49.0591481238253,65.9619146863136,34.4538525614545,5.68987558094885,23.2541695366966,308.693814229566
Case_10-01,avg,blurr,19,39.5930836838117,21.8301610271666,-44.8637009395351,0.991118220598189,0.794083335087263,-19.880058848278,44.3411033183141,66.6926884372981,50.4082745946292,4.23115178571016,20.5383589076921,385.408228016216
Case_10-02,avg,blurr,19,40.733794669932,21.5485042621418,-47.0991975170729,0.992912062382252,0.794514689593713,-19.9813639399779,45.8059811647051,67.3774631219766,47.0931555416456,5.43571905065486,21.1717770478056,289.493585862481
Case_10-03,avg,blurr,19,38.8352646797474,21.7105810914114,-44.0957045859056,0.989286174641934,0.786001137405199,-20.5486584617755,43.9798875119894,66.5797500230201,51.3868129036705,4.56483489340935,19.2985568859831,322.765715225454
Case_10-04,avg,blurr,19,39.8312760942389,21.1254409854268,-46.9626809458852,0.992085959710756,0.78848610391508,-20.522400685424,44.5691755878955,66.6396787118293,49.5196575498872,4.36448421475901,20.0623902446283,359.673795514829
Case_10-05,avg,blurr,19,41.7899652277262,24.2112589090272,-42.0644195871122,0.992970263291856,0.875223341895728,-11.8580511168359,49.5070847701359,65.9443612032571,33.2018669841707,5.19510269667655,20.1268536050923,287.419744713959
Case_10-06,avg,blurr,19,40.7310213493126,21.4980542233092,-47.2194570351181,0.993084464121922,0.806894834587769,-18.7486197056542,46.6571605832253,66.7630152980404,43.0927524596168,5.06929549086995,22.6213734283424,346.242943799284
Case_10-07,avg,blurr,19,40.5605642863538,21.733305735457,-46.4176445326996,0.993285302752977,0.813987767344419,-18.0509602741146,45.585122532247,66.5055472980073,45.8930975801617,4.82977595381036,20.2056272185061,318.355373245944
Case_10-08,avg,blurr,19,40.5229346931248,21.7932766553737,-46.2198954236373,0.993147472315679,0.815112665019134,-17.926321342935,45.6239641853153,66.6307980506938,46.0434209093558,4.72161208708533,20.711285411468,338.648601991638
Case_10-09,avg,blurr,19,40.0078780489051,22.0847030116821,-44.7991143527131,0.992651311183458,0.820266390189973,-17.3661102394519,44.3244257077193,66.9363009529444,51.014479903994,4.5605729705345,22.0790279532774,384.128378077234
Case_10-10,avg,blurr,19,40.7102571824844,23.6084762111804,-42.0085309081812,0.99149195570297,0.828182402108215,-16.4710921410318,44.1680823941782,63.7008359575163,44.2236848523736,4.87562609319863,23.1465817251057,374.740705760734
Case_11-07,avg,blurr,19,40.9368636724512,23.310746861547,-43.0568324724053,0.9893390384666,0.819221658349258,-17.195053819064,48.0217404176075,55.4773258727231,15.5254378335315,4.67944116028176,17.557799154208,275.211452667369
Case_11-09,avg,blurr,19,44.5031593587925,29.3876194877337,-33.9650939143323,0.984656638030746,0.933105074617744,-5.23548630272798,37.6591836860141,50.7020835191655,34.6340482095878,6.02593098433085,20.9564655973208,247.771417426015
Case_11-10,avg,blurr,19,42.5756634263367,26.7308674352892,-37.2156173642761,0.986162652770785,0.893014363643664,-9.445529990961,36.0037481822009,55.4922187944684,54.1290048848357,4.43299754088983,19.0627625842203,330.019696794008
Case_11-11,avg,blurr,19,42.8280863348487,26.4534401593683,-38.2334294543451,0.987084766978264,0.88910407946881,-9.9262688258678,36.2271863033264,54.9418492352195,51.6591677178491,4.56762776806261,19.0180527994789,316.366082465286
Case_11-12,avg,blurr,19,42.452985164693,26.0478555416616,-38.6430531548936,0.987623947923083,0.882267313460942,-10.6676872997763,35.1433886250954,55.0700843361913,56.7011221475282,4.65717232688841,18.536689840308,298.024563817095
Case_11-13,avg,blurr,19,43.8380530697313,28.2010485384806,-35.6699338503413,0.985485177877938,0.913281985761069,-7.32666444282256,33.1575177633229,53.7263301014613,62.0336313621476,5.03567359698509,19.3528715366207,284.31544785205
Case_11-15,avg,blurr,19,42.003660040386,25.2832172806708,-39.8071090558268,0.99248820071776,0.892995930849771,-10.0245292383363,45.8712119351911,56.8200637678353,23.8686779152754,4.95221971016896,17.8742007789406,260.933113331733
Case_12-01,avg,blurr,19,41.0111927282213,26.0419062384783,-36.5004904610884,0.994263011660051,0.941579418312506,-5.29875824904553,44.7633284912045,67.7271993932071,51.3006330762798,6.11088114570221,24.1047875144386,294.456821196588
Case_12-02,avg,blurr,19,40.7871974743764,26.0892948409297,-36.0355786706852,0.994541972462326,0.944483362587524,-5.0333330579166,47.1136523380002,66.7899644025974,41.7635039700096,6.272331413327,24.7965354302085,295.332035190656
Case_12-03,avg,blurr,19,40.6606092823555,25.7780019256369,-36.6020274152087,0.994187045093173,0.941054795035004,-5.34429112915974,46.4684751723321,67.8524191332511,46.0181744324834,6.1421161429178,23.5164147461465,282.871541321507
Case_12-04,avg,blurr,19,41.7569511599559,24.5728079521263,-41.1527727252004,0.995485618639682,0.913667287481834,-8.21893652965593,48.8370112617688,67.7277695077528,38.6812332653377,6.10707009558806,24.6449151651775,303.547278472892
Case_12-05,avg,blurr,19,41.2799432304647,24.2409820880945,-41.2766099198398,0.994572917810022,0.900955644054028,-9.41281147712459,47.7722825254363,68.4640639374408,43.3133614685193,5.1615130082406,24.7100749973565,378.737047797917
Case_12-06,avg,blurr,19,40.6838040318007,24.5886913384616,-39.5614743418738,0.994196235123879,0.913698860666199,-8.0967289568995,46.88827963153,67.8799372980998,44.7695198704922,5.11247720891657,23.5792276792206,361.209443400482
Case_12-07,avg,blurr,19,41.0057019212603,24.5064357866433,-40.2365167807616,0.994053340034389,0.90179263394839,-9.28126312445236,47.2506723667254,68.4271272973759,44.8172562843006,5.13713571237346,24.1276296685255,369.670863676251
Case_12-08,avg,blurr,19,40.9910848479172,24.8477640052148,-39.3825167169799,0.994751006778037,0.917905659905832,-7.72508359866903,47.245330104084,68.4947851439963,44.9768368494802,5.56401364312637,24.5585820162828,341.382490976128
Case_12-09,avg,blurr,19,41.1973509689648,24.8183963323197,-39.7573005336773,0.995264592245089,0.923014547765939,-7.25938057498563,47.8383897564182,68.3005211769822,42.7734535479818,5.44530600574033,23.4712760282312,331.036860067887
Case_12-10,avg,blurr,19,40.5052619220948,25.201138041602,-37.7830512735055,0.994174284836685,0.939118539412439,-5.53783639991151,47.2340035266977,69.7720686322356,47.7157628461431,6.2405336716369,24.4295119047393,291.465108437294
Case_12-11,avg,blurr,19,41.3201892911475,24.0849314017795,-41.711468860721,0.995114189323561,0.917239251062382,-7.82572885571203,45.9959369333285,68.32248875954,48.5402696733278,5.30574421386866,21.6285639182071,307.644301089229
Case_12-12,avg,blurr,19,40.9411338466521,24.9552291138835,-39.0460723258054,0.993506600367723,0.919422115317799,-7.45686893499283,45.6064423190951,68.4231742586074,50.029624718083,5.43919702605624,22.5711574766263,314.972235212296
Case_13-01,avg,blurr,19,40.3110678055739,23.2347344005198,-42.3614018051214,0.991095880771698,0.831492793463634,-16.1036979776157,44.0103834196838,64.6681333675248,46.93835486696,4.55755444896653,21.5638338638688,373.144843475399
Case_13-02,avg,blurr,19,40.3473125222445,22.8821188373507,-43.287130153377,0.990621962501725,0.798781784570896,-19.365629391696,43.5223920060981,64.5629994117109,48.3443267609574,4.29119870285684,20.0577749082231,367.416596087003
Case_13-03,avg,blurr,19,40.574787971072,22.7270106216994,-43.9873582632082,0.991547113887202,0.813163306042335,-17.9904520265852,44.1905143454065,63.8311104922422,44.4452761814873,4.69171143368485,20.4688245916783,336.276290240685
Case_13-04,avg,blurr,19,40.9274511082999,25.0671042257273,-38.7523445831109,0.990075412746099,0.863625650654781,-12.7717303614876,45.103572833803,61.0741315254552,35.4086332594988,4.75192283895638,22.5641470272959,374.84245413908
Case_13-05,avg,blurr,19,40.4511249031522,24.8421759666025,-38.5871813798022,0.990458891042677,0.877368569768991,-11.4179722446262,43.1904393786219,60.0712718777675,39.0846510061234,5.2369952116765,21.1775475823092,304.383558249038
Case_13-06,avg,blurr,19,40.7162079835956,23.0495309067625,-43.3897898447492,0.99237457406576,0.831182122390647,-16.2431057674833,44.6459252034246,64.7668092225341,45.0676829462728,4.4699219884167,21.0910761885038,371.844391091364
Case_13-07,avg,blurr,19,40.0456286163906,23.9718215554257,-40.1387307836789,0.990591320773768,0.85574223570771,-13.612988751075,43.378201219694,62.6242905344965,44.3681129545426,4.44957031801162,20.9225880662464,370.215921334086
Case_13-10,avg,blurr,19,40.3431125602203,23.5163295610489,-41.7091838763158,0.989334416310908,0.827586375337065,-16.3491776195332,44.5918374255833,65.036802236825,45.8491194612942,4.46965124100897,21.9438995576233,390.953284146386
Case_13-11,avg,blurr,19,40.36770984048,22.4173715805228,-44.4670711588323,0.989987365021685,0.799559710122038,-19.2353621498468,44.5246149431246,66.5118220243659,49.3821386424736,4.56948909262332,21.253195077645,365.110970763773
Case_13-12,avg,blurr,19,41.1853045841604,22.4389689704954,-45.51704983839,0.990842485550154,0.798249000308037,-19.4373463038559,48.5053586498478,65.1150857019017,34.2430764649259,4.97381610219577,19.3754604842875,289.549192937268
Case_14-01,avg,blurr,19,40.6081473960589,24.4100045707888,-39.8888988145322,0.984486889133617,0.791040203291381,-19.6494933530782,48.95627213398,64.4833366622697,31.7161904930103,5.82654222035173,23.0145337239284,294.994713048506
Case_14-02,avg,blurr,19,40.5989297588905,23.9785801107075,-40.9379009419415,0.983731517220021,0.749046746463943,-23.8565875595088,45.7733688080795,64.3828271368896,40.6556450036192,5.27625539011326,22.5601349309709,327.578524217089
Case_14-03,avg,blurr,19,40.8617779076234,23.7558918200015,-41.862804223285,0.986721523440019,0.788366897365378,-20.1023917450503,46.6293763323414,66.8555235019674,43.3764050916492,4.99148733343509,22.7033875463462,354.842134813593
Case_14-04,avg,blurr,19,41.400273694879,23.9460711605818,-42.1596307863448,0.993510888694905,0.880426910712664,-11.3822585407987,46.6974385167673,65.9588308635963,41.2472138914279,4.91833564795031,22.6214649698416,359.941463719927
