sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.1,3,-3.73023500459683e-06,-4.27269706104268e-07,-6.18365065455593e-09,8.8854873513012e-06,15
0.2,3,-4.34687810844204e-06,-4.98987981417666e-07,-4.97823328816756e-08,-1.96602188552692e-06,15
0.3,3,1.61778893404576e-05,4.20306319462621e-06,7.93402406876367e-05,-0.000370839650635708,15
0.4,3,0.542267001521221,0.220632115804086,-0.234081077675885,-18.2398055751212,15
0.5,3,1.54732909151421,0.637997840170423,2.7015260547145,-39.35940074741,15
0.6,3,2.19532472039561,0.88308253797757,4.96493788084292,-55.5328507263054,15
0.7,3,2.59344204641252,1.03167647880514,6.4281835762946,-55.5616967940025,15
0.8,3,2.79831751329181,1.1117031122821,7.01361086288614,-50.5353121854874,15
0.9,3,2.93435501250515,1.16390369484087,6.81850192839068,-45.4768858749363,15
1.1,3,3.04539251060054,1.20237529137484,6.77908814287079,-40.3942100169979,15
1.2,3,3.07077450982249,1.21091510664441,6.62877808420452,-39.1450528686175,15
1.3,3,3.09199078232019,1.21836702151144,6.40747450997265,-38.0588299947861,15
1.4,3,3.11769013703749,1.22749988129855,6.4119309609556,-37.8102641473769,15
1.5,3,3.12702359876945,1.23053939608794,6.32919501339348,-37.3493675178955,15
1.6,3,3.13640645622873,1.23370350227382,6.2349910416925,-36.8176478771475,15
1.7,3,3.14665549715683,1.2375761805017,5.98537090315838,-37.3764487578038,15
1.8,3,3.14956352890534,1.2384635778935,5.93901144027098,-37.0700344540437,15
1.9,3,3.15355695929257,1.23988518119568,5.91506688586987,-36.8320729856655,15
1,3,2.99936629937863,1.18643640755564,6.84054431271389,-42.4303309281493,15
2.1,3,3.1576401579586,1.24114046494953,5.84094491259371,-36.6265195405593,15
2.2,3,3.16472188411758,1.24353045680655,5.80962947119717,-36.5782904277308,15
2.3,3,3.16522037386614,1.24365007438863,5.7945975351103,-36.4676551338543,15
2.4,3,3.16884564765834,1.24485009265765,5.79252701066711,-36.3808713042722,15
2.5,3,3.16912910734584,1.24491551470456,5.77775274893029,-36.2867017657933,15
2.6,3,3.17065287104858,1.24543752511946,5.76573339644624,-36.2144666905359,15
2.7,3,3.17077369927799,1.24545209106108,5.75877392365195,-36.1334897554578,15
2.8,3,3.17443545484584,1.24674580965176,5.73748461861848,-36.1634705522663,15
2.9,3,3.17585157964363,1.24719357646654,5.7376448388458,-36.1175828760433,15
2,3,3.15635574084928,1.2407680956186,5.86679546371561,-36.790942063631,15
3.1,3,3.17698584161221,1.24758832202577,5.72381336269529,-36.0142802752727,15
3.2,3,3.17694695736842,1.24756229881202,5.72144018409693,-35.9741971370372,15
3.3,3,3.17866336071607,1.24811858397176,5.70224864753529,-35.9877133257259,15
3.4,3,3.17940601785205,1.248345338496,5.69399922374815,-35.9948932227489,15
3.5,3,3.17937763979665,1.24832913610779,5.6946664547734,-35.9814720386246,15
3.6,3,3.1799401647937,1.24850333618947,5.6868910021715,-35.9545518821673,15
3.7,3,3.18108321825603,1.24887897285986,5.65444470542024,-35.9870958633017,15
3.8,3,3.1812932190158,1.2489282111236,5.65122444248486,-35.9623752093209,15
3.9,3,3.18141784413426,1.2489696273171,5.64851825122193,-35.9470253844254,15
3,3,3.17609207623159,1.24728600739394,5.7273489480719,-36.0729207386613,15
4.1,3,3.18230806393494,1.24922649581044,5.61994954100073,-35.8992281237615,15
4.2,3,3.18250001525282,1.24927551835194,5.61609481309551,-35.8742887800604,15
4.3,3,3.18272740798823,1.24933296136393,5.61049573612903,-35.8398473546336,15
4.4,3,3.18273530532075,1.2493326953549,5.61024273618799,-35.8416046303005,15
4.5,3,3.18299026312867,1.24939430820751,5.59765956276325,-35.8090908064798,15
4.6,3,3.18308396731622,1.2494136516014,5.59389715462185,-35.7843857376356,15
4.7,3,3.18321132124335,1.24943997424887,5.5860911821329,-35.7505141118982,15
4.8,3,3.18330033324594,1.24945220234285,5.58118442038318,-35.7226187882041,15
4.9,3,3.18333064488986,1.24945348210925,5.57790510206669,-35.6939939818327,15
4,3,3.18180274140002,1.24908084088549,5.63863621869679,-35.9186019029406,15
5.1,3,3.18338096579786,1.24945008102194,5.5681674036034,-35.6441903740681,15
5.2,3,3.18337292321456,1.24944098666595,5.5661008443969,-35.6192609626963,15
5.3,3,3.18337167098508,1.24943173350635,5.56414969692673,-35.5978809450294,15
5.4,3,3.18334640947826,1.24941887269693,5.56036725607098,-35.5761505220066,15
5.5,3,3.18332761320744,1.24940844557463,5.56006769448308,-35.5682715164473,15
5.6,3,3.18330024802476,1.24939514661827,5.55790505335776,-35.5471874172081,15
5.7,3,3.18323403300117,1.24936813850212,5.55416268824939,-35.5299201516814,15
5.8,3,3.1832098605636,1.24935749635195,5.55384185431568,-35.5189899615056,15
5.9,3,3.18317831866348,1.24934565278805,5.5524204592982,-35.5070783960416,15
5,3,3.18337199057637,1.2494557550396,5.57286873125766,-35.6651134451212,15
6,3,3.18315311528077,1.24933585296491,5.5518939477876,-35.499183698492,15
