name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_2,4,3,40.1243415195432,39.4288876986773,-1.73324668898845,0.993165191062803,0.993457325453242,0.0294144814043032,48.5780172238037,54.0251821213726,11.2132301993168,5.05276719129287,7.32586353646005,44.9871577120013
Case_1-02,gauss,method_2,4,3,40.2936625114587,39.7240901462249,-1.41355322334323,0.993246756269472,0.993729428312946,0.0485953807981038,53.8161610245821,59.1351935170311,9.88370852023312,5.9108498153191,8.93837457719343,51.2197882955495
Case_1-03,gauss,method_2,4,3,40.7579823144546,40.4549524274998,-0.743485986663699,0.99442544809773,0.994970336135356,0.0547942571933128,47.5404266849396,52.8993321800067,11.272312574268,5.40913135397936,8.13785826542325,50.4466749441468
Case_1-04,gauss,method_2,4,3,40.7566554300348,40.5528464321444,-0.500063108073909,0.995071328187904,0.995541580671536,0.0472581683654781,53.7920847374751,55.9799156436238,4.06719857917024,6.0792129057849,9.15713500777556,50.630273189836
Case_1-05,gauss,method_2,4,3,40.6563617536659,40.2330347402857,-1.0412319133352,0.994472962102587,0.994867258577003,0.039648787794328,46.3343127857079,52.479677254654,13.2630961796453,5.28565236009879,7.74530206399404,46.5344584986909
Case_1-06,gauss,method_2,4,3,40.1417386244417,39.4979485312908,-1.60379225019133,0.994496388276641,0.994545929274529,0.0049815161193041,52.8066694589346,57.5469212248913,8.97661567094853,5.52714078445491,8.61138813959108,55.8018598659657
Case_1-07,gauss,method_2,4,3,40.4615973408956,40.0065102482391,-1.12473832612754,0.995364202567059,0.995495573669859,0.0131982949016391,49.1584440070043,55.3194038733194,12.5328618323176,5.23736482224744,8.24272618944738,57.3830823171545
Case_1-08,gauss,method_2,4,3,40.8944470608014,40.5436260846496,-0.85786946973539,0.99383241866745,0.994395262147422,0.0566336405816611,49.0591481238253,53.7678110133361,9.59793039542026,5.68987558094885,8.33813027436952,46.5432794749975
Case_10-01,gauss,method_2,4,3,39.5930836838117,37.5957457153605,-5.0446638215954,0.991118220598189,0.987877204337949,-0.327006021368849,44.3411033183141,47.1617943950724,6.36134616793206,4.23115178571016,6.68495539430879,57.9937504696912
Case_10-02,gauss,method_2,4,3,40.733794669932,38.6984727363947,-4.99664210032399,0.992912062382252,0.990418337615943,-0.251152630810657,45.8059811647051,46.9526100961973,2.50322971441054,5.43571905065486,7.34494797295892,35.1237601596436
Case_10-03,gauss,method_2,4,3,38.8352646797474,37.0468724312945,-4.60507289753467,0.989286174641934,0.986127387761164,-0.319299608317432,43.9798875119894,46.5680986463126,5.88498807237205,4.56483489340935,6.65667091586677,45.8250094757553
Case_10-04,gauss,method_2,4,3,39.8312760942389,37.6085071092948,-5.58046139341642,0.992085959710756,0.98891387766118,-0.319738629352264,44.5691755878955,47.1329950456181,5.75244981291264,4.36448421475901,6.688707376829,53.253100428462
Case_10-05,gauss,method_2,4,3,41.7899652277262,40.4977129872095,-3.09225488337892,0.992970263291856,0.991869241063494,-0.110881691936271,49.5070847701359,53.5056168139515,8.07668652351683,5.19510269667655,7.25096766896377,39.5731343983326
Case_10-06,gauss,method_2,4,3,40.7310213493126,38.8110534665816,-4.71377298954808,0.993084464121922,0.990954783185594,-0.214451138172945,46.6571605832253,48.4278941006344,3.79520205532127,5.06929549086995,7.32141857514622,44.4267470367914
Case_10-07,gauss,method_2,4,3,40.5605642863538,38.3829426970445,-5.36881482697197,0.993285302752977,0.990554549455037,-0.274921343381578,45.585122532247,48.3259814012604,6.01261709250546,4.82977595381036,6.82557075885714,41.3227202283004
Case_10-08,gauss,method_2,4,3,40.5229346931248,38.580043957642,-4.79454597796548,0.993147472315679,0.990875568886847,-0.228757912813763,45.6239641853153,48.3762074427715,6.03245094239759,4.72161208708533,6.871856504196,45.5404717171085
Case_10-09,gauss,method_2,4,3,40.0078780489051,38.1354176934798,-4.6802291117176,0.992651311183458,0.990105126770283,-0.256503405021352,44.3244257077193,46.3993384962454,4.68119497409492,4.5605729705345,7.08059347269104,55.2566644243649
Case_10-10,gauss,method_2,4,3,40.7102571824844,38.7106129523289,-4.91189289517899,0.99149195570297,0.988066861167305,-0.345448545090472,44.1680823941782,48.009577422867,8.69744580352241,4.87562609319863,7.31283158615984,49.9875389616331
Case_11-07,gauss,method_2,4,3,40.9368636724512,39.3088079957482,-3.97699171516797,0.9893390384666,0.988110693677976,-0.124158123844711,48.0217404176075,50.6092495726707,5.38820361894774,4.67944116028176,6.79512936872948,45.2124118239866
Case_11-09,gauss,method_2,4,3,44.5031593587925,43.997873716456,-1.13539274428319,0.984656638030746,0.985848943390137,0.121088439699746,37.6591836860141,46.3478779794543,23.0719135228281,6.02593098433085,7.31012667297648,21.3111582589464
Case_11-10,gauss,method_2,4,3,42.5756634263367,41.4119967987164,-2.7331732120478,0.986162652770785,0.98608894984552,-0.00747370883062232,36.0037481822009,38.9787947956954,8.26315804243201,4.43299754088983,6.20573425465724,39.9895713321683
Case_11-11,gauss,method_2,4,3,42.8280863348487,41.7157474850771,-2.59721819246094,0.987084766978264,0.987183913551026,0.0100443828209587,36.2271863033264,43.650761361647,20.4917240775029,4.56762776806261,6.54541888574418,43.3001815846407
Case_11-12,gauss,method_2,4,3,42.452985164693,41.2728221433942,-2.77992941302094,0.987623947923083,0.987329448567121,-0.0298189768059911,35.1433886250954,46.6755172757252,32.81450395593,4.65717232688841,6.27566830370146,34.7527611866236
Case_11-13,gauss,method_2,4,3,43.8380530697313,42.7881412393052,-2.39497823672956,0.985485177877938,0.985770045064913,0.0289062883307479,33.1575177633229,38.4627924044545,16.0002165391283,5.03567359698509,6.75743631729853,34.191309010661
Case_11-15,gauss,method_2,4,3,42.003660040386,40.5995359027182,-3.34286139902513,0.99248820071776,0.991528546292147,-0.0966917717429515,45.8712119351911,48.3917849639951,5.49489085303676,4.95221971016896,6.49397418997088,31.1325944734652
Case_12-01,gauss,method_2,4,3,41.0111927282213,40.7880380450488,-0.544131170852237,0.994263011660051,0.994377489786813,0.0115138676003506,44.7633284912045,50.7514705728846,13.377338735784,6.11088114570221,8.75140854219858,43.2102561568139
Case_12-02,gauss,method_2,4,3,40.7871974743764,40.568342344323,-0.53657800389654,0.994541972462326,0.994528710519451,-0.00133347241665844,47.1136523380002,52.4880500018743,11.4073042465853,6.272331413327,8.83080945542996,40.7899052761607
Case_12-03,gauss,method_2,4,3,40.6606092823555,40.4409312115727,-0.54027245203664,0.994187045093173,0.994240789719986,0.00540588685783169,46.4684751723321,52.0838290191361,12.0842223162671,6.1421161429178,8.54553497217238,39.1301429886809
Case_12-04,gauss,method_2,4,3,41.7569511599559,40.692392798938,-2.54941592105212,0.995485618639682,0.9945045023329,-0.0985565525419317,48.8370112617688,53.7861570937641,10.134006369611,6.10707009558806,7.97903419643871,30.6524089547133
Case_12-05,gauss,method_2,4,3,41.2799432304647,39.9873090615274,-3.1313855295794,0.994572917810022,0.993144126386347,-0.143658790430526,47.7722825254363,53.7512560286144,12.5155700902392,5.1615130082406,7.47664775325434,44.8538004518738
Case_12-06,gauss,method_2,4,3,40.6838040318007,39.7768346752455,-2.22931305992496,0.994196235123879,0.993216180608388,-0.098577572602543,46.88827963153,53.1202151483714,13.2910304362088,5.11247720891657,7.56642067972607,47.9991082704412
Case_12-07,gauss,method_2,4,3,41.0057019212603,39.8526243847673,-2.8119931679431,0.994053340034389,0.992648739672138,-0.141300301068547,47.2506723667254,53.4149811621027,13.0459705367458,5.13713571237346,7.43805801552885,44.7899847693984
Case_12-08,gauss,method_2,4,3,40.9910848479172,40.0712604932921,-2.24396196889592,0.994751006778037,0.993745905490217,-0.101040489627247,47.245330104084,53.465642506766,13.1659835775902,5.56401364312637,7.67802113917729,37.9942903026937
Case_12-09,gauss,method_2,4,3,41.1973509689648,40.1491477958287,-2.54434605255497,0.995264592245089,0.994339112498205,-0.0929883122634367,47.8383897564182,53.4494077874112,11.7291114093993,5.44530600574033,7.70319793368714,41.4649227346744
Case_12-10,gauss,method_2,4,3,40.5052619220948,40.4759058328573,-0.0724747547465212,0.994174284836685,0.994514496892732,0.0342205648683682,47.2340035266977,51.4375126465415,8.89932846253003,6.2405336716369,8.96059794741591,43.587045898681
Case_12-11,gauss,method_2,4,3,41.3201892911475,40.2368364529674,-2.62184868163764,0.995114189323561,0.994401780729319,-0.0715906377263407,45.9959369333285,51.0491765961431,10.9862740053306,5.30574421386866,7.42128320292437,39.8726154857958
Case_12-12,gauss,method_2,4,3,40.9411338466521,40.150247660573,-1.93176424727622,0.993506600367723,0.992929932832347,-0.0580436541802989,45.6064423190951,51.5532300238496,13.0393589202738,5.43919702605624,7.68539458952745,41.2964919768652
Case_13-01,gauss,method_2,4,3,40.3110678055739,38.4634290372605,-4.58345280562844,0.991095880771698,0.988660116446815,-0.245764751134517,44.0103834196838,47.3187819400645,7.51731355946561,4.55755444896653,7.07729666049385,55.2871554194748
