name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_2,2.3,3,41.4445710168525,40.0907132448799,-3.26667097464256,0.99475284313741,0.994456828473569,-0.0297576092276278,47.435047983145,53.851179158131,13.5261403704405,4.56523549686985,7.2213802850854,58.1819884217744
Case_1-02,gauss,method_2,2.3,3,41.6383876877305,40.4128051525258,-2.94339575392776,0.994810674025111,0.994702794089769,-0.0108442679756517,54.0307141024452,59.1296093640805,9.43703104121029,5.41390089413682,8.72626846976371,61.182641507423
Case_1-03,gauss,method_2,2.3,3,41.9829115517522,41.1666590209971,-1.94424945908996,0.995645201152666,0.995763475173716,0.0118791333411393,45.8931602363816,52.8089104366659,15.0692394349472,4.78182706890326,7.97377786505916,66.7516986742055
Case_1-04,gauss,method_2,2.3,3,41.9824737146378,41.2569557459659,-1.72814487684394,0.996209150092669,0.996259883325847,0.00509262870890829,52.9901330160958,55.9212882585944,5.5315113883716,5.56735845000018,8.97368354725698,61.1838653438362
Case_1-05,gauss,method_2,2.3,3,41.8797315851227,40.9057278343512,-2.32571631647588,0.995711473244164,0.995654033741653,-0.00576868943001374,44.3402842477541,52.266926605383,17.8768415496353,4.86229256400661,7.60249146779748,56.3561091341015
Case_1-06,gauss,method_2,2.3,3,41.4384923966828,40.1470373718036,-3.11655890498225,0.995804878863579,0.995360986926452,-0.0445761962558067,52.3791233479574,57.4942111148231,9.76550854600195,4.93445761395965,8.39214998352546,70.0723897148078
Case_1-07,gauss,method_2,2.3,3,41.7182665639663,40.6892371402089,-2.46661596588538,0.996454879460718,0.996188938813173,-0.0266886793396973,49.041796027397,55.2868925620869,12.7342329208358,4.87519887090333,8.11069313584076,66.3664057736771
Case_1-08,gauss,method_2,2.3,3,42.1192762996609,41.2297748513232,-2.11186308617748,0.995174222270934,0.995254004857342,0.00801694664329475,47.4268428124139,53.7316302928019,13.2937111275256,5.13408742812878,8.33280438904762,62.3035155847487
Case_10-01,gauss,method_2,2.3,3,41.0337385506932,38.1793923035007,-6.95609600296666,0.993346542261223,0.989483402890715,-0.388901476589769,44.3111258343102,46.8858786447146,5.81062376982241,3.99599897871947,6.62059197582223,65.6805222193477
Case_10-02,gauss,method_2,2.3,3,42.0147272971491,39.2498639671138,-6.58070040650457,0.994543289411009,0.991626964182223,-0.293232608357634,45.5561148905263,46.93743003776,3.03211797264333,4.81772025643846,7.26928851947079,50.886480171945
Case_10-03,gauss,method_2,2.3,3,40.3377149171283,37.6684663128846,-6.61725288536425,0.992038644003558,0.988050943746476,-0.401970254000238,43.8572717365007,46.2082993753528,5.36063358655162,4.47672026381638,6.67577793520593,49.122070216531
Case_10-04,gauss,method_2,2.3,3,41.250161718865,38.1624658856148,-7.48529388634639,0.994048139213762,0.990334187954153,-0.373618853363226,44.4048897604939,46.7928453076112,5.37768601610604,4.03611825822297,6.61400957699711,63.8705596279811
Case_10-05,gauss,method_2,2.3,3,42.887934356526,41.0564892912761,-4.2703037409663,0.994284049879547,0.992831259252518,-0.14611424443598,49.4091596848486,53.2296051269649,7.73226152090965,4.75425518330449,6.80914838307188,43.2221898181561
Case_10-06,gauss,method_2,2.3,3,42.0139934144498,39.3648535968079,-6.30537495331452,0.994684380283693,0.992112102458457,-0.258602414617386,46.4137860139362,48.2013337113996,3.85132920836654,4.84483158339009,7.19638725758824,48.537408034165
Case_10-07,gauss,method_2,2.3,3,41.849886091347,38.9315896426836,-6.97324824802048,0.994838606432915,0.991744788176371,-0.310986951706394,45.2915435078861,48.1300062752599,6.26709214906663,4.20980676893721,6.88807008845551,63.6196259476879
Case_10-08,gauss,method_2,2.3,3,41.8493929370378,39.1518847537554,-6.44575224147408,0.994760724445969,0.99206479066406,-0.271013291503896,45.3406986784755,48.2882716644218,6.50094301997511,3.98388042733451,6.81041595049282,70.949306203185
Case_10-09,gauss,method_2,2.3,3,41.3794056989911,38.7145941164564,-6.43994648429579,0.994474315623798,0.991407597629655,-0.308375786680743,43.9561657795078,46.226297281401,5.16453485338215,4.45063965687677,6.94231549880999,55.9846681382817
Case_10-10,gauss,method_2,2.3,3,41.9092582912087,39.2383405714659,-6.3730970879604,0.993343102826802,0.989472996173045,-0.389604220610624,44.1914792568069,47.839238005068,8.25443911271496,4.43900310925125,7.18551667645889,61.8723055517506
Case_11-07,gauss,method_2,2.3,3,42.2620411767462,39.8761472838716,-5.64547718577175,0.991461416595601,0.989538471332431,-0.19395058960257,44.3106249982241,49.3748781762744,11.4289816003571,4.62616787577418,6.70423481230012,44.9198341333038
