type,method,sigma,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
gauss,multilevel_tresholding,0.4,3,33.47596,34.4733279375,-0.8919155625,0.97234,0.967876125,0.0034275,52.43543,49.1112725,0.013194125
gauss,multilevel_tresholding,0.4,5,33.47596,34.4731973125,-0.8922849375,0.97234,0.967875875,0.0034015,52.43543,49.110893,0.0124546875
gauss,multilevel_tresholding,0.4,7,33.47596,34.4731973125,-0.8922849375,0.97234,0.967875875,0.0034015,52.43543,49.110893,0.0124546875
gauss,multilevel_tresholding,0.4,9,33.47596,34.4731973125,-0.8922849375,0.97234,0.967875875,0.0034015,52.43543,49.110893,0.0124546875
gauss,multilevel_tresholding,0.4,11,33.47596,34.4731973125,-0.8922849375,0.97234,0.967875875,0.0034015,52.43543,49.110893,0.0124546875
gauss,multilevel_tresholding,0.4,13,33.47596,34.4731973125,-0.8922849375,0.97234,0.967875875,0.0034015,52.43543,49.110893,0.0124546875
gauss,multilevel_tresholding,0.7,3,33.47596,33.9776268125,-2.3092706875,0.97234,0.9704034375,0.265808,52.43543,52.547813625,7.2643359375
gauss,multilevel_tresholding,0.7,5,33.47596,34.03135325,-2.1529275,0.97234,0.9707131875,0.297861,52.43543,52.83650725,7.875252
gauss,multilevel_tresholding,0.7,7,33.47596,34.0328345,-2.148648875,0.97234,0.9707174375,0.298299625,52.43543,52.838277625,7.878776875
gauss,multilevel_tresholding,0.7,9,33.47596,34.032835,-2.148647375,0.97234,0.9707174375,0.298299625,52.43543,52.838278375,7.8787789375
gauss,multilevel_tresholding,0.7,11,33.47596,34.032835,-2.148647375,0.97234,0.9707174375,0.298299625,52.43543,52.838278375,7.8787789375
gauss,multilevel_tresholding,0.7,13,33.47596,34.032835,-2.148647375,0.97234,0.9707174375,0.298299625,52.43543,52.838278375,7.8787789375
gauss,multilevel_tresholding,1.1,3,33.47596,33.9216459375,-2.468230625,0.97234,0.97094425,0.3217890625,52.43543,53.2993049375,8.823768875
gauss,multilevel_tresholding,1.1,5,33.47596,34.2676024375,-1.4692805625,0.97234,0.9718444375,0.4144498125,52.43543,54.81782625,12.0455798125
gauss,multilevel_tresholding,1.1,7,33.47596,34.3637023125,-1.1945581875,0.97234,0.971888125,0.4187915625,52.43543,55.08203875,12.6025575
gauss,multilevel_tresholding,1.1,9,33.47596,34.3704025,-1.1754300625,0.97234,0.97189025,0.4189985625,52.43543,55.0991125,12.63822475
gauss,multilevel_tresholding,1.1,11,33.47596,34.37064675,-1.1747461875,0.97234,0.9718904375,0.41901775,52.43543,55.1005928125,12.641298625
gauss,multilevel_tresholding,1.1,13,33.47596,34.370648125,-1.1747421875,0.97234,0.9718905,0.4190241875,52.43543,55.100609875,12.6413683125
gauss,multilevel_tresholding,1.4,3,33.47596,33.9149915,-2.486957625,0.97234,0.9710080625,0.3283626875,52.43543,53.423813375,9.0786245625
gauss,multilevel_tresholding,1.4,5,33.47596,34.3262819375,-1.3052929375,0.97234,0.9713735,0.36513125,52.43543,55.546663,13.58739875
gauss,multilevel_tresholding,1.4,7,33.47596,34.411375875,-1.0732941875,0.97234,0.970601,0.28443175,52.43543,56.2577914375,15.1086124375
gauss,multilevel_tresholding,1.4,9,33.47596,34.405776375,-1.0934776875,0.97234,0.9703735,0.2607191875,52.43543,56.3599398125,15.331926375
gauss,multilevel_tresholding,1.4,11,33.47596,34.4038214375,-1.0996153125,0.97234,0.970349125,0.25818025,52.43543,56.3695640625,15.3536745625
gauss,multilevel_tresholding,1.4,13,33.47596,34.4035538125,-1.1004138125,0.97234,0.9703474375,0.258004625,52.43543,56.369916875,15.3542993125
gauss,multilevel_tresholding,1.7,3,33.47596,33.90937875,-2.50260675,0.97234,0.9710203125,0.3296106875,52.43543,53.4858315,9.208101875
gauss,multilevel_tresholding,1.7,5,33.47596,34.3051766875,-1.3714805625,0.97234,0.970741125,0.2992426875,52.43543,55.96792575,14.484053625
gauss,multilevel_tresholding,1.7,7,33.47596,34.206765625,-1.6827533125,0.97234,0.9683760625,0.0529619375,52.43543,56.9779964375,16.6780411875
gauss,multilevel_tresholding,1.7,9,33.47596,34.0483654375,-2.150243625,0.97234,0.967178875,-0.0715368125,52.43543,57.1729230625,17.1205293125
gauss,multilevel_tresholding,1.7,11,33.47596,33.996024375,-2.3035259375,0.97234,0.9668875625,-0.1018161875,52.43543,57.2060290625,17.1965371875
gauss,multilevel_tresholding,1.7,13,33.47596,33.9864609375,-2.331471375,0.97234,0.96684475,-0.1062638125,52.43543,57.2100051875,17.205863875
gauss,multilevel_tresholding,2,3,33.47596,33.906359,-2.511100375,0.97234,0.971019125,0.3294763125,52.43543,53.5096410625,9.2575385625
gauss,multilevel_tresholding,2,5,33.47596,34.2749058125,-1.4630790625,0.97234,0.9701993125,0.242845125,52.43543,56.179889,14.9448125625
gauss,multilevel_tresholding,2,7,33.47596,33.941744125,-2.4603421875,0.97234,0.9661680625,-0.1765655625,52.43543,57.205018375,17.202880875
gauss,multilevel_tresholding,2,9,33.47596,33.520047625,-3.693173375,0.97234,0.9633791875,-0.466380875,52.43543,57.26107125,17.35891775
gauss,multilevel_tresholding,2,11,33.47596,33.322136875,-4.268714625,0.97234,0.9623178125,-0.576624875,52.43543,57.2608906875,17.3644211875
gauss,multilevel_tresholding,2,13,33.47596,33.2612105625,-4.4454805,0.97234,0.962041875,-0.605277125,52.43543,57.262804875,17.36830625
