type,method,sigma,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
gauss,otsu,0.4,3,37.29525,25.0619011875,-35.00998625,0.98763,0.932198,-5.35501175,51.37817,44.0042058125,-9.1571575625
gauss,otsu,0.4,5,37.29525,35.1278944375,-8.979818125,0.98763,0.978595,-0.6433021875,51.37817,46.8667431875,-3.6287439375
gauss,otsu,0.4,7,37.29525,36.0466416875,-6.6579526875,0.98763,0.9796895,-0.532309375,51.37817,46.6674385625,-4.025866375
gauss,otsu,0.4,9,37.29525,36.0466429375,-6.65794975,0.98763,0.9796895,-0.532309375,51.37817,46.6674383125,-4.0258669375
gauss,otsu,0.4,11,37.29525,36.046645375,-6.6579435,0.98763,0.9796895,-0.532309375,51.37817,46.667439625,-4.025864375
gauss,otsu,0.4,13,37.29525,36.046637875,-6.6579625625,0.98763,0.9796895,-0.532309375,51.37817,46.6674381875,-4.025867125
gauss,otsu,0.7,3,37.29525,25.0891796875,-34.938535375,0.98763,0.9338526875,-5.1867763125,51.37817,47.0326045,-2.8315793125
gauss,otsu,0.7,5,37.29525,35.7792070625,-7.2784371875,0.98763,0.981824625,-0.31496375,51.37817,50.099237375,3.1128186875
gauss,otsu,0.7,7,37.29525,36.87582375,-4.5026858125,0.98763,0.9830063125,-0.1951170625,51.37817,49.690879125,2.2847583125
gauss,otsu,0.7,9,37.29525,36.8759183125,-4.50244425,0.98763,0.9830065,-0.195098,51.37817,49.691006375,2.2850164375
gauss,otsu,0.7,11,37.29525,36.8759183125,-4.50244425,0.98763,0.9830065,-0.195098,51.37817,49.691006375,2.2850164375
gauss,otsu,0.7,13,37.29525,36.8759183125,-4.50244425,0.98763,0.9830065,-0.195098,51.37817,49.691006375,2.2850164375
gauss,otsu,1.1,3,37.29525,25.0838350625,-34.952707625,0.98763,0.9336426875,-5.2081716875,51.37817,47.734290625,-1.3467583125
gauss,otsu,1.1,5,37.29525,35.832638,-7.14209425,0.98763,0.9818011875,-0.3175788125,51.37817,52.27823425,7.7042853125
gauss,otsu,1.1,7,37.29525,37.1364753125,-3.8348158125,0.98763,0.983239125,-0.1717661875,51.37817,51.57775875,6.293780125
gauss,otsu,1.1,9,37.29525,37.1538540625,-3.7903945,0.98763,0.983263625,-0.169282,51.37817,51.559210375,6.2576289375
gauss,otsu,1.1,11,37.29525,37.1542875,-3.7892894375,0.98763,0.9832646875,-0.169174375,51.37817,51.5589208125,6.2570616875
gauss,otsu,1.1,13,37.29525,37.1542920625,-3.7892776875,0.98763,0.9832646875,-0.169174375,51.37817,51.5589730625,6.2571674375
gauss,otsu,1.4,3,37.29525,25.0811658125,-34.9597596875,0.98763,0.9335216875,-5.220488625,51.37817,47.94599625,-0.8966625625
gauss,otsu,1.4,5,37.29525,35.5702114375,-7.832037,0.98763,0.9805150625,-0.4485255,51.37817,53.6776785,10.689849
gauss,otsu,1.4,7,37.29525,36.5925686875,-5.263048375,0.98763,0.980954125,-0.4044503125,51.37817,53.7346831875,10.8724056875
gauss,otsu,1.4,9,37.29525,36.5477790625,-5.3831359375,0.98763,0.9807396875,-0.4263100625,51.37817,53.7292271875,10.8767978125
gauss,otsu,1.4,11,37.29525,36.5408201875,-5.401644,0.98763,0.9807163125,-0.428693125,51.37817,53.7314911875,10.8832178125
gauss,otsu,1.4,13,37.29525,36.5402351875,-5.40318775,0.98763,0.980714375,-0.4288901875,51.37817,53.73198175,10.8843309375
gauss,otsu,1.7,3,37.29525,25.0793523125,-34.9645433125,0.98763,0.933438625,-5.2289430625,51.37817,48.0168090625,-0.7445904375
gauss,otsu,1.7,5,37.29525,35.3508363125,-8.408002875,0.98763,0.979393375,-0.5627035625,51.37817,54.4826605625,12.4214220625
gauss,otsu,1.7,7,37.29525,35.9199548125,-7.0217673125,0.98763,0.9780225625,-0.702853,51.37817,55.52128275,14.6792000625
gauss,otsu,1.7,9,37.29525,35.611034375,-7.8315901875,0.98763,0.9767466875,-0.8327473125,51.37817,55.6045855625,14.9023325625
gauss,otsu,1.7,11,37.29525,35.5216965625,-8.065253,0.98763,0.976431625,-0.86481625,51.37817,55.597670875,14.89857725
gauss,otsu,1.7,13,37.29525,35.5055584375,-8.1073956875,0.98763,0.9763816875,-0.8698978125,51.37817,55.6037424375,14.9125175625
gauss,otsu,2,3,37.29525,25.0784070625,-34.967036625,0.98763,0.93339575,-5.233307125,51.37817,48.0493109375,-0.6742363125
gauss,otsu,2,5,37.29525,35.195810625,-8.8147204375,0.98763,0.9785675625,-0.64675625,51.37817,54.8329594375,13.192090875
gauss,otsu,2,7,37.29525,35.371620625,-8.452952375,0.98763,0.9753704375,-0.9727754375,51.37817,56.4277216875,16.632125375
gauss,otsu,2,9,37.29525,34.7233466875,-10.146131625,0.98763,0.9724008125,-1.275022625,51.37817,56.50530025,16.8758769375
gauss,otsu,2,11,37.29525,34.447984625,-10.863844375,0.98763,0.971251375,-1.3919875625,51.37817,56.3906388125,16.6610905625
gauss,otsu,2,13,37.29525,34.3647974375,-11.0804130625,0.98763,0.97094225,-1.4234381875,51.37817,56.36214775,16.606351875
