name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,3,33.47596,22.42593,-33.00885,0.97234,0.90314,-7.11685,52.43543,44.91793,-14.33668
Case_1-01,avg,fixed_multilevel_tresholding,5,33.47596,32.11179,-4.07507,0.97234,0.97367,0.13678,52.43543,54.74439,4.40343
Case_1-01,avg,fixed_multilevel_tresholding,7,33.47596,31.23528,-6.6934,0.97234,0.96936,-0.30648,52.43543,53.59094,2.20368
Case_1-01,avg,fixed_multilevel_tresholding,9,33.47596,29.13043,-12.98105,0.97234,0.9588,-1.39252,52.43543,53.97174,2.92991
Case_1-01,avg,fixed_multilevel_tresholding,11,33.47596,27.3198,-18.38979,0.97234,0.94677,-2.62974,52.43543,50.13153,-4.39378
Case_1-01,avg,fixed_multilevel_tresholding,13,33.47596,25.83689,-22.81957,0.97234,0.93462,-3.8793,52.43543,55.08204,5.04737
Case_1-02,avg,fixed_multilevel_tresholding,3,33.48185,21.98354,-34.34192,0.97174,0.89752,-7.63785,52.75041,47.86205,-9.26696
Case_1-02,avg,fixed_multilevel_tresholding,5,33.48185,31.95284,-4.56668,0.97174,0.97384,0.21611,52.75041,52.37671,-0.70843
Case_1-02,avg,fixed_multilevel_tresholding,7,33.48185,31.36158,-6.3326,0.97174,0.97147,-0.02779,52.75041,52.77732,0.05101
Case_1-02,avg,fixed_multilevel_tresholding,9,33.48185,29.06736,-13.18473,0.97174,0.96117,-1.08774,52.75041,52.2509,-0.94693
Case_1-02,avg,fixed_multilevel_tresholding,11,33.48185,27.01178,-19.32411,0.97174,0.94766,-2.47803,52.75041,48.59152,-7.88409
Case_1-02,avg,fixed_multilevel_tresholding,13,33.48185,25.32798,-24.3531,0.97174,0.93278,-4.0093,52.75041,55.61992,5.43979
Case_1-03,avg,fixed_multilevel_tresholding,3,33.98032,22.73596,-33.0908,0.97747,0.91211,-6.68665,49.54837,50.024,0.95993
Case_1-03,avg,fixed_multilevel_tresholding,5,33.98032,32.25317,-5.08279,0.97747,0.97776,0.02967,49.54837,54.05109,9.08752
Case_1-03,avg,fixed_multilevel_tresholding,7,33.98032,32.39779,-4.6572,0.97747,0.97724,-0.02353,49.54837,57.61556,16.28144
Case_1-03,avg,fixed_multilevel_tresholding,9,33.98032,30.65027,-9.79994,0.97747,0.97113,-0.64861,49.54837,53.45296,7.88036
Case_1-03,avg,fixed_multilevel_tresholding,11,33.98032,29.00728,-14.63506,0.97747,0.96396,-1.38214,49.54837,56.11885,13.26074
Case_1-03,avg,fixed_multilevel_tresholding,13,33.98032,27.5905,-18.80447,0.97747,0.95656,-2.1392,49.54837,61.87602,24.88003
Case_1-04,avg,fixed_multilevel_tresholding,3,33.94747,22.83169,-32.74406,0.97893,0.91749,-6.27624,52.91561,50.49564,-4.57326
Case_1-04,avg,fixed_multilevel_tresholding,5,33.94747,32.87059,-3.1722,0.97893,0.98098,0.20941,52.91561,54.66126,3.29893
Case_1-04,avg,fixed_multilevel_tresholding,7,33.94747,32.68312,-3.72443,0.97893,0.98049,0.15936,52.91561,57.58521,8.82462
Case_1-04,avg,fixed_multilevel_tresholding,9,33.94747,30.76062,-9.38759,0.97893,0.97468,-0.43415,52.91561,54.58658,3.1578
Case_1-04,avg,fixed_multilevel_tresholding,11,33.94747,28.92625,-14.79115,0.97893,0.96708,-1.21051,52.91561,55.40471,4.7039
Case_1-04,avg,fixed_multilevel_tresholding,13,33.94747,27.37212,-19.36919,0.97893,0.95876,-2.06041,52.91561,61.89664,16.97236
Case_1-05,avg,fixed_multilevel_tresholding,3,33.96857,22.77414,-32.95526,0.97769,0.91156,-6.7639,49.42568,49.17131,-0.51465
Case_1-05,avg,fixed_multilevel_tresholding,5,33.96857,32.68339,-3.78344,0.97769,0.97882,0.11558,49.42568,56.19619,13.69836
Case_1-05,avg,fixed_multilevel_tresholding,7,33.96857,32.25857,-5.03407,0.97769,0.97671,-0.10024,49.42568,58.32866,18.01286
Case_1-05,avg,fixed_multilevel_tresholding,9,33.96857,30.40993,-10.47627,0.97769,0.96985,-0.80189,49.42568,54.74919,10.77074
Case_1-05,avg,fixed_multilevel_tresholding,11,33.96857,28.75848,-15.33797,0.97769,0.96213,-1.59151,49.42568,56.09617,13.496
Case_1-05,avg,fixed_multilevel_tresholding,13,33.96857,27.36245,-19.44774,0.97769,0.95435,-2.38726,49.42568,62.53803,26.52943
Case_1-06,avg,fixed_multilevel_tresholding,3,33.43442,22.59766,-32.41199,0.97686,0.90876,-6.97132,53.79119,45.65585,-15.12393
Case_1-06,avg,fixed_multilevel_tresholding,5,33.43442,32.20896,-3.66526,0.97686,0.97764,0.07985,53.79119,53.43977,-0.6533
Case_1-06,avg,fixed_multilevel_tresholding,7,33.43442,31.41359,-6.04416,0.97686,0.97428,-0.26411,53.79119,53.26882,-0.97111
Case_1-06,avg,fixed_multilevel_tresholding,9,33.43442,29.22111,-12.60171,0.97686,0.96472,-1.24276,53.79119,53.38639,-0.75254
Case_1-06,avg,fixed_multilevel_tresholding,11,33.43442,27.24881,-18.50072,0.97686,0.9529,-2.45276,53.79119,49.41133,-8.14234
Case_1-06,avg,fixed_multilevel_tresholding,13,33.43442,25.6148,-23.38793,0.97686,0.94028,-3.74465,53.79119,53.33289,-0.852
Case_1-07,avg,fixed_multilevel_tresholding,3,33.7408,23.29524,-30.95825,0.98074,0.92124,-6.06685,52.95506,43.45812,-17.93396
Case_1-07,avg,fixed_multilevel_tresholding,5,33.7408,32.82861,-2.70352,0.98074,0.98088,0.01427,52.95506,56.31612,6.347
Case_1-07,avg,fixed_multilevel_tresholding,7,33.7408,31.89804,-5.46152,0.98074,0.97703,-0.37829,52.95506,55.45053,4.71243
Case_1-07,avg,fixed_multilevel_tresholding,9,33.7408,29.86369,-11.49087,0.98074,0.96865,-1.23274,52.95506,55.11797,4.08443
Case_1-07,avg,fixed_multilevel_tresholding,11,33.7408,28.06827,-16.81208,0.98074,0.9594,-2.17591,52.95506,52.04736,-1.71409
Case_1-07,avg,fixed_multilevel_tresholding,13,33.7408,26.57762,-21.23002,0.98074,0.95025,-3.10888,52.95506,58.06424,9.64814
Case_1-08,avg,fixed_multilevel_tresholding,3,34.15219,22.6432,-33.69913,0.97482,0.90921,-6.73047,49.90692,51.71041,3.61371
Case_1-08,avg,fixed_multilevel_tresholding,5,34.15219,32.52424,-4.76675,0.97482,0.97646,0.16824,49.90692,54.25384,8.71005
Case_1-08,avg,fixed_multilevel_tresholding,7,34.15219,32.6435,-4.41755,0.97482,0.97582,0.10258,49.90692,57.00699,14.22662
Case_1-08,avg,fixed_multilevel_tresholding,9,34.15219,30.81756,-9.76403,0.97482,0.96932,-0.56421,49.90692,53.66571,7.5316
Case_1-08,avg,fixed_multilevel_tresholding,11,34.15219,29.11262,-14.75621,0.97482,0.96144,-1.37256,49.90692,53.90949,8.02007
Case_1-08,avg,fixed_multilevel_tresholding,13,34.15219,27.6495,-19.04033,0.97482,0.95313,-2.22503,49.90692,60.83247,21.89185
Case_10-01,avg,fixed_multilevel_tresholding,3,32.91349,24.52952,-25.47275,0.96404,0.91408,-5.18236,41.99872,50.31386,19.79856
Case_10-01,avg,fixed_multilevel_tresholding,5,32.91349,31.0057,-5.79638,0.96404,0.95083,-1.37028,41.99872,53.53841,27.47629
Case_10-01,avg,fixed_multilevel_tresholding,7,32.91349,28.34319,-13.8858,0.96404,0.91677,-4.90332,41.99872,57.24498,36.30173
Case_10-01,avg,fixed_multilevel_tresholding,9,32.91349,26.24916,-20.24802,0.96404,0.88057,-8.65835,41.99872,57.50163,36.91282
Case_10-01,avg,fixed_multilevel_tresholding,11,32.91349,24.79076,-24.67903,0.96404,0.8511,-11.71528,41.99872,56.64191,34.8658
Case_10-01,avg,fixed_multilevel_tresholding,13,32.91349,23.73977,-27.87222,0.96404,0.82919,-13.98801,41.99872,57.73634,37.47167
Case_10-02,avg,fixed_multilevel_tresholding,3,33.66156,23.14213,-31.25057,0.96895,0.8985,-7.27076,44.9721,49.54105,10.15952
Case_10-02,avg,fixed_multilevel_tresholding,5,33.66156,31.39586,-6.73082,0.96895,0.95817,-1.11254,44.9721,48.34881,7.50846
Case_10-02,avg,fixed_multilevel_tresholding,7,33.66156,29.14961,-13.40386,0.96895,0.93137,-3.87843,44.9721,55.26843,22.89493
Case_10-02,avg,fixed_multilevel_tresholding,9,33.66156,26.80911,-20.3569,0.96895,0.89727,-7.3977,44.9721,54.18136,20.47772
Case_10-02,avg,fixed_multilevel_tresholding,11,33.66156,25.0989,-25.4375,0.96895,0.86619,-10.60529,44.9721,54.83527,21.93175
Case_10-02,avg,fixed_multilevel_tresholding,13,33.66156,23.84499,-29.16255,0.96895,0.84088,-13.2174,44.9721,55.02751,22.35922
Case_10-03,avg,fixed_multilevel_tresholding,3,32.56373,24.89152,-23.5606,0.96066,0.91713,-4.53126,41.34668,49.87712,20.6315
Case_10-03,avg,fixed_multilevel_tresholding,5,32.56373,30.74788,-5.5763,0.96066,0.94702,-1.41986,41.34668,54.04219,30.70503
Case_10-03,avg,fixed_multilevel_tresholding,7,32.56373,28.03006,-13.92245,0.96066,0.91028,-5.24431,41.34668,57.29428,38.57045
Case_10-03,avg,fixed_multilevel_tresholding,9,32.56373,25.97894,-20.22124,0.96066,0.87232,-9.19576,41.34668,57.3819,38.78236
Case_10-03,avg,fixed_multilevel_tresholding,11,32.56373,24.56608,-24.55999,0.96066,0.84212,-12.33943,41.34668,54.39696,31.56307
Case_10-03,avg,fixed_multilevel_tresholding,13,32.56373,23.55162,-27.6753,0.96066,0.82012,-14.62953,41.34668,58.05697,40.41507
Case_10-04,avg,fixed_multilevel_tresholding,3,32.98354,24.23553,-26.52235,0.96681,0.91616,-5.23888,42.21906,50.54518,19.72123
Case_10-04,avg,fixed_multilevel_tresholding,5,32.98354,30.83909,-6.50158,0.96681,0.95338,-1.3891,42.21906,53.18698,25.9786
Case_10-04,avg,fixed_multilevel_tresholding,7,32.98354,28.1268,-14.72474,0.96681,0.92021,-4.81997,42.21906,56.69215,34.28094
Case_10-04,avg,fixed_multilevel_tresholding,9,32.98354,25.90986,-21.44609,0.96681,0.88351,-8.61596,42.21906,55.89334,32.38888
Case_10-04,avg,fixed_multilevel_tresholding,11,32.98354,24.34824,-26.18063,0.96681,0.85269,-11.80377,42.21906,53.16575,25.92831
Case_10-04,avg,fixed_multilevel_tresholding,13,32.98354,23.21107,-29.62832,0.96681,0.82891,-14.2634,42.21906,55.63229,31.77056
Case_10-05,avg,fixed_multilevel_tresholding,3,34.76679,22.61296,-34.95816,0.97183,0.88783,-8.64349,50.27254,47.09849,-6.31369
Case_10-05,avg,fixed_multilevel_tresholding,5,34.76679,32.97785,-5.14554,0.97183,0.96774,-0.42086,50.27254,57.50337,14.38326
Case_10-05,avg,fixed_multilevel_tresholding,7,34.76679,31.61519,-9.06497,0.97183,0.95489,-1.7431,50.27254,58.70784,16.77914
Case_10-05,avg,fixed_multilevel_tresholding,9,34.76679,29.54595,-15.01674,0.97183,0.93641,-3.64467,50.27254,56.56051,12.50776
Case_10-05,avg,fixed_multilevel_tresholding,11,34.76679,27.9121,-19.7162,0.97183,0.91894,-5.44231,50.27254,55.51254,10.42319
Case_10-05,avg,fixed_multilevel_tresholding,13,34.76679,26.66218,-23.31136,0.97183,0.9042,-6.95904,50.27254,62.18191,23.68961
Case_10-06,avg,fixed_multilevel_tresholding,3,33.63674,23.06793,-31.42043,0.96951,0.90019,-7.15,45.24391,49.21036,8.76682
Case_10-06,avg,fixed_multilevel_tresholding,5,33.63674,31.57802,-6.12045,0.96951,0.96035,-0.94481,45.24391,49.26388,8.88511
Case_10-06,avg,fixed_multilevel_tresholding,7,33.63674,29.32483,-12.81905,0.96951,0.936,-3.45639,45.24391,55.28562,22.19461
Case_10-06,avg,fixed_multilevel_tresholding,9,33.63674,26.98673,-19.77008,0.96951,0.90483,-6.67141,45.24391,53.67362,18.6317
Case_10-06,avg,fixed_multilevel_tresholding,11,33.63674,25.25513,-24.91802,0.96951,0.8762,-9.62445,45.24391,53.74905,18.79842
Case_10-06,avg,fixed_multilevel_tresholding,13,33.63674,23.96231,-28.7615,0.96951,0.85252,-12.06692,45.24391,53.58629,18.43868
Case_10-07,avg,fixed_multilevel_tresholding,3,33.55548,23.62706,-29.58807,0.97094,0.90807,-6.47517,43.70501,49.37484,12.97295
Case_10-07,avg,fixed_multilevel_tresholding,5,33.55548,31.37495,-6.49828,0.97094,0.96003,-1.12365,43.70501,54.67308,25.09568
