name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,2,35.51305,17.03917,-52.01998,0.98182,0.76032,-22.56014,52.73484,47.58006,-9.7749
Case_1-01,avg,fixed_multilevel_tresholding,4,35.51305,28.64577,-19.33734,0.98182,0.96602,-1.60926,52.73484,51.73024,-1.905
Case_1-01,avg,fixed_multilevel_tresholding,6,35.51305,31.11096,-12.3957,0.98182,0.97367,-0.83009,52.73484,54.36981,3.10036
Case_1-01,avg,fixed_multilevel_tresholding,8,35.51305,29.57533,-16.71983,0.98182,0.96518,-1.69481,52.73484,52.86482,0.24648
Case_1-01,avg,fixed_multilevel_tresholding,10,35.51305,27.8671,-21.52997,0.98182,0.95379,-2.8549,52.73484,51.01544,-3.26046
Case_1-01,avg,fixed_multilevel_tresholding,12,35.51305,26.36042,-25.77258,0.98182,0.9416,-4.09647,52.73484,51.59442,-2.16256
Case_1-02,avg,fixed_multilevel_tresholding,2,35.61162,16.79132,-52.84876,0.98193,0.76041,-22.55965,54.4745,51.66095,-5.16489
Case_1-02,avg,fixed_multilevel_tresholding,4,35.61162,28.04753,-21.24051,0.98193,0.9645,-1.77508,54.4745,49.93483,-8.33357
Case_1-02,avg,fixed_multilevel_tresholding,6,35.61162,31.21122,-12.35664,0.98193,0.97577,-0.62734,54.4745,53.14935,-2.43261
Case_1-02,avg,fixed_multilevel_tresholding,8,35.61162,29.58865,-16.91293,0.98193,0.96799,-1.41965,54.4745,51.52519,-5.41411
Case_1-02,avg,fixed_multilevel_tresholding,10,35.61162,27.65589,-22.34026,0.98193,0.95567,-2.67433,54.4745,50.04095,-8.13876
Case_1-02,avg,fixed_multilevel_tresholding,12,35.61162,25.93539,-27.17155,0.98193,0.94117,-4.15101,54.4745,50.81959,-6.7094
Case_1-03,avg,fixed_multilevel_tresholding,2,36.05928,17.46933,-51.55386,0.98515,0.7823,-20.59077,51.44845,44.60516,-13.30126
Case_1-03,avg,fixed_multilevel_tresholding,4,36.05928,28.8203,-20.07522,0.98515,0.97039,-1.49825,51.44845,52.96694,2.95148
Case_1-03,avg,fixed_multilevel_tresholding,6,36.05928,32.14424,-10.85723,0.98515,0.98026,-0.49637,51.44845,56.01579,8.87751
Case_1-03,avg,fixed_multilevel_tresholding,8,36.05928,30.98114,-14.08275,0.98515,0.97548,-0.98158,51.44845,55.93351,8.71758
Case_1-03,avg,fixed_multilevel_tresholding,10,36.05928,29.44931,-18.33084,0.98515,0.96854,-1.68604,51.44845,52.70785,2.44789
Case_1-03,avg,fixed_multilevel_tresholding,12,36.05928,28.04199,-22.23364,0.98515,0.96107,-2.4443,51.44845,59.71255,16.06287
Case_1-04,avg,fixed_multilevel_tresholding,2,36.0602,17.7374,-50.8117,0.98644,0.80594,-18.29812,54.59981,49.27228,-9.75741
Case_1-04,avg,fixed_multilevel_tresholding,4,36.0602,28.94656,-19.72712,0.98644,0.97253,-1.41012,54.59981,51.84072,-5.0533
Case_1-04,avg,fixed_multilevel_tresholding,6,36.0602,32.46672,-9.96522,0.98644,0.98312,-0.33656,54.59981,55.7615,2.12764
Case_1-04,avg,fixed_multilevel_tresholding,8,36.0602,31.13351,-13.6624,0.98644,0.97871,-0.78363,54.59981,56.72638,3.89483
Case_1-04,avg,fixed_multilevel_tresholding,10,36.0602,29.43667,-18.36798,0.98644,0.97165,-1.49933,54.59981,53.30549,-2.37056
Case_1-04,avg,fixed_multilevel_tresholding,12,36.0602,27.87832,-22.6895,0.98644,0.96345,-2.3306,54.59981,59.65049,9.25036
Case_1-05,avg,fixed_multilevel_tresholding,2,36.00786,17.69767,-50.85054,0.98527,0.78816,-20.00568,51.40937,45.31126,-11.86186
Case_1-05,avg,fixed_multilevel_tresholding,4,36.00786,29.45566,-18.19658,0.98527,0.97278,-1.26767,51.40937,54.61577,6.237
Case_1-05,avg,fixed_multilevel_tresholding,6,36.00786,32.12391,-10.78639,0.98527,0.97996,-0.53894,51.40937,56.90393,10.68786
Case_1-05,avg,fixed_multilevel_tresholding,8,36.00786,30.78906,-14.4935,0.98527,0.97433,-1.11036,51.40937,56.79236,10.47083
Case_1-05,avg,fixed_multilevel_tresholding,10,36.00786,29.23317,-18.81448,0.98527,0.96685,-1.86954,51.40937,53.3046,3.68655
Case_1-05,avg,fixed_multilevel_tresholding,12,36.00786,27.83057,-22.70974,0.98527,0.95895,-2.67135,51.40937,59.96867,16.6493
