name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,otsu,0.4,3,35.51305,23.24398,-34.54806,0.98182,0.91716,-6.58573,52.73484,44.79905,-15.04848
Case_1-01,gauss,otsu,0.4,5,35.51305,32.68088,-7.97501,0.98182,0.97459,-0.73639,52.73484,48.84266,-7.38066
Case_1-01,gauss,otsu,0.4,7,35.51305,33.14073,-6.68014,0.98182,0.97549,-0.64472,52.73484,48.61996,-7.80296
Case_1-01,gauss,otsu,0.4,9,35.51305,33.14073,-6.68014,0.98182,0.97549,-0.64472,52.73484,48.61996,-7.80296
Case_1-01,gauss,otsu,0.4,11,35.51305,33.14074,-6.68011,0.98182,0.97549,-0.64472,52.73484,48.61996,-7.80296
Case_1-01,gauss,otsu,0.4,13,35.51305,33.14072,-6.68016,0.98182,0.97549,-0.64472,52.73484,48.61996,-7.80296
Case_1-01,gauss,otsu,0.7,3,35.51305,23.28267,-34.43911,0.98182,0.91975,-6.32193,52.73484,46.3146,-12.17457
Case_1-01,gauss,otsu,0.7,5,35.51305,33.41739,-5.9011,0.98182,0.97908,-0.27907,52.73484,53.45915,1.37349
Case_1-01,gauss,otsu,0.7,7,35.51305,34.01863,-4.20809,0.98182,0.98011,-0.17417,52.73484,53.45406,1.36384
Case_1-01,gauss,otsu,0.7,9,35.51305,34.01871,-4.20786,0.98182,0.98011,-0.17417,52.73484,53.45407,1.36386
Case_1-01,gauss,otsu,0.7,11,35.51305,34.01871,-4.20786,0.98182,0.98011,-0.17417,52.73484,53.45407,1.36386
Case_1-01,gauss,otsu,0.7,13,35.51305,34.01871,-4.20786,0.98182,0.98011,-0.17417,52.73484,53.45407,1.36386
Case_1-01,gauss,otsu,1.1,3,35.51305,23.28254,-34.43948,0.98182,0.91999,-6.29749,52.73484,46.00194,-12.76746
Case_1-01,gauss,otsu,1.1,5,35.51305,33.70449,-5.09266,0.98182,0.98089,-0.09472,52.73484,57.17432,8.4185
Case_1-01,gauss,otsu,1.1,7,35.51305,34.62685,-2.49542,0.98182,0.98273,0.09269,52.73484,57.15513,8.38211
Case_1-01,gauss,otsu,1.1,9,35.51305,34.65092,-2.42764,0.98182,0.98279,0.0988,52.73484,57.13357,8.34122
Case_1-01,gauss,otsu,1.1,11,35.51305,34.65152,-2.42595,0.98182,0.98279,0.0988,52.73484,57.13378,8.34162
Case_1-01,gauss,otsu,1.1,13,35.51305,34.65153,-2.42593,0.98182,0.9828,0.09981,52.73484,57.13378,8.34162
Case_1-01,gauss,otsu,1.4,3,35.51305,23.28112,-34.44348,0.98182,0.91998,-6.29851,52.73484,45.93764,-12.88939
Case_1-01,gauss,otsu,1.4,5,35.51305,33.58717,-5.42302,0.98182,0.9807,-0.11407,52.73484,57.99876,9.98186
Case_1-01,gauss,otsu,1.4,7,35.51305,34.42063,-3.07611,0.98182,0.98258,0.07741,52.73484,58.94254,11.77153
Case_1-01,gauss,otsu,1.4,9,35.51305,34.43033,-3.04879,0.98182,0.9827,0.08963,52.73484,58.95614,11.79732
Case_1-01,gauss,otsu,1.4,11,35.51305,34.4293,-3.0517,0.98182,0.98271,0.09065,52.73484,58.95319,11.79173
Case_1-01,gauss,otsu,1.4,13,35.51305,34.42908,-3.05231,0.98182,0.98271,0.09065,52.73484,58.95318,11.79171
Case_1-01,gauss,otsu,1.7,3,35.51305,23.27996,-34.44675,0.98182,0.91996,-6.30054,52.73484,45.89999,-12.96079
Case_1-01,gauss,otsu,1.7,5,35.51305,33.45204,-5.80353,0.98182,0.98031,-0.1538,52.73484,57.65695,9.3337
Case_1-01,gauss,otsu,1.7,7,35.51305,33.95725,-4.38092,0.98182,0.9815,-0.03259,52.73484,59.37921,12.59958
Case_1-01,gauss,otsu,1.7,9,35.51305,33.74617,-4.9753,0.98182,0.98119,-0.06417,52.73484,59.3142,12.47631
Case_1-01,gauss,otsu,1.7,11,35.51305,33.6749,-5.17598,0.98182,0.98109,-0.07435,52.73484,59.24544,12.34592
Case_1-01,gauss,otsu,1.7,13,35.51305,33.66116,-5.21467,0.98182,0.98107,-0.07639,52.73484,59.23047,12.31753
Case_1-01,gauss,otsu,2,3,35.51305,23.27929,-34.44863,0.98182,0.91995,-6.30156,52.73484,45.87448,-13.00916
Case_1-01,gauss,otsu,2,5,35.51305,33.34618,-6.10162,0.98182,0.97997,-0.18843,52.73484,57.03926,8.16238
Case_1-01,gauss,otsu,2,7,35.51305,33.51482,-5.62675,0.98182,0.98026,-0.15889,52.73484,58.3983,10.7395
