name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,multilevel_tresholding,3,37.29525,33.02696,-11.44459,0.98763,0.98373,-0.39488,51.37817,52.80294,2.7731
Case_1-01,avg,multilevel_tresholding,5,37.29525,33.65692,-9.75548,0.98763,0.98313,-0.45564,51.37817,55.51647,8.05459
Case_1-01,avg,multilevel_tresholding,7,37.29525,31.78754,-14.76786,0.98763,0.97513,-1.26566,51.37817,52.77587,2.72042
Case_1-01,avg,multilevel_tresholding,9,37.29525,29.37893,-21.22608,0.98763,0.96322,-2.47157,51.37817,52.61197,2.40141
Case_1-01,avg,multilevel_tresholding,11,37.29525,27.44687,-26.40653,0.98763,0.95022,-3.78786,51.37817,49.40206,-3.84621
Case_1-01,avg,multilevel_tresholding,13,37.29525,25.91356,-30.5178,0.98763,0.93735,-5.09098,51.37817,55.1098,7.26307
Case_1-02,avg,multilevel_tresholding,3,37.441,33.96171,-9.29273,0.98776,0.98582,-0.1964,54.69325,53.68976,-1.83476
Case_1-02,avg,multilevel_tresholding,5,37.441,34.44461,-8.00296,0.98776,0.98541,-0.23791,54.69325,55.51554,1.50346
Case_1-02,avg,multilevel_tresholding,7,37.441,31.98385,-14.57533,0.98776,0.97795,-0.99316,54.69325,52.107,-4.72865
Case_1-02,avg,multilevel_tresholding,9,37.441,29.24756,-21.8836,0.98776,0.96571,-2.23232,54.69325,51.92176,-5.06733
Case_1-02,avg,multilevel_tresholding,11,37.441,27.06022,-27.7257,0.98776,0.95091,-3.73066,54.69325,48.54207,-11.24669
Case_1-02,avg,multilevel_tresholding,13,37.441,25.34013,-32.31984,0.98776,0.93519,-5.32214,54.69325,54.9444,0.4592
Case_1-03,avg,multilevel_tresholding,3,37.90849,34.45104,-9.12052,0.98997,0.98759,-0.24041,51.28308,55.34874,7.92788
Case_1-03,avg,multilevel_tresholding,5,37.90849,34.56377,-8.82314,0.98997,0.98714,-0.28587,51.28308,56.55091,10.27206
Case_1-03,avg,multilevel_tresholding,7,37.90849,33.14802,-12.55779,0.98997,0.98237,-0.7677,51.28308,57.36896,11.86723
Case_1-03,avg,multilevel_tresholding,9,37.90849,30.94019,-18.3819,0.98997,0.97489,-1.52328,51.28308,52.84771,3.05097
Case_1-03,avg,multilevel_tresholding,11,37.90849,29.11356,-23.20042,0.98997,0.96678,-2.3425,51.28308,56.85395,10.86298
Case_1-03,avg,multilevel_tresholding,13,37.90849,27.62565,-27.12543,0.98997,0.95871,-3.15767,51.28308,61.83553,20.57686
Case_1-04,avg,multilevel_tresholding,3,37.90833,34.96384,-7.7674,0.99093,0.98941,-0.15339,54.94051,55.58397,1.17119
Case_1-04,avg,multilevel_tresholding,5,37.90833,35.25844,-6.99026,0.99093,0.98945,-0.14935,54.94051,56.23396,2.35427
Case_1-04,avg,multilevel_tresholding,7,37.90833,33.51731,-11.58326,0.99093,0.98536,-0.5621,54.94051,57.38449,4.44841
Case_1-04,avg,multilevel_tresholding,9,37.90833,31.10294,-17.95223,0.99093,0.97827,-1.27759,54.94051,53.28298,-3.01695
Case_1-04,avg,multilevel_tresholding,11,37.90833,29.07507,-23.30163,0.99093,0.96977,-2.13537,54.94051,55.90283,1.75157
Case_1-04,avg,multilevel_tresholding,13,37.90833,27.44614,-27.59866,0.99093,0.96082,-3.03856,54.94051,61.62885,12.17379
Case_1-05,avg,multilevel_tresholding,3,37.8369,35.28738,-6.73818,0.99003,0.98905,-0.09899,50.68904,54.63277,7.78024
Case_1-05,avg,multilevel_tresholding,5,37.8369,34.96912,-7.57932,0.99003,0.98752,-0.25353,50.68904,56.9662,12.38366
Case_1-05,avg,multilevel_tresholding,7,37.8369,32.92484,-12.98219,0.99003,0.9815,-0.86159,50.68904,58.22606,14.86913
Case_1-05,avg,multilevel_tresholding,9,37.8369,30.67656,-18.92422,0.99003,0.97337,-1.68278,50.68904,53.69842,5.93694
Case_1-05,avg,multilevel_tresholding,11,37.8369,28.87011,-23.69853,0.99003,0.96481,-2.5474,50.68904,56.70315,11.86471
Case_1-05,avg,multilevel_tresholding,13,37.8369,27.41318,-27.54909,0.99003,0.95643,-3.39384,50.68904,62.46253,23.22689
Case_1-06,avg,multilevel_tresholding,3,37.31382,33.68918,-9.71393,0.98986,0.98689,-0.30004,53.47237,54.16362,1.29272
Case_1-06,avg,multilevel_tresholding,5,37.31382,34.25016,-8.21052,0.98986,0.98631,-0.35864,53.47237,56.48312,5.63048
Case_1-06,avg,multilevel_tresholding,7,37.31382,32.00572,-14.22556,0.98986,0.97915,-1.08197,53.47237,52.92774,-1.01853
Case_1-06,avg,multilevel_tresholding,9,37.31382,29.40843,-21.18623,0.98986,0.96818,-2.19021,53.47237,52.93835,-0.99868
Case_1-06,avg,multilevel_tresholding,11,37.31382,27.30516,-26.82293,0.98986,0.95543,-3.47827,53.47237,49.30111,-7.80078
Case_1-06,avg,multilevel_tresholding,13,37.31382,25.6323,-31.30615,0.98986,0.94219,-4.81583,53.47237,53.78702,0.58843
Case_1-07,avg,multilevel_tresholding,3,37.61771,33.95421,-9.73876,0.99149,0.98832,-0.31972,49.35459,54.43573,10.29517
Case_1-07,avg,multilevel_tresholding,5,37.61771,34.72687,-7.68478,0.99149,0.98779,-0.37318,49.35459,57.43299,16.36808
Case_1-07,avg,multilevel_tresholding,7,37.61771,32.51154,-13.57385,0.99149,0.98093,-1.06506,49.35459,55.56878,12.59091
Case_1-07,avg,multilevel_tresholding,9,37.61771,30.08137,-20.03402,0.99149,0.97147,-2.01918,49.35459,54.19136,9.80004
Case_1-07,avg,multilevel_tresholding,11,37.61771,28.15059,-25.16666,0.99149,0.96154,-3.02071,49.35459,52.18154,5.72784
Case_1-07,avg,multilevel_tresholding,13,37.61771,26.6123,-29.25593,0.99149,0.95192,-3.99096,49.35459,58.19969,17.92153
Case_1-08,avg,multilevel_tresholding,3,38.06766,33.75879,-11.31898,0.98887,0.98545,-0.34585,51.96305,54.85483,5.56507
Case_1-08,avg,multilevel_tresholding,5,38.06766,34.41804,-9.58719,0.98887,0.98594,-0.2963,51.96305,55.51571,6.8369
Case_1-08,avg,multilevel_tresholding,7,38.06766,33.37149,-12.33638,0.98887,0.98145,-0.75035,51.96305,56.20437,8.16218
Case_1-08,avg,multilevel_tresholding,9,38.06766,31.15787,-18.15134,0.98887,0.97366,-1.53812,51.96305,52.07059,0.20695
Case_1-08,avg,multilevel_tresholding,11,38.06766,29.27368,-23.10092,0.98887,0.96481,-2.43308,51.96305,54.40587,4.70107
Case_1-08,avg,multilevel_tresholding,13,38.06766,27.73616,-27.13983,0.98887,0.9558,-3.34422,51.96305,60.36218,16.16366
Case_10-01,avg,multilevel_tresholding,3,36.73455,33.74201,-8.14639,0.98374,0.98021,-0.35883,43.70506,47.12804,7.832
Case_10-01,avg,multilevel_tresholding,5,36.73455,31.79217,-13.45431,0.98374,0.95984,-2.4295,43.70506,54.26428,24.16018
Case_10-01,avg,multilevel_tresholding,7,36.73455,28.5895,-22.17272,0.98374,0.92249,-6.22624,43.70506,56.9357,30.27256
