name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,3,37.29525,23.63501,-36.62729,0.98763,0.92852,-5.98503,51.37817,46.76826,-8.97251
Case_1-01,avg,otsu,5,37.29525,33.39409,-10.46021,0.98763,0.9815,-0.62068,51.37817,53.28308,3.70763
Case_1-01,avg,otsu,7,37.29525,32.00756,-14.17792,0.98763,0.9758,-1.19782,51.37817,50.70069,-1.31861
Case_1-01,avg,otsu,9,37.29525,29.67685,-20.42727,0.98763,0.96474,-2.31767,51.37817,49.35473,-3.93833
Case_1-01,avg,otsu,11,37.29525,27.7267,-25.65622,0.98763,0.95211,-3.59649,51.37817,47.791,-6.9819
Case_1-01,avg,otsu,13,37.29525,26.15036,-29.88287,0.98763,0.93937,-4.88645,51.37817,51.76307,0.74915
Case_1-02,avg,otsu,3,37.441,23.02534,-38.50234,0.98776,0.92299,-6.55726,54.69325,46.11903,-15.67693
Case_1-02,avg,otsu,5,37.441,32.92545,-12.06044,0.98776,0.98145,-0.63882,54.69325,47.61616,-12.9396
Case_1-02,avg,otsu,7,37.441,32.17538,-14.06378,0.98776,0.97816,-0.9719,54.69325,48.66399,-11.02377
Case_1-02,avg,otsu,9,37.441,29.67554,-20.74053,0.98776,0.9675,-2.05111,54.69325,47.84803,-12.51566
Case_1-02,avg,otsu,11,37.441,27.47474,-26.61857,0.98776,0.95359,-3.45934,54.69325,46.51013,-14.96185
Case_1-02,avg,otsu,13,37.441,25.68675,-31.39406,0.98776,0.9383,-5.00729,54.69325,51.33065,-6.14811
Case_1-03,avg,otsu,3,37.90849,24.08096,-36.47608,0.98997,0.93623,-5.42845,51.28308,43.6898,-14.8066
Case_1-03,avg,otsu,5,37.90849,33.94738,-10.44914,0.98997,0.98528,-0.47375,51.28308,53.49564,4.31441
Case_1-03,avg,otsu,7,37.90849,33.3639,-11.98832,0.98997,0.98286,-0.7182,51.28308,53.19993,3.73778
Case_1-03,avg,otsu,9,37.90849,31.24672,-17.57329,0.98997,0.976,-1.41115,51.28308,53.19775,3.73353
Case_1-03,avg,otsu,11,37.90849,29.4273,-22.3728,0.98997,0.96824,-2.19502,51.28308,52.23261,1.85155
Case_1-03,avg,otsu,13,37.90849,27.91247,-26.36882,0.98997,0.96035,-2.99201,51.28308,58.77689,14.61264
Case_1-04,avg,otsu,3,37.90833,23.98821,-36.72048,0.99093,0.93882,-5.2587,54.94051,44.82473,-18.41224
Case_1-04,avg,otsu,5,37.90833,34.12284,-9.98591,0.99093,0.98693,-0.40366,54.94051,53.18738,-3.19096
Case_1-04,avg,otsu,7,37.90833,33.7395,-10.99713,0.99093,0.98565,-0.53283,54.94051,52.81184,-3.8745
Case_1-04,avg,otsu,9,37.90833,31.46386,-17.00014,0.99093,0.97941,-1.16254,54.94051,53.10393,-3.34285
Case_1-04,avg,otsu,11,37.90833,29.43035,-22.36442,0.99093,0.97137,-1.9739,54.94051,51.37808,-6.48416
Case_1-04,avg,otsu,13,37.90833,27.75237,-26.79084,0.99093,0.96263,-2.8559,54.94051,58.36621,6.23529
Case_1-05,avg,otsu,3,37.8369,24.31575,-35.73535,0.99003,0.93806,-5.24934,50.68904,43.73347,-13.72204
Case_1-05,avg,otsu,5,37.8369,34.151,-9.74155,0.99003,0.98553,-0.45453,50.68904,54.75163,8.01473
Case_1-05,avg,otsu,7,37.8369,33.14453,-12.40157,0.99003,0.98207,-0.80402,50.68904,53.85362,6.24312
Case_1-05,avg,otsu,9,37.8369,31.01078,-18.04091,0.99003,0.97468,-1.55046,50.68904,53.5857,5.71457
Case_1-05,avg,otsu,11,37.8369,29.19802,-22.83189,0.99003,0.96643,-2.38377,50.68904,52.29627,3.17076
Case_1-05,avg,otsu,13,37.8369,27.70121,-26.78784,0.99003,0.95814,-3.22111,50.68904,59.03069,16.45652
Case_1-06,avg,otsu,3,37.31382,23.86284,-36.04825,0.98986,0.93377,-5.66646,53.47237,46.81865,-12.44329
Case_1-06,avg,otsu,5,37.31382,33.44091,-10.37929,0.98986,0.98384,-0.60817,53.47237,50.49304,-5.57172
Case_1-06,avg,otsu,7,37.31382,32.25539,-13.55645,0.98986,0.97962,-1.03449,53.47237,50.14854,-6.21598
Case_1-06,avg,otsu,9,37.31382,29.82115,-20.08015,0.98986,0.96985,-2.0215,53.47237,49.03926,-8.29047
Case_1-06,avg,otsu,11,37.31382,27.69076,-25.78953,0.98986,0.95772,-3.24692,53.47237,47.12727,-11.86613
Case_1-06,avg,otsu,13,37.31382,25.94837,-30.45909,0.98986,0.94472,-4.56024,53.47237,50.67993,-5.22221
Case_1-07,avg,otsu,3,37.61771,24.69347,-34.3568,0.99149,0.94313,-4.87751,49.35459,48.72647,-1.27267
Case_1-07,avg,otsu,5,37.61771,34.4239,-8.49018,0.99149,0.98655,-0.49824,49.35459,57.06472,15.62191
Case_1-07,avg,otsu,7,37.61771,32.74012,-12.96621,0.99149,0.98146,-1.01161,49.35459,52.85321,7.08874
Case_1-07,avg,otsu,9,37.61771,30.40356,-19.17754,0.99149,0.97274,-1.89109,49.35459,52.82274,7.02701
Case_1-07,avg,otsu,11,37.61771,28.44492,-24.38423,0.99149,0.96311,-2.86236,49.35459,49.31673,-0.07671
Case_1-07,avg,otsu,13,37.61771,26.85162,-28.61974,0.99149,0.95353,-3.82858,49.35459,55.16598,11.77477
Case_1-08,avg,otsu,3,38.06766,23.95992,-37.05965,0.98887,0.93466,-5.48201,51.96305,44.29421,-14.75826
Case_1-08,avg,otsu,5,38.06766,34.12521,-10.35643,0.98887,0.98441,-0.45102,51.96305,52.94697,1.8935
Case_1-08,avg,otsu,7,38.06766,33.54504,-11.88048,0.98887,0.98183,-0.71192,51.96305,52.42746,0.89373
Case_1-08,avg,otsu,9,38.06766,31.41486,-17.47625,0.98887,0.9746,-1.44306,51.96305,52.53339,1.09759
Case_1-08,avg,otsu,11,38.06766,29.5475,-22.38162,0.98887,0.9661,-2.30263,51.96305,50.80225,-2.2339
Case_1-08,avg,otsu,13,38.06766,27.98909,-26.47541,0.98887,0.95728,-3.19456,51.96305,56.97442,9.6441
Case_10-01,avg,otsu,3,36.73455,25.90417,-29.48282,0.98374,0.93885,-4.5632,43.70506,45.67758,4.51325
Case_10-01,avg,otsu,5,36.73455,32.00209,-12.88286,0.98374,0.96099,-2.3126,43.70506,50.87392,16.40281
Case_10-01,avg,otsu,7,36.73455,28.85598,-21.4473,0.98374,0.92636,-5.83284,43.70506,54.79205,25.36775
Case_10-01,avg,otsu,9,36.73455,26.5416,-27.74758,0.98374,0.88882,-9.64889,43.70506,54.14301,23.8827
Case_10-01,avg,otsu,11,36.73455,24.97237,-32.01939,0.98374,0.85759,-12.82351,43.70506,53.00522,21.27937
Case_10-01,avg,otsu,13,36.73455,23.85886,-35.05063,0.98374,0.83394,-15.2276,43.70506,55.43987,26.85
