name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,3,40.12434,24.02964,-40.11206,0.99317,0.93765,-5.59018,48.57802,47.92454,-1.34522
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,5,40.12434,35.46312,-11.61694,0.99317,0.98879,-0.44101,48.57802,49.47791,1.85246
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,7,40.12434,36.36497,-9.3693,0.99317,0.98975,-0.34435,48.57802,49.4394,1.77319
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,9,40.12434,36.36497,-9.3693,0.99317,0.98975,-0.34435,48.57802,49.4394,1.77319
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,11,40.12434,36.36497,-9.3693,0.99317,0.98975,-0.34435,48.57802,49.4394,1.77319
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,13,40.12434,36.36495,-9.36935,0.99317,0.98975,-0.34435,48.57802,49.43939,1.77317
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,3,40.12434,23.96797,-40.26576,0.99317,0.93766,-5.58917,48.57802,48.73635,0.32593
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,5,40.12434,34.72625,-13.45341,0.99317,0.98874,-0.44605,48.57802,53.56162,10.25896
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,7,40.12434,35.52588,-11.46052,0.99317,0.98976,-0.34335,48.57802,53.64908,10.439
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,9,40.12434,35.52596,-11.46033,0.99317,0.98976,-0.34335,48.57802,53.6491,10.43904
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,11,40.12434,35.52596,-11.46033,0.99317,0.98976,-0.34335,48.57802,53.6491,10.43904
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,13,40.12434,35.52596,-11.46033,0.99317,0.98976,-0.34335,48.57802,53.6491,10.43904
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,3,40.12434,23.95196,-40.30566,0.99317,0.93727,-5.62844,48.57802,47.99188,-1.2066
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,5,40.12434,34.41584,-14.22703,0.99317,0.98802,-0.51854,48.57802,55.43338,14.11206
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,7,40.12434,35.45215,-11.64428,0.99317,0.98938,-0.38161,48.57802,56.45599,16.21715
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,9,40.12434,35.44978,-11.65019,0.99317,0.98937,-0.38261,48.57802,56.43619,16.17639
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,11,40.12434,35.45064,-11.64804,0.99317,0.98937,-0.38261,48.57802,56.43641,16.17684
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,13,40.12434,35.45064,-11.64804,0.99317,0.98937,-0.38261,48.57802,56.43641,16.17684
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,3,40.12434,23.94277,-40.32856,0.99317,0.93711,-5.64455,48.57802,47.73291,-1.7397
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,5,40.12434,34.25466,-14.62873,0.99317,0.98718,-0.60312,48.57802,55.57896,14.41174
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,7,40.12434,35.12031,-12.47131,0.99317,0.98798,-0.52257,48.57802,57.07448,17.49034
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,9,40.12434,35.02877,-12.69945,0.99317,0.9878,-0.54069,48.57802,57.11244,17.56848
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,11,40.12434,35.00404,-12.76108,0.99317,0.98777,-0.54371,48.57802,57.08994,17.52216
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,13,40.12434,35.00564,-12.75709,0.99317,0.98777,-0.54371,48.57802,57.07467,17.49073
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,3,40.12434,23.93938,-40.33701,0.99317,0.93701,-5.65462,48.57802,47.57716,-2.06031
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,5,40.12434,34.1037,-15.00496,0.99317,0.98642,-0.67964,48.57802,55.20094,13.63357
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,7,40.12434,34.43257,-14.18533,0.99317,0.98597,-0.72495,48.57802,56.8814,17.09287
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,9,40.12434,34.04025,-15.16309,0.99317,0.98503,-0.8196,48.57802,56.51991,16.34873
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,11,40.12434,33.92151,-15.45902,0.99317,0.98477,-0.84578,48.57802,56.35076,16.00053
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,13,40.12434,33.90264,-15.50605,0.99317,0.98473,-0.8498,48.57802,56.34414,15.9869
Case_1-01,gauss,fixed_multilevel_tresholding,2,3,40.12434,23.93669,-40.34372,0.99317,0.93696,-5.65966,48.57802,47.51765,-2.18282
Case_1-01,gauss,fixed_multilevel_tresholding,2,5,40.12434,34.01678,-15.22158,0.99317,0.98592,-0.72999,48.57802,55.10176,13.42941
Case_1-01,gauss,fixed_multilevel_tresholding,2,7,40.12434,33.82959,-15.68811,0.99317,0.98409,-0.91424,48.57802,56.08427,15.45195
Case_1-01,gauss,fixed_multilevel_tresholding,2,9,40.12434,33.11376,-17.47214,0.99317,0.98198,-1.1267,48.57802,55.55351,14.35935
Case_1-01,gauss,fixed_multilevel_tresholding,2,11,40.12434,32.77871,-18.30717,0.99317,0.98106,-1.21933,48.57802,55.24648,13.72732
Case_1-01,gauss,fixed_multilevel_tresholding,2,13,40.12434,32.6749,-18.56589,0.99317,0.98079,-1.24651,48.57802,55.1667,13.56309
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,3,40.29366,23.16933,-42.49882,0.99325,0.92961,-6.40725,53.81616,49.54279,-7.94068
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,5,40.29366,34.67096,-13.9543,0.99325,0.98804,-0.52454,53.81616,53.35896,-0.84956
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,7,40.29366,36.26949,-9.9871,0.99325,0.98979,-0.34835,53.81616,53.67998,-0.25305
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,9,40.29366,36.26949,-9.9871,0.99325,0.98979,-0.34835,53.81616,53.67998,-0.25305
