name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,multilevel_tresholding,3,40.12434,33.65266,-16.12906,0.99317,0.98749,-0.57191,48.57802,52.53089,8.13716
Case_1-01,avg,multilevel_tresholding,5,40.12434,34.06354,-15.10505,0.99317,0.98532,-0.7904,48.57802,55.61274,14.48128
Case_1-01,avg,multilevel_tresholding,7,40.12434,31.87431,-20.56116,0.99317,0.97638,-1.69055,48.57802,52.74242,8.5726
Case_1-01,avg,multilevel_tresholding,9,40.12434,29.38695,-26.76029,0.99317,0.96395,-2.94209,48.57802,52.63734,8.35629
Case_1-01,avg,multilevel_tresholding,11,40.12434,27.43925,-31.61445,0.99317,0.95063,-4.28325,48.57802,49.50691,1.91216
Case_1-01,avg,multilevel_tresholding,13,40.12434,25.90577,-35.43627,0.99317,0.93762,-5.5932,48.57802,55.19697,13.6254
Case_1-02,avg,multilevel_tresholding,3,40.29366,34.35723,-14.73291,0.99325,0.98895,-0.43292,53.81616,52.57712,-2.30236
Case_1-02,avg,multilevel_tresholding,5,40.29366,34.63787,-14.03643,0.99325,0.98728,-0.60106,53.81616,55.5568,3.23442
Case_1-02,avg,multilevel_tresholding,7,40.29366,32.09823,-20.33925,0.99325,0.97927,-1.4075,53.81616,51.93276,-3.49969
Case_1-02,avg,multilevel_tresholding,9,40.29366,29.289,-27.31115,0.99325,0.96657,-2.68613,53.81616,51.70005,-3.93211
Case_1-02,avg,multilevel_tresholding,11,40.29366,27.08053,-32.79208,0.99325,0.95148,-4.20539,53.81616,48.45729,-9.95773
Case_1-02,avg,multilevel_tresholding,13,40.29366,25.35466,-37.07531,0.99325,0.93562,-5.80216,53.81616,55.06273,2.31635
Case_1-03,avg,multilevel_tresholding,3,40.75798,34.23012,-16.01615,0.99443,0.98912,-0.53397,47.54043,53.84909,13.27009
Case_1-03,avg,multilevel_tresholding,5,40.75798,34.37329,-15.66488,0.99443,0.9882,-0.62649,47.54043,55.39762,16.52739
Case_1-03,avg,multilevel_tresholding,7,40.75798,33.24135,-18.44211,0.99443,0.98338,-1.11119,47.54043,57.14242,20.19752
Case_1-03,avg,multilevel_tresholding,9,40.75798,31.02008,-23.89201,0.99443,0.97571,-1.88249,47.54043,52.48403,10.39873
Case_1-03,avg,multilevel_tresholding,11,40.75798,29.16869,-28.43441,0.99443,0.96742,-2.71613,47.54043,56.50451,18.8557
Case_1-03,avg,multilevel_tresholding,13,40.75798,27.66821,-32.11585,0.99443,0.95923,-3.53972,47.54043,61.4168,29.18857
Case_1-04,avg,multilevel_tresholding,3,40.75666,35.98308,-11.71239,0.99507,0.99244,-0.2643,53.79208,55.25012,2.71051
Case_1-04,avg,multilevel_tresholding,5,40.75666,35.72755,-12.33936,0.99507,0.99118,-0.39093,53.79208,56.2063,4.48806
Case_1-04,avg,multilevel_tresholding,7,40.75666,33.67912,-17.36536,0.99507,0.98645,-0.86627,53.79208,57.48258,6.86068
Case_1-04,avg,multilevel_tresholding,9,40.75666,31.13815,-23.59985,0.99507,0.97892,-1.623,53.79208,53.13579,-1.22005
Case_1-04,avg,multilevel_tresholding,11,40.75666,29.07547,-28.66081,0.99507,0.97013,-2.50636,53.79208,56.36295,4.77927
Case_1-04,avg,multilevel_tresholding,13,40.75666,27.43879,-32.67655,0.99507,0.96102,-3.42187,53.79208,61.85033,14.98037
Case_1-05,avg,multilevel_tresholding,3,40.65636,35.48916,-12.70945,0.99447,0.9912,-0.32882,46.33431,53.7158,15.93094
