name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,multilevel_tresholding,0.4,3,40.12434,37.83777,-5.69871,0.99317,0.99161,-0.15707,48.57802,48.21942,-0.73819
Case_1-01,gauss,multilevel_tresholding,0.4,5,40.12434,37.83731,-5.69986,0.99317,0.99161,-0.15707,48.57802,48.21939,-0.73826
Case_1-01,gauss,multilevel_tresholding,0.4,7,40.12434,37.83731,-5.69986,0.99317,0.99161,-0.15707,48.57802,48.21939,-0.73826
Case_1-01,gauss,multilevel_tresholding,0.4,9,40.12434,37.83731,-5.69986,0.99317,0.99161,-0.15707,48.57802,48.21939,-0.73826
Case_1-01,gauss,multilevel_tresholding,0.4,11,40.12434,37.83731,-5.69986,0.99317,0.99161,-0.15707,48.57802,48.21939,-0.73826
Case_1-01,gauss,multilevel_tresholding,0.4,13,40.12434,37.83731,-5.69986,0.99317,0.99161,-0.15707,48.57802,48.21939,-0.73826
Case_1-01,gauss,multilevel_tresholding,0.7,3,40.12434,34.28057,-14.56415,0.99317,0.98838,-0.48229,48.57802,52.41176,7.89192
Case_1-01,gauss,multilevel_tresholding,0.7,5,40.12434,34.39015,-14.29105,0.99317,0.98863,-0.45712,48.57802,52.62262,8.32599
Case_1-01,gauss,multilevel_tresholding,0.7,7,40.12434,34.39512,-14.27866,0.99317,0.98864,-0.45612,48.57802,52.64444,8.37091
Case_1-01,gauss,multilevel_tresholding,0.7,9,40.12434,34.39513,-14.27864,0.99317,0.98864,-0.45612,48.57802,52.64444,8.37091
Case_1-01,gauss,multilevel_tresholding,0.7,11,40.12434,34.39513,-14.27864,0.99317,0.98864,-0.45612,48.57802,52.64444,8.37091
Case_1-01,gauss,multilevel_tresholding,0.7,13,40.12434,34.39513,-14.27864,0.99317,0.98864,-0.45612,48.57802,52.64444,8.37091
Case_1-01,gauss,multilevel_tresholding,1.1,3,40.12434,33.81887,-15.71483,0.99317,0.9878,-0.54069,48.57802,52.35153,7.76794
Case_1-01,gauss,multilevel_tresholding,1.1,5,40.12434,34.37784,-14.32173,0.99317,0.98859,-0.46115,48.57802,53.86075,10.87473
Case_1-01,gauss,multilevel_tresholding,1.1,7,40.12434,34.59458,-13.78156,0.99317,0.98878,-0.44202,48.57802,54.25332,11.68286
Case_1-01,gauss,multilevel_tresholding,1.1,9,40.12434,34.62409,-13.70801,0.99317,0.98881,-0.439,48.57802,54.27252,11.72238
Case_1-01,gauss,multilevel_tresholding,1.1,11,40.12434,34.62425,-13.70761,0.99317,0.98881,-0.439,48.57802,54.27262,11.72259
Case_1-01,gauss,multilevel_tresholding,1.1,13,40.12434,34.62424,-13.70764,0.99317,0.98881,-0.439,48.57802,54.27262,11.72259
Case_1-01,gauss,multilevel_tresholding,1.4,3,40.12434,33.73607,-15.92118,0.99317,0.98767,-0.55378,48.57802,52.34596,7.75647
Case_1-01,gauss,multilevel_tresholding,1.4,5,40.12434,34.53339,-13.93406,0.99317,0.98818,-0.50243,48.57802,54.91416,13.04322
Case_1-01,gauss,multilevel_tresholding,1.4,7,40.12434,34.73593,-13.42928,0.99317,0.98784,-0.53667,48.57802,55.98325,15.24399
Case_1-01,gauss,multilevel_tresholding,1.4,9,40.12434,34.74527,-13.406,0.99317,0.98773,-0.54774,48.57802,56.17011,15.62865
Case_1-01,gauss,multilevel_tresholding,1.4,11,40.12434,34.75525,-13.38113,0.99317,0.98772,-0.54875,48.57802,56.20298,15.69632
Case_1-01,gauss,multilevel_tresholding,1.4,13,40.12434,34.75239,-13.38826,0.99317,0.98772,-0.54875,48.57802,56.20777,15.70618
Case_1-01,gauss,multilevel_tresholding,1.7,3,40.12434,33.70279,-16.00413,0.99317,0.9876,-0.56083,48.57802,52.43282,7.93528
Case_1-01,gauss,multilevel_tresholding,1.7,5,40.12434,34.47556,-14.07819,0.99317,0.98757,-0.56385,48.57802,55.55001,14.35215
Case_1-01,gauss,multilevel_tresholding,1.7,7,40.12434,34.34433,-14.40525,0.99317,0.98607,-0.71488,48.57802,56.39667,16.09504
Case_1-01,gauss,multilevel_tresholding,1.7,9,40.12434,34.05199,-15.13383,0.99317,0.98519,-0.80349,48.57802,56.32231,15.94196
Case_1-01,gauss,multilevel_tresholding,1.7,11,40.12434,33.96207,-15.35793,0.99317,0.98495,-0.82765,48.57802,56.2688,15.83181
Case_1-01,gauss,multilevel_tresholding,1.7,13,40.12434,33.94142,-15.4094,0.99317,0.98491,-0.83168,48.57802,56.23918,15.77084
Case_1-01,gauss,multilevel_tresholding,2,3,40.12434,33.70396,-16.00121,0.99317,0.98758,-0.56284,48.57802,52.48934,8.05162
Case_1-01,gauss,multilevel_tresholding,2,5,40.12434,34.40947,-14.2429,0.99317,0.98709,-0.61218,48.57802,55.72397,14.71025
Case_1-01,gauss,multilevel_tresholding,2,7,40.12434,33.87497,-15.57501,0.99317,0.98432,-0.89109,48.57802,56.03485,15.35021
Case_1-01,gauss,multilevel_tresholding,2,9,40.12434,33.1601,-17.35665,0.99317,0.98215,-1.10958,48.57802,55.3234,13.88566
Case_1-01,gauss,multilevel_tresholding,2,11,40.12434,32.82298,-18.19684,0.99317,0.98122,-1.20322,48.57802,55.03609,13.29422
Case_1-01,gauss,multilevel_tresholding,2,13,40.12434,32.7178,-18.45897,0.99317,0.98095,-1.2304,48.57802,54.97999,13.17874
Case_1-02,gauss,multilevel_tresholding,0.4,3,40.29366,37.61966,-6.63628,0.99325,0.99155,-0.17116,53.81616,54.69408,1.63133
Case_1-02,gauss,multilevel_tresholding,0.4,5,40.29366,37.61919,-6.63745,0.99325,0.99155,-0.17116,53.81616,54.69406,1.63129
Case_1-02,gauss,multilevel_tresholding,0.4,7,40.29366,37.61919,-6.63745,0.99325,0.99155,-0.17116,53.81616,54.69406,1.63129
Case_1-02,gauss,multilevel_tresholding,0.4,9,40.29366,37.61919,-6.63745,0.99325,0.99155,-0.17116,53.81616,54.69406,1.63129
Case_1-02,gauss,multilevel_tresholding,0.4,11,40.29366,37.61919,-6.63745,0.99325,0.99155,-0.17116,53.81616,54.69406,1.63129
Case_1-02,gauss,multilevel_tresholding,0.4,13,40.29366,37.61919,-6.63745,0.99325,0.99155,-0.17116,53.81616,54.69406,1.63129
Case_1-02,gauss,multilevel_tresholding,0.7,3,40.29366,34.52114,-14.32612,0.99325,0.98918,-0.40977,53.81616,52.3195,-2.78106
Case_1-02,gauss,multilevel_tresholding,0.7,5,40.29366,34.5766,-14.18849,0.99325,0.98934,-0.39366,53.81616,52.41141,-2.61028
Case_1-02,gauss,multilevel_tresholding,0.7,7,40.29366,34.5984,-14.13438,0.99325,0.98937,-0.39064,53.81616,52.44241,-2.55267
Case_1-02,gauss,multilevel_tresholding,0.7,9,40.29366,34.5984,-14.13438,0.99325,0.98937,-0.39064,53.81616,52.44241,-2.55267
Case_1-02,gauss,multilevel_tresholding,0.7,11,40.29366,34.5984,-14.13438,0.99325,0.98937,-0.39064,53.81616,52.44241,-2.55267
Case_1-02,gauss,multilevel_tresholding,0.7,13,40.29366,34.5984,-14.13438,0.99325,0.98937,-0.39064,53.81616,52.44241,-2.55267
Case_1-02,gauss,multilevel_tresholding,1.1,3,40.29366,34.36447,-14.71495,0.99325,0.98904,-0.42386,53.81616,52.35235,-2.72002
Case_1-02,gauss,multilevel_tresholding,1.1,5,40.29366,34.93387,-13.30182,0.99325,0.9898,-0.34734,53.81616,54.48318,1.23944
Case_1-02,gauss,multilevel_tresholding,1.1,7,40.29366,35.15266,-12.75883,0.99325,0.99,-0.32721,53.81616,55.3561,2.86148
Case_1-02,gauss,multilevel_tresholding,1.1,9,40.29366,35.15769,-12.74635,0.99325,0.99,-0.32721,53.81616,55.42156,2.98312
Case_1-02,gauss,multilevel_tresholding,1.1,11,40.29366,35.16231,-12.73488,0.99325,0.99001,-0.3262,53.81616,55.42235,2.98459
Case_1-02,gauss,multilevel_tresholding,1.1,13,40.29366,35.1623,-12.73491,0.99325,0.99001,-0.3262,53.81616,55.42235,2.98459
Case_1-02,gauss,multilevel_tresholding,1.4,3,40.29366,34.38136,-14.67303,0.99325,0.98906,-0.42185,53.81616,52.41568,-2.60234
Case_1-02,gauss,multilevel_tresholding,1.4,5,40.29366,35.1009,-12.88729,0.99325,0.98952,-0.37553,53.81616,56.00815,4.07311
Case_1-02,gauss,multilevel_tresholding,1.4,7,40.29366,35.38768,-12.17556,0.99325,0.98937,-0.39064,53.81616,58.12309,8.00304
Case_1-02,gauss,multilevel_tresholding,1.4,9,40.29366,35.35894,-12.24689,0.99325,0.98925,-0.40272,53.81616,58.39589,8.50995
Case_1-02,gauss,multilevel_tresholding,1.4,11,40.29366,35.34987,-12.2694,0.99325,0.98923,-0.40473,53.81616,58.387,8.49343
Case_1-02,gauss,multilevel_tresholding,1.4,13,40.29366,35.3488,-12.27205,0.99325,0.98923,-0.40473,53.81616,58.38697,8.49338
Case_1-02,gauss,multilevel_tresholding,1.7,3,40.29366,34.36949,-14.70249,0.99325,0.98902,-0.42587,53.81616,52.41597,-2.6018
Case_1-02,gauss,multilevel_tresholding,1.7,5,40.29366,35.10813,-12.86934,0.99325,0.98909,-0.41883,53.81616,56.79938,5.54335
Case_1-02,gauss,multilevel_tresholding,1.7,7,40.29366,34.89631,-13.39504,0.99325,0.98787,-0.54166,53.81616,57.67611,7.17247
Case_1-02,gauss,multilevel_tresholding,1.7,9,40.29366,34.5145,-14.3426,0.99325,0.98703,-0.62623,53.81616,57.446,6.74489
Case_1-02,gauss,multilevel_tresholding,1.7,11,40.29366,34.37114,-14.69839,0.99325,0.98676,-0.65341,53.81616,57.30433,6.48164
Case_1-02,gauss,multilevel_tresholding,1.7,13,40.29366,34.34362,-14.76669,0.99325,0.98672,-0.65744,53.81616,57.28744,6.45026
Case_1-02,gauss,multilevel_tresholding,2,3,40.29366,34.38973,-14.65226,0.99325,0.98903,-0.42487,53.81616,52.38212,-2.6647
Case_1-02,gauss,multilevel_tresholding,2,5,40.29366,35.03767,-13.04421,0.99325,0.98873,-0.45507,53.81616,56.88671,5.70563
Case_1-02,gauss,multilevel_tresholding,2,7,40.29366,34.3322,-14.79503,0.99325,0.98634,-0.6957,53.81616,56.32664,4.66492
Case_1-02,gauss,multilevel_tresholding,2,9,40.29366,33.40973,-17.0844,0.99325,0.98421,-0.91014,53.81616,55.36311,2.87451
Case_1-02,gauss,multilevel_tresholding,2,11,40.29366,32.98954,-18.12722,0.99325,0.98321,-1.01082,53.81616,55.07995,2.34835
Case_1-02,gauss,multilevel_tresholding,2,13,40.29366,32.85778,-18.45422,0.99325,0.98291,-1.04103,53.81616,55.00476,2.20863
Case_1-03,gauss,multilevel_tresholding,0.4,3,40.75798,38.62094,-5.24324,0.99443,0.99304,-0.13978,47.54043,46.1007,-3.02843
Case_1-03,gauss,multilevel_tresholding,0.4,5,40.75798,38.62079,-5.24361,0.99443,0.99303,-0.14078,47.54043,46.10065,-3.02854
Case_1-03,gauss,multilevel_tresholding,0.4,7,40.75798,38.62079,-5.24361,0.99443,0.99303,-0.14078,47.54043,46.10065,-3.02854
Case_1-03,gauss,multilevel_tresholding,0.4,9,40.75798,38.62079,-5.24361,0.99443,0.99303,-0.14078,47.54043,46.10065,-3.02854
Case_1-03,gauss,multilevel_tresholding,0.4,11,40.75798,38.62079,-5.24361,0.99443,0.99303,-0.14078,47.54043,46.10065,-3.02854
