name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,3,40.12434,24.00956,-40.16211,0.99317,0.93652,-5.70396,48.57802,47.78227,-1.63809
Case_1-01,avg,otsu,5,40.12434,33.7825,-15.80547,0.99317,0.98388,-0.93539,48.57802,53.70052,10.54489
Case_1-01,avg,otsu,7,40.12434,32.09453,-20.01232,0.99317,0.97704,-1.62409,48.57802,50.81205,4.59885
Case_1-01,avg,otsu,9,40.12434,29.67743,-26.03634,0.99317,0.96539,-2.7971,48.57802,49.57604,2.05447
Case_1-01,avg,otsu,11,40.12434,27.71123,-30.93661,0.99317,0.95243,-4.10202,48.57802,47.94145,-1.31041
Case_1-01,avg,otsu,13,40.12434,26.13684,-34.86039,0.99317,0.93955,-5.39887,48.57802,51.99427,7.0325
Case_1-02,avg,otsu,3,40.29366,23.20006,-42.42255,0.99325,0.92946,-6.42235,53.81616,46.4357,-13.71421
Case_1-02,avg,otsu,5,40.29366,33.14918,-17.73103,0.99325,0.98361,-0.97055,53.81616,46.16376,-14.21952
Case_1-02,avg,otsu,7,40.29366,32.25902,-19.94021,0.99325,0.97939,-1.39542,53.81616,48.54472,-9.79527
Case_1-02,avg,otsu,9,40.29366,29.67478,-26.35372,0.99325,0.96815,-2.52706,53.81616,47.89042,-11.01108
Case_1-02,avg,otsu,11,40.29366,27.46082,-31.84829,0.99325,0.9539,-3.96174,53.81616,46.62216,-13.36773
Case_1-02,avg,otsu,13,40.29366,25.67642,-36.27677,0.99325,0.93847,-5.51523,53.81616,51.76619,-3.80921
Case_1-03,avg,otsu,3,40.75798,24.30307,-40.37224,0.99443,0.94196,-5.27639,47.54043,43.81788,-7.83028
Case_1-03,avg,otsu,5,40.75798,34.37882,-15.65132,0.99443,0.98733,-0.71398,47.54043,53.49935,12.53443
Case_1-03,avg,otsu,7,40.75798,33.5103,-17.78224,0.99443,0.98399,-1.04985,47.54043,53.28132,12.07581
Case_1-03,avg,otsu,9,40.75798,31.27805,-23.25908,0.99443,0.97667,-1.78595,47.54043,53.20982,11.92541
Case_1-03,avg,otsu,11,40.75798,29.42842,-27.79716,0.99443,0.96864,-2.59345,47.54043,52.34021,10.09621
Case_1-03,avg,otsu,13,40.75798,27.90755,-31.52862,0.99443,0.96062,-3.39994,47.54043,58.96643,24.03428
Case_1-04,avg,otsu,3,40.75666,24.5596,-39.74089,0.99507,0.94747,-4.78358,53.79208,45.04251,-16.26554
Case_1-04,avg,otsu,5,40.75666,34.80087,-14.61305,0.99507,0.98918,-0.59192,53.79208,53.64308,-0.27699
Case_1-04,avg,otsu,7,40.75666,33.92191,-16.76965,0.99507,0.98676,-0.83512,53.79208,53.25411,-1.00009
Case_1-04,avg,otsu,9,40.75666,31.48833,-22.74065,0.99507,0.98001,-1.51346,53.79208,53.01755,-1.43986
Case_1-04,avg,otsu,11,40.75666,29.41134,-27.83673,0.99507,0.97164,-2.35461,53.79208,52.01598,-3.30179
