name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,2,33.47596,16.63971,-50.29355,0.97234,0.74123,-23.76843,52.43543,47.01481,-10.3377
Case_1-01,avg,fixed_multilevel_tresholding,4,33.47596,27.95629,-16.48846,0.97234,0.95824,-1.45011,52.43543,51.47849,-1.82499
Case_1-01,avg,fixed_multilevel_tresholding,6,33.47596,30.74392,-8.1612,0.97234,0.96942,-0.30031,52.43543,54.65601,4.23488
Case_1-01,avg,fixed_multilevel_tresholding,8,33.47596,29.3779,-12.2418,0.97234,0.96191,-1.07267,52.43543,53.39064,1.82169
Case_1-01,avg,fixed_multilevel_tresholding,10,33.47596,27.76162,-17.06998,0.97234,0.95116,-2.17825,52.43543,51.658,-1.48264
Case_1-01,avg,fixed_multilevel_tresholding,12,33.47596,26.2991,-21.43885,0.97234,0.93945,-3.38256,52.43543,51.77834,-1.25314
Case_1-02,avg,fixed_multilevel_tresholding,2,33.48185,16.47592,-50.79149,0.97174,0.74351,-23.48674,52.75041,50.19109,-4.85175
Case_1-02,avg,fixed_multilevel_tresholding,4,33.48185,27.48215,-17.91926,0.97174,0.95632,-1.58684,52.75041,49.53523,-6.09508
Case_1-02,avg,fixed_multilevel_tresholding,6,33.48185,30.77118,-8.09594,0.97174,0.97079,-0.09776,52.75041,53.34349,1.12431
Case_1-02,avg,fixed_multilevel_tresholding,8,33.48185,29.38491,-12.2363,0.97174,0.96429,-0.76667,52.75041,51.80495,-1.79233
Case_1-02,avg,fixed_multilevel_tresholding,10,33.48185,27.56585,-17.66927,0.97174,0.95285,-1.94394,52.75041,49.76412,-5.66117
Case_1-02,avg,fixed_multilevel_tresholding,12,33.48185,25.89233,-22.66756,0.97174,0.93899,-3.37024,52.75041,51.37214,-2.61281
Case_1-03,avg,fixed_multilevel_tresholding,2,33.98032,17.14854,-49.53391,0.97747,0.7708,-21.14336,49.54837,45.0815,-9.01517
Case_1-03,avg,fixed_multilevel_tresholding,4,33.98032,28.05102,-17.44922,0.97747,0.96311,-1.4691,49.54837,51.55294,4.04568
Case_1-03,avg,fixed_multilevel_tresholding,6,33.98032,31.66579,-6.81138,0.97747,0.97659,-0.09003,49.54837,56.24797,13.52133
Case_1-03,avg,fixed_multilevel_tresholding,8,33.98032,30.71841,-9.59941,0.97747,0.97272,-0.48595,49.54837,55.8818,12.78232
Case_1-03,avg,fixed_multilevel_tresholding,10,33.98032,29.31864,-13.71876,0.97747,0.96637,-1.13558,49.54837,52.94147,6.84806
Case_1-03,avg,fixed_multilevel_tresholding,12,33.98032,27.97463,-17.67402,0.97747,0.95932,-1.85683,49.54837,59.8315,20.75372
Case_1-04,avg,fixed_multilevel_tresholding,2,33.94747,17.36613,-48.84411,0.97893,0.79152,-19.14437,52.91561,47.94082,-9.40137
Case_1-04,avg,fixed_multilevel_tresholding,4,33.94747,28.31889,-16.58026,0.97893,0.96602,-1.31879,52.91561,51.00462,-3.61139
Case_1-04,avg,fixed_multilevel_tresholding,6,33.94747,31.91818,-5.97774,0.97893,0.97941,0.04903,52.91561,56.03912,5.90281
Case_1-04,avg,fixed_multilevel_tresholding,8,33.94747,30.8641,-9.08277,0.97893,0.97599,-0.30033,52.91561,56.76712,7.27859
Case_1-04,avg,fixed_multilevel_tresholding,10,33.94747,29.31625,-13.64231,0.97893,0.9696,-0.95308,52.91561,52.979,0.11979
Case_1-04,avg,fixed_multilevel_tresholding,12,33.94747,27.82537,-18.03404,0.97893,0.96188,-1.7417,52.91561,59.14141,11.76553
Case_1-05,avg,fixed_multilevel_tresholding,2,33.96857,17.0841,-49.70615,0.97769,0.76561,-21.69195,49.42568,44.50615,-9.95339
