name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,otsu,0.4,2,33.47596,22.45327,-32.92718,0.97234,0.89911,-7.53132,52.43543,41.37116,-21.10075
Case_1-01,gauss,otsu,0.4,4,33.47596,31.25218,-6.64292,0.97234,0.96449,-0.80733,52.43543,49.45551,-5.68303
Case_1-01,gauss,otsu,0.4,6,33.47596,31.7861,-5.04798,0.97234,0.96594,-0.65821,52.43543,48.97032,-6.60834
Case_1-01,gauss,otsu,0.4,8,33.47596,31.78611,-5.04795,0.97234,0.96594,-0.65821,52.43543,48.97032,-6.60834
Case_1-01,gauss,otsu,0.4,10,33.47596,31.78611,-5.04795,0.97234,0.96594,-0.65821,52.43543,48.97032,-6.60834
Case_1-01,gauss,otsu,0.4,12,33.47596,31.78611,-5.04795,0.97234,0.96594,-0.65821,52.43543,48.97032,-6.60834
Case_1-01,gauss,otsu,0.7,2,33.47596,22.50397,-32.77573,0.97234,0.90283,-7.14873,52.43543,44.06742,-15.95869
Case_1-01,gauss,otsu,0.7,4,33.47596,31.9431,-4.57899,0.97234,0.97038,-0.20158,52.43543,53.18278,1.42528
Case_1-01,gauss,otsu,0.7,6,33.47596,32.61819,-2.56235,0.97234,0.97197,-0.03805,52.43543,53.00852,1.09294
Case_1-01,gauss,otsu,0.7,8,33.47596,32.61828,-2.56208,0.97234,0.97197,-0.03805,52.43543,53.00855,1.093
Case_1-01,gauss,otsu,0.7,10,33.47596,32.61828,-2.56208,0.97234,0.97197,-0.03805,52.43543,53.00855,1.093
Case_1-01,gauss,otsu,0.7,12,33.47596,32.61828,-2.56208,0.97234,0.97197,-0.03805,52.43543,53.00855,1.093
Case_1-01,gauss,otsu,1.1,2,33.47596,22.50896,-32.76082,0.97234,0.9034,-7.09011,52.43543,44.69513,-14.76158
Case_1-01,gauss,otsu,1.1,4,33.47596,32.29351,-3.53224,0.97234,0.97325,0.09359,52.43543,56.76043,8.24824
Case_1-01,gauss,otsu,1.1,6,33.47596,33.29148,-0.55108,0.97234,0.9759,0.36613,52.43543,57.25672,9.19472
Case_1-01,gauss,otsu,1.1,8,33.47596,33.315,-0.48082,0.97234,0.97599,0.37538,52.43543,57.25856,9.19823
Case_1-01,gauss,otsu,1.1,10,33.47596,33.31563,-0.47894,0.97234,0.97599,0.37538,52.43543,57.2588,9.19868
Case_1-01,gauss,otsu,1.1,12,33.47596,33.31564,-0.47891,0.97234,0.97599,0.37538,52.43543,57.2588,9.19868
Case_1-01,gauss,otsu,1.4,2,33.47596,22.50876,-32.76142,0.97234,0.90346,-7.08394,52.43543,44.90028,-14.37034
Case_1-01,gauss,otsu,1.4,4,33.47596,32.27736,-3.58048,0.97234,0.97354,0.12341,52.43543,57.23265,9.14881
Case_1-01,gauss,otsu,1.4,6,33.47596,33.30364,-0.51476,0.97234,0.97662,0.44018,52.43543,59.01929,12.55613
Case_1-01,gauss,otsu,1.4,8,33.47596,33.34427,-0.39339,0.97234,0.97687,0.46589,52.43543,59.10852,12.7263
Case_1-01,gauss,otsu,1.4,10,33.47596,33.34791,-0.38251,0.97234,0.9769,0.46897,52.43543,59.10772,12.72477
Case_1-01,gauss,otsu,1.4,12,33.47596,33.34796,-0.38236,0.97234,0.97691,0.47,52.43543,59.10781,12.72495
Case_1-01,gauss,otsu,1.7,2,33.47596,22.50825,-32.76294,0.97234,0.90347,-7.08291,52.43543,44.97303,-14.2316
Case_1-01,gauss,otsu,1.7,4,33.47596,32.21775,-3.75855,0.97234,0.97344,0.11313,52.43543,56.68268,8.09996
Case_1-01,gauss,otsu,1.7,6,33.47596,33.05501,-1.25747,0.97234,0.97616,0.39287,52.43543,59.2364,12.97018
Case_1-01,gauss,otsu,1.7,8,33.47596,32.95088,-1.56853,0.97234,0.97617,0.3939,52.43543,59.30921,13.10904
Case_1-01,gauss,otsu,1.7,10,33.47596,32.90865,-1.69468,0.97234,0.97615,0.39184,52.43543,59.2554,13.00642
Case_1-01,gauss,otsu,1.7,12,33.47596,32.90005,-1.72037,0.97234,0.97614,0.39081,52.43543,59.24806,12.99242
Case_1-01,gauss,otsu,2,2,33.47596,22.50791,-32.76396,0.97234,0.90347,-7.08291,52.43543,45.01089,-14.1594
Case_1-01,gauss,otsu,2,4,33.47596,32.16188,-3.92544,0.97234,0.97326,0.09462,52.43543,55.92614,6.65716
Case_1-01,gauss,otsu,2,6,33.47596,32.76232,-2.1318,0.97234,0.97532,0.30648,52.43543,58.19759,10.98906
Case_1-01,gauss,otsu,2,8,33.47596,32.39163,-3.23913,0.97234,0.97457,0.22934,52.43543,57.98971,10.59261
Case_1-01,gauss,otsu,2,10,33.47596,32.19619,-3.82295,0.97234,0.97416,0.18718,52.43543,57.71605,10.07071
Case_1-01,gauss,otsu,2,12,33.47596,32.13264,-4.01279,0.97234,0.97403,0.17381,52.43543,57.59351,9.83701
Case_1-02,gauss,otsu,0.4,2,33.48185,21.99712,-34.30136,0.97174,0.89285,-8.11843,52.75041,43.79525,-16.97647
Case_1-02,gauss,otsu,0.4,4,33.48185,30.94854,-7.56622,0.97174,0.96301,-0.89839,52.75041,54.44395,3.21048
Case_1-02,gauss,otsu,0.4,6,33.48185,31.54301,-5.79072,0.97174,0.9646,-0.73476,52.75041,54.37521,3.08017
Case_1-02,gauss,otsu,0.4,8,33.48185,31.54302,-5.79069,0.97174,0.9646,-0.73476,52.75041,54.37521,3.08017
