type,method,sigma,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
gauss,multilevel_tresholding,0.4,3,37.29525,37.67669425,-2.421515,0.98763,0.9842526875,-0.06847625,51.37817,48.259936625,-0.714843125
gauss,multilevel_tresholding,0.4,5,37.29525,37.676343375,-2.4224256875,0.98763,0.984252125,-0.068533625,51.37817,48.260378125,-0.7139351875
gauss,multilevel_tresholding,0.4,7,37.29525,37.676343375,-2.4224256875,0.98763,0.984252125,-0.068533625,51.37817,48.260378125,-0.7139351875
gauss,multilevel_tresholding,0.4,9,37.29525,37.676343375,-2.4224256875,0.98763,0.984252125,-0.068533625,51.37817,48.260378125,-0.7139351875
gauss,multilevel_tresholding,0.4,11,37.29525,37.676343375,-2.4224256875,0.98763,0.984252125,-0.068533625,51.37817,48.260378125,-0.7139351875
gauss,multilevel_tresholding,0.4,13,37.29525,37.676343375,-2.4224256875,0.98763,0.984252125,-0.068533625,51.37817,48.260378125,-0.7139351875
gauss,otsu,1.1,13,37.29525,37.1542920625,-3.7892776875,0.98763,0.9832646875,-0.169174375,51.37817,51.5589730625,6.2571674375
gauss,otsu,1.1,11,37.29525,37.1542875,-3.7892894375,0.98763,0.9832646875,-0.169174375,51.37817,51.5589208125,6.2570616875
gauss,otsu,1.1,9,37.29525,37.1538540625,-3.7903945,0.98763,0.983263625,-0.169282,51.37817,51.559210375,6.2576289375
gauss,otsu,1.1,7,37.29525,37.1364753125,-3.8348158125,0.98763,0.983239125,-0.1717661875,51.37817,51.57775875,6.293780125
gauss,fixed_multilevel_tresholding,0.4,9,37.29525,36.9249339375,-4.37227825,0.98763,0.9829060625,-0.205319,51.37817,47.1745675,-2.9397500625
gauss,fixed_multilevel_tresholding,0.4,11,37.29525,36.9249338125,-4.3722784375,0.98763,0.9829060625,-0.205319,51.37817,47.1745675,-2.9397500625
gauss,fixed_multilevel_tresholding,0.4,7,37.29525,36.9249335,-4.37227925,0.98763,0.9829060625,-0.205319,51.37817,47.174567625,-2.9397498125
gauss,fixed_multilevel_tresholding,0.4,13,37.29525,36.9249295,-4.372289625,0.98763,0.9829060625,-0.205319,51.37817,47.1745669375,-2.9397511875
gauss,otsu,0.7,9,37.29525,36.8759183125,-4.50244425,0.98763,0.9830065,-0.195098,51.37817,49.691006375,2.2850164375
gauss,otsu,0.7,11,37.29525,36.8759183125,-4.50244425,0.98763,0.9830065,-0.195098,51.37817,49.691006375,2.2850164375
gauss,otsu,0.7,13,37.29525,36.8759183125,-4.50244425,0.98763,0.9830065,-0.195098,51.37817,49.691006375,2.2850164375
gauss,otsu,0.7,7,37.29525,36.87582375,-4.5026858125,0.98763,0.9830063125,-0.1951170625,51.37817,49.690879125,2.2847583125
gauss,fixed_multilevel_tresholding,0.7,11,37.29525,36.842767875,-4.5830335625,0.98763,0.9845235,-0.0408416875,51.37817,51.0293343125,5.101499375
gauss,fixed_multilevel_tresholding,0.7,13,37.29525,36.842767875,-4.5830335625,0.98763,0.9845235,-0.0408416875,51.37817,51.0293343125,5.101499375
gauss,fixed_multilevel_tresholding,0.7,9,37.29525,36.8427678125,-4.58303375,0.98763,0.9845235,-0.0408416875,51.37817,51.02933425,5.1014993125
gauss,fixed_multilevel_tresholding,0.7,7,37.29525,36.8426815625,-4.583253375,0.98763,0.9845234375,-0.040848,51.37817,51.029238625,5.1013405625
gauss,fixed_multilevel_tresholding,1.1,13,37.29525,36.6723825,-5.032011625,0.98763,0.983300625,-0.165534625,51.37817,54.19497175,11.7384181875
gauss,fixed_multilevel_tresholding,1.1,11,37.29525,36.6723211875,-5.0321674375,0.98763,0.983300625,-0.165534625,51.37817,54.1950263125,11.738527
gauss,fixed_multilevel_tresholding,1.1,9,37.29525,36.6720345,-5.0329134375,0.98763,0.9833006875,-0.165528125,51.37817,54.196104,11.740773125
gauss,fixed_multilevel_tresholding,1.1,7,37.29525,36.6625609375,-5.0570580625,0.98763,0.983303375,-0.1652468125,51.37817,54.1842905625,11.71551
gauss,otsu,1.4,7,37.29525,36.5925686875,-5.263048375,0.98763,0.980954125,-0.4044503125,51.37817,53.7346831875,10.8724056875
gauss,otsu,1.4,9,37.29525,36.5477790625,-5.3831359375,0.98763,0.9807396875,-0.4263100625,51.37817,53.7292271875,10.8767978125
gauss,otsu,1.4,11,37.29525,36.5408201875,-5.401644,0.98763,0.9807163125,-0.428693125,51.37817,53.7314911875,10.8832178125
gauss,otsu,1.4,13,37.29525,36.5402351875,-5.40318775,0.98763,0.980714375,-0.4288901875,51.37817,53.73198175,10.8843309375
gauss,multilevel_tresholding,1.1,11,37.29525,36.188013875,-6.2793591875,0.98763,0.9831408125,-0.181740125,51.37817,54.9406513125,13.33083
gauss,multilevel_tresholding,1.1,13,37.29525,36.1879534375,-6.27951275,0.98763,0.9831408125,-0.181740125,51.37817,54.94062275,13.3308066875
gauss,multilevel_tresholding,1.1,9,37.29525,36.187935,-6.2795433125,0.98763,0.9831410625,-0.181714625,51.37817,54.9400056875,13.329520875
gauss,multilevel_tresholding,1.1,7,37.29525,36.1815658125,-6.29572925,0.98763,0.98315375,-0.1804205625,51.37817,54.9239526875,13.2959761875
gauss,fixed_multilevel_tresholding,1.4,7,37.29525,36.1591691875,-6.3789394375,0.98763,0.980476875,-0.453032875,51.37817,55.86693425,15.306811125
gauss,multilevel_tresholding,0.7,7,37.29525,36.1308041875,-6.4255953125,0.98763,0.9841315,-0.08061675,51.37817,52.289486,7.7288595625
gauss,multilevel_tresholding,0.7,9,37.29525,36.130804,-6.425595625,0.98763,0.9841315,-0.08061675,51.37817,52.2895253125,7.728937875
gauss,multilevel_tresholding,0.7,11,37.29525,36.130804,-6.425595625,0.98763,0.9841315,-0.08061675,51.37817,52.2895253125,7.728937875
gauss,multilevel_tresholding,0.7,13,37.29525,36.130804,-6.425595625,0.98763,0.9841315,-0.08061675,51.37817,52.2895253125,7.728937875
gauss,multilevel_tresholding,0.7,5,37.29525,36.12959275,-6.42871275,0.98763,0.98413,-0.0807691875,51.37817,52.288030375,7.72583175
gauss,multilevel_tresholding,1.1,5,37.29525,36.099216,-6.5068165625,0.98763,0.9833440625,-0.16099225,51.37817,54.6165048125,12.6505110625
gauss,fixed_multilevel_tresholding,1.4,9,37.29525,36.101390625,-6.532981,0.98763,0.980139375,-0.4874014375,51.37817,55.9811790625,15.555055375
gauss,fixed_multilevel_tresholding,1.4,11,37.29525,36.091621375,-6.5587073125,0.98763,0.980102,-0.491206875,51.37817,55.993539,15.5821513125
gauss,fixed_multilevel_tresholding,1.4,13,37.29525,36.0909661875,-6.5604603125,0.98763,0.980099375,-0.4914740625,51.37817,55.9934655,15.58204575
gauss,multilevel_tresholding,0.7,3,37.29525,36.0787591875,-6.5623308125,0.98763,0.984008875,-0.0930565625,51.37817,51.953691875,7.0230119375
gauss,otsu,0.4,11,37.29525,36.046645375,-6.6579435,0.98763,0.9796895,-0.532309375,51.37817,46.667439625,-4.025864375
gauss,otsu,0.4,9,37.29525,36.0466429375,-6.65794975,0.98763,0.9796895,-0.532309375,51.37817,46.6674383125,-4.0258669375
gauss,otsu,0.4,7,37.29525,36.0466416875,-6.6579526875,0.98763,0.9796895,-0.532309375,51.37817,46.6674385625,-4.025866375
gauss,otsu,0.4,13,37.29525,36.046637875,-6.6579625625,0.98763,0.9796895,-0.532309375,51.37817,46.6674381875,-4.025867125
gauss,multilevel_tresholding,1.4,5,37.29525,36.006411875,-6.7540425625,0.98763,0.9820066875,-0.2972079375,51.37817,55.55032825,14.6311246875
gauss,multilevel_tresholding,1.4,7,37.29525,35.9774050625,-6.843251875,0.98763,0.980530875,-0.44753075,51.37817,56.3266245,16.2790366875
gauss,multilevel_tresholding,1.4,9,37.29525,35.938876625,-6.9473383125,0.98763,0.98018025,-0.4832336875,51.37817,56.4336826875,16.508230125
gauss,multilevel_tresholding,1.4,11,37.29525,35.9334710625,-6.9618793125,0.98763,0.9801428125,-0.487045125,51.37817,56.44410625,16.5304991875
gauss,multilevel_tresholding,1.4,13,37.29525,35.9329554375,-6.9632270625,0.98763,0.980140375,-0.4872930625,51.37817,56.4456596875,16.533761875
gauss,otsu,1.7,7,37.29525,35.9199548125,-7.0217673125,0.98763,0.9780225625,-0.702853,51.37817,55.52128275,14.6792000625
gauss,multilevel_tresholding,1.7,5,37.29525,35.8787525,-7.0902819375,0.98763,0.980849125,-0.4150654375,51.37817,56.090556875,15.7794668125
gauss,otsu,1.1,5,37.29525,35.832638,-7.14209425,0.98763,0.9818011875,-0.3175788125,51.37817,52.27823425,7.7042853125
gauss,fixed_multilevel_tresholding,0.4,5,37.29525,35.802989875,-7.2120241875,0.98763,0.9816915,-0.3284995,51.37817,47.426094125,-2.44469375
gauss,multilevel_tresholding,1.1,3,37.29525,35.8199580625,-7.2317109375,0.98763,0.98376225,-0.1181644375,51.37817,52.7764873125,8.7651046875
gauss,otsu,0.7,5,37.29525,35.7792070625,-7.2784371875,0.98763,0.981824625,-0.31496375,51.37817,50.099237375,3.1128186875
gauss,multilevel_tresholding,1.4,3,37.29525,35.7828629375,-7.328174625,0.98763,0.9836706875,-0.127491875,51.37817,53.0231185,9.2744094375
gauss,multilevel_tresholding,2,5,37.29525,35.7824356875,-7.3457430625,0.98763,0.97999975,-0.50153475,51.37817,56.3707665,16.3809590625
gauss,multilevel_tresholding,1.7,3,37.29525,35.767024,-7.3694856875,0.98763,0.983611875,-0.1334826875,51.37817,53.12817175,9.49743975
gauss,multilevel_tresholding,2,3,37.29525,35.7600405625,-7.387617375,0.98763,0.9835840625,-0.136317625,51.37817,53.1691750625,9.583107125
avg,multilevel_tresholding,NaN,3,37.29525,35.7317208125,-7.4608209375,0.98763,0.9834725625,-0.1476740625,51.37817,53.2638549375,9.789865125
gauss,fixed_multilevel_tresholding,0.7,5,37.29525,35.70186825,-7.474157625,0.98763,0.983265875,-0.168395875,51.37817,51.3875955,5.8209525625
gauss,otsu,1.7,9,37.29525,35.611034375,-7.8315901875,0.98763,0.9767466875,-0.8327473125,51.37817,55.6045855625,14.9023325625
gauss,otsu,1.4,5,37.29525,35.5702114375,-7.832037,0.98763,0.9805150625,-0.4485255,51.37817,53.6776785,10.689849
gauss,fixed_multilevel_tresholding,1.7,7,37.29525,35.559593625,-7.9507595625,0.98763,0.97721475,-0.785074125,51.37817,56.8395168125,17.4134920625
gauss,multilevel_tresholding,1.7,7,37.29525,35.52169875,-8.045398375,0.98763,0.9773455625,-0.7717771875,51.37817,57.1001129375,17.9544603125
gauss,otsu,1.7,11,37.29525,35.5216965625,-8.065253,0.98763,0.976431625,-0.86481625,51.37817,55.597670875,14.89857725
