name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,multilevel_tresholding,2,33.47596,30.95398,-7.5337,0.97234,0.9683,-0.41549,52.43543,54.70915,4.33623
Case_1-01,avg,multilevel_tresholding,4,33.47596,30.94065,-7.57352,0.97234,0.97142,-0.09462,52.43543,56.32467,7.4172
Case_1-01,avg,multilevel_tresholding,6,33.47596,30.87521,-7.76901,0.97234,0.9701,-0.23037,52.43543,54.69525,4.30972
Case_1-01,avg,multilevel_tresholding,8,33.47596,29.40771,-12.15275,0.97234,0.96209,-1.05416,52.43543,53.61564,2.25079
Case_1-01,avg,multilevel_tresholding,10,33.47596,27.76621,-17.05627,0.97234,0.95121,-2.17311,52.43543,50.74197,-3.22961
Case_1-01,avg,multilevel_tresholding,12,33.47596,26.29985,-21.43661,0.97234,0.93948,-3.37948,52.43543,51.88625,-1.04735
Case_1-02,avg,multilevel_tresholding,2,33.48185,30.86847,-7.80536,0.97174,0.9679,-0.39517,52.75041,54.87632,4.03013
Case_1-02,avg,multilevel_tresholding,4,33.48185,30.78004,-8.06948,0.97174,0.97125,-0.05043,52.75041,55.45205,5.12155
Case_1-02,avg,multilevel_tresholding,6,33.48185,30.96547,-7.51565,0.97174,0.97168,-0.00617,52.75041,53.66646,1.73657
Case_1-02,avg,multilevel_tresholding,8,33.48185,29.42565,-12.11462,0.97174,0.96452,-0.743,52.75041,51.72357,-1.9466
Case_1-02,avg,multilevel_tresholding,10,33.48185,27.57101,-17.65386,0.97174,0.95291,-1.93776,52.75041,48.79887,-7.49101
Case_1-02,avg,multilevel_tresholding,12,33.48185,25.89271,-22.66643,0.97174,0.93903,-3.36613,52.75041,51.8524,-1.70238
Case_1-03,avg,multilevel_tresholding,2,33.98032,31.61958,-6.94737,0.97747,0.9741,-0.34477,49.54837,54.40946,9.8108
