name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,2,33.47596,16.74142,-49.98972,0.97234,0.74621,-23.25627,52.43543,47.87096,-8.70493
Case_1-01,avg,otsu,4,33.47596,27.90695,-16.63585,0.97234,0.95621,-1.65888,52.43543,51.52947,-1.72776
Case_1-01,avg,otsu,6,33.47596,30.72858,-8.20702,0.97234,0.96898,-0.34556,52.43543,51.62303,-1.54933
Case_1-01,avg,otsu,8,33.47596,29.62012,-11.51824,0.97234,0.96312,-0.94823,52.43543,49.81885,-4.9901
Case_1-01,avg,otsu,10,33.47596,28.08006,-16.11873,0.97234,0.95321,-1.96742,52.43543,49.12944,-6.30488
Case_1-01,avg,otsu,12,33.47596,26.60544,-20.52374,0.97234,0.94189,-3.13162,52.43543,48.42903,-7.64064
Case_1-02,avg,otsu,2,33.48185,16.55036,-50.56916,0.97174,0.74693,-23.13479,52.75041,50.88937,-3.52801
Case_1-02,avg,otsu,4,33.48185,27.41366,-18.12382,0.97174,0.95399,-1.82662,52.75041,50.29141,-4.66158
Case_1-02,avg,otsu,6,33.48185,30.71809,-8.2545,0.97174,0.96995,-0.18421,52.75041,48.91672,-7.2676
Case_1-02,avg,otsu,8,33.48185,29.65744,-11.42234,0.97174,0.96534,-0.65861,52.75041,48.87378,-7.349
Case_1-02,avg,otsu,10,33.48185,27.94447,-16.53845,0.97174,0.95509,-1.71342,52.75041,47.33061,-10.27442
Case_1-02,avg,otsu,12,33.48185,26.25509,-21.58411,0.97174,0.94193,-3.06769,52.75041,47.99464,-9.01561
Case_1-03,avg,otsu,2,33.98032,17.23442,-49.28117,0.97747,0.77434,-20.7812,49.54837,45.74193,-7.68227
Case_1-03,avg,otsu,4,33.98032,28.18037,-17.06856,0.97747,0.96237,-1.5448,49.54837,52.34254,5.63928
Case_1-03,avg,otsu,6,33.98032,31.75309,-6.55447,0.97747,0.97658,-0.09105,49.54837,53.27832,7.5279
Case_1-03,avg,otsu,8,33.98032,30.89705,-9.07369,0.97747,0.97353,-0.40308,49.54837,54.16863,9.32475
Case_1-03,avg,otsu,10,33.98032,29.57793,-12.9557,0.97747,0.9677,-0.99952,49.54837,50.40421,1.72728
Case_1-03,avg,otsu,12,33.98032,28.24617,-16.87491,0.97747,0.96093,-1.69212,49.54837,55.43579,11.88217
