sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
0.1,3,-0.000107902442935941,-2.84142688812747e-06,0.000738444184977859,-0.000221916737953521
0.2,3,-0.000125026113515273,-3.32749584140582e-06,0.000737936381820996,-0.000188653300031549
0.3,3,-0.000174964586201228,-4.56188554644366e-06,0.000818207793674959,-0.00116429246801547
0.4,3,0.429021005076757,0.0484762082669456,-1.06440315860458,-20.8625834544585
0.5,3,1.40912364601804,0.173756116293432,0.50992845303604,-15.3091278440772
0.6,3,1.741796137468,0.225792211036754,3.51758771411834,-9.52860947963315
0.7,3,1.75165036020828,0.241233701669221,5.90235154028763,-3.08038738978232
0.8,3,1.64478245556149,0.238272191545695,6.87004238317164,0.146265046360395
0.9,3,1.53310697189621,0.234018767797698,7.71547511868178,1.8290685265167
1,3,1.42373890659779,0.226023737297153,7.76733043255784,3.31889973020428
1.1,3,1.33073326239514,0.219359509190845,8.17242506826835,4.52633163515373
1.2,3,1.26349654116226,0.213831272884841,8.0558456780556,4.88515128558179
1.3,3,1.20571844565836,0.210257832953334,8.86002579734602,5.41785152322378
1.4,3,1.15452825167197,0.206086919180596,8.95146362129691,6.05066909101602
1.5,3,1.11391125652114,0.202615805503249,8.94227636216323,6.36285335989684
1.6,3,1.07843932336484,0.200068432184292,9.26559348224384,6.5506519140646
1.7,3,1.04891692174488,0.197453942953133,9.24681812003374,6.82799646036263
1.8,3,1.02997982619705,0.195810042663495,9.23231964568371,6.95714459347835
1.9,3,1.00895913607651,0.194207482487777,9.37070631031681,7.10676023718442
2,3,0.995353316796371,0.192988555889285,9.35220115336423,7.17303329756258
2.1,3,0.984442161043623,0.192042184846305,9.34506331399268,7.25263399548974
2.2,3,0.960137538590194,0.190015517535427,9.53529990932811,7.50261136324024
2.3,3,0.954322064912293,0.18952052880265,9.52865956112012,7.52084099698711
2.4,3,0.938344439166124,0.188196319162917,9.59558159717135,7.69118219317616
2.5,3,0.933950589721678,0.187820176590061,9.58961731361758,7.69413450430983
2.6,3,0.922360014685066,0.186815859883687,9.63721812134779,7.83828077005227
2.7,3,0.919569815810312,0.186586490460017,9.63672417486091,7.84358661302548
2.8,3,0.904643434601778,0.18520283783044,9.64912873522736,8.07643107440226
2.9,3,0.897241959995405,0.184557871592861,9.63926283787688,8.15340374305736
3,3,0.89340297558654,0.18420514962947,9.65375156378233,8.19478678668866
