name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_2,0.1,3,36.3295588497925,36.3295588497925,0,0.984760720486999,0.984760720487,2.25480769394643e-14,52.3496048040311,52.3496048040311,-2.71460592078963e-14,8.05918661336025,8.05918661341228,6.45570303372106e-10
Case_1-01,gauss,method_2,0.2,3,36.3295588497925,36.3295588497925,0,0.984760720486999,0.984760720487,2.25480769394643e-14,52.3496048040311,52.3496048040311,-2.71460592078963e-14,8.05918661336025,8.05918661341228,6.45570303372106e-10
Case_1-01,gauss,method_2,0.3,3,36.3295588497925,36.3295646858415,1.60641891430568e-05,0.984760720486999,0.984760729893121,9.5516826429996e-07,52.3496048040311,52.349603208343,-3.04813772816827e-06,8.05918661336025,8.05918443034546,-2.70872843335661e-05
Case_1-01,gauss,method_2,0.4,3,36.3295588497925,36.5431213389075,0.587847735773656,0.984760720486999,0.985335070050217,0.0583237685327219,52.3496048040311,49.9324214863341,-4.61738598934152,8.05918661336025,5.88285992626177,-27.0042969781919
Case_1-01,gauss,method_2,0.5,3,36.3295588497925,36.9646349036264,1.74809734535923,0.984760720486999,0.986781326178716,0.205187478509183,52.3496048040311,50.95356235913,-2.66676787747889,8.05918661336025,5.70621744508218,-29.1961122277202
Case_1-01,gauss,method_2,0.6,3,36.3295588497925,37.1557815404647,2.27424366502314,0.984760720486999,0.98752040236738,0.280238825835412,52.3496048040311,52.1633846451711,-0.355724096785716,8.05918661336025,5.79333321157938,-28.1151623666911
Case_1-01,gauss,method_2,0.7,3,36.3295588497925,37.2129636385043,2.43164193753175,0.984760720486999,0.987873272055082,0.316071864294489,52.3496048040311,52.998044631702,1.23867186791252,8.05918661336025,6.27802608910657,-22.100996163818
Case_1-01,gauss,method_2,0.8,3,36.3295588497925,37.2094790665358,2.42205037606269,0.984760720486999,0.987989319001065,0.327856142806864,52.3496048040311,53.3493862859538,1.90981667515035,8.05918661336025,6.63424775844613,-17.680926416965
Case_1-01,gauss,method_2,0.9,3,36.3295588497925,37.1907077589282,2.37038085900303,0.984760720486999,0.988056233997125,0.334651194098811,52.3496048040311,53.5541278144375,2.30092092369274,8.05918661336025,6.81171720500068,-15.4788500156027
Case_1-01,gauss,method_2,1,3,36.3295588497925,37.1679700243081,2.30779343614424,0.984760720486999,0.988059090161134,0.334941230444663,52.3496048040311,53.6258197663391,2.43786933461187,8.05918661336025,6.94747384258477,-13.7943544939451
Case_1-01,gauss,method_2,1.1,3,36.3295588497925,37.1471139824413,2.25038552223853,0.984760720486999,0.988063996642393,0.335439471403765,52.3496048040311,53.8014017573258,2.77327204040892,8.05918661336025,7.06122521780851,-12.3829046705203
Case_1-01,gauss,method_2,1.2,3,36.3295588497925,37.1294293239216,2.20170709321367,0.984760720486999,0.988047564065176,0.333770784089659,52.3496048040311,53.803463147101,2.77720977744216,8.05918661336025,7.07297821924549,-12.2370710771216
Case_1-01,gauss,method_2,1.3,3,36.3295588497925,37.1149461032527,2.16184087648146,0.984760720486999,0.988053557296899,0.33437938185337,52.3496048040311,54.0645537841144,3.27595401436768,8.05918661336025,7.13885457939376,-11.4196640197014
Case_1-01,gauss,method_2,1.4,3,36.3295588497925,37.1013349182174,2.12437500718338,0.984760720486999,0.988043402037822,0.333348140571532,52.3496048040311,54.1231346945565,3.38785726685917,8.05918661336025,7.19336151475813,-10.7433310598216
Case_1-01,gauss,method_2,1.5,3,36.3295588497925,37.0903384147529,2.09410625685266,0.984760720486999,0.988032647887126,0.332256083336521,52.3496048040311,54.1219877264595,3.38566628929351,8.05918661336025,7.20574727444309,-10.5896460754781
Case_1-01,gauss,method_2,1.6,3,36.3295588497925,37.0813476682971,2.06935851220491,0.984760720486999,0.988034388420945,0.332432830213489,52.3496048040311,54.2504438725923,3.63104759945553,8.05918661336025,7.24367376935682,-10.1190465381643
Case_1-01,gauss,method_2,1.7,3,36.3295588497925,37.0729238030894,2.04617115327626,0.984760720486999,0.988024525838948,0.331431309560647,52.3496048040311,54.21337786194,3.56024284211109,8.05918661336025,7.26119939421193,-9.90158507839295
Case_1-01,gauss,method_2,1.8,3,36.3295588497925,37.067272554957,2.03061564335171,0.984760720486999,0.98801708970163,0.330676188325273,52.3496048040311,54.2288093765026,3.58972064737885,8.05918661336025,7.28085396739498,-9.65770720180347
Case_1-01,gauss,method_2,1.9,3,36.3295588497925,37.0617561585276,2.0154313234645,0.984760720486999,0.988016520964228,0.330618434457669,52.3496048040311,54.2910831201088,3.70867807569052,8.05918661336025,7.27561515139805,-9.72271147888818
Case_1-01,gauss,method_2,2,3,36.3295588497925,37.0576019391527,2.00399650425251,0.984760720486999,0.988010636437361,0.330020875401519,52.3496048040311,54.3188418517684,3.76170375136362,8.05918661336025,7.27170095278757,-9.77127963840934
Case_1-01,gauss,method_2,2.1,3,36.3295588497925,37.0542905573911,1.99488166260191,0.984760720486999,0.988006156266126,0.329565925164166,52.3496048040311,54.2984382504238,3.72272809639751,8.05918661336025,7.25861117843507,-9.93370017760868
Case_1-01,gauss,method_2,2.2,3,36.3295588497925,37.0481436734401,1.97796187566911,0.984760720486999,0.988004756011386,0.329423732780775,52.3496048040311,54.3904371372398,3.89846750677198,8.05918661336025,7.27577057651684,-9.7207829329164
