sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
0.4,3,-44.9561182047921,-6.94323200357927,-0.123678000032863,-11.8831662925805
0.7,3,-14.6811535790359,0.485903101488113,7.11917985405098,-43.4986274284479
1.1,3,-61.9532476120601,-9.127306372391,10.7336103813727,-23.7756667394307
1.4,3,-74.0926368100207,-28.100423780876,11.5989323422941,-12.8163930505053
1.7,3,-80.2404159661974,-47.7251445414949,10.1209882884832,-1.60172832172198
2,3,-83.7841949564204,-62.8443769938423,7.59509522675954,10.3918861234112
2.3,3,-86.0164717166299,-73.352456590854,3.90857376207506,21.1063016090203
2.6,3,-87.514381073802,-80.4444872100445,0.756082745404493,32.1439972139492
2.9,3,-88.5683060025317,-85.2533388439947,-1.62389073435304,43.3979773774955
0.4,5,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,5,2.5177001848273,0.600025252349583,7.71382598021279,-42.5302814082227
1.1,5,-14.3865257021614,0.434530674472495,13.1436524808443,-22.1786022377545
1.4,5,-42.5135849776891,-1.46591764921912,15.1931524769676,-12.6871846904907
1.7,5,-58.584110422501,-7.26292229948543,16.2716878833959,-4.7034842537749
2,5,-68.0707115827315,-17.0714339396406,15.8802268137881,2.97693813123174
2.3,5,-74.099993888948,-29.0183742304852,14.7568328752275,10.4011800088798
2.6,5,-78.1737527222772,-40.9853405282231,12.7297300670755,17.6282880091319
2.9,5,-81.0486956294252,-51.6632651832957,10.2151915317561,24.2849978421801
0.4,7,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,7,2.5142019744702,0.601820729695607,7.71652110877706,-42.6449136954709
1.1,7,1.75201405605582,0.563515690658647,13.8434191675893,-21.106304507918
1.4,7,-7.35197687061793,0.207101085429411,16.2038496679027,-8.77829225635082
1.7,7,-28.8686505811529,-0.706608027159213,17.4251864449954,1.37608095068148
2,7,-45.6119148941674,-2.9620112171312,17.6493538000402,10.2014210053523
2.3,7,-56.828080372676,-7.27006240532416,17.3079599323197,17.4861640936143
2.6,7,-64.523651233223,-13.6326298073548,16.5961215499537,24.2983789714945
2.9,7,-70.0067687169551,-21.4712696948201,15.4524638993286,29.0781816335736
0.4,9,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,9,2.5141979190809,0.601822628543945,7.71738193045006,-42.6433271347816
1.1,9,1.79223883433509,0.55154495201172,13.6063442255666,-20.6121356438829
1.4,9,-0.280829560466118,0.246268055633238,16.7450935612449,-8.59898267299825
1.7,9,-6.15321815102581,-0.252423947108423,17.7400823940497,4.02387686205747
2,9,-20.5287754417519,-0.984315509718628,17.9310042112445,15.7116829370392
2.3,9,-35.5936608330665,-2.25756495796372,17.5046947130873,24.8904394390679
2.6,9,-47.2142322629741,-4.48406953010292,17.3212212184389,32.6999935006848
2.9,9,-55.8068607843758,-7.90157410242886,17.2493162972934,37.6307313657044
0.4,11,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,11,2.51419791638975,0.601822626495773,7.71738197536912,-42.6432595906068
1.1,11,1.79113950713214,0.55130909260782,13.6093908714082,-20.5933422311451
1.4,11,-0.225807493438884,0.239634249458667,16.2356120524846,-8.20977341947537
1.7,11,-2.89960153433835,-0.237044085670595,18.0724873107954,4.6440688575306
2,11,-7.29036475596853,-0.817598706755167,17.9833728187229,16.8159744698375
2.3,11,-16.534492522147,-1.51545346119004,17.5944167350593,28.0744648244533
2.6,11,-28.5443258527781,-2.44885891536975,17.5941350567067,37.159015433033
2.9,11,-39.4537592651371,-3.83777398848607,17.7209628948751,44.1825329730522
0.4,13,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,13,2.51419791638975,0.601822626495773,7.71738197536912,-42.6432595906068
1.1,13,1.79113117299707,0.551310483121668,13.6094442971615,-20.5884587912108
1.4,13,-0.227339748157594,0.239561207609435,16.2365046190132,-8.20024379140576
1.7,13,-2.84349481961281,-0.236294942340897,17.5158169077661,4.73458992638437
2,13,-5.64529356490406,-0.808749530547364,18.1405250747795,17.3311437874242
2.3,13,-9.15627303870266,-1.43746584111248,17.737825214765,29.6302054302906
2.6,13,-15.3360568987375,-2.11166635729617,17.8217546240891,38.8120645539903
2.9,13,-24.216396623929,-2.8974045346373,17.84725148876,46.8922539846939
0.4,15,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,15,2.51419791638975,0.601822626495773,7.71738197536912,-42.6432595906068
1.1,15,1.79113102502372,0.551310497553663,13.6094271088732,-20.5886312367006
1.4,15,-0.227403720283779,0.239558411993105,16.236512278965,-8.22261880820479
1.7,15,-2.84479169114295,-0.236074315846306,17.5040495434439,4.8694319789229
2,15,-5.60246928725116,-0.810661895258073,17.7736750689448,17.9568243886891
2.3,15,-8.28863846641768,-1.4245353110948,18.0094645801251,29.4013545801498
2.6,15,-11.2634103816284,-2.06540052245645,17.7227853076889,39.4531639919329
2.9,15,-15.6046021252989,-2.71454613497948,17.9734736799532,48.1330107428268
0.4,17,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,17,2.51419791638975,0.601822626495773,7.71738197536912,-42.6432595906068
1.1,17,1.7911310259624,0.551310497733913,13.609427109737,-20.5886306245671
1.4,17,-0.227405743304458,0.239557984414019,16.2372597069667,-8.22415321104196
1.7,17,-2.84497310872586,-0.236052119649903,17.4977769895357,4.86493616688734
2,17,-5.60360460921204,-0.810573675090211,17.7574323205851,17.9080088094979
2.3,17,-8.25890316905994,-1.43001113851375,17.7029398052953,29.7689268438396
2.6,17,-10.7410165951421,-2.05560021573245,18.0220132903993,39.7924553670157
2.9,17,-13.2998608103516,-2.67928093890177,18.219847053193,48.510458952243
0.4,19,-44.9578127460104,-6.94402233866143,-0.124489769143417,-11.9055111628911
0.7,19,2.51419791638975,0.601822626495773,7.71738197536912,-42.6432595906068
1.1,19,1.7911310259624,0.551310497733913,13.609427109737,-20.5886306245671
1.4,19,-0.227405785827147,0.23955799971496,16.2372595652207,-8.2240783920946
1.7,19,-2.84498166542312,-0.236051307839488,17.4984656531507,4.8542171385424
2,19,-5.60387988029193,-0.810555132820756,17.7535921506685,17.8817116894675
2.3,19,-8.25994393151229,-1.42985796411223,17.7092749978091,29.5487236066556
2.6,19,-10.7155433041274,-2.05864254479824,17.7193645604779,40.0339397598895
2.9,19,-12.967536603808,-2.67206045026542,18.1784314252369,49.0286912358461
