sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
0.4,3,-2.49652996841801,-0.369210201454329,-2.46889059969353,-17.0864857202391
0.7,3,-0.964149256663188,0.0903225065017782,4.50426345882021,-45.0550552340023
1.1,3,-0.79350048428134,0.14881364138566,6.40890752742041,-40.5607446154091
1.4,3,-0.794984844479184,0.15210534483092,6.763011142052,-38.7038522042323
1.7,3,-0.808189714306621,0.150719256998537,6.92864673395152,-37.7139964731965
2,3,-0.818099499657884,0.149249061896631,6.98628129044824,-37.1492598055428
2.3,3,-0.82171039080832,0.148963731240115,7.07274973659578,-36.8308875422909
2.6,3,-0.825961184386313,0.148445977842591,7.11411180291038,-36.5805799586355
2.9,3,-0.828745288950993,0.148031041473216,7.11596643827148,-36.4101020815558
0.4,5,-3.77022769002468,-0.528834513985505,-2.97987424596577,-14.5604795333595
0.7,5,-1.55873678313965,0.0828348656045345,4.03958872592621,-45.14553789753
1.1,5,-0.636019259813946,0.282165459632312,8.23081010007755,-30.3050823318939
1.4,5,-0.799966981752776,0.240920421070344,10.4979342911832,-23.7159012258576
1.7,5,-1.05346499673257,0.181156598805731,11.6901305442574,-19.9586553616204
2,5,-1.26896728400022,0.12864614511328,12.1756444943792,-17.7345799351945
2.3,5,-1.43083858891443,0.0891784385776368,12.3021797502793,-15.9853760690352
2.6,5,-1.54907584382736,0.060779242077916,12.532789539223,-14.8871982329993
2.9,5,-1.63977253777983,0.0382088546898735,12.5046742408654,-14.2523999551072
0.4,7,-3.78743725704775,-0.530150877718129,-2.98668496949111,-14.7362349645191
0.7,7,-1.48384576361325,0.0918960917574511,3.90518341379634,-45.3178161360381
1.1,7,-0.0335703128383013,0.35667405494439,7.81076735602971,-22.278997532786
1.4,7,-0.335601492306871,0.275403097792063,11.4359486521348,-10.5242581532475
1.7,7,-1.21013393414902,0.0834344358110358,14.1348489276297,-2.1842887873211
