sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
0.4,3,0.250210912762861,0.0915559830517474,-0.302163141712615,-21.9210921076641
0.7,3,2.18478996658468,0.560413978548531,6.55854330131235,-44.6768988212399
1.1,3,2.41559810884492,0.622003331430839,8.65564918302269,-35.1477798592451
1.4,3,2.4211611123784,0.626384360988996,9.0369703279472,-33.2999797791981
1.7,3,2.41514421501014,0.626497763398761,9.20937755819049,-32.527588474374
2,3,2.40814207756181,0.6257225024303,9.24486625921415,-32.037841632145
2.3,3,2.40463150204878,0.625535578750758,9.34410723763034,-31.7259235823504
2.6,3,2.40203605984868,0.625440868170433,9.38845784465747,-31.5163296429041
2.9,3,2.39987305461983,0.62525180901125,9.40357021343742,-31.3451069637166
0.4,5,0.16111425804939,0.0851086251595299,-0.345393517852478,-21.6852618050817
0.7,5,2.24787713788861,0.579131584829362,7.18547289772571,-42.834381941573
1.1,5,2.11678045785479,0.595273082403022,12.5991085231035,-23.1040487695173
1.4,5,1.42245856120988,0.484240561413707,14.4502393606367,-16.3639463083915
1.7,5,0.85348771941356,0.384437667868268,15.3618699856361,-12.3077761893004
2,5,0.448790008608092,0.307932339704479,15.7851907498947,-9.67554085663325
2.3,5,0.167612696692631,0.253246988461002,15.9825801551492,-7.89730335900856
2.6,5,-0.0296992624670292,0.214646579979587,16.2154474741109,-6.77268712016391
2.9,5,-0.175687093974213,0.184943277078571,16.2773668498403,-5.85469763198909
0.4,7,0.161251985789808,0.0851219533129384,-0.343788813635564,-21.680484254878
0.7,7,2.25429918205252,0.57963763703381,7.19285892635887,-42.8186352133287
1.1,7,1.94659396230676,0.56958762171695,13.2287649988997,-20.839251637462
1.4,7,0.432842050473188,0.324800937922678,15.8956931313663,-9.84503139843437
1.7,7,-1.17864601841289,0.0244220657483646,17.1188562416613,-0.929752820613003
2,7,-2.46659803050498,-0.245115672709207,17.4494670477698,5.79127333294052
2.3,7,-3.41338848668085,-0.46057463260711,17.4396295091998,10.5058832617368
2.6,7,-4.10202951508577,-0.626657147256783,17.3844953468629,13.8445607889442
2.9,7,-4.60944662012186,-0.754484504138472,17.2855089473253,15.960559148026
0.4,9,0.161252042635045,0.0851219558572937,-0.343788783457389,-21.6804853136282
0.7,9,2.25430634188827,0.579638118061694,7.19286389231328,-42.8188963013157
1.1,9,1.93146708565639,0.567678698410892,13.2651087291196,-20.7281904380099
1.4,9,0.168706545835324,0.286285243964441,16.0997368646937,-8.67904559937966
1.7,9,-2.09783289312546,-0.131869116275199,17.4633740063551,2.96191528570944
2,9,-4.19140192141023,-0.577247333515386,17.6273867816737,13.3571764906441
2.3,9,-5.86428171254552,-0.977908744245754,17.3778448291838,21.4878389202089
2.6,9,-7.13464466307544,-1.31101958798561,17.2186666338047,27.1960468429693
2.9,9,-8.09181721040839,-1.57972882187797,17.1141897034788,31.086270339985
0.4,11,0.161251984386082,0.0851219531570582,-0.343788813635564,-21.680484254878
0.7,11,2.25430634188827,0.579638118061694,7.19286389231328,-42.8188963013157
1.1,11,1.93103958648412,0.567635898695266,13.2661467067501,-20.7270816937737
1.4,11,0.136137615365432,0.282220039514204,16.1176842674956,-8.59852131611651
1.7,11,-2.33936495054818,-0.168130818372008,17.5303377246254,3.64784500533008
2,11,-4.87606272011455,-0.69811297339686,17.7001159187098,15.6787205285512
2.3,11,-7.09546438111508,-1.22538092299383,17.4742024064795,25.8475594992274
2.6,11,-8.88868332473012,-1.70017532093824,17.2968245385571,33.8984807161703
2.9,11,-10.2914355786887,-2.10552240863719,17.2948172727708,39.7412229819006
0.4,13,0.161251867430681,0.0851219447292912,-0.343788821882374,-21.6804842349903
0.7,13,2.25430634188827,0.579638118061694,7.19286389231328,-42.8188963013157
1.1,13,1.93103489046134,0.567635499424932,13.2662912248274,-20.7262435980756
1.4,13,0.133947567550922,0.281985880322411,16.1194765698029,-8.59328296268933
1.7,13,-2.38029517096499,-0.173410954987131,17.545628467611,3.7205906663964
2,13,-5.07495979052489,-0.728843997750319,17.7343324781105,16.2066530317797
2.3,13,-7.59093370191149,-1.31481664724846,17.5453378260009,27.3179400035459
2.6,13,-9.75294194838927,-1.87720723099551,17.4395599651154,36.5691357240062
2.9,13,-11.5255497325079,-2.38442070270648,17.6037838062269,43.9026039261443
0.4,15,0.161251819816972,0.0851219401950113,-0.343788821882374,-21.6804842349903
0.7,15,2.25430634188827,0.579638118061694,7.19286389231328,-42.8188963013157
