sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
0.4,3,0.429021005076757,0.0484762082669491,-1.06440315860463,-20.8625834544827
0.7,3,1.75165036020828,0.241233701669225,5.90235154028757,-3.08038738979523
1.1,3,1.33073326239514,0.219359509190849,8.1724250682683,4.52633163513596
1.4,3,1.15452825167197,0.2060869191806,8.95146362129685,6.0506690909874
1.7,3,1.04891692174488,0.197453942953137,9.24681812003369,6.82799646034956
2,3,0.995353316796371,0.192988555889288,9.35220115336418,7.17303329753318
2.3,3,0.954322064912293,0.189520528802653,9.52865956112007,7.52084099696009
2.6,3,0.922360014685066,0.186815859883691,9.63721812134774,7.83828077001929
2.9,3,0.897241959995405,0.184557871592865,9.63926283787683,8.153403743033
0.4,5,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,5,1.63011401992895,0.235394684028492,6.68434115896387,-1.15209184045733
1.1,5,-0.891023340428145,0.0304280197049433,12.9318211416985,20.2378492056551
1.4,5,-2.74656824761882,-0.173797271732516,15.2605259251749,30.5052726734542
1.7,5,-3.95441261666856,-0.328654512142395,16.4897930064614,37.1797335195913
2,5,-4.72159797147706,-0.436785592945666,17.0616557073805,41.2577106788852
2.3,5,-5.22616124032145,-0.512174319251778,17.3865756371546,43.9373954071974
2.6,5,-5.57231540367184,-0.565899937087507,17.5787941023704,45.7371716504652
2.9,5,-5.81878823913741,-0.605197022945614,17.6989562174674,46.9354284369333
0.4,7,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,7,1.62845043471313,0.235305800617812,6.68936339026529,-1.1431712341565
1.1,7,-1.48215431911823,-0.0229929241064923,13.6407511949618,23.0296429449384
1.4,7,-4.77072398782877,-0.408986835354537,16.9687266915947,40.3751084331945
1.7,7,-7.40417401504573,-0.805176169587087,18.4363707799023,55.3781437339204
2,7,-9.23599784111602,-1.13510062413455,18.7540429364226,66.7385688148637
2.3,7,-10.4859395526862,-1.389438836683,18.7113631546016,74.5885234656467
2.6,7,-11.3555787539929,-1.58163699169927,18.6340729441081,79.6816253179356
2.9,7,-11.9781858843836,-1.72738647771186,18.5575161651761,83.3696828814173
0.4,9,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,9,1.62844935861754,0.235305757563898,6.6894285029078,-1.14315057784814
1.1,9,-1.52704610663025,-0.0265910902441169,13.6740897491257,23.1660150368304
1.4,9,-5.23061571344884,-0.460099331134349,17.2096413291162,42.0839177578507
1.7,9,-8.70827263666338,-0.992675097625179,18.7567359548007,61.5503813767307
2,9,-11.439332269232,-1.51587322231858,18.8363777487239,78.6940094340617
2.3,9,-13.4360401476271,-1.96834022679569,18.5986354282834,92.1415420670438
2.6,9,-14.8759964527239,-2.33648036211222,18.4681525219717,101.649136479017
2.9,9,-15.9261418944896,-2.62908146589018,18.4710796969567,108.192213385506
0.4,11,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,11,1.62844934615204,0.235305757083548,6.6894285029078,-1.14315057784814
1.1,11,-1.52831948042316,-0.0266781587467394,13.674933509142,23.1609459876146
1.4,11,-5.28644894973316,-0.465519951045591,17.2321954005551,42.2214609670487
1.7,11,-9.0382833992069,-1.03591100603576,18.8067142536653,62.7106046319976
2,11,-12.2692149157386,-1.65310115367069,18.8659313230546,82.3832603919802
2.3,11,-14.829150432118,-2.24203749380004,18.6327393504148,99.2344898829352
2.6,11,-16.7797707713834,-2.76009809580081,18.6204784089107,112.451700700902
2.9,11,-18.2511489112014,-3.19533330741962,18.7882335727245,122.082502524341
0.4,13,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,13,1.62844934615204,0.235305757083548,6.6894285029078,-1.14315057784814
1.1,13,-1.52833483679876,-0.0266789931152574,13.6752999360844,23.1604923790847
1.4,13,-5.29023896627505,-0.465841365869037,17.2318712396776,42.2281197051983
1.7,13,-9.0944117967461,-1.0423995454175,18.8135741020513,62.8921337607819
2,13,-12.5081165804417,-1.68869780761641,18.8832920283715,83.2718987362119
2.3,13,-15.3792641246952,-2.34228219863912,18.6971486575303,101.475381506001
2.6,13,-17.6947451866788,-2.95446205179768,18.7820182420248,116.826446045795
2.9,13,-19.5190372491304,-3.49742938236837,19.036658051758,128.625696030498
0.4,15,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,15,1.62844934615204,0.235305757083548,6.6894285029078,-1.14315057784814
1.1,15,-1.52833495806965,-0.0266790046720885,13.6752999851188,23.1605006808876
1.4,15,-5.29038828749645,-0.465852978986319,17.2314093295729,42.2295930107269
1.7,15,-9.10087517554263,-1.04306696497898,18.8141630581272,62.9033050473805
2,15,-12.5599601617009,-1.69564262794871,18.8891375875104,83.4098468384416
2.3,15,-15.5565099808572,-2.3715356267323,18.7356995281429,101.87926952573
2.6,15,-18.0756197812607,-3.02889966434498,18.8661160076176,117.935510704029
2.9,15,-20.1446453667011,-3.63710230278033,19.1723330151007,131.246337351113
0.4,17,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,17,1.62844934615204,0.235305757083548,6.6894285029078,-1.14315057784814
1.1,17,-1.52833495806965,-0.0266790046720885,13.6752999851188,23.1605006808876
1.4,17,-5.29039153623555,-0.465853279869321,17.2314102788477,42.2302387379754
1.7,17,-9.10139128334327,-1.04311597473711,18.8133620742996,62.901351897202
2,17,-12.5684401695351,-1.69667646608965,18.8893875288801,83.4187561439021
2.3,17,-15.6027219569381,-2.37847581592113,18.7471011146034,101.943518065762
2.6,17,-18.2107646883918,-3.05302513578394,18.9067427013942,118.388292148161
2.9,17,-20.4187972203085,-3.69346492236481,19.2273138320775,132.025363864422
0.4,19,0.429031685972634,0.0484768749805885,-1.06440040526943,-20.8623613922319
0.7,19,1.62844934615204,0.235305757083548,6.6894285029078,-1.14315057784814
1.1,19,-1.52833495806965,-0.0266790046720885,13.6752999851188,23.1605006808876
1.4,19,-5.29039154950087,-0.465853278395473,17.2314102623211,42.2302267167581
1.7,19,-9.10141897523706,-1.04311849257517,18.8134843102762,62.9014461133696
2,19,-12.5695032878889,-1.6967949689287,18.8900619050571,83.4297030298021
2.3,19,-15.6125057399672,-2.37982967594549,18.7443986205281,101.966436397237
2.6,19,-18.2514459797527,-3.05972115127972,18.9146995370008,118.474508437967
2.9,19,-20.5244982106621,-3.71353197809416,19.2493982843178,132.39236482443
