name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,otsu,7,33.4759556501799,31.4432620045912,-6.0721004258403,0.972335269019959,0.970012721344433,-0.238862843869394,52.4354281098805,50.7315766646947,-3.24942792803242,10.9190875605897,14.8712812017353,36.195273819493
Case_1-02,avg,otsu,7,33.4818513379292,31.5618457231005,-5.7344666979441,0.971744175413089,0.971780966006776,0.00378603696505271,52.7504057077562,49.0423486786674,-7.02943793386523,10.1451097173562,14.5713810343333,43.6296052018514
Case_1-03,avg,otsu,7,33.9803227533216,32.587299070033,-4.0995010359411,0.977470683940988,0.977766015317761,0.030213834708805,49.5483662885279,53.3968867688044,7.76719954370651,11.5281573163195,15.7984554245584,37.0423302793913
Case_1-04,avg,otsu,7,33.9474690974221,32.8790611047033,-3.14723901700203,0.978930092078279,0.980752668002034,0.18618039617984,52.91561020132,52.6567261355932,-0.48923949802701,11.2660662381426,16.764284364036,48.8033534480614
Case_1-05,avg,otsu,7,33.9685684905812,32.4474630061287,-4.47797935575139,0.977688234308167,0.97726536207767,-0.043252257279721,49.4256758378466,53.6878533385795,8.6234076286908,10.5888160888899,14.9426969756619,41.1177307285584
Case_1-06,avg,otsu,7,33.4344180768726,31.6294148795786,-5.39863799377015,0.976855423113748,0.974776412794922,-0.212826818548014,53.7911905989864,49.8591429504907,-7.309835690028,10.6327561201067,16.1071147246778,51.4857911037662
Case_1-07,avg,otsu,7,33.7408043426096,32.0847114985986,-4.90827908900694,0.980742489719215,0.977552723516127,-0.325239931635932,52.9550586254756,52.8066872131244,-0.280183642889776,11.3283166213266,16.3816124987416,44.607650424439
Case_1-08,avg,otsu,7,34.1521869592729,32.7749041161527,-4.03278081360543,0.974817433975707,0.97612595579947,0.13423250120046,49.9069179039433,52.6742686830397,5.54502440808454,10.5160333523625,15.7024301203713,49.3189455969504
Case_10-01,avg,otsu,7,32.9134891256976,28.6186930615177,-13.04874134668,0.964037670496018,0.920945311711799,-4.46998702468197,41.9987206203358,54.4310426961343,29.6016685560149,11.743832514298,13.2575725334345,12.8896594641795
Case_10-02,avg,otsu,7,33.6615593813144,29.4188852006285,-12.6039145502004,0.96895347004584,0.934617457615148,-3.54361829459854,44.9721033212372,50.2457766066338,11.7265435590739,11.4334337002638,14.0522372440895,22.90478619529
