name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,weights,9,33.4759556501799,28.7367042595288,-14.1571802764221,0.972335269019959,0.956557372767358,-1.62268064887776,52.4354281098805,53.4844704853953,2.00063661789202,10.9190875605897,17.1321310514837,56.9007571046386
Case_1-02,avg,weights,9,33.4818513379292,28.5731204359562,-14.6608706084666,0.971744175413089,0.958588535908423,-1.35381717097242,52.7504057077562,51.1542130051777,-3.02593445711414,10.1451097173562,16.6018332024232,63.6437028770713
Case_1-03,avg,weights,9,33.9803227533216,30.2938967808465,-10.8487079396994,0.977470683940988,0.969758906416377,-0.788952308371937,49.5483662885279,54.3711045102235,9.73339502984233,11.5281573163195,18.1670986367087,57.5889202257061
Case_1-04,avg,weights,9,33.9474690974221,30.3810153534113,-10.5058015776546,0.978930092078279,0.973285920038682,-0.576565383500972,52.91561020132,53.8737891564098,1.81076803507387,11.2660662381426,19.0753440373571,69.3168106253036
Case_1-05,avg,weights,9,33.9685684905812,30.072589769741,-11.4693638677193,0.977688234308167,0.968412292279317,-0.94876277563202,49.4256758378466,54.4574845281666,10.1805561684741,10.5888160888899,17.7277546434247,67.4196104135307
Case_1-06,avg,weights,9,33.4344180768726,28.7536458055578,-13.9998616412365,0.976855423113748,0.962412666532313,-1.47849479459295,53.7911905989864,53.4160009387147,-0.697492760606006,10.6327561201067,17.2753446936075,62.4728762558519
Case_1-07,avg,weights,9,33.7408043426096,29.467843409908,-12.6640754894677,0.980742489719215,0.966874952319719,-1.41398354255727,52.9550586254756,54.2631978774213,2.47028194453991,11.3283166213266,17.2730767109358,52.4769944937594
Case_1-08,avg,weights,9,34.1521869592729,30.4379901522308,-10.8754288897264,0.974817433975707,0.967811967760782,-0.718643919441736,49.9069179039433,53.7932365254246,7.78713409824535,10.5160333523625,18.1197734243601,72.3061616221426
Case_10-01,avg,weights,9,32.9134891256976,26.0783339962861,-20.7670329429611,0.964037670496018,0.877623740656279,-8.96375032681833,41.9987206203358,58.0170627230162,38.1400715690475,11.743832514298,14.5371313269295,23.785240544181
Case_10-02,avg,weights,9,33.6615593813144,26.4964089109011,-21.2858542566232,0.96895347004584,0.89283194459649,-7.85605581718476,44.9721033212372,55.7536060221088,23.9737568506835,11.4334337002638,15.5262535423484,35.7969438523978
Case_10-03,avg,weights,9,32.5637287238298,25.8169656200214,-20.7186442345933,0.960657616043432,0.869312544951262,-9.50859802354814,41.3466755236393,57.4103468801789,38.8511800600644,10.8886442830027,14.5082337196208,33.2418742181553
Case_10-04,avg,weights,9,32.9835399093948,25.6793761166633,-22.1448753311377,0.966807333362887,0.879715866713357,-9.00815122560103,42.2190618011956,56.5717708110637,33.9958028377163,10.901110122425,14.2730972839457,30.9325116768074
Case_10-05,avg,weights,9,34.7667913512929,29.2526949289588,-15.8602396367793,0.971829967287729,0.933803669391913,-3.91285504417444,50.2725434332673,56.1455279729151,11.6822904483512,11.3217583121142,16.0032742701783,41.3497252723982
Case_10-06,avg,weights,9,33.6367400883358,26.6573312173594,-20.7493617177148,0.969510048523226,0.900573805572728,-7.11042067645439,45.243912845644,55.3627738963925,22.3651324881437,10.9084889990185,15.8915889472581,45.6809366419858
Case_10-07,avg,weights,9,33.5554762992269,26.4186562821617,-21.2687191605432,0.970942748565248,0.898467478201601,-7.46442264188524,43.7050082817061,57.4978508053527,31.5589518591167,11.3978916382202,14.2976178064875,25.4408996006224
Case_10-08,avg,weights,9,33.5352097892162,26.5137598724274,-20.9375458239917,0.970545026459748,0.899843070000428,-7.28476830356026,43.7199797089985,57.5780926997909,31.6974369225063,11.1659592242579,14.4176169083115,29.1211674585858
Case_10-09,avg,weights,9,33.124556430387,26.5033017251022,-19.9889611177124,0.968859697950638,0.896526916375423,-7.465764313266,44.1049857852973,58.301977148523,32.1890849989988,11.5005443734777,16.077660337761,39.7991244209181
Case_10-10,avg,weights,9,33.950519206451,27.7005904353808,-18.4089342877638,0.965173898889129,0.893219856404923,-7.45503401687732,42.054893004641,60.5471786995536,43.9717815781197,12.1862015136373,15.9311852554366,30.7313459211089
Case_11-07,avg,weights,9,34.0888845657212,27.6857918281089,-18.7835208431873,0.962896920467017,0.897232870490773,-6.81942672995531,54.2421494575954,56.1972342593853,3.60436454185561,10.7000670144643,13.9889000705935,30.7365650297655
Case_11-09,avg,weights,9,38.5469187624526,34.0747223287703,-11.6019556874114,0.964819332295967,0.953301835761656,-1.19374645063364,48.089169485998,49.6566743915721,3.25957990609624,12.5553033334052,15.5590289476754,23.9239589399509
Case_11-10,avg,weights,9,36.2409882887911,30.8637486485212,-14.8374530998454,0.963741701537482,0.93096731551995,-3.40074378490074,39.2724574976077,51.7071191135229,31.6625503170325,11.8210092341126,13.8815729055866,17.4313684277284
Case_11-11,avg,weights,9,36.2455875744065,30.8253168756581,-14.9542911606039,0.964504620050172,0.931744465143856,-3.39657832894693,39.7291166388253,50.8249696767299,27.9287685623022,11.1187686248859,14.9820461262335,34.7455517034574
Case_11-12,avg,weights,9,35.8008583100385,30.4161080792944,-15.0408411555715,0.961755602673155,0.925554447159048,-3.76407014562616,45.9857892892155,51.5491110920658,12.0979152230295,11.2336497952569,14.4856871729231,28.9490720908832
Case_11-13,avg,weights,9,37.67920220668,32.397802489509,-14.0167503765106,0.965668688882702,0.941676163221798,-2.48455044024098,45.6155334791428,53.0512527436191,16.3008490690484,13.2931069921707,14.2279504019962,7.03254258298
Case_11-15,avg,weights,9,34.8242691307297,29.5224117909818,-15.2246047715886,0.971268321482045,0.934740744479727,-3.76081214577045,54.9889490119794,56.5822661117352,2.89752237201098,10.829916724276,14.6240661069355,35.0339663661
Case_12-01,avg,weights,9,34.8784269138272,31.3386744806845,-10.1488305131657,0.979944503216563,0.96815608616071,-1.20296782288776,51.1587863088937,57.9725770594229,13.3189061784774,13.0586897551047,17.3467060985868,32.8364975652008
Case_12-02,avg,weights,9,34.7628560637644,31.2704990035068,-10.0462316843348,0.981206446380382,0.969486523399329,-1.19444007163706,53.0669183336821,58.3827903501356,10.0172992579436,12.6557426540854,18.7694099985321,48.3074562398214
Case_12-03,avg,weights,9,34.647159194861,31.1021309345302,-10.2318006518025,0.980102653637559,0.968154171051535,-1.21910521736458,52.7042195132601,57.8827576855,9.8256614367222,12.3089530457372,17.4440022981199,41.7180017935073
Case_12-04,avg,weights,9,34.7195664173582,29.8246689691745,-14.0983829963281,0.980225183592422,0.954071415400372,-2.66813877360289,52.736404903357,58.9935263861601,11.8648995779477,11.7560102439383,17.8081482235656,51.48122410618
Case_12-05,avg,weights,9,34.3927263043223,29.1919094369636,-15.1218511185751,0.977005037063213,0.943514444549879,-3.42788330078665,50.3153470465787,59.0967019951465,17.4526371455585,12.1314182511026,17.3128272837366,42.7106618977802
Case_12-06,avg,weights,9,34.1307093635477,29.4057202896665,-13.8438056576919,0.977211408780756,0.949341306583668,-2.85200335839925,49.5890540085921,59.3177073197079,19.6185499110956,12.0670737480406,17.1776483882218,42.3513997418884
Case_12-07,avg,weights,9,34.275308998348,29.2910113052542,-14.5419482384068,0.975802595233421,0.942100484188768,-3.45378370679486,49.9354738369439,59.3752027634451,18.9038537159475,12.3065986416947,17.5901606653449,42.9327564624521
Case_12-08,avg,weights,9,34.3592651562103,29.6969457664075,-13.5693221860426,0.978908651363141,0.952606575044069,-2.68687750204737,51.1811030042616,58.8987767602371,15.0791469955874,12.3059691718057,17.8833760351347,45.3227761703433
Case_12-09,avg,weights,9,34.4576868996664,29.6776354206578,-13.8722355128687,0.980452848283641,0.956595355752633,-2.43331360327756,51.6640776793682,59.2941847957016,14.7686893080459,12.2244445656093,16.9174537177659,38.3903671612146
Case_12-10,avg,weights,9,34.418402678165,30.9432366210914,-10.096825496432,0.979808857368622,0.969342913849364,-1.06816175834189,52.145644490596,56.51879536112,8.38641637905661,11.6298697788317,18.6404967472196,60.2812163997609
Case_12-11,avg,weights,9,34.3649569062055,29.2918330458294,-14.7624915527248,0.979636465140792,0.955074488814921,-2.50725419070033,51.4789978095482,57.9002469580118,12.4735317735198,11.3341019063864,16.3604383259181,44.3470198260667
Case_12-12,avg,weights,9,34.4456022333631,29.9464454230348,-13.0616291155173,0.975625320740265,0.952840974716695,-2.33535820967446,52.4592206940962,59.0900354219864,12.6399413490267,12.0093137362869,16.9374604742558,41.0360395788324
Case_13-01,avg,weights,9,33.5734549689671,27.3991368486316,-18.3904758269372,0.963892288120713,0.897253565171819,-6.91350307188558,42.4256357188115,59.4485037216,40.1240139702621,11.8435650109216,15.4873873753686,30.7662630389313
