name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,blurr,3,37.2952453771482,37.6471929430669,0.943679448572143,0.987633574542662,0.989831498182343,0.222544443236278,51.3781679947428,54.5690960997426,6.21066929697917,6.74017183358787,7.37412575149981,9.40560468729881
Case_1-02,avg,blurr,3,37.4410039067037,37.8380495721684,1.060456782767,0.987759080047129,0.990087854583864,0.235763414761384,54.693254168189,57.4061797773484,4.96025634316218,7.14737117146963,8.88535660856443,24.3164290114437
Case_1-03,avg,blurr,3,37.9084872566381,38.4913587986071,1.53757531400027,0.989965298369266,0.991999116654328,0.205443391643346,51.2830832109972,55.6266030498078,8.46969325330888,7.16992479890151,8.232173616067,14.8153411222421
Case_1-04,avg,blurr,3,37.9083260790503,38.5219226042448,1.61863260307239,0.990933219012008,0.99275453558826,0.183798114878762,54.9405060818229,57.2917633664429,4.2796425666671,7.50042155588556,9.25364609151474,23.3750132917986
Case_1-05,avg,blurr,3,37.8368974391421,38.3651595328799,1.39615594694975,0.990029668044883,0.991949749089497,0.193941768270996,50.6890384255133,54.9829379811492,8.47106137542096,7.13028183617835,7.67196351957294,7.59691826830957
Case_1-06,avg,blurr,3,37.313821888529,37.6753344178076,0.968843476710913,0.989858277688834,0.991539011444433,0.169795393288342,53.4723749207389,56.9856520557363,6.57026574975403,7.16884020856128,8.52554774307421,18.9250631209872
Case_1-07,avg,blurr,3,37.6177136883956,38.1236450747591,1.34492859016995,0.991486991469116,0.993011057341108,0.153715165716196,49.3545851173106,54.8049533028536,11.0432863990002,7.28961275608837,8.26032039164451,13.3163127869227
Case_1-08,avg,blurr,3,38.0676599934277,38.6226383195659,1.45787349743599,0.988872308662103,0.991087341103611,0.223995800277338,51.9630453806607,56.3784173070099,8.49713848371256,7.45068683740843,8.40246192168078,12.7743267841251
Case_10-01,avg,blurr,3,36.7345461707111,36.1688612689601,-1.53992620222461,0.983735162649988,0.983111434728849,-0.0634040486525623,43.7050636688008,48.0591964398321,9.96253615834347,6.23973360486822,6.65393099462471,6.63806207100466
Case_10-02,avg,blurr,3,37.7420148157016,37.1594247456715,-1.54361147086313,0.986669760401793,0.986353970392769,-0.0320056438027452,46.2178581436987,48.8643226623018,5.7260648262298,6.4198582315031,7.22441516742567,12.532316242974
Case_10-03,avg,blurr,3,36.1418271620352,35.654149482347,-1.34934428605905,0.981194919120078,0.980910150458322,-0.0290226392540973,43.095603454508,47.5331593676178,10.2970037716123,6.00307319481979,6.67611468962991,11.2116156669704
Case_10-04,avg,blurr,3,36.917508515903,36.173836369879,-2.01441585827419,0.985365043501796,0.984547770329528,-0.0829411574581311,44.1586840112477,48.3981294571881,9.60047959051625,5.497331629691,6.50416057161631,18.3148663705759
Case_10-05,avg,blurr,3,38.8553545846416,38.7925963566986,-0.161517578758114,0.987588463803616,0.988315979116058,0.0736658374521494,52.9924714390313,55.1736424876196,4.1160017439418,7.29913569502933,7.56246214351729,3.60763876012453
Case_10-06,avg,blurr,3,37.735829568319,37.2470072426774,-1.29537983193557,0.986958026100496,0.986983399445001,0.00257086358628347,46.753997352551,50.1312038876682,7.22335356622287,5.8904545988079,7.06598668753544,19.9565597019531
Case_10-07,avg,blurr,3,37.6013813154718,36.9203855273132,-1.81109247675,0.987504888000497,0.986803699523113,-0.0710060766184018,45.283205653068,49.5702698566288,9.46722773207738,6.12090731602331,6.79519060152693,11.0160675646646
Case_10-08,avg,blurr,3,37.5541094732151,37.0528145148405,-1.33486045976441,0.987232282900242,0.987028290837995,-0.0206630258937558,45.3278878963341,49.6297379119651,9.49051503451779,6.04018304420361,6.90010349002024,14.2366620270199
Case_10-09,avg,blurr,3,37.0646506691931,36.6140661221734,-1.21567191079493,0.986291748051161,0.985999143895646,-0.029667099627836,45.0810920373566,47.9631772930084,6.39311322197676,5.78833161246209,6.88608379194385,18.9649151599804
Case_10-10,avg,blurr,3,37.8428596126966,37.2942219907948,-1.4497784457011,0.984410712681202,0.983579581072019,-0.0844293543818572,43.6281950760981,49.0002958582096,12.313369307947,6.59152501303639,7.10782696588025,7.83281489219481
Case_11-07,avg,blurr,3,38.0236814816582,37.6841526508236,-0.892940445544305,0.982257808230956,0.983306776722574,0.106791565597996,44.1484897637694,47.2214130775128,6.96042680097563,5.94838759772054,6.86227926197717,15.3636872050308
Case_11-09,avg,blurr,3,42.3502011261004,42.4218811090593,0.169255354290919,0.980851855950328,0.982626068833167,0.180884898374368,48.7248015179059,50.8617844382714,4.38582170433316,7.53303051899667,7.85201694842998,4.23450334667959
Case_11-10,avg,blurr,3,39.9881480385273,39.8090782583931,-0.44780713515829,0.980580752752393,0.982019792655831,0.146753839436403,41.3925242444669,46.0508183686204,11.2539503429202,6.39879716931355,6.62751910605156,3.57445205225266
Case_11-11,avg,blurr,3,40.1428253801153,40.0093805320059,-0.332425151557772,0.981530997257329,0.98312697413196,0.162600761370884,49.6174677418612,52.4154977514347,5.63920356462059,6.28614139338494,7.22110291458057,14.8733772068746
Case_11-12,avg,blurr,3,39.7240539912487,39.5790314801877,-0.365074801008457,0.981570330553016,0.98302790508698,0.14849415152376,53.3697956152807,54.2377136064217,1.62623442929677,6.49377019236258,7.22196215780076,11.2137008835732
Case_11-13,avg,blurr,3,41.4523309147715,41.2531821314393,-0.480428431736711,0.981139970165589,0.982422010660291,0.130668460534298,42.8193726062555,46.1009070309785,7.66366769288808,7.48544398468604,7.05541686556992,-5.74484452753748
Case_11-15,avg,blurr,3,38.9953531489575,38.88938347528,-0.271749490952827,0.987531170993285,0.988235825994986,0.0713552161591842,44.1923914771538,48.1591949658673,8.97621367869225,6.85165529894421,7.39049160074753,7.86432297442564
Case_12-01,avg,blurr,3,38.4019077276911,38.9111732970967,1.32614653682524,0.990191104149053,0.991602821781095,0.142570219640069,50.0967807921994,52.3202955097886,4.43843832363665,8.22020689610022,8.47322049494746,3.07794684544101
Case_12-02,avg,blurr,3,38.2416503400839,38.7233271325049,1.25956068354111,0.990721588685515,0.991908220274589,0.119774475758537,49.8194309857072,52.8836892278848,6.15072910619292,8.23873046064216,8.71973603726688,5.83834583401612
Case_12-03,avg,blurr,3,38.1265307705239,38.5965490365238,1.23278529806152,0.9901883077786,0.991476135185017,0.130058837930186,49.2230498684388,52.2041173450767,6.05624292807046,8.1215105150933,8.69143791920805,7.01750497097279
Case_12-04,avg,blurr,3,38.7931495186273,38.8768771441106,0.215830956037876,0.991544578009957,0.991926729441304,0.0385410237544174,48.5358773171281,53.5374869456831,10.3049741861573,7.36495183786661,7.9055445620625,7.34007140978778
Case_12-05,avg,blurr,3,38.3537356296628,38.2723464963028,-0.212206534836378,0.989930560004518,0.990122592951748,0.0193986280440759,46.4338924725328,53.4467453991887,15.1028754068037,7.08006307209815,7.43715568064288,5.04363598047586
Case_12-06,avg,blurr,3,37.8861930189892,38.0511128717876,0.435303311461651,0.989501692927858,0.990196745696517,0.0702427063668844,45.5057004815527,52.975935819579,16.4160429550021,7.34981827293697,7.50663512637136,2.13361538491108
Case_12-07,avg,blurr,3,38.1453342061419,38.1677266918211,0.0587030790141627,0.989124242252003,0.989497691721705,0.0377555673745564,45.9096150048902,53.0225383863978,15.4933196036384,7.18539825684253,7.44152205427903,3.56450384907465
Case_12-08,avg,blurr,3,38.153607409055,38.3115364188701,0.413929430373012,0.990407182515744,0.990920530783442,0.0518320420893438,46.1149376794921,52.9666121968788,14.8578201818402,7.58834903943763,7.69139531626677,1.35795383546007
Case_12-09,avg,blurr,3,38.2954139398382,38.3746860776791,0.207001647678799,0.991254266546354,0.991691381345303,0.0440971417426523,46.5021538124071,53.017531632642,14.0109162395325,7.69801155873922,7.56576166647126,-1.71797471670226
Case_12-10,avg,blurr,3,37.9516654924144,38.5768259986871,1.64725447002484,0.990108920624967,0.991751777749203,0.165926908647504,51.4442332385303,52.6474283727151,2.33883383703281,7.60179505937867,8.97073147203325,18.0080678571525
Case_12-11,avg,blurr,3,38.3749908818493,38.4698419992052,0.247169094184127,0.991246325795263,0.991839968178176,0.059888482556206,50.6270499521459,54.15511034058,6.96872599088621,6.74742290070948,7.55935129783037,12.0331630174762
Case_12-12,avg,blurr,3,38.2007053433375,38.3962649229596,0.511926619847719,0.988654208970386,0.989689973877418,0.10476513402102,46.2655397228786,51.2587539366933,10.7925126211066,7.77304864666438,7.77142126937127,-0.0209361521724975
Case_13-01,avg,blurr,3,37.4323187480929,36.9696895612624,-1.23590844036096,0.983645231309771,0.98386675033781,0.0225202157228137,44.0581327401871,48.5359625419666,10.1634579662861,6.23818428885968,6.79324590390274,8.89780726796276
Case_13-02,avg,blurr,3,37.4844255757368,36.8368138374155,-1.72768217299425,0.982829055794158,0.982447003872332,-0.0388726726762615,44.5681031164073,46.7625838360209,4.92388180372358,6.18698883699808,6.92852917879226,11.985480519373
Case_13-03,avg,blurr,3,37.6854508122835,37.1492816140379,-1.42274853209613,0.984410468259006,0.98441641817512,0.000604414144955305,45.2723222852261,48.3337386186737,6.76222508348474,6.48420841190182,7.22373560728871,11.4050497517859
