name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,avg,multi,11,40.1243415195432,27.086493305665,-32.4936129045953,0.993165191062803,0.948082759894771,-4.53926814730471,48.5780172238037,52.0366692863403,7.11978845616996,5.05276719129287,19.4483456882164,284.904844255056
Case_1-02,avg,multi,11,40.2936625114587,26.6810695296655,-33.783459068587,0.993246756269472,0.948445365259334,-4.51060028410336,53.8161610245821,50.733331801428,-5.72844507014517,5.9108498153191,18.0546879680658,205.449952750848
Case_1-03,avg,multi,11,40.7579823144546,28.7906833398331,-29.361853298556,0.99442544809773,0.96559678938835,-2.899026645439,47.5404266849396,60.2283834458562,26.688773420151,5.40913135397936,20.5293874292393,279.532055810335
Case_1-04,avg,multi,11,40.7566554300348,28.7291895641241,-29.5104339131991,0.995071328187904,0.968436929625343,-2.676632097426,53.7920847374751,59.2524290881695,10.1508323712361,6.0792129057849,21.0593935292571,246.416449886419
Case_1-05,avg,multi,11,40.6563617536659,28.5846651628374,-29.6920237574873,0.994472962102587,0.963701521996451,-3.09424602566136,46.3343127857079,59.864084104507,29.2003280190495,5.28565236009879,20.2154577532574,282.459086902181
Case_1-06,avg,multi,11,40.1417386244417,26.9362069381837,-32.8972589099998,0.994496388276641,0.953273299401455,-4.1451220297161,52.8066694589346,51.2324900349917,-2.9810238745829,5.52714078445491,19.8908545583528,259.876025128504
Case_1-07,avg,multi,11,40.4615973408956,27.8447951168059,-31.1821654439173,0.995364202567059,0.960091017357587,-3.54374661239591,49.1584440070043,54.6827623065042,11.2377810386203,5.23736482224744,19.0409052226963,263.55888636617
Case_1-08,avg,multi,11,40.8944470608014,28.8920385340564,-29.3497268929934,0.99383241866745,0.963388728269769,-3.06326195703097,49.0591481238253,58.1559969860011,18.5426148028811,5.68987558094885,20.4022441149453,258.571006073616
Case_10-01,avg,multi,11,39.5930836838117,24.734278170726,-37.5287907144273,0.991118220598189,0.853005619256625,-13.9350279786206,44.3411033183141,56.653372784898,27.7671698383261,4.23115178571016,16.1940297615545,282.733368636089
Case_10-02,avg,multi,11,40.733794669932,24.9330409862131,-38.7902816610955,0.992912062382252,0.866192008679918,-12.7624649254738,45.8059811647051,56.9538181566137,24.3370771861083,5.43571905065486,17.6411944643906,224.5420578215
Case_10-03,avg,multi,11,38.8352646797474,24.5159341018028,-36.8719788471331,0.989286174641934,0.843965527677411,-14.6894448431084,43.9798875119894,55.2785894994107,25.690611383081,4.56483489340935,15.9315947760657,249.007031975407
Case_10-04,avg,multi,11,39.8312760942389,24.2406431956071,-39.1416856988089,0.992085959710756,0.853423009560706,-13.9769088346415,44.5691755878955,54.2923581510193,21.8159354191971,4.36448421475901,16.4090963085964,275.968739974065
Case_10-05,avg,multi,11,41.7899652277262,27.7811884990825,-33.5218673964087,0.992970263291856,0.920752476894984,-7.27290524868882,49.5070847701359,56.6707095720402,14.4698982684305,5.19510269667655,16.541556560821,218.406728925745
Case_10-06,avg,multi,11,40.7310213493126,25.0851291025755,-38.4127176987698,0.993084464121922,0.876404306773056,-11.7492682208088,46.6571605832253,55.1830018579585,18.2733821950547,5.06929549086995,17.969023231752,254.467859767004
Case_10-07,avg,multi,11,40.5605642863538,24.9286865389844,-38.5395963355189,0.993285302752977,0.874915826490017,-11.9169664480979,45.585122532247,55.6262393878128,22.0271796976366,4.82977595381036,16.2489133676679,236.432031693906
Case_10-08,avg,multi,11,40.5229346931248,25.0146007014667,-38.2705105370596,0.993147472315679,0.87645156075424,-11.7501091040733,45.6239641853153,55.7123627924117,22.1120605963115,4.72161208708533,16.3084172671759,245.399345951843
Case_10-09,avg,multi,11,40.0078780489051,25.110979944585,-37.234911799397,0.992651311183458,0.874122989654133,-11.9405797578621,44.3244257077193,55.9670342362722,26.2668006243911,4.5605729705345,18.5697317734461,307.179797218983
Case_10-10,avg,multi,11,40.7102571824844,26.4465157858896,-35.037217605031,0.99149195570297,0.874407580236456,-11.8089082612375,44.1680823941782,59.1899786240724,34.0107503328562,4.87562609319863,18.2298539919985,273.897703464765
Case_11-07,avg,multi,11,40.9368636724512,26.2795080989579,-35.8047839003288,0.9893390384666,0.875166639795835,-11.5402702442353,48.0217404176075,57.0542890419018,18.809290429179,4.67944116028176,15.2465465295173,225.819814958401
Case_11-09,avg,multi,11,44.5031593587925,32.8240913324988,-26.2432335019968,0.984656638030746,0.954295804088121,-3.08339300929759,37.6591836860141,54.2261573605384,43.9918555129938,6.02593098433085,16.6889720587995,176.952592092336
Case_11-10,avg,multi,11,42.5756634263367,29.6494228112914,-30.3606322832994,0.986162652770785,0.923087846086714,-6.39598412156983,36.0037481822009,53.1496733795035,47.6226117084637,4.43299754088983,14.97374334325,237.779193539644
Case_11-11,avg,multi,11,42.8280863348487,29.538890638464,-31.0291606131638,0.987084766978264,0.923136838620518,-6.47846370413634,36.2271863033264,53.6080624539023,47.9774388357066,4.56762776806261,15.8954307671731,248.001885756011
Case_11-12,avg,multi,11,42.452985164693,29.1089334263011,-31.4325404600517,0.987623947923083,0.91715255348166,-7.13544812168844,35.1433886250954,57.5855067641376,63.8587199955347,4.65717232688841,15.7169940654778,237.479332141844
Case_11-13,avg,multi,11,43.8380530697313,31.1576646369986,-28.9255282677872,0.985485177877938,0.937678298667034,-4.8511007860968,33.1575177633229,55.6705599466577,67.897248352642,5.03567359698509,15.7997433607576,213.756304026874
Case_11-15,avg,multi,11,42.003660040386,28.2330135228042,-32.7843966557713,0.99248820071776,0.924462193513591,-6.85408724808755,45.8712119351911,59.200493889886,29.0580549158524,4.95221971016896,15.6807688864091,216.64121957695
Case_12-01,avg,multi,11,41.0111927282213,30.011944651197,-26.8201126212439,0.994263011660051,0.963849752584193,-3.05887463570421,44.7633284912045,60.8129888818105,35.8544838634142,6.11088114570221,19.7767605583377,223.63189672322
Case_12-02,avg,multi,11,40.7871974743764,29.9866978246576,-26.480121995398,0.994541972462326,0.965352239619714,-2.93499255444625,47.1136523380002,61.8184531821347,31.2113370847162,6.272331413327,20.5686589494691,227.926851979891
