sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,0.2070965625,0.212511125,-2.25743375
0.7,3,2.062151625,1.2895245,1.6293610625
1.1,3,2.57890025,1.5393594375,0.8367435625
1.4,3,2.6827880625,1.58394525,-0.0117651875000001
1.7,3,2.728216125,1.59565925,-0.30501
2,3,2.74990625,1.608139625,-0.7386220625
2.3,3,2.76252575,1.6162250625,-0.9001624375
2.6,3,2.772418375,1.620333,-1.030287375
2.9,3,2.778178375,1.6243841875,-1.0821413125
0.4,5,-0.2316261875,0.115600625,-2.73117975
0.7,5,1.749183625,1.2705133125,2.231681625
1.1,5,2.910900625,1.79750225,5.7592449375
1.4,5,3.183088,1.90857825,6.824186
1.7,5,3.27045,1.9302118125,6.0847153125
2,5,3.2961856875,1.93675425,5.598088125
2.3,5,3.2920763125,1.9273874375,5.1416713125
2.6,5,3.283919125,1.9224534375,4.805102125
2.9,5,3.2735429375,1.9126498125,4.5112533125
0.4,7,-0.2407938125,0.114937125,-2.7325690625
0.7,7,1.77982075,1.2745404375,2.18241025
1.1,7,3.187489875,1.8711743125,6.647489625
1.4,7,3.551294875,1.99716225,7.77219925
1.7,7,3.494286625,1.96222925,8.993096125
2,7,3.26688075,1.865078,9.6470654375
2.3,7,3.02279375,1.7702359375,9.5596789375
2.6,7,2.8093979375,1.677346625,9.38080225
2.9,7,2.6369745625,1.6107338125,9.26520825
0.4,9,-0.2407938125,0.114937125,-2.7325690625
0.7,9,1.7799623125,1.2745404375,2.1821961875
1.1,9,3.2094825625,1.875275625,6.679224375
1.4,9,3.59649725,2.0037550625,7.926988625
1.7,9,3.3932371875,1.9238295625,9.4466905
2,9,2.8380289375,1.7193271875,9.703312
2.3,9,2.2040285625,1.49198025,9.3719930625
2.6,9,1.630053625,1.272915,9.5489508125
2.9,9,1.1443829375,1.086752625,9.3087300625
0.4,11,-0.2407938125,0.114937125,-2.7325690625
0.7,11,1.7799623125,1.2745404375,2.1821961875
1.1,11,3.2101871875,1.875275625,6.6802419375
1.4,11,3.600351,2.0017090625,7.9094469375
1.7,11,3.351190125,1.9092875,9.48683525
2,11,2.6022184375,1.650047125,9.6412336875
2.3,11,1.6513333125,1.3297345625,9.7739204375
2.6,11,0.706119625,1.003819875,9.816054125
2.9,11,-0.1352936875,0.69740575,9.67605275
0.4,13,-0.2407938125,0.114937125,-2.7325690625
0.7,13,1.7799623125,1.2745404375,2.1821961875
1.1,13,3.210208125,1.875275625,6.6802419375
1.4,13,3.6004273125,2.0017090625,7.908777375
1.7,13,3.343214375,1.9057189375,9.4960643125
2,13,2.528086,1.63253425,9.6915839375
2.3,13,1.4042239375,1.2716910625,9.92038675
2.6,13,0.1933274375,0.872470875,10.0310155
2.9,13,-0.9526240625,0.4850824375,10.1775265
0.4,15,-0.2407938125,0.114937125,-2.7325690625
0.7,15,1.7799623125,1.2745404375,2.1821961875
1.1,15,3.210208125,1.875275625,6.6802419375
1.4,15,3.600405625,2.0017090625,7.9087775625
1.7,15,3.3425154375,1.9043629375,9.49825075
2,15,2.5118945625,1.628391375,9.6833365625
2.3,15,1.3217834375,1.2544114375,10.02072425
2.6,15,-0.03115725,0.8274894375,10.1427279375
2.9,15,-1.381469125,0.3857543125,10.484017125
0.4,17,-0.2407938125,0.114937125,-2.7325690625
0.7,17,1.7799623125,1.2745404375,2.1821961875
1.1,17,3.210208125,1.875275625,6.6802419375
1.4,17,3.600405625,2.0017090625,7.9087775625
1.7,17,3.3424510625,1.9043629375,9.497721375
2,17,2.5094779375,1.627671375,9.68448475
2.3,17,1.301065125,1.250933125,10.0440855
2.6,17,-0.111290125,0.8095653125,10.216125625
2.9,17,-1.5737685625,0.3451408125,10.602026125
0.4,19,-0.2407938125,0.114937125,-2.732558875
0.7,19,1.7799623125,1.2745404375,2.1821961875
1.1,19,3.210208125,1.875275625,6.6802419375
1.4,19,3.600405625,2.0017090625,7.9087775625
1.7,19,3.3424510625,1.9043629375,9.497801
2,19,2.508991125,1.627671375,9.6829350625
2.3,19,1.2966995,1.250248625,10.0468271875
2.6,19,-0.1350681875,0.805270125,10.231655125
2.9,19,-1.64828075,0.329424,10.6471665625
