sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,0.3152878125,0.2508361875,-1.4832415625
0.7,3,1.7812569375,1.2691481875,2.011579875
1.1,3,2.20502375,1.5168058125,0.72334875
1.4,3,2.2855469375,1.5581095,-0.125440375
1.7,3,2.321656375,1.5710074375,-0.3967166875
2,3,2.3386348125,1.5805355625,-0.8202825
2.3,3,2.3485389375,1.5868016875,-0.9856091875
2.6,3,2.3560986875,1.5935818125,-1.100219875
2.9,3,2.3611648125,1.5963276875,-1.15320725
0.4,5,0.31518025,0.2508361875,-1.4828905
0.7,5,1.94339075,1.3412189375,2.4818449375
1.1,5,3.10260275,1.87284225,5.46001175
1.4,5,3.4145259375,1.9829174375,6.888287
1.7,5,3.519294125,2.00707775,6.1933688125
2,5,3.555441625,2.0182524375,5.800128125
2.3,5,3.5573031875,2.010373875,5.4004625
2.6,5,3.5529285625,2.001383,5.1267189375
2.9,5,3.5464705625,1.995696125,4.860324375
0.4,7,0.31518025,0.2508361875,-1.4828905
0.7,7,1.9451534375,1.3412189375,2.484621625
1.1,7,3.2668840625,1.912457625,6.356396
1.4,7,3.6683961875,2.035874875,7.570232375
1.7,7,3.63565375,1.9936288125,8.9037773125
2,7,3.412246875,1.898804,9.66960675
2.3,7,3.1689133125,1.7927905625,9.5794184375
2.6,7,2.951518,1.706798,9.41203275
2.9,7,2.7756106875,1.63219625,9.29280375
0.4,9,0.31518025,0.2508361875,-1.4828905
0.7,9,1.9451534375,1.3412189375,2.48463525
1.1,9,3.278292,1.918646125,6.3513695625
1.4,9,3.6962555625,2.034805,7.5983954375
1.7,9,3.5053891875,1.941752625,9.1683419375
2,9,2.9438881875,1.7393749375,9.48188425
2.3,9,2.29734075,1.5071611875,9.1670851875
2.6,9,1.71188525,1.2895424375,9.3449315
2.9,9,1.2174905625,1.0979081875,9.0771451875
0.4,11,0.31518025,0.2508361875,-1.4828905
0.7,11,1.9451534375,1.3412189375,2.48463525
1.1,11,3.2785839375,1.9193103125,6.3508439375
1.4,11,3.6980746875,2.0333674375,7.5622819375
1.7,11,3.458127625,1.9318416875,9.176698375
2,11,2.69598125,1.6671969375,9.402524375
2.3,11,1.726023125,1.3407885625,9.60392125
2.6,11,0.765675,1.0094131875,9.6100135625
2.9,11,-0.0867958124999999,0.7063533125,9.4107335625
0.4,13,0.31518025,0.2508361875,-1.4828905
0.7,13,1.9451534375,1.3412189375,2.48463525
1.1,13,3.2786055625,1.9193103125,6.350994875
1.4,13,3.698542625,2.032699,7.561395625
1.7,13,3.4494586875,1.9269898125,9.186939
2,13,2.619682,1.65476125,9.454673125
2.3,13,1.474418,1.2777989375,9.7612163125
2.6,13,0.2466990625,0.8786460625,9.8265334375
2.9,13,-0.910285875,0.4920104375,9.8707135
0.4,15,0.31518025,0.2508361875,-1.4828905
0.7,15,1.9451534375,1.3412189375,2.48463525
1.1,15,3.2786055625,1.9193103125,6.350994875
1.4,15,3.6986055,2.032699,7.5629133125
1.7,15,3.4485590625,1.9269898125,9.186074
2,15,2.60325175,1.6512639375,9.4483294375
2.3,15,1.3912661875,1.26610175,9.8613285
2.6,15,0.0209459375,0.8330453125,9.9354266875
2.9,15,-1.3410289375,0.3955721875,10.1784041875
0.4,17,0.31518025,0.2508361875,-1.4828905
0.7,17,1.9451534375,1.3412189375,2.48463525
1.1,17,3.2786055625,1.9193103125,6.350994875
1.4,17,3.6986055,2.032699,7.5629133125
1.7,17,3.4484078125,1.9269898125,9.1855066875
2,17,2.6007830625,1.6498655625,9.4470384375
2.3,17,1.3699120625,1.2605695625,9.8908153125
2.6,17,-0.059483125,0.8186436875,10.01584775
2.9,17,-1.5339575,0.3544154375,10.2986040625
0.4,19,0.31518025,0.2508361875,-1.4828905
0.7,19,1.9451534375,1.3412189375,2.48463525
1.1,19,3.2786055625,1.9193103125,6.350994875
1.4,19,3.6986055,2.032699,7.5629133125
1.7,19,3.4484271875,1.9269898125,9.1851905
2,19,2.6005261875,1.6498655625,9.4463548125
2.3,19,1.3656586875,1.25988575,9.8932695
2.6,19,-0.0834520625000001,0.8131556875,10.0275956875
2.9,19,-1.6084895625,0.34130775,10.345749
