sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-3.657821125,-0.3948051875,-3.1360455
0.7,3,-2.354507375,-0.088831875,3.3263576875
1.1,3,-2.342881125,-0.0709470625,5.24346575
1.4,3,-2.38660325,-0.0767289375,5.7984471875
1.7,3,-2.423046125,-0.083157875,6.0543266875
2,3,-2.443318625,-0.0850770625,6.140966
2.3,3,-2.4557294375,-0.0857231875,6.264894125
2.6,3,-2.4664426875,-0.0882828125,6.33106975
2.9,3,-2.4748664375,-0.0908556875,6.341150875
0.4,5,-5.14502425,-0.5290585625,-3.5113126875
0.7,5,-2.9683834375,-0.0848804375,2.5043020625
1.1,5,-2.3614326875,0.00638375,6.6371041875
1.4,5,-2.8434914375,-0.0931139375,9.4360269375
1.7,5,-3.314994,-0.181000125,11.0751743125
2,5,-3.6676185625,-0.252174375,11.8831798125
2.3,5,-3.9200308125,-0.3009330625,12.2718595625
2.6,5,-4.102020375,-0.3400245,12.4698175
2.9,5,-4.2361011875,-0.37209525,12.5453639375
0.4,7,-5.164264875,-0.529699625,-3.5186936875
0.7,7,-2.8834935,-0.077828625,2.3628658125
1.1,7,-1.7803798125,0.0542161875,6.089870375
1.4,7,-2.6781891875,-0.1191525625,10.2062206875
1.7,7,-4.056639875,-0.3776469375,13.5300445625
2,7,-5.266754625,-0.618751875,15.2531304375
2.3,7,-6.1899339375,-0.816827625,15.6286281875
2.6,7,-6.8737564375,-0.9745224375,15.326427875
2.9,7,-7.382663625,-1.09697625,14.834169
0.4,9,-5.164264875,-0.529699625,-3.5186936875
0.7,9,-2.8832446875,-0.077828625,2.3628899375
1.1,9,-1.7337688125,0.056766125,6.055073375
1.4,9,-2.7356258125,-0.1333279375,10.1826645625
1.7,9,-4.709278625,-0.4886475,13.7843425625
2,9,-6.7469579375,-0.896414125,15.4915684375
2.3,9,-8.43915375,-1.2663106875,15.201887875
2.6,9,-9.7438449375,-1.5988980625,14.3192809375
2.9,9,-10.732773875,-1.8597695625,13.6204490625
0.4,11,-5.164264875,-0.529699625,-3.5186825
0.7,11,-2.8832446875,-0.077828625,2.3628899375
1.1,11,-1.732421625,0.056766125,6.0545918125
1.4,11,-2.7461023125,-0.1371899375,10.180001375
1.7,11,-4.9035843125,-0.5174730625,13.7861154375
2,11,-7.39537925,-1.0098375625,15.23266075
2.3,11,-9.6682718125,-1.50724075,14.5157336875
2.6,11,-11.5312358125,-1.9712235,13.57773275
2.9,11,-12.994397,-2.37426725,13.3114775
0.4,13,-5.164264875,-0.529699625,-3.5186816875
0.7,13,-2.8832446875,-0.077828625,2.3628899375
1.1,13,-1.732404375,0.056766125,6.05442125
1.4,13,-2.747144875,-0.1371899375,10.177919625
1.7,13,-4.938873625,-0.52259625,13.7987950625
2,13,-7.5929434375,-1.0348721875,15.1504681875
2.3,13,-10.1824136875,-1.59630125,14.2348990625
2.6,13,-12.44168575,-2.1487034375,13.28809075
2.9,13,-14.301111,-2.665748125,13.3074105625
0.4,15,-5.164264875,-0.529699625,-3.5186816875
0.7,15,-2.8832446875,-0.077828625,2.3628899375
1.1,15,-1.732404375,0.056766125,6.05442125
1.4,15,-2.74726625,-0.1371899375,10.17769825
1.7,15,-4.943190125,-0.5238818125,13.800106875
2,15,-7.6371456875,-1.039354375,15.139755
2.3,15,-10.35309175,-1.626401625,14.166517375
2.6,15,-12.8320014375,-2.2210635625,13.192045375
2.9,15,-14.96463475,-2.799596125,13.2725796875
0.4,17,-5.164264875,-0.529699625,-3.5186816875
0.7,17,-2.8832446875,-0.077828625,2.3628899375
1.1,17,-1.732404375,0.056766125,6.05442125
1.4,17,-2.74726625,-0.1371899375,10.177770625
1.7,17,-4.9434949375,-0.5238818125,13.7988353125
2,17,-7.6445208125,-1.043189,15.1393908125
2.3,17,-10.3982948125,-1.632156125,14.159857125
2.6,17,-12.972593375,-2.246027375,13.16878825
2.9,17,-15.2598894375,-2.8502111875,13.2796955625
0.4,19,-5.164264875,-0.529699625,-3.5186936875
0.7,19,-2.8832446875,-0.077828625,2.3628899375
1.1,19,-1.732404375,0.056766125,6.05442125
1.4,19,-2.74726625,-0.1371899375,10.177770625
1.7,19,-4.94354725,-0.5238818125,13.79848775
2,19,-7.6454204375,-1.043189,15.138439375
2.3,19,-10.4077091875,-1.6334343125,14.1574530625
2.6,19,-13.015247125,-2.2524364375,13.169585875
2.9,19,-15.37476775,-2.87131175,13.2921074375
