name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,9,28.506,27.992,-1.80313,0.929,0.94,1.18407,44.206,53.649,21.36135
Case_1-02,avg,fixed_multilevel_tresholding,9,28.44,27.878,-1.97609,0.927,0.94,1.40237,45.46,52.553,15.60273
Case_1-03,avg,fixed_multilevel_tresholding,9,28.9,29.09,0.65744,0.94,0.954,1.48936,44.406,53.405,20.26528
Case_1-04,avg,fixed_multilevel_tresholding,9,28.842,29.059,0.75238,0.944,0.959,1.58898,44.233,53.889,21.82986
Case_1-05,avg,fixed_multilevel_tresholding,9,28.935,28.972,0.12787,0.941,0.953,1.27524,45.133,53.489,18.51417
Case_1-06,avg,fixed_multilevel_tresholding,9,28.466,27.979,-1.71081,0.939,0.947,0.85197,45.905,54.137,17.93269
Case_1-07,avg,fixed_multilevel_tresholding,9,28.853,28.535,-1.10214,0.95,0.955,0.52632,45.998,55.326,20.27914
Case_1-08,avg,fixed_multilevel_tresholding,9,29.023,29.201,0.61331,0.935,0.951,1.71123,46.057,52.994,15.06177
Case_10-01,avg,fixed_multilevel_tresholding,9,28.265,25.765,-8.84486,0.909,0.862,-5.17052,52.368,57.234,9.29193
Case_10-02,avg,fixed_multilevel_tresholding,9,28.705,26.188,-8.76851,0.916,0.878,-4.14847,51.719,54.8,5.95719
Case_10-03,avg,fixed_multilevel_tresholding,9,28.034,25.518,-8.97482,0.902,0.854,-5.32151,51.503,57.419,11.48671
Case_10-04,avg,fixed_multilevel_tresholding,9,28.155,25.43,-9.67857,0.913,0.865,-5.25739,51.346,55.684,8.44856
Case_10-05,avg,fixed_multilevel_tresholding,9,29.55,28.481,-3.6176,0.922,0.916,-0.65076,53.272,53.889,1.15821
Case_10-06,avg,fixed_multilevel_tresholding,9,28.622,26.318,-8.04975,0.918,0.886,-3.48584,52.41,54.529,4.04312
Case_10-07,avg,fixed_multilevel_tresholding,9,28.615,26.104,-8.77512,0.922,0.885,-4.01302,52.779,56.624,7.28509
Case_10-08,avg,fixed_multilevel_tresholding,9,28.629,26.174,-8.57522,0.921,0.886,-3.80022,52.79,56.876,7.7401
Case_10-09,avg,fixed_multilevel_tresholding,9,28.283,26.082,-7.78206,0.918,0.882,-3.92157,51.182,57.767,12.86585
Case_10-10,avg,fixed_multilevel_tresholding,9,28.849,27.088,-6.1042,0.901,0.871,-3.32963,52.489,59.752,13.83718
Case_11-07,avg,fixed_multilevel_tresholding,9,29.139,27.142,-6.85336,0.902,0.873,-3.21508,61.466,56.375,-8.28263
Case_11-09,avg,fixed_multilevel_tresholding,9,31.972,31.532,-1.3762,0.863,0.873,1.15875,52.452,48.032,-8.42675
Case_11-10,avg,fixed_multilevel_tresholding,9,30.632,29.526,-3.6106,0.871,0.868,-0.34443,44.608,52.443,17.56411
Case_11-11,avg,fixed_multilevel_tresholding,9,30.611,29.507,-3.60655,0.868,0.865,-0.34562,43.352,51.314,18.36593
Case_11-12,avg,fixed_multilevel_tresholding,9,30.484,29.37,-3.65438,0.869,0.864,-0.57537,41.542,50.669,21.97054
Case_11-13,avg,fixed_multilevel_tresholding,9,32.161,31.11,-3.26793,0.875,0.874,-0.11429,50.534,48.017,-4.98081
Case_11-15,avg,fixed_multilevel_tresholding,9,29.593,28.577,-3.43324,0.909,0.901,-0.88009,58.655,55.966,-4.58443
Case_12-01,avg,fixed_multilevel_tresholding,9,29.991,30.089,0.32676,0.949,0.956,0.73762,51.284,56.294,9.76913
Case_12-02,avg,fixed_multilevel_tresholding,9,29.884,29.969,0.28443,0.951,0.957,0.63091,50.238,57.138,13.73462
Case_12-03,avg,fixed_multilevel_tresholding,9,29.796,29.915,0.39938,0.949,0.956,0.73762,51.081,57.057,11.69907
Case_12-04,avg,fixed_multilevel_tresholding,9,29.475,28.911,-1.91349,0.943,0.941,-0.21209,48.971,58.417,19.28897
Case_12-05,avg,fixed_multilevel_tresholding,9,29.323,28.426,-3.05903,0.936,0.931,-0.53419,49.715,58.16,16.98682
Case_12-06,avg,fixed_multilevel_tresholding,9,29.17,28.567,-2.06719,0.939,0.937,-0.21299,50.272,58.844,17.05124
Case_12-07,avg,fixed_multilevel_tresholding,9,29.274,28.556,-2.45269,0.934,0.93,-0.42827,49.713,58.714,18.10593
Case_12-08,avg,fixed_multilevel_tresholding,9,29.306,28.76,-1.8631,0.941,0.94,-0.10627,49.925,58.265,16.70506
Case_12-09,avg,fixed_multilevel_tresholding,9,29.417,28.798,-2.10423,0.947,0.945,-0.21119,50.363,58.528,16.2123
Case_12-10,avg,fixed_multilevel_tresholding,9,29.454,29.698,0.82841,0.948,0.957,0.94937,48.496,55.487,14.41562
Case_12-11,avg,fixed_multilevel_tresholding,9,29.266,28.507,-2.59345,0.946,0.944,-0.21142,49.17,55.699,13.27842
Case_12-12,avg,fixed_multilevel_tresholding,9,29.517,29.084,-1.46695,0.937,0.939,0.21345,52.013,57.49,10.53006
Case_13-01,avg,fixed_multilevel_tresholding,9,28.726,26.888,-6.39838,0.908,0.88,-3.0837,52.872,58.274,10.21713
Case_13-02,avg,fixed_multilevel_tresholding,9,28.691,26.46,-7.77596,0.902,0.86,-4.65632,52.279,57.805,10.57021
Case_13-03,avg,fixed_multilevel_tresholding,9,28.794,26.624,-7.53629,0.909,0.874,-3.85039,53.546,58.023,8.36104
Case_13-04,avg,fixed_multilevel_tresholding,9,29.457,28.383,-3.64599,0.904,0.894,-1.10619,52.394,59.556,13.6695
Case_13-05,avg,fixed_multilevel_tresholding,9,29.365,28.425,-3.20109,0.914,0.907,-0.76586,54.25,59.317,9.34009
Case_13-06,avg,fixed_multilevel_tresholding,9,28.797,26.818,-6.87224,0.914,0.884,-3.28228,52.829,58.397,10.53967
Case_13-07,avg,fixed_multilevel_tresholding,9,28.785,27.398,-4.81848,0.909,0.891,-1.9802,51.808,58.95,13.78552
Case_13-10,avg,fixed_multilevel_tresholding,9,28.906,27.358,-5.35529,0.898,0.877,-2.33853,52.083,59.089,13.45161
Case_13-11,avg,fixed_multilevel_tresholding,9,28.661,26.551,-7.36192,0.897,0.864,-3.67893,53.121,58.17,9.50472
Case_13-12,avg,fixed_multilevel_tresholding,9,29.065,26.984,-7.15981,0.905,0.874,-3.42541,51.186,51.175,-0.02149
Case_14-01,avg,fixed_multilevel_tresholding,9,29.383,28.84,-1.84801,0.864,0.862,-0.23148,49.834,59.648,19.69338
Case_14-02,avg,fixed_multilevel_tresholding,9,29.007,28.099,-3.13028,0.844,0.826,-2.1327,50.732,59.33,16.94788
Case_14-03,avg,fixed_multilevel_tresholding,9,29.364,28.258,-3.76652,0.877,0.862,-1.71038,48.867,58.684,20.08922
Case_14-04,avg,fixed_multilevel_tresholding,9,29.512,28.21,-4.41176,0.926,0.916,-1.07991,49.07,58.749,19.72488
Case_14-05,avg,fixed_multilevel_tresholding,9,29.249,28.133,-3.81552,0.881,0.868,-1.4756,48.184,57.796,19.94853
Case_14-06,avg,fixed_multilevel_tresholding,9,29.267,28.244,-3.4954,0.906,0.896,-1.10375,48.649,58.511,20.27174
Case_14-07,avg,fixed_multilevel_tresholding,9,29.392,28.026,-4.64752,0.89,0.866,-2.69663,49.401,58.909,19.24657
Case_14-08,avg,fixed_multilevel_tresholding,9,29.538,28.499,-3.5175,0.903,0.891,-1.3289,49.287,59.311,20.33802
Case_14-09,avg,fixed_multilevel_tresholding,9,29.314,28.26,-3.59555,0.881,0.863,-2.04313,48.843,59.716,22.26112
Case_14-11,avg,fixed_multilevel_tresholding,9,29.225,28.063,-3.97605,0.862,0.84,-2.5522,50.943,59.584,16.96209
Case_14-12,avg,fixed_multilevel_tresholding,9,29.202,28.208,-3.40388,0.849,0.831,-2.12014,49.63,58.985,18.84949
Case_15-02,avg,fixed_multilevel_tresholding,9,30.401,30.305,-0.31578,0.905,0.918,1.43646,53.742,54.208,0.86711
Case_15-03,avg,fixed_multilevel_tresholding,9,29.559,28.791,-2.59819,0.89,0.894,0.44944,49.612,57.053,14.99839
Case_15-04,avg,fixed_multilevel_tresholding,9,30.192,30.384,0.63593,0.904,0.917,1.43805,57.317,55.631,-2.94154
Case_15-05,avg,fixed_multilevel_tresholding,9,30.304,30.7,1.30676,0.916,0.93,1.52838,54.932,56.352,2.58501
Case_15-06,avg,fixed_multilevel_tresholding,9,30.312,30.716,1.33281,0.92,0.932,1.30435,52.247,57.546,10.14221
