name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,multilevel_tresholding,9,28.506,27.994,-1.79611,0.929,0.94,1.18407,44.206,52.416,18.57214
Case_1-02,avg,multilevel_tresholding,9,28.44,27.886,-1.94796,0.927,0.94,1.40237,45.46,51.268,12.77607
Case_1-03,avg,multilevel_tresholding,9,28.9,29.095,0.67474,0.94,0.954,1.48936,44.406,52.935,19.20686
Case_1-04,avg,multilevel_tresholding,9,28.842,29.057,0.74544,0.944,0.959,1.58898,44.233,53.186,20.24054
Case_1-05,avg,multilevel_tresholding,9,28.935,28.982,0.16243,0.941,0.953,1.27524,45.133,52.726,16.82361
Case_1-06,avg,multilevel_tresholding,9,28.466,27.983,-1.69676,0.939,0.947,0.85197,45.905,53.41,16.34898
Case_1-07,avg,multilevel_tresholding,9,28.853,28.533,-1.10907,0.95,0.955,0.52632,45.998,54.012,17.4225
Case_1-08,avg,multilevel_tresholding,9,29.023,29.209,0.64087,0.935,0.951,1.71123,46.057,52.381,13.73081
Case_10-01,avg,multilevel_tresholding,9,28.265,25.778,-8.79887,0.909,0.862,-5.17052,52.368,56.721,8.31233
Case_10-02,avg,multilevel_tresholding,9,28.705,26.194,-8.7476,0.916,0.878,-4.14847,51.719,54.45,5.28046
Case_10-03,avg,multilevel_tresholding,9,28.034,25.529,-8.93558,0.902,0.854,-5.32151,51.503,56.995,10.66346
Case_10-04,avg,multilevel_tresholding,9,28.155,25.441,-9.6395,0.913,0.866,-5.14786,51.346,55.231,7.56631
Case_10-05,avg,multilevel_tresholding,9,29.55,28.489,-3.59052,0.922,0.916,-0.65076,53.272,52.974,-0.55939
Case_10-06,avg,multilevel_tresholding,9,28.622,26.322,-8.03578,0.918,0.886,-3.48584,52.41,54.25,3.51078
Case_10-07,avg,multilevel_tresholding,9,28.615,26.114,-8.74017,0.922,0.885,-4.01302,52.779,56.214,6.50827
Case_10-08,avg,multilevel_tresholding,9,28.629,26.182,-8.54728,0.921,0.886,-3.80022,52.79,56.409,6.85547
Case_10-09,avg,multilevel_tresholding,9,28.283,26.086,-7.76792,0.918,0.882,-3.92157,51.182,57.485,12.31488
Case_10-10,avg,multilevel_tresholding,9,28.849,27.096,-6.07647,0.901,0.871,-3.32963,52.489,59.51,13.37614
Case_11-07,avg,multilevel_tresholding,9,29.139,27.153,-6.81561,0.902,0.873,-3.21508,61.466,56.76,-7.65627
Case_11-09,avg,multilevel_tresholding,9,31.972,31.556,-1.30114,0.863,0.873,1.15875,52.452,48.031,-8.42866
