name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,otsu,0.4,17,28.506,27.95,-1.95047,0.929,0.924,-0.53821,44.206,45.493,2.91137
Case_1-01,gauss,otsu,0.7,17,28.506,28.627,0.42447,0.929,0.935,0.64586,44.206,53.544,21.12383
Case_1-01,gauss,otsu,1.1,17,28.506,29.252,2.61699,0.929,0.943,1.507,44.206,55.576,25.72049
Case_1-01,gauss,otsu,1.4,17,28.506,29.558,3.69045,0.929,0.947,1.93757,44.206,57.002,28.9463
Case_1-01,gauss,otsu,1.7,17,28.506,29.646,3.99916,0.929,0.949,2.15285,44.206,57.179,29.3467
Case_1-01,gauss,otsu,2,17,28.506,29.505,3.50453,0.929,0.949,2.15285,44.206,56.193,27.11623
Case_1-01,gauss,otsu,2.3,17,28.506,29.171,2.33284,0.929,0.948,2.04521,44.206,54.566,23.43573
Case_1-01,gauss,otsu,2.6,17,28.506,28.711,0.71915,0.929,0.946,1.82992,44.206,53.203,20.35244
Case_1-01,gauss,otsu,2.9,17,28.506,28.194,-1.09451,0.929,0.944,1.61464,44.206,52.675,19.15803
Case_1-02,gauss,otsu,0.4,17,28.44,27.764,-2.37693,0.927,0.921,-0.64725,45.46,48.242,6.11967
Case_1-02,gauss,otsu,0.7,17,28.44,28.434,-0.0211,0.927,0.932,0.53937,45.46,54.637,20.18698
Case_1-02,gauss,otsu,1.1,17,28.44,29.084,2.26442,0.927,0.941,1.51025,45.46,56.02,23.22921
Case_1-02,gauss,otsu,1.4,17,28.44,29.436,3.50211,0.927,0.945,1.94175,45.46,57.109,25.62473
Case_1-02,gauss,otsu,1.7,17,28.44,29.569,3.96976,0.927,0.948,2.26537,45.46,57.121,25.65112
Case_1-02,gauss,otsu,2,17,28.44,29.447,3.54079,0.927,0.949,2.37325,45.46,56.427,24.12451
Case_1-02,gauss,otsu,2.3,17,28.44,29.094,2.29958,0.927,0.948,2.26537,45.46,55.14,21.29344
Case_1-02,gauss,otsu,2.6,17,28.44,28.582,0.4993,0.927,0.946,2.04962,45.46,53.658,18.03344
Case_1-02,gauss,otsu,2.9,17,28.44,27.996,-1.56118,0.927,0.944,1.83387,45.46,52.716,15.96128
Case_1-03,gauss,otsu,0.4,17,28.9,28.49,-1.41869,0.94,0.937,-0.31915,44.406,43.098,-2.94555
Case_1-03,gauss,otsu,0.7,17,28.9,29.133,0.80623,0.94,0.946,0.6383,44.406,52.934,19.20461
Case_1-03,gauss,otsu,1.1,17,28.9,29.706,2.78893,0.94,0.952,1.2766,44.406,56.929,28.20114
Case_1-03,gauss,otsu,1.4,17,28.9,30.014,3.85467,0.94,0.956,1.70213,44.406,58.212,31.09039
Case_1-03,gauss,otsu,1.7,17,28.9,30.163,4.37024,0.94,0.958,1.91489,44.406,58.383,31.47548
Case_1-03,gauss,otsu,2,17,28.9,30.136,4.27682,0.94,0.959,2.02128,44.406,57.709,29.95766
Case_1-03,gauss,otsu,2.3,17,28.9,29.949,3.62976,0.94,0.959,2.02128,44.406,57.339,29.12444
Case_1-03,gauss,otsu,2.6,17,28.9,29.641,2.56401,0.94,0.958,1.91489,44.406,57.269,28.96681
Case_1-03,gauss,otsu,2.9,17,28.9,29.263,1.25606,0.94,0.957,1.80851,44.406,56.843,28.00748
Case_1-04,gauss,otsu,0.4,17,28.842,28.435,-1.41114,0.944,0.941,-0.3178,44.233,45.919,3.81163
Case_1-04,gauss,otsu,0.7,17,28.842,29.068,0.78358,0.944,0.949,0.52966,44.233,54.911,24.14035
Case_1-04,gauss,otsu,1.1,17,28.842,29.652,2.8084,0.944,0.956,1.27119,44.233,57.157,29.218
Case_1-04,gauss,otsu,1.4,17,28.842,29.984,3.9595,0.944,0.959,1.58898,44.233,57.555,30.11779
Case_1-04,gauss,otsu,1.7,17,28.842,30.159,4.56626,0.944,0.962,1.90678,44.233,57.346,29.64529
Case_1-04,gauss,otsu,2,17,28.842,30.149,4.53159,0.944,0.963,2.01271,44.233,56.643,28.05598
Case_1-04,gauss,otsu,2.3,17,28.842,29.961,3.87976,0.944,0.963,2.01271,44.233,56.612,27.98589
Case_1-04,gauss,otsu,2.6,17,28.842,29.635,2.74946,0.944,0.962,1.90678,44.233,57.06,28.99871
Case_1-04,gauss,otsu,2.9,17,28.842,29.226,1.33139,0.944,0.961,1.80085,44.233,57.285,29.50738
Case_1-05,gauss,otsu,0.4,17,28.935,28.502,-1.49646,0.941,0.938,-0.31881,45.133,43.727,-3.11524
Case_1-05,gauss,otsu,0.7,17,28.935,29.15,0.74304,0.941,0.947,0.63762,45.133,53.036,17.51047
Case_1-05,gauss,otsu,1.1,17,28.935,29.725,2.73026,0.941,0.953,1.27524,45.133,56.396,24.95513
Case_1-05,gauss,otsu,1.4,17,28.935,30.022,3.7567,0.941,0.956,1.59405,45.133,57.428,27.24171
Case_1-05,gauss,otsu,1.7,17,28.935,30.149,4.19561,0.941,0.958,1.80659,45.133,57.593,27.60729
Case_1-05,gauss,otsu,2,17,28.935,30.094,4.00553,0.941,0.959,1.91286,45.133,56.875,26.01644
Case_1-05,gauss,otsu,2.3,17,28.935,29.879,3.26248,0.941,0.959,1.91286,45.133,56.525,25.24095
Case_1-05,gauss,otsu,2.6,17,28.935,29.545,2.10817,0.941,0.958,1.80659,45.133,56.647,25.51127
Case_1-05,gauss,otsu,2.9,17,28.935,29.147,0.73268,0.941,0.956,1.59405,45.133,56.525,25.24095
Case_1-06,gauss,otsu,0.4,17,28.466,27.866,-2.10778,0.939,0.934,-0.53248,45.905,50.549,10.11655
Case_1-06,gauss,otsu,0.7,17,28.466,28.529,0.22132,0.939,0.944,0.53248,45.905,55.084,19.99564
Case_1-06,gauss,otsu,1.1,17,28.466,29.151,2.40638,0.939,0.951,1.27796,45.905,57.094,24.37425
Case_1-06,gauss,otsu,1.4,17,28.466,29.478,3.55512,0.939,0.954,1.59744,45.905,58.333,27.0733
Case_1-06,gauss,otsu,1.7,17,28.466,29.598,3.97667,0.939,0.956,1.81044,45.905,58.437,27.29986
Case_1-06,gauss,otsu,2,17,28.466,29.481,3.56566,0.939,0.956,1.81044,45.905,57.293,24.80776
Case_1-06,gauss,otsu,2.3,17,28.466,29.151,2.40638,0.939,0.955,1.70394,45.905,55.253,20.36379
Case_1-06,gauss,otsu,2.6,17,28.466,28.672,0.72367,0.939,0.953,1.49095,45.905,53.35,16.21828
Case_1-06,gauss,otsu,2.9,17,28.466,28.121,-1.21197,0.939,0.95,1.17146,45.905,52.438,14.23157
Case_1-07,gauss,otsu,0.4,17,28.853,28.35,-1.74332,0.95,0.946,-0.42105,45.998,49.091,6.72421
Case_1-07,gauss,otsu,0.7,17,28.853,29.009,0.54067,0.95,0.954,0.42105,45.998,54.017,17.43337
Case_1-07,gauss,otsu,1.1,17,28.853,29.608,2.61671,0.95,0.959,0.94737,45.998,56.239,22.26401
Case_1-07,gauss,otsu,1.4,17,28.853,29.912,3.67033,0.95,0.962,1.26316,45.998,57.62,25.26632
Case_1-07,gauss,otsu,1.7,17,28.853,30.022,4.05157,0.95,0.963,1.36842,45.998,57.506,25.01848
