name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,multilevel_tresholding,0.4,15,33.476,33.27,-0.61537,0.972,0.972,0,52.435,52.892,0.87156
Case_1-01,gauss,multilevel_tresholding,0.7,15,33.476,33.087,-1.16203,0.972,0.975,0.30864,52.435,54.962,4.8193
Case_1-01,gauss,multilevel_tresholding,1.1,15,33.476,33.476,0,0.972,0.978,0.61728,52.435,56.388,7.53886
Case_1-01,gauss,multilevel_tresholding,1.4,15,33.476,33.433,-0.12845,0.972,0.978,0.61728,52.435,56.887,8.49051
Case_1-01,gauss,multilevel_tresholding,1.7,15,33.476,32.837,-1.90883,0.972,0.976,0.41152,52.435,56.368,7.50072
Case_1-01,gauss,multilevel_tresholding,2,15,33.476,31.896,-4.7198,0.972,0.973,0.10288,52.435,55.14,5.15877
Case_1-01,gauss,multilevel_tresholding,2.3,15,33.476,30.879,-7.7578,0.972,0.97,-0.20576,52.435,54.344,3.6407
Case_1-01,gauss,multilevel_tresholding,2.6,15,33.476,29.931,-10.58968,0.972,0.965,-0.72016,52.435,54.649,4.22237
Case_1-01,gauss,multilevel_tresholding,2.9,15,33.476,29.108,-13.04815,0.972,0.961,-1.13169,52.435,55.217,5.30562
Case_1-02,gauss,multilevel_tresholding,0.4,15,33.482,33.167,-0.9408,0.972,0.971,-0.10288,52.75,54.506,3.32891
Case_1-02,gauss,multilevel_tresholding,0.7,15,33.482,32.786,-2.07873,0.972,0.974,0.20576,52.75,55.664,5.52417
Case_1-02,gauss,multilevel_tresholding,1.1,15,33.482,33.308,-0.51968,0.972,0.977,0.5144,52.75,56.388,6.89668
Case_1-02,gauss,multilevel_tresholding,1.4,15,33.482,33.448,-0.10155,0.972,0.978,0.61728,52.75,57.04,8.1327
Case_1-02,gauss,multilevel_tresholding,1.7,15,33.482,32.941,-1.61579,0.972,0.977,0.5144,52.75,56.415,6.94787
Case_1-02,gauss,multilevel_tresholding,2,15,33.482,31.971,-4.51287,0.972,0.975,0.30864,52.75,55.098,4.45118
Case_1-02,gauss,multilevel_tresholding,2.3,15,33.482,30.865,-7.81614,0.972,0.971,-0.10288,52.75,53.988,2.34692
Case_1-02,gauss,multilevel_tresholding,2.6,15,33.482,29.814,-10.95514,0.972,0.967,-0.5144,52.75,54.088,2.53649
Case_1-02,gauss,multilevel_tresholding,2.9,15,33.482,28.899,-13.68795,0.972,0.963,-0.92593,52.75,54.731,3.75545
Case_1-03,gauss,multilevel_tresholding,0.4,15,33.98,33.716,-0.77693,0.977,0.977,0,49.548,50.604,2.13127
Case_1-03,gauss,multilevel_tresholding,0.7,15,33.98,33.304,-1.98941,0.977,0.978,0.10235,49.548,56.269,13.56462
Case_1-03,gauss,multilevel_tresholding,1.1,15,33.98,33.551,-1.26251,0.977,0.981,0.40942,49.548,57.435,15.9179
Case_1-03,gauss,multilevel_tresholding,1.4,15,33.98,33.716,-0.77693,0.977,0.981,0.40942,49.548,57.806,16.66667
Case_1-03,gauss,multilevel_tresholding,1.7,15,33.98,33.553,-1.25662,0.977,0.981,0.40942,49.548,58.093,17.2459
Case_1-03,gauss,multilevel_tresholding,2,15,33.98,33.005,-2.86933,0.977,0.98,0.30706,49.548,58.318,17.70001
Case_1-03,gauss,multilevel_tresholding,2.3,15,33.98,32.219,-5.18246,0.977,0.978,0.10235,49.548,58.272,17.60717
Case_1-03,gauss,multilevel_tresholding,2.6,15,33.98,31.411,-7.56033,0.977,0.975,-0.20471,49.548,57.559,16.16816
Case_1-03,gauss,multilevel_tresholding,2.9,15,33.98,30.672,-9.73514,0.977,0.973,-0.40942,49.548,56.206,13.43747
Case_1-04,gauss,multilevel_tresholding,0.4,15,33.947,33.831,-0.34171,0.979,0.979,0,52.916,54.306,2.6268
Case_1-04,gauss,multilevel_tresholding,0.7,15,33.947,33.826,-0.35644,0.979,0.981,0.20429,52.916,57.343,8.36609
Case_1-04,gauss,multilevel_tresholding,1.1,15,33.947,34.153,0.60683,0.979,0.983,0.40858,52.916,57.677,8.99728
