name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,multilevel_tresholding,5,35.513,33.689,-5.13615,0.982,0.981,-0.10183,52.735,56.296,6.75263
Case_1-02,avg,multilevel_tresholding,5,35.612,33.951,-4.66416,0.982,0.982,0,54.475,55.325,1.56035
Case_1-03,avg,multilevel_tresholding,5,36.059,34.259,-4.99182,0.985,0.985,0,51.448,56.817,10.43578
Case_1-04,avg,multilevel_tresholding,5,36.06,35.212,-2.35164,0.986,0.988,0.20284,54.6,56.566,3.60073
Case_1-05,avg,multilevel_tresholding,5,36.008,34.482,-4.23795,0.985,0.985,0,51.409,57.134,11.13618
Case_1-06,avg,multilevel_tresholding,5,35.482,33.854,-4.58824,0.985,0.984,-0.10152,54.128,56.391,4.18083
Case_1-07,avg,multilevel_tresholding,5,35.785,34.211,-4.39849,0.987,0.986,-0.10132,51.387,57.313,11.5321
Case_1-08,avg,multilevel_tresholding,5,36.215,34.398,-5.01726,0.983,0.984,0.10173,51.919,56.246,8.33414
Case_10-01,avg,multilevel_tresholding,5,34.946,31.592,-9.59766,0.976,0.957,-1.94672,42.96,54.299,26.39432
Case_10-02,avg,multilevel_tresholding,5,35.813,32.305,-9.79533,0.98,0.965,-1.53061,45.966,49.605,7.91672
Case_10-03,avg,multilevel_tresholding,5,34.463,31.29,-9.20698,0.973,0.953,-2.0555,42.322,54.614,29.044
Case_10-04,avg,multilevel_tresholding,5,35.063,31.446,-10.31572,0.978,0.959,-1.94274,43.414,54.013,24.41378
Case_10-05,avg,multilevel_tresholding,5,36.909,34.298,-7.07416,0.982,0.975,-0.71283,53.361,57.114,7.03323
Case_10-06,avg,multilevel_tresholding,5,35.791,32.141,-10.19809,0.98,0.966,-1.42857,46.239,51.343,11.0383
Case_10-07,avg,multilevel_tresholding,5,35.684,32.183,-9.81112,0.981,0.966,-1.52905,44.532,54.947,23.38768
